# _root_ benetan , erdi tontolo geratu naiz leihotik begira : muxuka zeuden txirikorda eta nicolasito , biak eskutik helduta ! .
#goldHeads=5,3,4,5,0,5,5,7,8,11,0,13,11,13,14,18,18,11,18,19,
#predictedHeads=5,3,4,5,0,5,5,7,8,11,5,13,11,13,14,18,18,11,18,19,
(0,1),-0.405514 # DEPENDENCYPART_ARC
(0,2),-1.64555 # DEPENDENCYPART_ARC
(0,3),-0.865096 # DEPENDENCYPART_ARC
(0,4),-1.60315 # DEPENDENCYPART_ARC
(0,5),0.162888 # DEPENDENCYPART_ARC
(0,6),-0.722516 # DEPENDENCYPART_ARC
(0,7),-1.68428 # DEPENDENCYPART_ARC
(0,8),-0.823589 # DEPENDENCYPART_ARC
(0,9),-1.1975 # DEPENDENCYPART_ARC
(0,10),-0.930633 # DEPENDENCYPART_ARC
(0,11),-0.408209 # DEPENDENCYPART_ARC
(0,12),-1.15748 # DEPENDENCYPART_ARC
(0,13),-1.55727 # DEPENDENCYPART_ARC
(0,14),-1.54001 # DEPENDENCYPART_ARC
(0,15),-1.33926 # DEPENDENCYPART_ARC
(0,16),-1.98857 # DEPENDENCYPART_ARC
(0,17),-1.67967 # DEPENDENCYPART_ARC
(0,18),-1.28401 # DEPENDENCYPART_ARC
(0,20),-2.31514 # DEPENDENCYPART_ARC
(1,2),-0.690157 # DEPENDENCYPART_ARC
(1,3),-1.4717 # DEPENDENCYPART_ARC
(2,4),-0.990269 # DEPENDENCYPART_ARC
(2,5),-0.931384 # DEPENDENCYPART_ARC
(2,18),-1.91219 # DEPENDENCYPART_ARC
(3,1),-0.767536 # DEPENDENCYPART_ARC
(3,2),-0.0313268 # DEPENDENCYPART_ARC
(3,4),-0.281228 # DEPENDENCYPART_ARC
(3,7),-1.05551 # DEPENDENCYPART_ARC
(3,8),-0.9987 # DEPENDENCYPART_ARC
(3,10),-1.0127 # DEPENDENCYPART_ARC
(4,1),-0.382733 # DEPENDENCYPART_ARC
(4,3),0.716178 # DEPENDENCYPART_ARC
(4,5),-0.343219 # DEPENDENCYPART_ARC
(5,1),0.283956 # DEPENDENCYPART_ARC
(5,2),-0.753412 # DEPENDENCYPART_ARC
