# _root_ puuuh , dirkek airea kanporatzen du , lasaiturik eta pozik dago
#goldHeads=4,1,5,5,7,5,0,9,7,11,9,
#predictedHeads=5,3,5,5,9,5,6,9,0,11,9,
(0,1),-0.291922 # DEPENDENCYPART_ARC
(0,2),-1.23738 # DEPENDENCYPART_ARC
(0,3),-0.888377 # DEPENDENCYPART_ARC
(0,4),-0.796971 # DEPENDENCYPART_ARC
(0,5),-0.164148 # DEPENDENCYPART_ARC
(0,6),-1.1243 # DEPENDENCYPART_ARC
(0,7),-1.01966 # DEPENDENCYPART_ARC
(0,8),-0.848687 # DEPENDENCYPART_ARC
(0,9),-0.0490849 # DEPENDENCYPART_ARC
(0,10),-1.14998 # DEPENDENCYPART_ARC
(0,11),-0.393494 # DEPENDENCYPART_ARC
(1,2),-0.538836 # DEPENDENCYPART_ARC
(1,3),0.10333 # DEPENDENCYPART_ARC
(1,4),-0.507076 # DEPENDENCYPART_ARC
(1,5),-1.2896 # DEPENDENCYPART_ARC
(1,11),-0.149905 # DEPENDENCYPART_ARC
(2,1),-0.653475 # DEPENDENCYPART_ARC
(2,4),-0.958394 # DEPENDENCYPART_ARC
(2,5),-0.824079 # DEPENDENCYPART_ARC
(2,8),-1.35598 # DEPENDENCYPART_ARC
(3,2),-0.450776 # DEPENDENCYPART_ARC
(3,4),-0.57716 # DEPENDENCYPART_ARC
(3,5),-2.26379 # DEPENDENCYPART_ARC
(3,8),-2.5547 # DEPENDENCYPART_ARC
(3,11),-1.37884 # DEPENDENCYPART_ARC
(4,1),-0.846866 # DEPENDENCYPART_ARC
(4,2),-1.16574 # DEPENDENCYPART_ARC
(4,3),0.672407 # DEPENDENCYPART_ARC
(4,5),-1.06733 # DEPENDENCYPART_ARC
(4,6),-0.880523 # DEPENDENCYPART_ARC
(4,7),-0.468757 # DEPENDENCYPART_ARC
(4,8),-1.82833 # DEPENDENCYPART_ARC
(4,9),-0.960658 # DEPENDENCYPART_ARC
(4,11),-0.772729 # DEPENDENCYPART_ARC
(5,1),0.605696 # DEPENDENCYPART_ARC
(5,2),-1.44257 # DEPENDENCYPART_ARC
(5,3),1.57411 # DEPENDENCYPART_ARC
(5,4),2.33087 # DEPENDENCYPART_ARC
(5,6),2.36084 # DEPENDENCYPART_ARC
(5,7),-0.499541 # DEPENDENCYPART_ARC
(5,8),-0.388565 # DEPENDENCYPART_ARC
(5,9),-0.503156 # DEPENDENCYPART_ARC
(5,10),-0.881054 # DEPENDENCYPART_ARC
(5,11),0.0196294 # DEPENDENCYPART_ARC
(6,1),-1.06516 # DEPENDENCYPART_ARC
(6,3),-0.457361 # DEPENDENCYPART_ARC
(6,4),-0.688259 # DEPENDENCYPART_ARC
(6,5),-0.465378 # DEPENDENCYPART_ARC
(6,7),1.3177 # DEPENDENCYPART_ARC
(6,8),-1.44744 # DEPENDENCYPART_ARC
(6,9),-1.1152 # DEPENDENCYPART_ARC
(6,11),-1.35087 # DEPENDENCYPART_ARC
(7,1),-0.688235 # DEPENDENCYPART_ARC
(7,3),-0.464643 # DEPENDENCYPART_ARC
(7,5),-0.175848 # DEPENDENCYPART_ARC
(7,6),-0.141213 # DEPENDENCYPART_ARC
(7,8),-0.0796242 # DEPENDENCYPART_ARC
(7,9),-0.706304 # DEPENDENCYPART_ARC
(7,11),-0.527284 # DEPENDENCYPART_ARC
(8,1),-1.4796 # DEPENDENCYPART_ARC
(8,2),-1.57769 # DEPENDENCYPART_ARC
(8,3),-0.694822 # DEPENDENCYPART_ARC
(8,4),-0.303401 # DEPENDENCYPART_ARC
(8,5),-0.684091 # DEPENDENCYPART_ARC
(8,6),-0.237977 # DEPENDENCYPART_ARC
(8,7),-0.361233 # DEPENDENCYPART_ARC
(8,9),-0.687923 # DEPENDENCYPART_ARC
(8,10),-0.720058 # DEPENDENCYPART_ARC
(8,11),-1.28608 # DEPENDENCYPART_ARC
(9,1),-0.960029 # DEPENDENCYPART_ARC
(9,3),-1.60684 # DEPENDENCYPART_ARC
(9,4),-1.33369 # DEPENDENCYPART_ARC
(9,5),0.0708723 # DEPENDENCYPART_ARC
(9,6),-0.896476 # DEPENDENCYPART_ARC
(9,7),-1.20213 # DEPENDENCYPART_ARC
(9,8),1.88683 # DEPENDENCYPART_ARC
(9,10),-0.293063 # DEPENDENCYPART_ARC
(9,11),0.25435 # DEPENDENCYPART_ARC
(10,4),-1.8451 # DEPENDENCYPART_ARC
(10,11),0.365363 # DEPENDENCYPART_ARC
(11,1),-1.66415 # DEPENDENCYPART_ARC
(11,2),-1.81813 # DEPENDENCYPART_ARC
(11,3),-0.99275 # DEPENDENCYPART_ARC
(11,4),-1.55104 # DEPENDENCYPART_ARC
(11,5),-1.02065 # DEPENDENCYPART_ARC
(11,7),-1.46066 # DEPENDENCYPART_ARC
(11,8),0.537946 # DEPENDENCYPART_ARC
(11,9),-0.133859 # DEPENDENCYPART_ARC
(11,10),0.947328 # DEPENDENCYPART_ARC
