# _root_ zu ados agertu eta , gainera , alderdikideei gai hori alde batera uztea galdegin diezu .
#goldHeads=3,3,4,0,4,14,6,14,13,9,13,11,14,4,14,15,
#predictedHeads=3,3,4,0,4,0,6,13,13,9,13,11,14,4,14,15,
(0,1),-0.276261 # DEPENDENCYPART_ARC
(0,2),-0.841338 # DEPENDENCYPART_ARC
(0,3),-0.724357 # DEPENDENCYPART_ARC
(0,4),-0.242804 # DEPENDENCYPART_ARC
(0,5),-1.17412 # DEPENDENCYPART_ARC
(0,6),1.22494 # DEPENDENCYPART_ARC
(0,7),-0.944578 # DEPENDENCYPART_ARC
(0,8),-0.72816 # DEPENDENCYPART_ARC
(0,9),-1.0424 # DEPENDENCYPART_ARC
(0,10),-1.95435 # DEPENDENCYPART_ARC
(0,11),-1.0969 # DEPENDENCYPART_ARC
(0,12),-2.5814 # DEPENDENCYPART_ARC
(0,13),-1.58707 # DEPENDENCYPART_ARC
(0,14),-0.407305 # DEPENDENCYPART_ARC
(0,15),-1.23011 # DEPENDENCYPART_ARC
(0,16),-2.13479 # DEPENDENCYPART_ARC
(1,2),-0.17099 # DEPENDENCYPART_ARC
(1,3),-1.3794 # DEPENDENCYPART_ARC
(2,1),0.0874076 # DEPENDENCYPART_ARC
(2,3),-0.495611 # DEPENDENCYPART_ARC
(2,4),-0.87096 # DEPENDENCYPART_ARC
(2,5),-0.65294 # DEPENDENCYPART_ARC
(2,7),-0.957587 # DEPENDENCYPART_ARC
(2,9),-1.29879 # DEPENDENCYPART_ARC
(3,1),1.00262 # DEPENDENCYPART_ARC
(3,2),1.18712 # DEPENDENCYPART_ARC
(3,4),0.347867 # DEPENDENCYPART_ARC
(3,5),-0.559989 # DEPENDENCYPART_ARC
(3,6),-0.606614 # DEPENDENCYPART_ARC
(3,7),-1.29002 # DEPENDENCYPART_ARC
(3,8),-1.63249 # DEPENDENCYPART_ARC
(3,9),-1.9936 # DEPENDENCYPART_ARC
(3,11),-2.3473 # DEPENDENCYPART_ARC
(3,13),-1.19087 # DEPENDENCYPART_ARC
(3,14),-1.80869 # DEPENDENCYPART_ARC
(3,15),-0.308272 # DEPENDENCYPART_ARC
(4,1),-0.648446 # DEPENDENCYPART_ARC
(4,2),-0.0510826 # DEPENDENCYPART_ARC
(4,3),1.8797 # DEPENDENCYPART_ARC
(4,5),1.1675 # DEPENDENCYPART_ARC
(4,6),-0.3627 # DEPENDENCYPART_ARC
(4,7),-0.0128647 # DEPENDENCYPART_ARC
(4,8),-0.553422 # DEPENDENCYPART_ARC
(4,9),-1.002 # DEPENDENCYPART_ARC
(4,11),-1.30113 # DEPENDENCYPART_ARC
(4,12),-0.977744 # DEPENDENCYPART_ARC
(4,13),0.353833 # DEPENDENCYPART_ARC
(4,14),0.915915 # DEPENDENCYPART_ARC
(5,3),-1.71357 # DEPENDENCYPART_ARC
(5,4),-1.24406 # DEPENDENCYPART_ARC
(5,14),-2.02639 # DEPENDENCYPART_ARC
(6,3),-0.642824 # DEPENDENCYPART_ARC
(6,5),-0.434749 # DEPENDENCYPART_ARC
(6,7),0.875376 # DEPENDENCYPART_ARC
(6,8),-1.16716 # DEPENDENCYPART_ARC
(6,9),-1.85289 # DEPENDENCYPART_ARC
(6,13),-1.71517 # DEPENDENCYPART_ARC
(6,14),-0.618099 # DEPENDENCYPART_ARC
(7,3),-1.20754 # DEPENDENCYPART_ARC
(7,4),-1.03942 # DEPENDENCYPART_ARC
(7,8),-1.07869 # DEPENDENCYPART_ARC
(7,13),-1.88199 # DEPENDENCYPART_ARC
(7,14),-2.06404 # DEPENDENCYPART_ARC
(8,2),-1.72281 # DEPENDENCYPART_ARC
(8,3),-1.95692 # DEPENDENCYPART_ARC
(8,4),-0.848297 # DEPENDENCYPART_ARC
(8,5),-1.68346 # DEPENDENCYPART_ARC
(8,7),-0.342241 # DEPENDENCYPART_ARC
(8,9),-0.302963 # DEPENDENCYPART_ARC
(8,10),-1.3216 # DEPENDENCYPART_ARC
(8,11),-1.34749 # DEPENDENCYPART_ARC
(8,12),-1.93921 # DEPENDENCYPART_ARC
(8,15),-2.13559 # DEPENDENCYPART_ARC
(9,2),-1.38964 # DEPENDENCYPART_ARC
(9,4),-1.51043 # DEPENDENCYPART_ARC
(9,5),-1.93653 # DEPENDENCYPART_ARC
(9,7),-1.51114 # DEPENDENCYPART_ARC
(9,8),0.43438 # DEPENDENCYPART_ARC
(9,10),2.24919 # DEPENDENCYPART_ARC
(9,11),-0.250198 # DEPENDENCYPART_ARC
(9,12),1.01431 # DEPENDENCYPART_ARC
(9,13),-0.678262 # DEPENDENCYPART_ARC
(9,15),-1.32194 # DEPENDENCYPART_ARC
(9,16),-0.90383 # DEPENDENCYPART_ARC
(10,11),-0.465963 # DEPENDENCYPART_ARC
(10,13),-1.56741 # DEPENDENCYPART_ARC
(10,14),-1.52255 # DEPENDENCYPART_ARC
(11,2),-1.42505 # DEPENDENCYPART_ARC
(11,4),-1.57728 # DEPENDENCYPART_ARC
(11,5),-2.18601 # DEPENDENCYPART_ARC
(11,7),-2.06192 # DEPENDENCYPART_ARC
(11,8),-0.959854 # DEPENDENCYPART_ARC
(11,9),-0.205282 # DEPENDENCYPART_ARC
(11,10),0.343083 # DEPENDENCYPART_ARC
(11,12),2.12227 # DEPENDENCYPART_ARC
(11,13),-0.24211 # DEPENDENCYPART_ARC
(11,15),-1.0485 # DEPENDENCYPART_ARC
(11,16),-0.766687 # DEPENDENCYPART_ARC
(12,2),-1.12547 # DEPENDENCYPART_ARC
(12,8),-0.93742 # DEPENDENCYPART_ARC
(12,9),-2.0706 # DEPENDENCYPART_ARC
(12,11),-0.287788 # DEPENDENCYPART_ARC
(13,1),-0.188507 # DEPENDENCYPART_ARC
(13,2),-0.87334 # DEPENDENCYPART_ARC
(13,3),-0.572854 # DEPENDENCYPART_ARC
(13,4),-0.864705 # DEPENDENCYPART_ARC
(13,5),-1.47455 # DEPENDENCYPART_ARC
(13,6),-0.274235 # DEPENDENCYPART_ARC
(13,7),-1.62854 # DEPENDENCYPART_ARC
(13,8),0.93256 # DEPENDENCYPART_ARC
(13,9),0.824852 # DEPENDENCYPART_ARC
(13,10),0.0335183 # DEPENDENCYPART_ARC
(13,11),1.40507 # DEPENDENCYPART_ARC
(13,12),-0.78025 # DEPENDENCYPART_ARC
(13,14),-0.674039 # DEPENDENCYPART_ARC
(13,15),-0.0404441 # DEPENDENCYPART_ARC
(14,1),-1.90538 # DEPENDENCYPART_ARC
(14,2),-1.11389 # DEPENDENCYPART_ARC
(14,3),-0.639269 # DEPENDENCYPART_ARC
(14,4),-0.124175 # DEPENDENCYPART_ARC
(14,5),-1.73004 # DEPENDENCYPART_ARC
(14,6),0.220107 # DEPENDENCYPART_ARC
(14,7),-1.78642 # DEPENDENCYPART_ARC
(14,8),0.556983 # DEPENDENCYPART_ARC
(14,9),0.338269 # DEPENDENCYPART_ARC
(14,10),-0.570135 # DEPENDENCYPART_ARC
(14,11),0.458863 # DEPENDENCYPART_ARC
