# _root_ " azken_finean , bez zerga da denetarik bidegabeena , denek berdin pagatzen baitugu irabazi ezberdinak ukanik ere " .
#goldHeads=0,0,2,5,6,0,6,6,8,12,12,6,12,16,14,12,16,17,18,
#predictedHeads=0,0,2,5,6,0,8,12,8,12,12,14,12,16,14,6,0,17,18,
(0,1),0.938888 # DEPENDENCYPART_ARC
(0,2),0.591156 # DEPENDENCYPART_ARC
(0,3),-0.803263 # DEPENDENCYPART_ARC
(0,4),-0.451077 # DEPENDENCYPART_ARC
(0,5),-0.686207 # DEPENDENCYPART_ARC
(0,6),0.792256 # DEPENDENCYPART_ARC
(0,7),-1.37974 # DEPENDENCYPART_ARC
(0,8),-0.64187 # DEPENDENCYPART_ARC
(0,9),-0.852208 # DEPENDENCYPART_ARC
(0,10),-1.70671 # DEPENDENCYPART_ARC
(0,11),-0.346364 # DEPENDENCYPART_ARC
(0,12),-0.272927 # DEPENDENCYPART_ARC
(0,13),-0.867621 # DEPENDENCYPART_ARC
(0,14),-1.6852 # DEPENDENCYPART_ARC
(0,15),-1.58922 # DEPENDENCYPART_ARC
(0,16),-1.5143 # DEPENDENCYPART_ARC
(0,17),1.7137 # DEPENDENCYPART_ARC
(0,18),-2.59249 # DEPENDENCYPART_ARC
(0,19),-1.73927 # DEPENDENCYPART_ARC
(1,2),-1.66112 # DEPENDENCYPART_ARC
(1,3),-1.10616 # DEPENDENCYPART_ARC
(2,3),2.18153 # DEPENDENCYPART_ARC
(2,5),-1.099 # DEPENDENCYPART_ARC
(2,6),-0.430227 # DEPENDENCYPART_ARC
(2,12),-1.39732 # DEPENDENCYPART_ARC
(3,5),-1.46032 # DEPENDENCYPART_ARC
(3,6),-1.04664 # DEPENDENCYPART_ARC
(3,16),-2.19208 # DEPENDENCYPART_ARC
(4,3),-0.671288 # DEPENDENCYPART_ARC
(4,5),0.860886 # DEPENDENCYPART_ARC
(4,8),-1.39038 # DEPENDENCYPART_ARC
(5,3),-0.984335 # DEPENDENCYPART_ARC
(5,4),1.46371 # DEPENDENCYPART_ARC
(5,6),-0.484057 # DEPENDENCYPART_ARC
(5,7),-1.07882 # DEPENDENCYPART_ARC
(5,8),-1.64665 # DEPENDENCYPART_ARC
(5,10),-1.92148 # DEPENDENCYPART_ARC
(5,11),-1.05323 # DEPENDENCYPART_ARC
(6,2),0.218769 # DEPENDENCYPART_ARC
(6,3),-0.899577 # DEPENDENCYPART_ARC
(6,4),1.21335 # DEPENDENCYPART_ARC
(6,5),1.84645 # DEPENDENCYPART_ARC
(6,8),0.557259 # DEPENDENCYPART_ARC
(6,9),-0.234402 # DEPENDENCYPART_ARC
(6,11),-0.602162 # DEPENDENCYPART_ARC
(6,12),-0.582373 # DEPENDENCYPART_ARC
(6,13),-0.837554 # DEPENDENCYPART_ARC
(6,14),-0.939644 # DEPENDENCYPART_ARC
(6,16),0.0831172 # DEPENDENCYPART_ARC
(7,6),-0.648311 # DEPENDENCYPART_ARC
(8,3),-1.36603 # DEPENDENCYPART_ARC
(8,4),-0.0361955 # DEPENDENCYPART_ARC
(8,5),-1.18471 # DEPENDENCYPART_ARC
(8,6),-1.60553 # DEPENDENCYPART_ARC
(8,7),-0.294686 # DEPENDENCYPART_ARC
(8,9),0.724142 # DEPENDENCYPART_ARC
(8,10),-2.16272 # DEPENDENCYPART_ARC
(8,11),-1.1586 # DEPENDENCYPART_ARC
(8,12),-1.4322 # DEPENDENCYPART_ARC
(8,13),-2.70613 # DEPENDENCYPART_ARC
(8,14),-2.00291 # DEPENDENCYPART_ARC
(8,16),-1.23824 # DEPENDENCYPART_ARC
(8,19),-1.08515 # DEPENDENCYPART_ARC
(9,4),-0.822634 # DEPENDENCYPART_ARC
(9,6),-0.00262233 # DEPENDENCYPART_ARC
(9,8),-0.116361 # DEPENDENCYPART_ARC
(9,12),-0.592012 # DEPENDENCYPART_ARC
(9,14),-1.07115 # DEPENDENCYPART_ARC
(9,16),-1.06129 # DEPENDENCYPART_ARC
(10,9),-0.335531 # DEPENDENCYPART_ARC
(11,2),-0.665456 # DEPENDENCYPART_ARC
(11,8),-0.613063 # DEPENDENCYPART_ARC
(11,12),-0.706863 # DEPENDENCYPART_ARC
(11,14),-1.11564 # DEPENDENCYPART_ARC
(12,2),-0.377004 # DEPENDENCYPART_ARC
(12,3),-1.54849 # DEPENDENCYPART_ARC
(12,4),-0.340142 # DEPENDENCYPART_ARC
(12,5),-0.265636 # DEPENDENCYPART_ARC
(12,6),-1.14442 # DEPENDENCYPART_ARC
(12,7),-0.475091 # DEPENDENCYPART_ARC
(12,8),0.625482 # DEPENDENCYPART_ARC
(12,9),-0.852435 # DEPENDENCYPART_ARC
(12,10),0.436195 # DEPENDENCYPART_ARC
(12,11),1.06701 # DEPENDENCYPART_ARC
(12,13),2.28358 # DEPENDENCYPART_ARC
(12,14),0.575396 # DEPENDENCYPART_ARC
(12,15),-0.863549 # DEPENDENCYPART_ARC
(12,16),-0.257319 # DEPENDENCYPART_ARC
(12,17),-0.189347 # DEPENDENCYPART_ARC
(13,4),-1.38257 # DEPENDENCYPART_ARC
(13,11),-0.907991 # DEPENDENCYPART_ARC
(13,14),-1.14915 # DEPENDENCYPART_ARC
(13,15),-0.874873 # DEPENDENCYPART_ARC
(13,16),-0.803886 # DEPENDENCYPART_ARC
(14,5),-2.45953 # DEPENDENCYPART_ARC
(14,8),-2.62983 # DEPENDENCYPART_ARC
(14,9),-1.58743 # DEPENDENCYPART_ARC
(14,11),-0.997754 # DEPENDENCYPART_ARC
(14,12),0.582323 # DEPENDENCYPART_ARC
(14,13),-0.800221 # DEPENDENCYPART_ARC
(14,15),2.2422 # DEPENDENCYPART_ARC
(14,16),-0.365667 # DEPENDENCYPART_ARC
(14,17),-0.896155 # DEPENDENCYPART_ARC
(14,19),-0.972406 # DEPENDENCYPART_ARC
(15,5),-1.6294 # DEPENDENCYPART_ARC
(15,8),-1.87236 # DEPENDENCYPART_ARC
(15,11),-0.384551 # DEPENDENCYPART_ARC
(15,12),-0.0616253 # DEPENDENCYPART_ARC
(15,14),0.216936 # DEPENDENCYPART_ARC
(15,16),-1.22585 # DEPENDENCYPART_ARC
(16,2),-0.603851 # DEPENDENCYPART_ARC
(16,3),-1.60537 # DEPENDENCYPART_ARC
(16,4),-0.969263 # DEPENDENCYPART_ARC
(16,5),-1.14377 # DEPENDENCYPART_ARC
(16,6),-1.78598 # DEPENDENCYPART_ARC
(16,8),-1.14821 # DEPENDENCYPART_ARC
(16,9),-1.46469 # DEPENDENCYPART_ARC
(16,10),-0.81102 # DEPENDENCYPART_ARC
(16,11),-0.36815 # DEPENDENCYPART_ARC
(16,12),-0.668009 # DEPENDENCYPART_ARC
(16,13),-0.882004 # DEPENDENCYPART_ARC
(16,14),1.00705 # DEPENDENCYPART_ARC
(16,15),-0.556359 # DEPENDENCYPART_ARC
(16,17),0.890646 # DEPENDENCYPART_ARC
(17,6),-1.57604 # DEPENDENCYPART_ARC
(17,12),-1.98322 # DEPENDENCYPART_ARC
(17,16),-0.22305 # DEPENDENCYPART_ARC
(17,18),1.03714 # DEPENDENCYPART_ARC
(18,14),-1.47013 # DEPENDENCYPART_ARC
(18,19),1.27946 # DEPENDENCYPART_ARC
