# _root_ ertzaintzaren_arabera , indar handiko suziri bat bota zioten , banketxearen eta goiko etxebizitza baten leihoak hautsiz .
#goldHeads=7,1,5,3,7,5,0,7,8,11,15,13,11,13,16,7,16,
#predictedHeads=7,3,7,3,7,5,0,7,8,11,13,11,15,13,16,7,16,
(0,1),-0.956937 # DEPENDENCYPART_ARC
(0,2),-1.2608 # DEPENDENCYPART_ARC
(0,3),-0.969142 # DEPENDENCYPART_ARC
(0,4),-2.17963 # DEPENDENCYPART_ARC
(0,5),-1.92159 # DEPENDENCYPART_ARC
(0,6),-1.72447 # DEPENDENCYPART_ARC
(0,7),0.0336394 # DEPENDENCYPART_ARC
(0,8),-1.51715 # DEPENDENCYPART_ARC
(0,9),-0.993486 # DEPENDENCYPART_ARC
(0,11),-1.15152 # DEPENDENCYPART_ARC
(0,12),-1.91381 # DEPENDENCYPART_ARC
(0,13),-2.09432 # DEPENDENCYPART_ARC
(0,14),-1.83602 # DEPENDENCYPART_ARC
(0,15),-1.90544 # DEPENDENCYPART_ARC
(0,16),-1.48538 # DEPENDENCYPART_ARC
(0,17),-2.62669 # DEPENDENCYPART_ARC
(1,2),-0.158947 # DEPENDENCYPART_ARC
(1,3),-0.995974 # DEPENDENCYPART_ARC
(1,5),-1.32878 # DEPENDENCYPART_ARC
(2,1),-0.709427 # DEPENDENCYPART_ARC
(2,3),-0.943962 # DEPENDENCYPART_ARC
(2,4),-0.858907 # DEPENDENCYPART_ARC
(2,7),-1.11778 # DEPENDENCYPART_ARC
(2,16),-1.69126 # DEPENDENCYPART_ARC
(3,1),-0.521079 # DEPENDENCYPART_ARC
(3,2),-0.118122 # DEPENDENCYPART_ARC
(3,4),2.51883 # DEPENDENCYPART_ARC
(3,5),-0.361612 # DEPENDENCYPART_ARC
(3,6),1.07811 # DEPENDENCYPART_ARC
(3,7),-1.32218 # DEPENDENCYPART_ARC
(3,8),-1.37125 # DEPENDENCYPART_ARC
(3,11),-0.761103 # DEPENDENCYPART_ARC
(3,12),-0.888614 # DEPENDENCYPART_ARC
(3,13),-0.972777 # DEPENDENCYPART_ARC
(3,14),-0.253326 # DEPENDENCYPART_ARC
(3,15),-1.00427 # DEPENDENCYPART_ARC
(3,16),-0.788073 # DEPENDENCYPART_ARC
(4,1),-1.90509 # DEPENDENCYPART_ARC
(4,3),-0.174218 # DEPENDENCYPART_ARC
(4,5),-1.37999 # DEPENDENCYPART_ARC
(4,6),-2.03678 # DEPENDENCYPART_ARC
(5,1),-1.13214 # DEPENDENCYPART_ARC
(5,2),-1.21627 # DEPENDENCYPART_ARC
(5,3),0.8193 # DEPENDENCYPART_ARC
(5,4),0.281907 # DEPENDENCYPART_ARC
(5,6),2.7427 # DEPENDENCYPART_ARC
(5,8),-1.40324 # DEPENDENCYPART_ARC
(5,10),-0.806526 # DEPENDENCYPART_ARC
