# _root_ gogoan_hartu zenuen , ez zenuen ulertu , baina berehala ezabatu zenuen beste inork irakurri ez zezan .
#goldHeads=8,1,2,6,6,8,6,0,10,8,10,13,14,10,14,14,16,
#predictedHeads=6,1,2,6,6,8,6,0,10,8,10,10,14,10,14,14,16,
(0,1),0.193902 # DEPENDENCYPART_ARC
(0,2),-0.566205 # DEPENDENCYPART_ARC
(0,3),-0.801587 # DEPENDENCYPART_ARC
(0,4),-1.18463 # DEPENDENCYPART_ARC
(0,5),-0.948153 # DEPENDENCYPART_ARC
(0,6),-0.421412 # DEPENDENCYPART_ARC
(0,7),-0.733181 # DEPENDENCYPART_ARC
(0,8),0.630114 # DEPENDENCYPART_ARC
(0,9),-0.754344 # DEPENDENCYPART_ARC
(0,10),-0.37114 # DEPENDENCYPART_ARC
(0,11),-0.608263 # DEPENDENCYPART_ARC
(0,12),-1.33238 # DEPENDENCYPART_ARC
(0,13),-1.64259 # DEPENDENCYPART_ARC
(0,14),-2.11089 # DEPENDENCYPART_ARC
(0,15),-1.09275 # DEPENDENCYPART_ARC
(0,16),-0.596023 # DEPENDENCYPART_ARC
(0,17),-1.84795 # DEPENDENCYPART_ARC
(1,2),2.1801 # DEPENDENCYPART_ARC
(1,4),-0.628125 # DEPENDENCYPART_ARC
(1,5),-0.0700872 # DEPENDENCYPART_ARC
(1,6),-0.712817 # DEPENDENCYPART_ARC
(1,8),-0.463138 # DEPENDENCYPART_ARC
(1,10),-1.59698 # DEPENDENCYPART_ARC
(1,11),-0.432896 # DEPENDENCYPART_ARC
(1,14),-1.33077 # DEPENDENCYPART_ARC
(1,15),-0.954739 # DEPENDENCYPART_ARC
(1,16),-1.35542 # DEPENDENCYPART_ARC
(2,3),1.23397 # DEPENDENCYPART_ARC
(2,4),-0.765828 # DEPENDENCYPART_ARC
(2,5),-1.03819 # DEPENDENCYPART_ARC
(2,6),-1.91541 # DEPENDENCYPART_ARC
(2,8),-0.925651 # DEPENDENCYPART_ARC
(2,10),-2.10114 # DEPENDENCYPART_ARC
(2,11),-1.21014 # DEPENDENCYPART_ARC
(3,1),-0.0376635 # DEPENDENCYPART_ARC
(3,2),0.0111522 # DEPENDENCYPART_ARC
(3,6),-0.601544 # DEPENDENCYPART_ARC
(3,8),-0.186739 # DEPENDENCYPART_ARC
(3,10),-0.867192 # DEPENDENCYPART_ARC
(3,12),-1.64542 # DEPENDENCYPART_ARC
(3,14),-1.00551 # DEPENDENCYPART_ARC
(4,3),-0.291092 # DEPENDENCYPART_ARC
(4,10),-1.23623 # DEPENDENCYPART_ARC
(5,4),0.416503 # DEPENDENCYPART_ARC
(5,6),-0.830905 # DEPENDENCYPART_ARC
(5,8),-0.553469 # DEPENDENCYPART_ARC
(5,9),-0.919861 # DEPENDENCYPART_ARC
(5,11),-0.944431 # DEPENDENCYPART_ARC
(6,1),0.737818 # DEPENDENCYPART_ARC
(6,2),-0.162684 # DEPENDENCYPART_ARC
(6,3),-0.22887 # DEPENDENCYPART_ARC
(6,4),1.63093 # DEPENDENCYPART_ARC
(6,5),1.32124 # DEPENDENCYPART_ARC
(6,7),1.58809 # DEPENDENCYPART_ARC
(6,8),-0.158944 # DEPENDENCYPART_ARC
(6,9),-0.508367 # DEPENDENCYPART_ARC
(6,10),-0.697017 # DEPENDENCYPART_ARC
(6,11),0.220474 # DEPENDENCYPART_ARC
(6,12),-0.793899 # DEPENDENCYPART_ARC
(6,13),-0.668457 # DEPENDENCYPART_ARC
(6,14),-0.561157 # DEPENDENCYPART_ARC
(6,16),-0.561518 # DEPENDENCYPART_ARC
(7,1),-1.02614 # DEPENDENCYPART_ARC
(7,2),-1.46726 # DEPENDENCYPART_ARC
(7,5),-1.22659 # DEPENDENCYPART_ARC
(7,6),-0.210626 # DEPENDENCYPART_ARC
(7,8),-0.484968 # DEPENDENCYPART_ARC
(7,10),-1.09303 # DEPENDENCYPART_ARC
(7,12),-1.83664 # DEPENDENCYPART_ARC
(7,14),-1.49058 # DEPENDENCYPART_ARC
(8,1),0.519618 # DEPENDENCYPART_ARC
(8,2),-1.17586 # DEPENDENCYPART_ARC
(8,3),-0.860275 # DEPENDENCYPART_ARC
(8,4),-0.526191 # DEPENDENCYPART_ARC
(8,5),-0.671793 # DEPENDENCYPART_ARC
(8,6),1.12634 # DEPENDENCYPART_ARC
(8,7),-0.0536572 # DEPENDENCYPART_ARC
(8,9),-0.372008 # DEPENDENCYPART_ARC
(8,10),0.818401 # DEPENDENCYPART_ARC
(8,11),-0.698642 # DEPENDENCYPART_ARC
(8,12),-0.824058 # DEPENDENCYPART_ARC
(8,14),-0.212311 # DEPENDENCYPART_ARC
(9,6),-1.34799 # DEPENDENCYPART_ARC
(9,8),-0.567249 # DEPENDENCYPART_ARC
(9,10),-0.689694 # DEPENDENCYPART_ARC
(10,1),-0.0232842 # DEPENDENCYPART_ARC
(10,2),-1.07166 # DEPENDENCYPART_ARC
(10,3),-0.885782 # DEPENDENCYPART_ARC
(10,4),-0.431961 # DEPENDENCYPART_ARC
(10,5),-0.689696 # DEPENDENCYPART_ARC
(10,6),0.170782 # DEPENDENCYPART_ARC
(10,7),-0.878744 # DEPENDENCYPART_ARC
(10,8),-0.100561 # DEPENDENCYPART_ARC
(10,9),1.4341 # DEPENDENCYPART_ARC
(10,11),1.85225 # DEPENDENCYPART_ARC
(10,12),0.295995 # DEPENDENCYPART_ARC
