# _root_ ene bizitzan , bilbora etorri aurrez , ez dut inoiz griperik harrapatu izan .
#goldHeads=2,12,2,5,12,5,6,12,12,12,12,0,12,13,
#predictedHeads=2,5,2,5,13,5,6,13,13,13,12,0,12,13,
(0,1),-0.560618 # DEPENDENCYPART_ARC
(0,2),-1.32766 # DEPENDENCYPART_ARC
(0,3),-0.810405 # DEPENDENCYPART_ARC
(0,4),-1.14808 # DEPENDENCYPART_ARC
(0,5),-1.07003 # DEPENDENCYPART_ARC
(0,6),-1.22224 # DEPENDENCYPART_ARC
(0,7),-0.980141 # DEPENDENCYPART_ARC
(0,8),-1.52235 # DEPENDENCYPART_ARC
(0,9),-1.26328 # DEPENDENCYPART_ARC
(0,10),-1.02677 # DEPENDENCYPART_ARC
(0,11),-1.11103 # DEPENDENCYPART_ARC
(0,12),-0.619058 # DEPENDENCYPART_ARC
(0,13),-1.01456 # DEPENDENCYPART_ARC
(0,14),-2.14179 # DEPENDENCYPART_ARC
(1,2),-1.29714 # DEPENDENCYPART_ARC
(2,1),2.11519 # DEPENDENCYPART_ARC
(2,3),1.20226 # DEPENDENCYPART_ARC
(2,4),-1.09185 # DEPENDENCYPART_ARC
(2,5),-1.12613 # DEPENDENCYPART_ARC
(2,6),-1.33213 # DEPENDENCYPART_ARC
(2,9),-2.45066 # DEPENDENCYPART_ARC
(2,11),-1.49467 # DEPENDENCYPART_ARC
(2,12),-1.19949 # DEPENDENCYPART_ARC
(2,13),-2.30492 # DEPENDENCYPART_ARC
(2,14),-0.851555 # DEPENDENCYPART_ARC
(3,2),-0.190646 # DEPENDENCYPART_ARC
(3,5),-0.652619 # DEPENDENCYPART_ARC
(3,12),-0.966828 # DEPENDENCYPART_ARC
(3,13),-1.18023 # DEPENDENCYPART_ARC
(4,2),-4.94549 # DEPENDENCYPART_ARC
(4,3),-0.572442 # DEPENDENCYPART_ARC
(4,5),-0.474446 # DEPENDENCYPART_ARC
(4,12),-1.68979 # DEPENDENCYPART_ARC
(5,1),-1.0007 # DEPENDENCYPART_ARC
(5,2),-0.0432286 # DEPENDENCYPART_ARC
(5,3),-1.40071 # DEPENDENCYPART_ARC
(5,4),2.34246 # DEPENDENCYPART_ARC
(5,6),1.62768 # DEPENDENCYPART_ARC
(5,7),-0.446048 # DEPENDENCYPART_ARC
(5,8),-0.363056 # DEPENDENCYPART_ARC
(5,9),-0.537883 # DEPENDENCYPART_ARC
(5,10),-0.766882 # DEPENDENCYPART_ARC
(5,11),-1.15596 # DEPENDENCYPART_ARC
(5,12),-0.778096 # DEPENDENCYPART_ARC
(5,13),-0.34239 # DEPENDENCYPART_ARC
(6,2),-2.58324 # DEPENDENCYPART_ARC
(6,3),-1.29277 # DEPENDENCYPART_ARC
(6,4),-1.06512 # DEPENDENCYPART_ARC
(6,5),0.584059 # DEPENDENCYPART_ARC
(6,7),1.59164 # DEPENDENCYPART_ARC
(6,8),-0.813272 # DEPENDENCYPART_ARC
(6,9),-1.09699 # DEPENDENCYPART_ARC
