# _root_ lehen gauean , geroztik gaurdaino errepikatu bezala , barmanekin afaldu nuen sukaldean .
#goldHeads=2,10,2,6,6,10,6,7,10,0,10,10,12,
#predictedHeads=2,6,2,6,6,10,6,7,10,0,10,10,12,
(0,2),-1.16688 # DEPENDENCYPART_ARC
(0,3),-1.01375 # DEPENDENCYPART_ARC
(0,4),-0.915137 # DEPENDENCYPART_ARC
(0,5),-0.879689 # DEPENDENCYPART_ARC
(0,6),-0.625504 # DEPENDENCYPART_ARC
(0,7),-0.856108 # DEPENDENCYPART_ARC
(0,8),-1.41388 # DEPENDENCYPART_ARC
(0,9),-1.02195 # DEPENDENCYPART_ARC
(0,10),0.0940281 # DEPENDENCYPART_ARC
(0,11),-0.87209 # DEPENDENCYPART_ARC
(0,12),-1.58988 # DEPENDENCYPART_ARC
(0,13),-2.25492 # DEPENDENCYPART_ARC
(2,1),1.22965 # DEPENDENCYPART_ARC
(2,3),0.951569 # DEPENDENCYPART_ARC
(2,4),-0.819315 # DEPENDENCYPART_ARC
(2,5),-1.02013 # DEPENDENCYPART_ARC
(2,6),-1.27215 # DEPENDENCYPART_ARC
(2,7),-1.20128 # DEPENDENCYPART_ARC
(2,9),-1.98619 # DEPENDENCYPART_ARC
(2,10),-2.60185 # DEPENDENCYPART_ARC
(2,12),-2.26112 # DEPENDENCYPART_ARC
(2,13),-0.472274 # DEPENDENCYPART_ARC
(3,2),-0.441439 # DEPENDENCYPART_ARC
(3,6),-0.83763 # DEPENDENCYPART_ARC
(3,10),-1.06747 # DEPENDENCYPART_ARC
(3,12),-1.11007 # DEPENDENCYPART_ARC
(4,2),-0.985802 # DEPENDENCYPART_ARC
(4,3),-0.11297 # DEPENDENCYPART_ARC
(4,5),0.245462 # DEPENDENCYPART_ARC
(4,7),-0.957805 # DEPENDENCYPART_ARC
(4,8),-0.453846 # DEPENDENCYPART_ARC
(4,9),-1.14939 # DEPENDENCYPART_ARC
(4,12),-1.14942 # DEPENDENCYPART_ARC
(5,2),-0.813556 # DEPENDENCYPART_ARC
(5,4),0.237027 # DEPENDENCYPART_ARC
(5,6),-0.324023 # DEPENDENCYPART_ARC
(5,7),-0.744302 # DEPENDENCYPART_ARC
(5,8),-0.333784 # DEPENDENCYPART_ARC
(5,9),-1.07188 # DEPENDENCYPART_ARC
(5,12),-0.935283 # DEPENDENCYPART_ARC
(6,1),-0.947771 # DEPENDENCYPART_ARC
(6,2),0.443502 # DEPENDENCYPART_ARC
(6,3),-0.963017 # DEPENDENCYPART_ARC
(6,4),0.466606 # DEPENDENCYPART_ARC
(6,5),0.861658 # DEPENDENCYPART_ARC
(6,7),1.70771 # DEPENDENCYPART_ARC
(6,8),0.13358 # DEPENDENCYPART_ARC
(6,9),0.0179335 # DEPENDENCYPART_ARC
(6,10),0.0444843 # DEPENDENCYPART_ARC
(6,11),0.174341 # DEPENDENCYPART_ARC
(6,12),0.450075 # DEPENDENCYPART_ARC
(7,2),-1.41711 # DEPENDENCYPART_ARC
(7,4),-0.810794 # DEPENDENCYPART_ARC
(7,5),-0.805933 # DEPENDENCYPART_ARC
(7,6),-0.597336 # DEPENDENCYPART_ARC
(7,8),1.62505 # DEPENDENCYPART_ARC
(7,9),-0.812639 # DEPENDENCYPART_ARC
(7,12),-0.973981 # DEPENDENCYPART_ARC
(8,6),-0.737344 # DEPENDENCYPART_ARC
(8,9),-0.666523 # DEPENDENCYPART_ARC
(8,10),-0.998687 # DEPENDENCYPART_ARC
(9,2),-3.24572 # DEPENDENCYPART_ARC
(9,3),-1.68828 # DEPENDENCYPART_ARC
(9,4),-1.58562 # DEPENDENCYPART_ARC
(9,5),-1.36217 # DEPENDENCYPART_ARC
(9,6),-1.20645 # DEPENDENCYPART_ARC
(9,7),-0.859906 # DEPENDENCYPART_ARC
(9,8),0.0176899 # DEPENDENCYPART_ARC
(9,10),-1.29898 # DEPENDENCYPART_ARC
(9,11),-0.73269 # DEPENDENCYPART_ARC
(9,12),-1.37651 # DEPENDENCYPART_ARC
(9,13),-0.642325 # DEPENDENCYPART_ARC
(10,2),-0.400259 # DEPENDENCYPART_ARC
(10,3),-1.65689 # DEPENDENCYPART_ARC
(10,4),-0.72092 # DEPENDENCYPART_ARC
(10,5),-1.17138 # DEPENDENCYPART_ARC
(10,6),0.187784 # DEPENDENCYPART_ARC
(10,7),-0.794375 # DEPENDENCYPART_ARC
(10,8),-1.25743 # DEPENDENCYPART_ARC
(10,9),1.63081 # DEPENDENCYPART_ARC
(10,11),1.69191 # DEPENDENCYPART_ARC
(10,12),1.45775 # DEPENDENCYPART_ARC
(11,2),-2.56613 # DEPENDENCYPART_ARC
(11,6),-2.22902 # DEPENDENCYPART_ARC
(11,9),-1.19787 # DEPENDENCYPART_ARC
(11,10),-1.76785 # DEPENDENCYPART_ARC
(11,12),0.139576 # DEPENDENCYPART_ARC
(12,2),-4.10661 # DEPENDENCYPART_ARC
(12,4),-1.40419 # DEPENDENCYPART_ARC
(12,5),-1.36348 # DEPENDENCYPART_ARC
(12,6),-1.32683 # DEPENDENCYPART_ARC
(12,7),-1.47021 # DEPENDENCYPART_ARC
(12,8),-1.4993 # DEPENDENCYPART_ARC
(12,9),-2.58909 # DEPENDENCYPART_ARC
(12,10),0.523901 # DEPENDENCYPART_ARC
(12,11),0.11833 # DEPENDENCYPART_ARC
(12,13),1.45544 # DEPENDENCYPART_ARC
