# _root_ auto karabanak unanu , lizarraga-ergoiena eta dorrao igaro zituen , arbizura sartu aurretik .
#goldHeads=2,8,6,3,6,8,6,0,8,9,12,8,12,13,
#predictedHeads=2,8,6,3,6,8,6,0,8,9,12,8,12,13,
(0,1),-0.441817 # DEPENDENCYPART_ARC
(0,2),-1.17421 # DEPENDENCYPART_ARC
(0,3),-1.3447 # DEPENDENCYPART_ARC
(0,4),-1.2941 # DEPENDENCYPART_ARC
(0,5),-1.28994 # DEPENDENCYPART_ARC
(0,6),-1.29465 # DEPENDENCYPART_ARC
(0,7),-1.23212 # DEPENDENCYPART_ARC
(0,8),-0.20019 # DEPENDENCYPART_ARC
(0,9),-1.97859 # DEPENDENCYPART_ARC
(0,10),-1.28143 # DEPENDENCYPART_ARC
(0,11),-1.56289 # DEPENDENCYPART_ARC
(0,12),-1.67537 # DEPENDENCYPART_ARC
(0,13),-2.08425 # DEPENDENCYPART_ARC
(0,14),-2.65538 # DEPENDENCYPART_ARC
(1,2),0.756959 # DEPENDENCYPART_ARC
(1,3),-0.565299 # DEPENDENCYPART_ARC
(1,4),-1.90889 # DEPENDENCYPART_ARC
(1,5),-1.23915 # DEPENDENCYPART_ARC
(1,7),-1.19468 # DEPENDENCYPART_ARC
(2,1),1.88008 # DEPENDENCYPART_ARC
(2,3),-0.684081 # DEPENDENCYPART_ARC
(2,4),-0.572936 # DEPENDENCYPART_ARC
(2,5),-1.86368 # DEPENDENCYPART_ARC
(2,6),-1.55812 # DEPENDENCYPART_ARC
(2,7),-2.65898 # DEPENDENCYPART_ARC
(2,9),-2.71164 # DEPENDENCYPART_ARC
(2,11),-2.58108 # DEPENDENCYPART_ARC
(2,14),-1.25964 # DEPENDENCYPART_ARC
(3,1),-0.0539482 # DEPENDENCYPART_ARC
(3,2),-0.51336 # DEPENDENCYPART_ARC
(3,4),1.85094 # DEPENDENCYPART_ARC
(3,5),0.500489 # DEPENDENCYPART_ARC
(3,6),-0.316659 # DEPENDENCYPART_ARC
(3,7),-0.541477 # DEPENDENCYPART_ARC
(3,8),-0.721343 # DEPENDENCYPART_ARC
(4,2),-0.627981 # DEPENDENCYPART_ARC
(4,6),-1.2452 # DEPENDENCYPART_ARC
(4,8),-0.853848 # DEPENDENCYPART_ARC
(4,12),-1.19944 # DEPENDENCYPART_ARC
(4,13),-1.31439 # DEPENDENCYPART_ARC
(5,1),-2.04775 # DEPENDENCYPART_ARC
(5,2),-3.20886 # DEPENDENCYPART_ARC
(5,3),-2.21733 # DEPENDENCYPART_ARC
(5,4),-0.219707 # DEPENDENCYPART_ARC
(5,6),0.101743 # DEPENDENCYPART_ARC
(5,7),-0.074597 # DEPENDENCYPART_ARC
(5,13),-1.27928 # DEPENDENCYPART_ARC
(6,1),-0.116044 # DEPENDENCYPART_ARC
(6,2),-0.152329 # DEPENDENCYPART_ARC
(6,3),1.13008 # DEPENDENCYPART_ARC
(6,4),-1.32112 # DEPENDENCYPART_ARC
(6,5),2.60574 # DEPENDENCYPART_ARC
(6,7),2.81711 # DEPENDENCYPART_ARC
(6,8),-0.51886 # DEPENDENCYPART_ARC
(6,9),-0.541785 # DEPENDENCYPART_ARC
(6,10),-0.436226 # DEPENDENCYPART_ARC
(6,12),-1.31794 # DEPENDENCYPART_ARC
(6,13),-1.46928 # DEPENDENCYPART_ARC
(7,1),-3.06822 # DEPENDENCYPART_ARC
(7,4),-2.37817 # DEPENDENCYPART_ARC
(7,5),-2.54222 # DEPENDENCYPART_ARC
(7,8),-2.07317 # DEPENDENCYPART_ARC
(7,11),-1.34356 # DEPENDENCYPART_ARC
(7,12),-1.81856 # DEPENDENCYPART_ARC
(7,13),-2.23582 # DEPENDENCYPART_ARC
(8,1),-0.0701928 # DEPENDENCYPART_ARC
(8,2),0.813109 # DEPENDENCYPART_ARC
(8,3),-1.03605 # DEPENDENCYPART_ARC
(8,4),-1.28372 # DEPENDENCYPART_ARC
(8,5),-0.206303 # DEPENDENCYPART_ARC
(8,6),0.958577 # DEPENDENCYPART_ARC
(8,7),2.10603 # DEPENDENCYPART_ARC
(8,9),1.59604 # DEPENDENCYPART_ARC
(8,10),-0.484415 # DEPENDENCYPART_ARC
(8,11),-0.264673 # DEPENDENCYPART_ARC
(8,12),-0.0580126 # DEPENDENCYPART_ARC
(8,13),0.376688 # DEPENDENCYPART_ARC
(9,1),-0.876361 # DEPENDENCYPART_ARC
(9,2),-1.18815 # DEPENDENCYPART_ARC
(9,6),-1.25898 # DEPENDENCYPART_ARC
(9,7),-0.573571 # DEPENDENCYPART_ARC
(9,8),-1.22229 # DEPENDENCYPART_ARC
(9,10),1.2491 # DEPENDENCYPART_ARC
(9,11),-1.73649 # DEPENDENCYPART_ARC
(9,12),-1.23304 # DEPENDENCYPART_ARC
(9,13),-1.28098 # DEPENDENCYPART_ARC
(10,6),-0.407533 # DEPENDENCYPART_ARC
(10,8),-0.144268 # DEPENDENCYPART_ARC
(10,9),0.105791 # DEPENDENCYPART_ARC
(10,12),-0.680642 # DEPENDENCYPART_ARC
(10,13),-1.01643 # DEPENDENCYPART_ARC
(11,4),-2.11582 # DEPENDENCYPART_ARC
