# _root_ gasteizek onartu egingo luke eaeko kuotetara iristen ez den diru kopuru bat , kontuan_hartuz forcem_espainiako langileen prestakuntzarako erakundeak ere eaen jarduten duela , hobetuzekin_batera .
#goldHeads=2,0,2,2,6,7,10,7,7,2,10,10,12,2,16,17,18,21,0,21,0,14,22,21,24,
#predictedHeads=2,0,2,2,6,7,10,7,7,14,10,11,12,2,16,18,18,21,0,21,2,21,22,21,24,
(0,1),-0.664826 # DEPENDENCYPART_ARC
(0,2),-0.850256 # DEPENDENCYPART_ARC
(0,3),-0.262494 # DEPENDENCYPART_ARC
(0,4),-0.513209 # DEPENDENCYPART_ARC
(0,5),-1.32581 # DEPENDENCYPART_ARC
(0,7),-0.83774 # DEPENDENCYPART_ARC
(0,8),-1.32687 # DEPENDENCYPART_ARC
(0,9),-0.814019 # DEPENDENCYPART_ARC
(0,12),-1.61846 # DEPENDENCYPART_ARC
(0,13),-0.823776 # DEPENDENCYPART_ARC
(0,14),-1.27322 # DEPENDENCYPART_ARC
(0,19),1.24174 # DEPENDENCYPART_ARC
(0,20),-1.72272 # DEPENDENCYPART_ARC
(0,21),-1.03465 # DEPENDENCYPART_ARC
(0,22),-1.23558 # DEPENDENCYPART_ARC
(0,23),-1.20546 # DEPENDENCYPART_ARC
(0,24),-1.96729 # DEPENDENCYPART_ARC
(0,25),-2.78687 # DEPENDENCYPART_ARC
(1,2),-0.873796 # DEPENDENCYPART_ARC
(2,1),1.86337 # DEPENDENCYPART_ARC
(2,3),1.40679 # DEPENDENCYPART_ARC
(2,4),0.844055 # DEPENDENCYPART_ARC
(2,5),-0.309792 # DEPENDENCYPART_ARC
(2,6),0.0886752 # DEPENDENCYPART_ARC
(2,7),-0.0906625 # DEPENDENCYPART_ARC
(2,8),0.0205413 # DEPENDENCYPART_ARC
(2,9),-0.478567 # DEPENDENCYPART_ARC
(2,10),-0.544435 # DEPENDENCYPART_ARC
(2,11),-0.40852 # DEPENDENCYPART_ARC
(2,14),-0.0935959 # DEPENDENCYPART_ARC
(2,15),-0.84915 # DEPENDENCYPART_ARC
(2,16),-0.883752 # DEPENDENCYPART_ARC
(2,17),-0.867393 # DEPENDENCYPART_ARC
(2,18),-0.390578 # DEPENDENCYPART_ARC
(2,20),-0.554537 # DEPENDENCYPART_ARC
(2,21),-0.548588 # DEPENDENCYPART_ARC
(3,1),0.844132 # DEPENDENCYPART_ARC
(3,2),0.92144 # DEPENDENCYPART_ARC
(3,4),0.897043 # DEPENDENCYPART_ARC
(3,5),-0.466971 # DEPENDENCYPART_ARC
(3,6),-0.280742 # DEPENDENCYPART_ARC
(3,7),-0.842221 # DEPENDENCYPART_ARC
(3,8),-0.77751 # DEPENDENCYPART_ARC
(3,9),-0.687451 # DEPENDENCYPART_ARC
(3,10),-0.89196 # DEPENDENCYPART_ARC
(3,11),-1.05897 # DEPENDENCYPART_ARC
(3,14),-0.690715 # DEPENDENCYPART_ARC
(3,15),-1.02871 # DEPENDENCYPART_ARC
(3,16),-1.35173 # DEPENDENCYPART_ARC
(3,17),-1.2984 # DEPENDENCYPART_ARC
(3,18),-0.538736 # DEPENDENCYPART_ARC
(3,20),-0.788858 # DEPENDENCYPART_ARC
(3,21),-1.44773 # DEPENDENCYPART_ARC
(4,1),-1.07712 # DEPENDENCYPART_ARC
(4,2),-1.44826 # DEPENDENCYPART_ARC
(4,3),-1.04672 # DEPENDENCYPART_ARC
(4,5),-0.995194 # DEPENDENCYPART_ARC
(4,9),-1.02749 # DEPENDENCYPART_ARC
(5,2),-0.866317 # DEPENDENCYPART_ARC
(5,3),-0.749473 # DEPENDENCYPART_ARC
(5,6),-0.319871 # DEPENDENCYPART_ARC
(5,7),-1.67089 # DEPENDENCYPART_ARC
(6,1),-2.87843 # DEPENDENCYPART_ARC
(6,2),-0.499707 # DEPENDENCYPART_ARC
(6,3),-0.6272 # DEPENDENCYPART_ARC
(6,4),-1.04941 # DEPENDENCYPART_ARC
(6,5),1.65375 # DEPENDENCYPART_ARC
(6,7),-0.627036 # DEPENDENCYPART_ARC
(6,8),-1.61421 # DEPENDENCYPART_ARC
(6,9),-1.98214 # DEPENDENCYPART_ARC
(6,12),-1.58564 # DEPENDENCYPART_ARC
(7,1),0.165365 # DEPENDENCYPART_ARC
(7,2),-0.82701 # DEPENDENCYPART_ARC
(7,3),-0.483018 # DEPENDENCYPART_ARC
(7,4),-0.442024 # DEPENDENCYPART_ARC
(7,5),0.323581 # DEPENDENCYPART_ARC
(7,6),1.97532 # DEPENDENCYPART_ARC
(7,8),1.10649 # DEPENDENCYPART_ARC
(7,9),1.54351 # DEPENDENCYPART_ARC
(7,10),-0.554855 # DEPENDENCYPART_ARC
(7,11),-0.56146 # DEPENDENCYPART_ARC
(7,12),-0.922425 # DEPENDENCYPART_ARC
(7,13),-0.715051 # DEPENDENCYPART_ARC
(7,14),-0.557605 # DEPENDENCYPART_ARC
(7,15),-1.10669 # DEPENDENCYPART_ARC
(7,16),-1.48617 # DEPENDENCYPART_ARC
(7,17),-1.19869 # DEPENDENCYPART_ARC
(7,18),-0.641391 # DEPENDENCYPART_ARC
(7,20),-0.996685 # DEPENDENCYPART_ARC
(7,21),-1.03341 # DEPENDENCYPART_ARC
(7,22),-1.39054 # DEPENDENCYPART_ARC
(8,6),-1.40207 # DEPENDENCYPART_ARC
(8,10),-1.02774 # DEPENDENCYPART_ARC
(8,11),-1.02733 # DEPENDENCYPART_ARC
(9,6),-0.331186 # DEPENDENCYPART_ARC
(9,7),-1.17944 # DEPENDENCYPART_ARC
(9,8),-0.506053 # DEPENDENCYPART_ARC
(9,10),-0.275888 # DEPENDENCYPART_ARC
(9,11),-0.952397 # DEPENDENCYPART_ARC
(10,1),-2.16367 # DEPENDENCYPART_ARC
(10,2),-1.08906 # DEPENDENCYPART_ARC
(10,3),-1.29487 # DEPENDENCYPART_ARC
(10,5),-1.22717 # DEPENDENCYPART_ARC
(10,6),-1.21671 # DEPENDENCYPART_ARC
(10,7),-0.780354 # DEPENDENCYPART_ARC
(10,8),-0.64896 # DEPENDENCYPART_ARC
(10,9),-0.592819 # DEPENDENCYPART_ARC
(10,11),0.679951 # DEPENDENCYPART_ARC
(10,12),0.814131 # DEPENDENCYPART_ARC
(10,13),-0.55065 # DEPENDENCYPART_ARC
(10,15),-0.210345 # DEPENDENCYPART_ARC
(10,16),-0.306902 # DEPENDENCYPART_ARC
(11,1),-2.17684 # DEPENDENCYPART_ARC
(11,3),-1.43723 # DEPENDENCYPART_ARC
(11,5),-1.26452 # DEPENDENCYPART_ARC
(11,6),-1.39771 # DEPENDENCYPART_ARC
(11,7),-1.20296 # DEPENDENCYPART_ARC
(11,8),-1.02674 # DEPENDENCYPART_ARC
(11,9),-1.3439 # DEPENDENCYPART_ARC
(11,10),0.663129 # DEPENDENCYPART_ARC
(11,12),1.64154 # DEPENDENCYPART_ARC
(11,13),-0.441363 # DEPENDENCYPART_ARC
(11,14),-0.540949 # DEPENDENCYPART_ARC
(11,15),-0.668989 # DEPENDENCYPART_ARC
(11,16),-0.822098 # DEPENDENCYPART_ARC
(11,21),-0.767336 # DEPENDENCYPART_ARC
(12,10),-1.02351 # DEPENDENCYPART_ARC
(12,11),-0.511708 # DEPENDENCYPART_ARC
(12,13),1.32609 # DEPENDENCYPART_ARC
(13,9),-1.23265 # DEPENDENCYPART_ARC
(13,14),-0.302409 # DEPENDENCYPART_ARC
(13,21),-1.31036 # DEPENDENCYPART_ARC
(14,2),-1.15877 # DEPENDENCYPART_ARC
(14,3),-0.850936 # DEPENDENCYPART_ARC
(14,4),-1.70351 # DEPENDENCYPART_ARC
(14,5),-2.17681 # DEPENDENCYPART_ARC
(14,6),-0.677916 # DEPENDENCYPART_ARC
(14,7),-0.905459 # DEPENDENCYPART_ARC
(14,8),-0.614177 # DEPENDENCYPART_ARC
(14,9),-1.31731 # DEPENDENCYPART_ARC
(14,10),-0.449252 # DEPENDENCYPART_ARC
(14,11),-0.351763 # DEPENDENCYPART_ARC
(14,12),-0.730137 # DEPENDENCYPART_ARC
(14,13),-0.476264 # DEPENDENCYPART_ARC
(14,15),-1.01432 # DEPENDENCYPART_ARC
(14,16),-1.42927 # DEPENDENCYPART_ARC
(14,17),-1.95687 # DEPENDENCYPART_ARC
(14,18),-0.916415 # DEPENDENCYPART_ARC
(14,21),-1.7272 # DEPENDENCYPART_ARC
(14,22),-3.10126 # DEPENDENCYPART_ARC
(15,13),-1.13129 # DEPENDENCYPART_ARC
(15,16),-1.00383 # DEPENDENCYPART_ARC
(15,17),-1.81215 # DEPENDENCYPART_ARC
(15,18),-2.07303 # DEPENDENCYPART_ARC
(15,20),-2.59462 # DEPENDENCYPART_ARC
(16,10),-0.846866 # DEPENDENCYPART_ARC
(16,11),-0.76452 # DEPENDENCYPART_ARC
(16,12),-2.8859 # DEPENDENCYPART_ARC
(16,13),-1.44965 # DEPENDENCYPART_ARC
(16,14),-0.987003 # DEPENDENCYPART_ARC
(16,15),1.5102 # DEPENDENCYPART_ARC
(16,17),0.1921 # DEPENDENCYPART_ARC
(16,18),-0.824844 # DEPENDENCYPART_ARC
(16,19),-1.5698 # DEPENDENCYPART_ARC
(16,20),-1.24836 # DEPENDENCYPART_ARC
(16,22),-2.07019 # DEPENDENCYPART_ARC
(16,25),-1.36569 # DEPENDENCYPART_ARC
(17,12),-3.47579 # DEPENDENCYPART_ARC
(17,13),-1.62229 # DEPENDENCYPART_ARC
(17,14),-2.33431 # DEPENDENCYPART_ARC
(17,15),-0.634177 # DEPENDENCYPART_ARC
(17,16),0.982064 # DEPENDENCYPART_ARC
(17,18),-1.50078 # DEPENDENCYPART_ARC
(17,19),-1.65897 # DEPENDENCYPART_ARC
(17,20),-2.73147 # DEPENDENCYPART_ARC
(17,22),-3.17271 # DEPENDENCYPART_ARC
(17,25),-1.66989 # DEPENDENCYPART_ARC
(18,12),-2.92655 # DEPENDENCYPART_ARC
(18,13),-1.47503 # DEPENDENCYPART_ARC
(18,14),-2.05709 # DEPENDENCYPART_ARC
(18,15),0.63613 # DEPENDENCYPART_ARC
(18,16),0.960804 # DEPENDENCYPART_ARC
(18,17),1.80764 # DEPENDENCYPART_ARC
(18,19),-0.838339 # DEPENDENCYPART_ARC
(18,20),-1.79333 # DEPENDENCYPART_ARC
(18,21),-1.56168 # DEPENDENCYPART_ARC
(18,22),-2.67562 # DEPENDENCYPART_ARC
(18,24),-2.51804 # DEPENDENCYPART_ARC
(18,25),-1.29163 # DEPENDENCYPART_ARC
(19,21),-1.24858 # DEPENDENCYPART_ARC
(20,17),-1.73341 # DEPENDENCYPART_ARC
(20,18),-3.92275 # DEPENDENCYPART_ARC
(21,2),-1.4524 # DEPENDENCYPART_ARC
(21,3),-1.03252 # DEPENDENCYPART_ARC
(21,5),-1.35462 # DEPENDENCYPART_ARC
(21,6),-0.562995 # DEPENDENCYPART_ARC
(21,7),-0.901153 # DEPENDENCYPART_ARC
(21,8),-0.299062 # DEPENDENCYPART_ARC
(21,10),-0.523147 # DEPENDENCYPART_ARC
(21,11),-0.493079 # DEPENDENCYPART_ARC
(21,14),-0.219164 # DEPENDENCYPART_ARC
(21,15),-0.602497 # DEPENDENCYPART_ARC
(21,16),-0.584535 # DEPENDENCYPART_ARC
(21,17),-0.348942 # DEPENDENCYPART_ARC
(21,18),0.665093 # DEPENDENCYPART_ARC
(21,19),-0.0502843 # DEPENDENCYPART_ARC
(21,20),1.87882 # DEPENDENCYPART_ARC
(21,22),2.00964 # DEPENDENCYPART_ARC
(21,23),-0.587685 # DEPENDENCYPART_ARC
(21,24),-0.945462 # DEPENDENCYPART_ARC
(22,17),-0.515214 # DEPENDENCYPART_ARC
(22,18),-0.354578 # DEPENDENCYPART_ARC
(22,20),-0.424876 # DEPENDENCYPART_ARC
(22,23),1.36142 # DEPENDENCYPART_ARC
(23,21),-0.794594 # DEPENDENCYPART_ARC
(23,22),-0.469483 # DEPENDENCYPART_ARC
(24,23),-0.797917 # DEPENDENCYPART_ARC
(24,25),2.11933 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.141663 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.126931 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0599137 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.0476585 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.113903 # DEPENDENCYPART_SIBL
