# _root_ madrilek aurtengo finantzaketa osatzeko borondatea agertu arren , arazo sakonak konpondu gabe daudela uste_du : diru hori nondik etorriko den , zenbat izango den eta hobetuzen menpekotasuna forcem-ekiko .
#goldHeads=6,3,4,5,6,14,6,7,13,9,13,11,14,0,14,19,16,19,25,19,20,23,25,23,9,27,25,27,28,
#predictedHeads=6,3,4,5,6,14,6,7,11,9,14,13,14,0,14,19,16,19,14,19,20,23,25,23,0,27,25,27,28,
(0,1),-0.725116 # DEPENDENCYPART_ARC
(0,2),-1.15028 # DEPENDENCYPART_ARC
(0,4),-1.1097 # DEPENDENCYPART_ARC
(0,6),-0.860571 # DEPENDENCYPART_ARC
(0,7),-0.00507522 # DEPENDENCYPART_ARC
(0,8),-0.936608 # DEPENDENCYPART_ARC
(0,11),-0.877441 # DEPENDENCYPART_ARC
(0,12),-0.947132 # DEPENDENCYPART_ARC
(0,13),-1.34533 # DEPENDENCYPART_ARC
(0,14),0.486036 # DEPENDENCYPART_ARC
(0,15),-0.596025 # DEPENDENCYPART_ARC
(0,16),-1.08324 # DEPENDENCYPART_ARC
(0,17),-1.65061 # DEPENDENCYPART_ARC
(0,18),-0.800405 # DEPENDENCYPART_ARC
(0,19),-0.396357 # DEPENDENCYPART_ARC
(0,20),-0.931966 # DEPENDENCYPART_ARC
(0,21),-0.670602 # DEPENDENCYPART_ARC
(0,22),-1.50798 # DEPENDENCYPART_ARC
(0,23),0.0848635 # DEPENDENCYPART_ARC
(0,24),-0.925009 # DEPENDENCYPART_ARC
(0,25),-0.0348323 # DEPENDENCYPART_ARC
(0,26),-2.04481 # DEPENDENCYPART_ARC
(0,27),-1.75543 # DEPENDENCYPART_ARC
(0,28),-2.3913 # DEPENDENCYPART_ARC
(0,29),-2.38942 # DEPENDENCYPART_ARC
(1,2),-0.756482 # DEPENDENCYPART_ARC
(1,3),-1.74564 # DEPENDENCYPART_ARC
(2,1),-0.458839 # DEPENDENCYPART_ARC
(2,3),-0.202379 # DEPENDENCYPART_ARC
(3,1),-1.02131 # DEPENDENCYPART_ARC
(3,2),1.21066 # DEPENDENCYPART_ARC
(3,4),-0.477792 # DEPENDENCYPART_ARC
(3,5),-1.05571 # DEPENDENCYPART_ARC
(4,1),0.497851 # DEPENDENCYPART_ARC
(4,2),0.0274182 # DEPENDENCYPART_ARC
(4,3),1.75012 # DEPENDENCYPART_ARC
(4,5),-0.900077 # DEPENDENCYPART_ARC
(4,6),-0.859271 # DEPENDENCYPART_ARC
(4,8),-1.2022 # DEPENDENCYPART_ARC
(4,10),-1.898 # DEPENDENCYPART_ARC
(4,14),-2.35615 # DEPENDENCYPART_ARC
(5,1),-2.27554 # DEPENDENCYPART_ARC
(5,2),0.20091 # DEPENDENCYPART_ARC
(5,3),-1.04121 # DEPENDENCYPART_ARC
(5,4),1.99616 # DEPENDENCYPART_ARC
(5,6),-0.396569 # DEPENDENCYPART_ARC
(5,8),-0.779578 # DEPENDENCYPART_ARC
(5,10),-2.37706 # DEPENDENCYPART_ARC
(6,1),0.549115 # DEPENDENCYPART_ARC
(6,2),-0.383171 # DEPENDENCYPART_ARC
(6,3),0.410127 # DEPENDENCYPART_ARC
(6,4),0.196269 # DEPENDENCYPART_ARC
(6,5),1.80433 # DEPENDENCYPART_ARC
(6,7),0.251758 # DEPENDENCYPART_ARC
(6,8),-0.536227 # DEPENDENCYPART_ARC
(6,9),-1.04934 # DEPENDENCYPART_ARC
(6,10),-1.03561 # DEPENDENCYPART_ARC
(6,11),-0.521731 # DEPENDENCYPART_ARC
(6,12),-1.07809 # DEPENDENCYPART_ARC
(6,13),-0.86818 # DEPENDENCYPART_ARC
(6,14),-1.60055 # DEPENDENCYPART_ARC
(6,20),-1.42512 # DEPENDENCYPART_ARC
(6,25),-0.679617 # DEPENDENCYPART_ARC
(7,3),-0.87679 # DEPENDENCYPART_ARC
(7,5),-0.302827 # DEPENDENCYPART_ARC
(7,8),1.16567 # DEPENDENCYPART_ARC
(7,9),-0.664 # DEPENDENCYPART_ARC
(7,11),-0.471299 # DEPENDENCYPART_ARC
(8,9),-0.796243 # DEPENDENCYPART_ARC
(8,10),-1.11874 # DEPENDENCYPART_ARC
(9,1),-2.05368 # DEPENDENCYPART_ARC
(9,2),-0.998608 # DEPENDENCYPART_ARC
(9,6),-0.76716 # DEPENDENCYPART_ARC
(9,7),-0.646069 # DEPENDENCYPART_ARC
(9,8),-0.205771 # DEPENDENCYPART_ARC
(9,10),1.69701 # DEPENDENCYPART_ARC
(9,11),-0.528539 # DEPENDENCYPART_ARC
(9,12),-0.552453 # DEPENDENCYPART_ARC
(9,16),-0.678499 # DEPENDENCYPART_ARC
(9,19),-0.705302 # DEPENDENCYPART_ARC
(9,25),-0.469766 # DEPENDENCYPART_ARC
(10,5),-1.44971 # DEPENDENCYPART_ARC
(10,7),-0.585047 # DEPENDENCYPART_ARC
(10,9),-0.309393 # DEPENDENCYPART_ARC
(10,12),-0.730233 # DEPENDENCYPART_ARC
(11,1),-0.0232674 # DEPENDENCYPART_ARC
(11,2),-1.03685 # DEPENDENCYPART_ARC
(11,3),-0.462356 # DEPENDENCYPART_ARC
(11,4),-0.932403 # DEPENDENCYPART_ARC
(11,5),-0.234641 # DEPENDENCYPART_ARC
(11,6),-0.707404 # DEPENDENCYPART_ARC
(11,8),-1.21974 # DEPENDENCYPART_ARC
(11,9),0.603788 # DEPENDENCYPART_ARC
(11,10),0.430468 # DEPENDENCYPART_ARC
(11,12),1.04966 # DEPENDENCYPART_ARC
(11,13),0.052129 # DEPENDENCYPART_ARC
(11,14),-0.929636 # DEPENDENCYPART_ARC
(11,16),-0.868306 # DEPENDENCYPART_ARC
(11,19),-0.508651 # DEPENDENCYPART_ARC
(11,20),-0.719041 # DEPENDENCYPART_ARC
(11,23),-0.757043 # DEPENDENCYPART_ARC
(11,24),-1.13898 # DEPENDENCYPART_ARC
(11,25),-0.165023 # DEPENDENCYPART_ARC
(11,28),-1.46902 # DEPENDENCYPART_ARC
(12,9),-1.07388 # DEPENDENCYPART_ARC
(12,11),-0.299818 # DEPENDENCYPART_ARC
(12,13),0.160561 # DEPENDENCYPART_ARC
(12,16),-0.937808 # DEPENDENCYPART_ARC
(13,1),-0.346938 # DEPENDENCYPART_ARC
(13,3),-0.239323 # DEPENDENCYPART_ARC
(13,4),-0.942226 # DEPENDENCYPART_ARC
(13,5),0.160503 # DEPENDENCYPART_ARC
(13,6),-0.530732 # DEPENDENCYPART_ARC
(13,7),-0.477301 # DEPENDENCYPART_ARC
(13,8),-1.05488 # DEPENDENCYPART_ARC
(13,9),0.239186 # DEPENDENCYPART_ARC
(13,10),0.32627 # DEPENDENCYPART_ARC
(13,11),0.455542 # DEPENDENCYPART_ARC
(13,12),1.10242 # DEPENDENCYPART_ARC
(13,14),-0.990139 # DEPENDENCYPART_ARC
(13,16),-0.734552 # DEPENDENCYPART_ARC
(13,19),-1.23229 # DEPENDENCYPART_ARC
(13,20),-1.52613 # DEPENDENCYPART_ARC
(13,23),-1.41369 # DEPENDENCYPART_ARC
(13,24),-1.5123 # DEPENDENCYPART_ARC
(13,25),-0.367916 # DEPENDENCYPART_ARC
(13,27),-0.950771 # DEPENDENCYPART_ARC
(14,3),-0.717881 # DEPENDENCYPART_ARC
(14,4),-0.481208 # DEPENDENCYPART_ARC
(14,5),-0.371676 # DEPENDENCYPART_ARC
(14,6),0.158838 # DEPENDENCYPART_ARC
(14,9),-0.343581 # DEPENDENCYPART_ARC
(14,10),-1.22003 # DEPENDENCYPART_ARC
(14,11),0.757699 # DEPENDENCYPART_ARC
(14,12),0.209108 # DEPENDENCYPART_ARC
(14,13),2.63802 # DEPENDENCYPART_ARC
(14,15),1.58129 # DEPENDENCYPART_ARC
(14,16),-0.824545 # DEPENDENCYPART_ARC
(14,17),-0.724474 # DEPENDENCYPART_ARC
(14,19),-0.350974 # DEPENDENCYPART_ARC
(14,20),-0.421296 # DEPENDENCYPART_ARC
(14,23),-0.607725 # DEPENDENCYPART_ARC
(14,24),-0.815353 # DEPENDENCYPART_ARC
(14,25),-0.384729 # DEPENDENCYPART_ARC
(14,27),-1.33321 # DEPENDENCYPART_ARC
(15,19),-0.863198 # DEPENDENCYPART_ARC
(15,26),-1.1293 # DEPENDENCYPART_ARC
(15,28),-1.20484 # DEPENDENCYPART_ARC
(16,2),-1.05517 # DEPENDENCYPART_ARC
(16,7),-1.1641 # DEPENDENCYPART_ARC
(16,13),-1.55798 # DEPENDENCYPART_ARC
(16,14),-1.63338 # DEPENDENCYPART_ARC
(16,17),1.81753 # DEPENDENCYPART_ARC
(16,20),-1.05081 # DEPENDENCYPART_ARC
(17,19),-1.28906 # DEPENDENCYPART_ARC
