# _root_ horren berri zuzena eta zehatza izateko asmoak bultzatuta , karrantzako_udaleko ordezkaritza bat langraizko kartzelan fernando_diezekin biltzen ahaleginduko da , eta horretarako egin dute eskaera .
#goldHeads=2,6,4,2,4,7,8,20,8,11,17,11,14,16,16,17,20,17,18,0,22,20,22,22,24,
#predictedHeads=2,6,4,2,4,7,8,17,8,11,17,11,14,16,16,17,20,17,18,0,22,20,22,22,24,
(0,1),-0.684664 # DEPENDENCYPART_ARC
(0,2),-0.834795 # DEPENDENCYPART_ARC
(0,3),-1.49749 # DEPENDENCYPART_ARC
(0,4),-0.521449 # DEPENDENCYPART_ARC
(0,5),-1.59813 # DEPENDENCYPART_ARC
(0,6),-0.969936 # DEPENDENCYPART_ARC
(0,7),-1.21758 # DEPENDENCYPART_ARC
(0,8),-0.830452 # DEPENDENCYPART_ARC
(0,9),-0.660327 # DEPENDENCYPART_ARC
(0,16),-1.2109 # DEPENDENCYPART_ARC
(0,17),-0.549561 # DEPENDENCYPART_ARC
(0,18),-1.06241 # DEPENDENCYPART_ARC
(0,19),-0.76907 # DEPENDENCYPART_ARC
(0,20),0.601711 # DEPENDENCYPART_ARC
(0,21),-1.65042 # DEPENDENCYPART_ARC
(0,22),-1.45586 # DEPENDENCYPART_ARC
(0,23),-0.715303 # DEPENDENCYPART_ARC
(0,24),-1.49159 # DEPENDENCYPART_ARC
(0,25),-2.19991 # DEPENDENCYPART_ARC
(1,2),-1.14551 # DEPENDENCYPART_ARC
(2,1),0.153351 # DEPENDENCYPART_ARC
(2,3),1.62477 # DEPENDENCYPART_ARC
(2,4),-0.0732734 # DEPENDENCYPART_ARC
(2,5),0.203411 # DEPENDENCYPART_ARC
(2,7),-0.76662 # DEPENDENCYPART_ARC
(2,12),-0.299384 # DEPENDENCYPART_ARC
(2,20),-0.324762 # DEPENDENCYPART_ARC
(3,2),-0.449573 # DEPENDENCYPART_ARC
(3,4),-0.403021 # DEPENDENCYPART_ARC
(3,5),-1.37645 # DEPENDENCYPART_ARC
(4,1),-0.629026 # DEPENDENCYPART_ARC
(4,2),0.0656317 # DEPENDENCYPART_ARC
(4,3),1.63996 # DEPENDENCYPART_ARC
(4,5),1.45549 # DEPENDENCYPART_ARC
(4,6),-0.165767 # DEPENDENCYPART_ARC
(4,7),-0.307807 # DEPENDENCYPART_ARC
(4,8),-0.299709 # DEPENDENCYPART_ARC
(4,9),-0.489314 # DEPENDENCYPART_ARC
(4,10),-1.10694 # DEPENDENCYPART_ARC
(4,11),-1.0176 # DEPENDENCYPART_ARC
(4,12),-0.246081 # DEPENDENCYPART_ARC
(4,14),-1.28256 # DEPENDENCYPART_ARC
(4,15),-1.12518 # DEPENDENCYPART_ARC
(4,16),-0.573491 # DEPENDENCYPART_ARC
(4,17),-0.622252 # DEPENDENCYPART_ARC
(4,20),-0.586076 # DEPENDENCYPART_ARC
(4,22),-0.840003 # DEPENDENCYPART_ARC
(4,24),-1.9914 # DEPENDENCYPART_ARC
(5,6),-0.34441 # DEPENDENCYPART_ARC
(6,1),-1.12189 # DEPENDENCYPART_ARC
(6,2),0.565705 # DEPENDENCYPART_ARC
(6,3),-0.560431 # DEPENDENCYPART_ARC
(6,4),0.20547 # DEPENDENCYPART_ARC
(6,5),0.532921 # DEPENDENCYPART_ARC
(6,7),-0.916164 # DEPENDENCYPART_ARC
(6,8),-0.714363 # DEPENDENCYPART_ARC
(6,9),-0.791455 # DEPENDENCYPART_ARC
(6,13),-2.87147 # DEPENDENCYPART_ARC
(6,16),-1.65213 # DEPENDENCYPART_ARC
(6,17),-1.69546 # DEPENDENCYPART_ARC
(6,20),-0.559737 # DEPENDENCYPART_ARC
(6,22),-2.354 # DEPENDENCYPART_ARC
(6,24),-2.66862 # DEPENDENCYPART_ARC
(7,1),-1.32213 # DEPENDENCYPART_ARC
(7,2),-0.371479 # DEPENDENCYPART_ARC
(7,3),-1.63617 # DEPENDENCYPART_ARC
(7,4),-0.380382 # DEPENDENCYPART_ARC
(7,5),-1.01372 # DEPENDENCYPART_ARC
(7,6),1.90338 # DEPENDENCYPART_ARC
(7,8),-0.564461 # DEPENDENCYPART_ARC
(7,9),-0.494647 # DEPENDENCYPART_ARC
(7,12),-1.96494 # DEPENDENCYPART_ARC
(8,1),-1.52527 # DEPENDENCYPART_ARC
(8,2),-0.533627 # DEPENDENCYPART_ARC
(8,3),-0.994745 # DEPENDENCYPART_ARC
(8,4),-0.00970564 # DEPENDENCYPART_ARC
(8,5),-0.669631 # DEPENDENCYPART_ARC
(8,6),0.00692212 # DEPENDENCYPART_ARC
(8,7),1.47863 # DEPENDENCYPART_ARC
(8,9),1.24822 # DEPENDENCYPART_ARC
(8,10),-0.898534 # DEPENDENCYPART_ARC
(8,11),-0.740627 # DEPENDENCYPART_ARC
(8,12),-1.02411 # DEPENDENCYPART_ARC
(8,13),-1.86912 # DEPENDENCYPART_ARC
(8,14),-0.876495 # DEPENDENCYPART_ARC
(8,15),-1.30032 # DEPENDENCYPART_ARC
(8,16),-0.950134 # DEPENDENCYPART_ARC
(8,17),-0.784083 # DEPENDENCYPART_ARC
(8,18),-2.41603 # DEPENDENCYPART_ARC
(8,20),-0.466188 # DEPENDENCYPART_ARC
(8,22),-1.35136 # DEPENDENCYPART_ARC
(8,23),-2.92652 # DEPENDENCYPART_ARC
(8,24),-1.37878 # DEPENDENCYPART_ARC
(9,6),-0.972811 # DEPENDENCYPART_ARC
(9,7),-0.976956 # DEPENDENCYPART_ARC
(9,8),-0.341176 # DEPENDENCYPART_ARC
(10,1),-1.79027 # DEPENDENCYPART_ARC
(10,8),-0.818206 # DEPENDENCYPART_ARC
(10,9),-0.510938 # DEPENDENCYPART_ARC
(10,11),-0.727868 # DEPENDENCYPART_ARC
(10,12),-2.42901 # DEPENDENCYPART_ARC
(10,13),-1.57753 # DEPENDENCYPART_ARC
(10,14),-1.94395 # DEPENDENCYPART_ARC
(11,1),-1.82401 # DEPENDENCYPART_ARC
(11,3),-2.01491 # DEPENDENCYPART_ARC
(11,5),-1.97792 # DEPENDENCYPART_ARC
(11,7),-1.64762 # DEPENDENCYPART_ARC
(11,8),-0.980728 # DEPENDENCYPART_ARC
(11,9),-1.15385 # DEPENDENCYPART_ARC
(11,10),0.893882 # DEPENDENCYPART_ARC
(11,12),1.70807 # DEPENDENCYPART_ARC
(11,13),-0.358411 # DEPENDENCYPART_ARC
(11,14),-0.621388 # DEPENDENCYPART_ARC
(11,15),-0.873586 # DEPENDENCYPART_ARC
(11,18),-1.21628 # DEPENDENCYPART_ARC
(12,10),-0.57545 # DEPENDENCYPART_ARC
(12,11),-0.56301 # DEPENDENCYPART_ARC
(12,14),-0.967065 # DEPENDENCYPART_ARC
(13,9),-1.80712 # DEPENDENCYPART_ARC
(13,10),-1.57798 # DEPENDENCYPART_ARC
(13,11),-0.604289 # DEPENDENCYPART_ARC
(13,14),-1.01911 # DEPENDENCYPART_ARC
(13,15),-2.46437 # DEPENDENCYPART_ARC
(14,9),-1.76621 # DEPENDENCYPART_ARC
