# _root_ bestalde , donostiako manifestaldian izan zen " batasuna " azpimarratu zuen elortzak , eta " demokraten batasun hori berriz eskuratu " behar dela uste_du .
#goldHeads=0,3,4,5,8,5,6,10,8,14,10,10,12,0,14,17,20,17,20,22,20,24,22,14,24,
#predictedHeads=0,3,4,5,0,5,6,10,8,14,10,10,12,0,14,17,20,17,20,24,20,23,24,14,24,
(0,1),1.2007 # DEPENDENCYPART_ARC
(0,2),-1.04233 # DEPENDENCYPART_ARC
(0,3),-0.884808 # DEPENDENCYPART_ARC
(0,4),-0.788701 # DEPENDENCYPART_ARC
(0,5),0.0439267 # DEPENDENCYPART_ARC
(0,6),-0.891472 # DEPENDENCYPART_ARC
(0,7),-1.02259 # DEPENDENCYPART_ARC
(0,8),-0.562766 # DEPENDENCYPART_ARC
(0,9),-1.30394 # DEPENDENCYPART_ARC
(0,10),0.529796 # DEPENDENCYPART_ARC
(0,11),-0.447755 # DEPENDENCYPART_ARC
(0,12),-1.58548 # DEPENDENCYPART_ARC
(0,13),-1.07258 # DEPENDENCYPART_ARC
(0,14),0.602095 # DEPENDENCYPART_ARC
(0,15),-1.80834 # DEPENDENCYPART_ARC
(0,17),-0.930335 # DEPENDENCYPART_ARC
(0,18),-1.54698 # DEPENDENCYPART_ARC
(0,19),-0.358625 # DEPENDENCYPART_ARC
(0,20),-0.842202 # DEPENDENCYPART_ARC
(0,21),-2.41856 # DEPENDENCYPART_ARC
(0,22),-0.368259 # DEPENDENCYPART_ARC
(0,23),-2.30974 # DEPENDENCYPART_ARC
(0,24),0.495334 # DEPENDENCYPART_ARC
(0,25),-1.94061 # DEPENDENCYPART_ARC
(1,2),-0.63883 # DEPENDENCYPART_ARC
(1,4),-1.57578 # DEPENDENCYPART_ARC
(1,5),-1.68292 # DEPENDENCYPART_ARC
(2,5),-1.12743 # DEPENDENCYPART_ARC
(2,24),-1.01592 # DEPENDENCYPART_ARC
(3,2),-0.466398 # DEPENDENCYPART_ARC
(3,4),-0.0101019 # DEPENDENCYPART_ARC
(4,2),-1.10953 # DEPENDENCYPART_ARC
(4,3),1.80996 # DEPENDENCYPART_ARC
(4,5),-0.947573 # DEPENDENCYPART_ARC
(4,6),-0.437841 # DEPENDENCYPART_ARC
(4,8),-1.41243 # DEPENDENCYPART_ARC
(4,11),-1.11954 # DEPENDENCYPART_ARC
