# _root_ juan jose_ibarretxe_eaeko lehendakariaren ustez , herritarrek " sendotasun moralaz_gain beste zerbait espero_dute erakundeetatik etarekin amaitzeko , indakerkeriari eta heriotzari aurre_egiteko " .
#goldHeads=3,1,4,12,4,12,6,12,8,11,12,0,12,15,16,12,18,20,18,12,20,21,
#predictedHeads=3,3,4,12,4,12,6,9,12,9,12,0,15,15,12,15,18,20,18,12,20,21,
(0,1),-0.367492 # DEPENDENCYPART_ARC
(0,3),-0.874453 # DEPENDENCYPART_ARC
(0,4),-0.734356 # DEPENDENCYPART_ARC
(0,5),-1.31335 # DEPENDENCYPART_ARC
(0,6),-1.07327 # DEPENDENCYPART_ARC
(0,7),-1.25592 # DEPENDENCYPART_ARC
(0,10),-1.1786 # DEPENDENCYPART_ARC
(0,11),-1.25048 # DEPENDENCYPART_ARC
(0,12),0.504879 # DEPENDENCYPART_ARC
(0,13),-1.288 # DEPENDENCYPART_ARC
(0,14),-1.15269 # DEPENDENCYPART_ARC
(0,15),-0.953033 # DEPENDENCYPART_ARC
(0,16),-1.213 # DEPENDENCYPART_ARC
(0,17),-0.985252 # DEPENDENCYPART_ARC
(0,18),-0.863609 # DEPENDENCYPART_ARC
(0,19),-1.13358 # DEPENDENCYPART_ARC
(0,20),-0.819111 # DEPENDENCYPART_ARC
(0,21),-2.74644 # DEPENDENCYPART_ARC
(0,22),-2.14248 # DEPENDENCYPART_ARC
(1,2),0.0688764 # DEPENDENCYPART_ARC
(1,3),-0.326629 # DEPENDENCYPART_ARC
(3,1),0.101063 # DEPENDENCYPART_ARC
(3,2),2.00192 # DEPENDENCYPART_ARC
(3,4),-0.153565 # DEPENDENCYPART_ARC
(3,5),-0.716316 # DEPENDENCYPART_ARC
(3,6),-1.01509 # DEPENDENCYPART_ARC
(3,10),-1.31432 # DEPENDENCYPART_ARC
(3,12),-2.1414 # DEPENDENCYPART_ARC
(3,18),-1.35082 # DEPENDENCYPART_ARC
(4,3),-0.237066 # DEPENDENCYPART_ARC
(4,5),1.02839 # DEPENDENCYPART_ARC
(4,6),-0.740934 # DEPENDENCYPART_ARC
(4,9),-0.838541 # DEPENDENCYPART_ARC
(5,1),-1.27233 # DEPENDENCYPART_ARC
(5,3),-1.12043 # DEPENDENCYPART_ARC
(5,6),-0.608208 # DEPENDENCYPART_ARC
(5,10),-1.11442 # DEPENDENCYPART_ARC
(5,12),-1.18301 # DEPENDENCYPART_ARC
(6,1),-1.06687 # DEPENDENCYPART_ARC
(6,3),-0.350367 # DEPENDENCYPART_ARC
(6,4),-0.974161 # DEPENDENCYPART_ARC
(6,5),-0.368851 # DEPENDENCYPART_ARC
