# _root_ hori guztia " bazterketarik gabe , inor bakartu gabe , betorik gabe eta indarkeriarik gabe " egin behar_dela gaineratu zuen ibarretxek .
#goldHeads=17,1,2,13,14,5,8,13,14,9,13,14,17,13,14,15,18,19,0,19,19,21,
#predictedHeads=0,1,2,8,4,5,8,18,8,9,13,11,19,13,14,15,18,19,0,19,19,21,
(0,1),-0.805574 # DEPENDENCYPART_ARC
(0,2),-1.57669 # DEPENDENCYPART_ARC
(0,3),-0.568518 # DEPENDENCYPART_ARC
(0,4),-0.692255 # DEPENDENCYPART_ARC
(0,5),-0.793172 # DEPENDENCYPART_ARC
(0,6),-1.05072 # DEPENDENCYPART_ARC
(0,7),-1.11123 # DEPENDENCYPART_ARC
(0,8),-0.698873 # DEPENDENCYPART_ARC
(0,9),-0.812754 # DEPENDENCYPART_ARC
(0,10),-0.97081 # DEPENDENCYPART_ARC
(0,11),-0.773133 # DEPENDENCYPART_ARC
(0,12),-0.843348 # DEPENDENCYPART_ARC
(0,13),-0.382292 # DEPENDENCYPART_ARC
(0,15),-0.872739 # DEPENDENCYPART_ARC
(0,16),-1.81341 # DEPENDENCYPART_ARC
(0,17),-0.766945 # DEPENDENCYPART_ARC
(0,18),-0.213375 # DEPENDENCYPART_ARC
(0,19),0.467071 # DEPENDENCYPART_ARC
(0,20),-0.476924 # DEPENDENCYPART_ARC
(0,21),-1.78541 # DEPENDENCYPART_ARC
(0,22),-1.98948 # DEPENDENCYPART_ARC
(1,2),-0.454352 # DEPENDENCYPART_ARC
(1,19),-1.91549 # DEPENDENCYPART_ARC
(2,3),0.849465 # DEPENDENCYPART_ARC
(3,4),-0.727288 # DEPENDENCYPART_ARC
(4,1),-1.6907 # DEPENDENCYPART_ARC
(4,3),-0.532383 # DEPENDENCYPART_ARC
(4,5),0.570582 # DEPENDENCYPART_ARC
(4,6),-0.0794977 # DEPENDENCYPART_ARC
(4,8),-0.782714 # DEPENDENCYPART_ARC
(4,9),-0.66567 # DEPENDENCYPART_ARC
(4,17),-0.532493 # DEPENDENCYPART_ARC
(4,18),-0.210284 # DEPENDENCYPART_ARC
(4,19),-0.836825 # DEPENDENCYPART_ARC
(5,4),-0.411536 # DEPENDENCYPART_ARC
(5,6),0.993143 # DEPENDENCYPART_ARC
(5,9),-0.77329 # DEPENDENCYPART_ARC
(5,10),-0.116782 # DEPENDENCYPART_ARC
(5,12),-0.792974 # DEPENDENCYPART_ARC
(5,15),-0.800828 # DEPENDENCYPART_ARC
(6,4),-1.00767 # DEPENDENCYPART_ARC
(6,18),-1.11998 # DEPENDENCYPART_ARC
(7,4),-0.654033 # DEPENDENCYPART_ARC
(7,5),-0.442875 # DEPENDENCYPART_ARC
(8,1),-1.09928 # DEPENDENCYPART_ARC
(8,2),-1.03476 # DEPENDENCYPART_ARC
(8,4),-0.159215 # DEPENDENCYPART_ARC
(8,5),-0.523629 # DEPENDENCYPART_ARC
(8,6),-0.97919 # DEPENDENCYPART_ARC
(8,7),1.08668 # DEPENDENCYPART_ARC
(8,9),1.1217 # DEPENDENCYPART_ARC
(8,10),-0.146096 # DEPENDENCYPART_ARC
(8,11),-0.456571 # DEPENDENCYPART_ARC
(8,12),-0.586674 # DEPENDENCYPART_ARC
(8,13),-0.50968 # DEPENDENCYPART_ARC
(8,14),-0.790083 # DEPENDENCYPART_ARC
(8,15),-0.77579 # DEPENDENCYPART_ARC
(8,17),-0.393338 # DEPENDENCYPART_ARC
(8,18),-1.00168 # DEPENDENCYPART_ARC
(8,19),-0.669131 # DEPENDENCYPART_ARC
(8,20),-1.5453 # DEPENDENCYPART_ARC
(9,8),-0.42684 # DEPENDENCYPART_ARC
(9,10),1.0753 # DEPENDENCYPART_ARC
(9,11),-0.688684 # DEPENDENCYPART_ARC
(9,12),-0.700964 # DEPENDENCYPART_ARC
(9,13),-0.545527 # DEPENDENCYPART_ARC
(9,14),-0.781903 # DEPENDENCYPART_ARC
(9,15),-0.742928 # DEPENDENCYPART_ARC
(10,8),-0.881115 # DEPENDENCYPART_ARC
(10,11),-0.597829 # DEPENDENCYPART_ARC
(10,18),-1.13581 # DEPENDENCYPART_ARC
(11,1),-3.29684 # DEPENDENCYPART_ARC
