# _root_ horrela zeudela , john_wayne famatuarengana joatea erabaki zuten , beren loria egunetan john_wayne beren adiskidea izan zelako .
#goldHeads=2,7,2,6,4,7,0,7,8,12,12,16,16,15,16,7,16,17,
#predictedHeads=2,7,2,6,4,7,0,7,8,11,12,16,15,13,16,7,16,17,
(0,1),-0.0141166 # DEPENDENCYPART_ARC
(0,2),-0.775927 # DEPENDENCYPART_ARC
(0,3),-1.06045 # DEPENDENCYPART_ARC
(0,4),-0.401739 # DEPENDENCYPART_ARC
(0,5),-1.78741 # DEPENDENCYPART_ARC
(0,6),-1.04751 # DEPENDENCYPART_ARC
(0,7),-0.258306 # DEPENDENCYPART_ARC
(0,8),-0.503788 # DEPENDENCYPART_ARC
(0,9),-0.723876 # DEPENDENCYPART_ARC
(0,11),-1.08271 # DEPENDENCYPART_ARC
(0,12),-1.34452 # DEPENDENCYPART_ARC
(0,13),-1.46512 # DEPENDENCYPART_ARC
(0,15),-0.888403 # DEPENDENCYPART_ARC
(0,16),-0.869439 # DEPENDENCYPART_ARC
(0,17),-0.708485 # DEPENDENCYPART_ARC
(0,18),-1.68187 # DEPENDENCYPART_ARC
(1,2),-0.733891 # DEPENDENCYPART_ARC
(1,3),-1.5462 # DEPENDENCYPART_ARC
(1,4),-1.73082 # DEPENDENCYPART_ARC
(2,1),1.22543 # DEPENDENCYPART_ARC
(2,3),1.02322 # DEPENDENCYPART_ARC
(2,4),-0.288853 # DEPENDENCYPART_ARC
(2,5),-1.1896 # DEPENDENCYPART_ARC
(2,6),-0.221965 # DEPENDENCYPART_ARC
(2,7),-1.1772 # DEPENDENCYPART_ARC
(2,8),-1.22803 # DEPENDENCYPART_ARC
(2,11),-0.990105 # DEPENDENCYPART_ARC
(2,12),-1.14714 # DEPENDENCYPART_ARC
(2,15),-1.6534 # DEPENDENCYPART_ARC
(2,16),-1.58942 # DEPENDENCYPART_ARC
(3,2),-0.125325 # DEPENDENCYPART_ARC
(3,5),-0.882331 # DEPENDENCYPART_ARC
(3,6),-0.775102 # DEPENDENCYPART_ARC
(3,7),-0.854758 # DEPENDENCYPART_ARC
(3,16),-1.41742 # DEPENDENCYPART_ARC
(4,3),-0.564724 # DEPENDENCYPART_ARC
(4,5),0.282609 # DEPENDENCYPART_ARC
(4,6),-1.09975 # DEPENDENCYPART_ARC
(4,11),-1.33319 # DEPENDENCYPART_ARC
(5,1),-0.699076 # DEPENDENCYPART_ARC
(5,4),-0.0652162 # DEPENDENCYPART_ARC
(5,6),-0.670956 # DEPENDENCYPART_ARC
(5,16),-1.6169 # DEPENDENCYPART_ARC
(6,1),-0.295629 # DEPENDENCYPART_ARC
(6,2),0.332629 # DEPENDENCYPART_ARC
(6,3),-0.891268 # DEPENDENCYPART_ARC
(6,4),0.560189 # DEPENDENCYPART_ARC
(6,5),0.35206 # DEPENDENCYPART_ARC
(6,7),-0.404919 # DEPENDENCYPART_ARC
(6,8),-1.72901 # DEPENDENCYPART_ARC
(6,9),-0.908776 # DEPENDENCYPART_ARC
(6,10),-1.57974 # DEPENDENCYPART_ARC
(6,11),-1.23472 # DEPENDENCYPART_ARC
(6,12),-0.680158 # DEPENDENCYPART_ARC
(6,15),-1.15931 # DEPENDENCYPART_ARC
(6,16),-1.78866 # DEPENDENCYPART_ARC
(6,17),-3.31236 # DEPENDENCYPART_ARC
(7,1),-0.458979 # DEPENDENCYPART_ARC
(7,2),0.614444 # DEPENDENCYPART_ARC
(7,3),-1.26935 # DEPENDENCYPART_ARC
(7,4),-0.0761054 # DEPENDENCYPART_ARC
(7,5),-0.558574 # DEPENDENCYPART_ARC
(7,6),1.25179 # DEPENDENCYPART_ARC
(7,8),1.14954 # DEPENDENCYPART_ARC
(7,9),-0.526398 # DEPENDENCYPART_ARC
(7,10),-1.22783 # DEPENDENCYPART_ARC
(7,11),-1.09416 # DEPENDENCYPART_ARC
(7,12),-0.807932 # DEPENDENCYPART_ARC
(7,13),-1.22453 # DEPENDENCYPART_ARC
(7,15),-0.954632 # DEPENDENCYPART_ARC
(7,16),-1.07638 # DEPENDENCYPART_ARC
(7,17),-1.17837 # DEPENDENCYPART_ARC
(8,4),-1.05903 # DEPENDENCYPART_ARC
(8,6),-0.863141 # DEPENDENCYPART_ARC
(8,7),-1.20659 # DEPENDENCYPART_ARC
(8,9),1.17962 # DEPENDENCYPART_ARC
(8,12),-1.00722 # DEPENDENCYPART_ARC
(8,16),-1.41094 # DEPENDENCYPART_ARC
(8,17),-0.550706 # DEPENDENCYPART_ARC
(9,2),-0.808282 # DEPENDENCYPART_ARC
(9,4),-1.06697 # DEPENDENCYPART_ARC
(9,6),-0.821498 # DEPENDENCYPART_ARC
(9,7),-0.75153 # DEPENDENCYPART_ARC
(9,8),-0.41159 # DEPENDENCYPART_ARC
(9,11),-1.10717 # DEPENDENCYPART_ARC
(9,12),-0.902792 # DEPENDENCYPART_ARC
(9,15),-0.915085 # DEPENDENCYPART_ARC
(9,16),-1.13234 # DEPENDENCYPART_ARC
(10,9),-0.448913 # DEPENDENCYPART_ARC
(11,1),-1.26589 # DEPENDENCYPART_ARC
(11,4),-1.50543 # DEPENDENCYPART_ARC
(11,5),-1.75972 # DEPENDENCYPART_ARC
(11,6),-1.84957 # DEPENDENCYPART_ARC
(11,7),-1.03264 # DEPENDENCYPART_ARC
(11,9),-0.983559 # DEPENDENCYPART_ARC
(11,10),0.320953 # DEPENDENCYPART_ARC
(11,12),0.356488 # DEPENDENCYPART_ARC
(11,13),-0.533864 # DEPENDENCYPART_ARC
(11,14),-0.768336 # DEPENDENCYPART_ARC
(11,15),-0.925144 # DEPENDENCYPART_ARC
(11,17),-1.26388 # DEPENDENCYPART_ARC
(12,1),-1.16698 # DEPENDENCYPART_ARC
(12,5),-2.43319 # DEPENDENCYPART_ARC
(12,7),-0.957873 # DEPENDENCYPART_ARC
(12,9),-1.28778 # DEPENDENCYPART_ARC
(12,10),-0.458687 # DEPENDENCYPART_ARC
(12,11),1.10565 # DEPENDENCYPART_ARC
(12,13),0.0543565 # DEPENDENCYPART_ARC
(12,14),-2.61338 # DEPENDENCYPART_ARC
(12,15),-1.81434 # DEPENDENCYPART_ARC
(12,16),-2.7542 # DEPENDENCYPART_ARC
(12,17),-1.79724 # DEPENDENCYPART_ARC
(12,18),-1.59096 # DEPENDENCYPART_ARC
(13,11),-0.429466 # DEPENDENCYPART_ARC
(13,12),-0.0765713 # DEPENDENCYPART_ARC
(13,14),1.1808 # DEPENDENCYPART_ARC
(13,15),-0.0230365 # DEPENDENCYPART_ARC
(15,1),-0.956013 # DEPENDENCYPART_ARC
(15,5),-2.19851 # DEPENDENCYPART_ARC
(15,7),-1.112 # DEPENDENCYPART_ARC
(15,9),-1.64638 # DEPENDENCYPART_ARC
(15,11),-0.726133 # DEPENDENCYPART_ARC
(15,12),-1.74599 # DEPENDENCYPART_ARC
(15,13),0.0200992 # DEPENDENCYPART_ARC
(15,14),1.13177 # DEPENDENCYPART_ARC
(15,16),-1.2375 # DEPENDENCYPART_ARC
(15,17),-0.37276 # DEPENDENCYPART_ARC
(15,18),-0.761841 # DEPENDENCYPART_ARC
(16,1),-0.286495 # DEPENDENCYPART_ARC
(16,2),0.18866 # DEPENDENCYPART_ARC
(16,3),-1.51568 # DEPENDENCYPART_ARC
(16,4),-0.849096 # DEPENDENCYPART_ARC
(16,5),-1.34279 # DEPENDENCYPART_ARC
(16,6),-0.757007 # DEPENDENCYPART_ARC
(16,7),-0.558565 # DEPENDENCYPART_ARC
(16,8),-0.882371 # DEPENDENCYPART_ARC
(16,9),-1.57273 # DEPENDENCYPART_ARC
(16,10),-1.02491 # DEPENDENCYPART_ARC
(16,11),-0.174284 # DEPENDENCYPART_ARC
(16,12),0.556494 # DEPENDENCYPART_ARC
(16,13),0.151353 # DEPENDENCYPART_ARC
(16,14),-0.532245 # DEPENDENCYPART_ARC
(16,15),1.92837 # DEPENDENCYPART_ARC
(16,17),1.6621 # DEPENDENCYPART_ARC
(16,18),-0.558249 # DEPENDENCYPART_ARC
(17,13),-0.910378 # DEPENDENCYPART_ARC
(17,15),-0.734336 # DEPENDENCYPART_ARC
(17,18),1.78901 # DEPENDENCYPART_ARC
(0,1),(0,2),0.027742 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0580471 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.117875 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.0938439 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.0566843 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.000615121 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.0110679 # DEPENDENCYPART_SIBL
