# _root_ - oi , ez naute ni geroko ifernuek izutzen , orain honelako paradisuak dastatu ahal_izanez gero hemen - erantzun ohi nizun halakoetan .
#goldHeads=0,9,2,9,9,9,8,9,19,9,15,13,14,15,9,15,15,17,0,19,19,19,22,
#predictedHeads=0,0,2,9,9,9,8,9,0,9,12,13,14,15,19,15,15,17,0,19,19,19,22,
(0,1),0.767435 # DEPENDENCYPART_ARC
(0,2),-0.654382 # DEPENDENCYPART_ARC
(0,3),-0.646382 # DEPENDENCYPART_ARC
(0,4),-0.614854 # DEPENDENCYPART_ARC
(0,5),-0.602008 # DEPENDENCYPART_ARC
(0,6),-0.677334 # DEPENDENCYPART_ARC
(0,7),-1.02104 # DEPENDENCYPART_ARC
(0,9),-0.229475 # DEPENDENCYPART_ARC
(0,10),-0.340928 # DEPENDENCYPART_ARC
(0,11),-0.576744 # DEPENDENCYPART_ARC
(0,12),-0.992298 # DEPENDENCYPART_ARC
(0,13),-0.883379 # DEPENDENCYPART_ARC
(0,14),-0.553764 # DEPENDENCYPART_ARC
(0,15),-0.632852 # DEPENDENCYPART_ARC
(0,16),-0.541552 # DEPENDENCYPART_ARC
(0,17),-0.447879 # DEPENDENCYPART_ARC
(0,18),-0.574324 # DEPENDENCYPART_ARC
(0,19),0.1721 # DEPENDENCYPART_ARC
(0,20),-0.0986734 # DEPENDENCYPART_ARC
(0,21),-0.227583 # DEPENDENCYPART_ARC
(0,22),-1.76443 # DEPENDENCYPART_ARC
(0,23),-1.00204 # DEPENDENCYPART_ARC
(1,3),-1.13512 # DEPENDENCYPART_ARC
(1,4),-1.74593 # DEPENDENCYPART_ARC
(2,3),0.998725 # DEPENDENCYPART_ARC
(3,2),-0.196353 # DEPENDENCYPART_ARC
(3,14),-1.07743 # DEPENDENCYPART_ARC
(3,15),-1.12826 # DEPENDENCYPART_ARC
(3,19),-1.27776 # DEPENDENCYPART_ARC
(4,3),-0.45803 # DEPENDENCYPART_ARC
(5,4),-0.414938 # DEPENDENCYPART_ARC
(5,7),-1.03113 # DEPENDENCYPART_ARC
