# _root_ zergatik oroitu behar_zuen nitaz , bere bizitzan_zehar , gainean eta azpian izandako ehundaka haietariko beste bat gehiago ez banintz bezala ? .
#goldHeads=3,3,0,2,4,7,3,7,10,12,10,16,14,16,16,19,16,19,3,19,20,21,
#predictedHeads=2,3,0,2,4,7,10,7,10,12,10,0,12,15,16,19,16,19,12,19,20,21,
(0,1),0.0498789 # DEPENDENCYPART_ARC
(0,2),-0.801915 # DEPENDENCYPART_ARC
(0,3),0.728789 # DEPENDENCYPART_ARC
(0,4),-1.0627 # DEPENDENCYPART_ARC
(0,5),-0.706489 # DEPENDENCYPART_ARC
(0,7),-0.946629 # DEPENDENCYPART_ARC
(0,8),-0.744653 # DEPENDENCYPART_ARC
(0,9),-0.808201 # DEPENDENCYPART_ARC
(0,10),-0.181836 # DEPENDENCYPART_ARC
(0,11),-0.907603 # DEPENDENCYPART_ARC
(0,12),-0.801291 # DEPENDENCYPART_ARC
(0,13),-1.3783 # DEPENDENCYPART_ARC
(0,14),-1.70609 # DEPENDENCYPART_ARC
(0,15),-1.11929 # DEPENDENCYPART_ARC
(0,16),-1.36696 # DEPENDENCYPART_ARC
(0,17),-1.41311 # DEPENDENCYPART_ARC
(0,18),-0.644718 # DEPENDENCYPART_ARC
(0,19),-0.662901 # DEPENDENCYPART_ARC
(0,20),-0.548343 # DEPENDENCYPART_ARC
(0,21),-0.970883 # DEPENDENCYPART_ARC
(0,22),-1.39437 # DEPENDENCYPART_ARC
(2,1),0.721224 # DEPENDENCYPART_ARC
(2,3),0.0260497 # DEPENDENCYPART_ARC
(2,4),-0.360799 # DEPENDENCYPART_ARC
(2,5),-0.591579 # DEPENDENCYPART_ARC
(2,6),-1.04586 # DEPENDENCYPART_ARC
(2,7),-0.262294 # DEPENDENCYPART_ARC
(2,8),-0.755275 # DEPENDENCYPART_ARC
(2,9),-0.818927 # DEPENDENCYPART_ARC
(2,10),-0.48166 # DEPENDENCYPART_ARC
(2,11),-0.960248 # DEPENDENCYPART_ARC
(2,12),-0.717973 # DEPENDENCYPART_ARC
(2,13),-0.934213 # DEPENDENCYPART_ARC
(2,19),-1.02738 # DEPENDENCYPART_ARC
(3,1),0.236816 # DEPENDENCYPART_ARC
(3,2),1.63637 # DEPENDENCYPART_ARC
(3,7),-0.530246 # DEPENDENCYPART_ARC
(3,9),-0.495678 # DEPENDENCYPART_ARC
(3,10),-0.804167 # DEPENDENCYPART_ARC
(3,11),-0.697062 # DEPENDENCYPART_ARC
(3,12),-1.18683 # DEPENDENCYPART_ARC
(3,18),-0.857041 # DEPENDENCYPART_ARC
(4,5),0.777663 # DEPENDENCYPART_ARC
(5,2),-0.832973 # DEPENDENCYPART_ARC
(5,3),-0.796186 # DEPENDENCYPART_ARC
(5,7),-1.11487 # DEPENDENCYPART_ARC
(5,9),-0.998418 # DEPENDENCYPART_ARC
(5,10),-0.904312 # DEPENDENCYPART_ARC
(5,12),-1.06454 # DEPENDENCYPART_ARC
