# _root_ g. ganbelu baten hezur bat eclipta prastata landarearen uretan sartzen da , gero erre , eta hortik ateratzen den margogaia ganbelu hezurrez egindako kutxa batean gordetzen da .
#goldHeads=0,22,2,10,4,9,6,6,10,16,10,11,14,16,14,0,18,20,18,26,22,23,24,26,24,16,26,27,
#predictedHeads=10,4,2,10,4,7,8,9,10,16,10,11,14,16,14,0,18,20,18,26,22,23,24,26,24,16,26,27,
(0,1),0.173099 # DEPENDENCYPART_ARC
(0,3),-1.43612 # DEPENDENCYPART_ARC
(0,5),-1.61813 # DEPENDENCYPART_ARC
(0,10),-0.444211 # DEPENDENCYPART_ARC
(0,11),-1.03879 # DEPENDENCYPART_ARC
(0,12),-1.21019 # DEPENDENCYPART_ARC
(0,13),-0.954974 # DEPENDENCYPART_ARC
(0,14),-1.09723 # DEPENDENCYPART_ARC
(0,15),-1.16599 # DEPENDENCYPART_ARC
(0,16),0.338271 # DEPENDENCYPART_ARC
(0,17),-1.06675 # DEPENDENCYPART_ARC
(0,18),-0.685368 # DEPENDENCYPART_ARC
(0,19),-1.19962 # DEPENDENCYPART_ARC
(0,23),-1.95185 # DEPENDENCYPART_ARC
(0,24),-1.66699 # DEPENDENCYPART_ARC
(0,26),-1.154 # DEPENDENCYPART_ARC
(0,27),-1.16531 # DEPENDENCYPART_ARC
(0,28),-2.92159 # DEPENDENCYPART_ARC
(1,2),-0.452471 # DEPENDENCYPART_ARC
(1,3),-2.10431 # DEPENDENCYPART_ARC
(1,5),-2.84321 # DEPENDENCYPART_ARC
(2,1),0.570813 # DEPENDENCYPART_ARC
(2,3),1.18187 # DEPENDENCYPART_ARC
(2,4),-0.72193 # DEPENDENCYPART_ARC
(2,5),-0.298724 # DEPENDENCYPART_ARC
(3,1),-0.779662 # DEPENDENCYPART_ARC
(3,2),-0.448322 # DEPENDENCYPART_ARC
(3,4),0.197961 # DEPENDENCYPART_ARC
(4,1),-1.59504 # DEPENDENCYPART_ARC
(4,2),-0.056184 # DEPENDENCYPART_ARC
(4,3),0.255583 # DEPENDENCYPART_ARC
(4,5),1.64455 # DEPENDENCYPART_ARC
(4,6),-0.701277 # DEPENDENCYPART_ARC
(4,7),-0.8773 # DEPENDENCYPART_ARC
(4,8),-0.844022 # DEPENDENCYPART_ARC
(4,25),-0.822475 # DEPENDENCYPART_ARC
(5,2),-1.30577 # DEPENDENCYPART_ARC
(5,3),-0.77833 # DEPENDENCYPART_ARC
(5,4),-0.555857 # DEPENDENCYPART_ARC
(5,6),0.048107 # DEPENDENCYPART_ARC
(5,7),-0.732426 # DEPENDENCYPART_ARC
(6,1),-1.1832 # DEPENDENCYPART_ARC
(6,2),-0.997229 # DEPENDENCYPART_ARC
(6,3),-0.979262 # DEPENDENCYPART_ARC
(6,4),-0.257641 # DEPENDENCYPART_ARC
(6,5),0.334259 # DEPENDENCYPART_ARC
(6,7),0.352097 # DEPENDENCYPART_ARC
(6,8),-0.464101 # DEPENDENCYPART_ARC
(6,9),-0.690314 # DEPENDENCYPART_ARC
(7,1),-1.03815 # DEPENDENCYPART_ARC
(7,2),-1.10874 # DEPENDENCYPART_ARC
(7,3),-1.33308 # DEPENDENCYPART_ARC
(7,4),-0.820152 # DEPENDENCYPART_ARC
(7,5),-0.55457 # DEPENDENCYPART_ARC
(7,6),0.561812 # DEPENDENCYPART_ARC
(7,8),0.308667 # DEPENDENCYPART_ARC
(7,9),-0.477141 # DEPENDENCYPART_ARC
(7,11),-1.16775 # DEPENDENCYPART_ARC
(8,3),-1.32006 # DEPENDENCYPART_ARC
(8,5),-2.85406 # DEPENDENCYPART_ARC
(8,6),-0.121221 # DEPENDENCYPART_ARC
(8,7),0.904046 # DEPENDENCYPART_ARC
(8,9),0.505228 # DEPENDENCYPART_ARC
(8,11),-1.69183 # DEPENDENCYPART_ARC
(8,25),-2.60539 # DEPENDENCYPART_ARC
(9,3),-1.46543 # DEPENDENCYPART_ARC
(9,4),-1.04091 # DEPENDENCYPART_ARC
(9,5),-2.53875 # DEPENDENCYPART_ARC
(9,6),-0.769082 # DEPENDENCYPART_ARC
(9,7),-0.239042 # DEPENDENCYPART_ARC
(9,8),1.11423 # DEPENDENCYPART_ARC
(9,11),-0.52791 # DEPENDENCYPART_ARC
(9,12),-0.72298 # DEPENDENCYPART_ARC
(9,13),-0.978752 # DEPENDENCYPART_ARC
(9,25),-1.85241 # DEPENDENCYPART_ARC
(10,1),0.375759 # DEPENDENCYPART_ARC
(10,2),-0.159579 # DEPENDENCYPART_ARC
(10,3),-1.26156 # DEPENDENCYPART_ARC
(10,4),-0.0259439 # DEPENDENCYPART_ARC
(10,5),-0.629984 # DEPENDENCYPART_ARC
(10,6),-0.0254715 # DEPENDENCYPART_ARC
(10,7),-0.0408283 # DEPENDENCYPART_ARC
(10,8),0.0685991 # DEPENDENCYPART_ARC
(10,9),1.65472 # DEPENDENCYPART_ARC
(10,11),1.26372 # DEPENDENCYPART_ARC
(10,12),-0.471523 # DEPENDENCYPART_ARC
(10,13),-0.688891 # DEPENDENCYPART_ARC
(10,14),-0.442589 # DEPENDENCYPART_ARC
(10,15),-0.829115 # DEPENDENCYPART_ARC
(10,16),-0.84837 # DEPENDENCYPART_ARC
(10,17),-0.942622 # DEPENDENCYPART_ARC
(10,18),-1.1962 # DEPENDENCYPART_ARC
(10,19),-0.18606 # DEPENDENCYPART_ARC
(10,20),-1.33324 # DEPENDENCYPART_ARC
(10,21),-1.44254 # DEPENDENCYPART_ARC
(10,22),-1.3868 # DEPENDENCYPART_ARC
(10,23),-1.44875 # DEPENDENCYPART_ARC
(10,24),-1.46554 # DEPENDENCYPART_ARC
(10,26),-1.42733 # DEPENDENCYPART_ARC
(11,8),-0.590445 # DEPENDENCYPART_ARC
(11,9),-0.65328 # DEPENDENCYPART_ARC
(11,12),1.1261 # DEPENDENCYPART_ARC
(11,13),-0.81471 # DEPENDENCYPART_ARC
(11,16),-0.590888 # DEPENDENCYPART_ARC
(11,19),-1.00773 # DEPENDENCYPART_ARC
(12,10),-0.926325 # DEPENDENCYPART_ARC
(12,11),-0.624153 # DEPENDENCYPART_ARC
