# _root_ aparicio ez zen atzoko bileran izan , haren menpeko juan chozas_lan idazkaria baizik , eta chozasek auzia bideratu beharra dagoela onartu du .
#goldHeads=6,6,6,5,6,13,6,9,12,12,10,13,15,13,0,21,18,19,20,21,15,21,22,
#predictedHeads=6,6,6,5,6,13,6,9,10,12,12,15,15,13,0,21,18,19,20,21,15,21,22,
(0,1),-0.20005 # DEPENDENCYPART_ARC
(0,2),-0.973152 # DEPENDENCYPART_ARC
(0,3),-0.743456 # DEPENDENCYPART_ARC
(0,4),-0.670241 # DEPENDENCYPART_ARC
(0,6),-0.522277 # DEPENDENCYPART_ARC
(0,7),-0.858348 # DEPENDENCYPART_ARC
(0,13),-0.0739238 # DEPENDENCYPART_ARC
(0,14),-1.29473 # DEPENDENCYPART_ARC
(0,15),0.297725 # DEPENDENCYPART_ARC
(0,16),-1.56291 # DEPENDENCYPART_ARC
(0,18),-0.924197 # DEPENDENCYPART_ARC
(0,19),-0.87041 # DEPENDENCYPART_ARC
(0,20),-1.62579 # DEPENDENCYPART_ARC
(0,21),-0.403732 # DEPENDENCYPART_ARC
(0,22),-0.944323 # DEPENDENCYPART_ARC
(0,23),-2.35874 # DEPENDENCYPART_ARC
(2,5),-1.0072 # DEPENDENCYPART_ARC
(3,1),-0.691039 # DEPENDENCYPART_ARC
(3,2),-0.582315 # DEPENDENCYPART_ARC
(3,4),-0.513366 # DEPENDENCYPART_ARC
(4,5),-0.464668 # DEPENDENCYPART_ARC
(4,7),-0.705926 # DEPENDENCYPART_ARC
(5,1),-2.13614 # DEPENDENCYPART_ARC
(5,2),-0.977928 # DEPENDENCYPART_ARC
(5,3),-0.736051 # DEPENDENCYPART_ARC
(5,4),1.1377 # DEPENDENCYPART_ARC
(5,6),-1.14972 # DEPENDENCYPART_ARC
(5,7),-0.35941 # DEPENDENCYPART_ARC
(5,8),-1.45024 # DEPENDENCYPART_ARC
(5,10),-0.962035 # DEPENDENCYPART_ARC
(6,1),0.210722 # DEPENDENCYPART_ARC
(6,2),0.576508 # DEPENDENCYPART_ARC
(6,3),0.281882 # DEPENDENCYPART_ARC
(6,4),-0.110864 # DEPENDENCYPART_ARC
(6,5),2.25742 # DEPENDENCYPART_ARC
(6,7),1.14629 # DEPENDENCYPART_ARC
(6,8),-0.485875 # DEPENDENCYPART_ARC
(6,9),-0.789092 # DEPENDENCYPART_ARC
(6,10),-0.887688 # DEPENDENCYPART_ARC
(6,11),-0.806132 # DEPENDENCYPART_ARC
(6,12),-0.464502 # DEPENDENCYPART_ARC
(6,13),-0.574549 # DEPENDENCYPART_ARC
(6,14),-0.613059 # DEPENDENCYPART_ARC
(6,15),-0.908106 # DEPENDENCYPART_ARC
(6,17),-0.988935 # DEPENDENCYPART_ARC
(6,18),-0.517104 # DEPENDENCYPART_ARC
(6,19),-1.14023 # DEPENDENCYPART_ARC
(6,20),-0.489503 # DEPENDENCYPART_ARC
(6,21),-0.967049 # DEPENDENCYPART_ARC
(6,22),-2.80084 # DEPENDENCYPART_ARC
(7,1),-1.18565 # DEPENDENCYPART_ARC
(7,3),-1.3321 # DEPENDENCYPART_ARC
(7,5),-0.98111 # DEPENDENCYPART_ARC
(7,6),-0.303663 # DEPENDENCYPART_ARC
(7,21),-1.39194 # DEPENDENCYPART_ARC
(8,6),-0.711285 # DEPENDENCYPART_ARC
(8,7),-0.261347 # DEPENDENCYPART_ARC
(8,9),-0.320768 # DEPENDENCYPART_ARC
(8,11),-0.960023 # DEPENDENCYPART_ARC
(8,18),-1.03296 # DEPENDENCYPART_ARC
(8,21),-1.3687 # DEPENDENCYPART_ARC
(9,4),-1.36832 # DEPENDENCYPART_ARC
(9,5),-0.912884 # DEPENDENCYPART_ARC
(9,6),-0.826938 # DEPENDENCYPART_ARC
(9,7),-1.06396 # DEPENDENCYPART_ARC
(9,8),0.639848 # DEPENDENCYPART_ARC
(9,10),0.320571 # DEPENDENCYPART_ARC
(9,11),-0.491665 # DEPENDENCYPART_ARC
(9,12),-0.812614 # DEPENDENCYPART_ARC
(10,9),0.355754 # DEPENDENCYPART_ARC
(10,11),0.842821 # DEPENDENCYPART_ARC
(10,12),-0.102417 # DEPENDENCYPART_ARC
(10,17),-0.311212 # DEPENDENCYPART_ARC
(10,20),-0.93657 # DEPENDENCYPART_ARC
(11,7),-1.99726 # DEPENDENCYPART_ARC
(11,8),-1.26832 # DEPENDENCYPART_ARC
(11,9),-0.459054 # DEPENDENCYPART_ARC
(11,10),0.409467 # DEPENDENCYPART_ARC
(11,12),0.520711 # DEPENDENCYPART_ARC
(11,13),-0.487376 # DEPENDENCYPART_ARC
(11,14),-0.692946 # DEPENDENCYPART_ARC
(11,16),0.169879 # DEPENDENCYPART_ARC
(12,7),-1.78873 # DEPENDENCYPART_ARC
(12,8),-1.32819 # DEPENDENCYPART_ARC
(12,9),-0.69225 # DEPENDENCYPART_ARC
(12,10),0.210477 # DEPENDENCYPART_ARC
(12,11),0.693132 # DEPENDENCYPART_ARC
(12,13),-0.153684 # DEPENDENCYPART_ARC
(12,14),-0.664016 # DEPENDENCYPART_ARC
(12,15),-1.60276 # DEPENDENCYPART_ARC
(12,16),-1.0522 # DEPENDENCYPART_ARC
(12,17),-1.67709 # DEPENDENCYPART_ARC
(13,1),-1.57468 # DEPENDENCYPART_ARC
(13,4),-1.0533 # DEPENDENCYPART_ARC
(13,5),-1.66887 # DEPENDENCYPART_ARC
(13,6),-0.711896 # DEPENDENCYPART_ARC
(13,8),-1.44496 # DEPENDENCYPART_ARC
(13,9),-0.741635 # DEPENDENCYPART_ARC
(13,10),-0.80202 # DEPENDENCYPART_ARC
(13,11),-0.411356 # DEPENDENCYPART_ARC
(13,12),0.492661 # DEPENDENCYPART_ARC
(13,14),1.33264 # DEPENDENCYPART_ARC
(13,15),-0.032578 # DEPENDENCYPART_ARC
(13,16),0.118254 # DEPENDENCYPART_ARC
(13,17),-0.0674905 # DEPENDENCYPART_ARC
(13,18),-0.577935 # DEPENDENCYPART_ARC
(13,19),-0.401294 # DEPENDENCYPART_ARC
(13,20),-0.147552 # DEPENDENCYPART_ARC
(13,21),-0.555335 # DEPENDENCYPART_ARC
(14,15),-0.460541 # DEPENDENCYPART_ARC
(14,20),-1.05925 # DEPENDENCYPART_ARC
(15,1),-0.952367 # DEPENDENCYPART_ARC
(15,4),-0.917063 # DEPENDENCYPART_ARC
(15,5),-1.53022 # DEPENDENCYPART_ARC
(15,6),-0.739429 # DEPENDENCYPART_ARC
(15,8),-1.1066 # DEPENDENCYPART_ARC
(15,9),-0.863752 # DEPENDENCYPART_ARC
(15,10),-0.882966 # DEPENDENCYPART_ARC
(15,11),-0.637212 # DEPENDENCYPART_ARC
(15,12),0.185442 # DEPENDENCYPART_ARC
(15,13),-0.26143 # DEPENDENCYPART_ARC
(15,14),-0.412843 # DEPENDENCYPART_ARC
(15,16),0.128109 # DEPENDENCYPART_ARC
(15,17),-0.261289 # DEPENDENCYPART_ARC
(15,18),-0.120612 # DEPENDENCYPART_ARC
(15,19),-0.682382 # DEPENDENCYPART_ARC
(15,20),-0.404398 # DEPENDENCYPART_ARC
(15,21),0.149737 # DEPENDENCYPART_ARC
(16,17),-0.855927 # DEPENDENCYPART_ARC
(16,18),-1.5887 # DEPENDENCYPART_ARC
(16,19),-1.9775 # DEPENDENCYPART_ARC
(17,12),-2.1925 # DEPENDENCYPART_ARC
(17,13),-0.704578 # DEPENDENCYPART_ARC
(17,14),-1.19465 # DEPENDENCYPART_ARC
(17,15),-0.428981 # DEPENDENCYPART_ARC
(17,16),-0.982087 # DEPENDENCYPART_ARC
(17,18),-0.505733 # DEPENDENCYPART_ARC
(17,19),-1.02493 # DEPENDENCYPART_ARC
(17,20),-1.84548 # DEPENDENCYPART_ARC
(17,22),-1.29737 # DEPENDENCYPART_ARC
(17,23),-1.38313 # DEPENDENCYPART_ARC
(18,1),-0.740825 # DEPENDENCYPART_ARC
(18,4),-0.764083 # DEPENDENCYPART_ARC
(18,5),0.0664968 # DEPENDENCYPART_ARC
(18,6),-1.00027 # DEPENDENCYPART_ARC
