# _root_ jaurlaritzak prezioak hitzartzen dituztela irizten badio , europako_batzordera jotzeko asmoa du , hark azter dezan europako lehia askearen gaineko legedia betetzen den ala ez .
#goldHeads=5,3,5,3,11,5,6,9,10,11,0,11,14,11,14,17,20,17,18,21,23,21,14,21,24,
#predictedHeads=3,3,5,3,11,5,6,9,10,11,0,11,14,11,14,17,19,17,20,21,23,21,14,23,24,
(0,1),-0.372948 # DEPENDENCYPART_ARC
(0,2),-0.659745 # DEPENDENCYPART_ARC
(0,3),-0.228408 # DEPENDENCYPART_ARC
(0,4),-0.650499 # DEPENDENCYPART_ARC
(0,5),-0.538833 # DEPENDENCYPART_ARC
(0,6),-0.433486 # DEPENDENCYPART_ARC
(0,7),-0.764465 # DEPENDENCYPART_ARC
(0,8),-1.47025 # DEPENDENCYPART_ARC
(0,9),-1.46723 # DEPENDENCYPART_ARC
(0,10),-0.829223 # DEPENDENCYPART_ARC
(0,11),-0.0301167 # DEPENDENCYPART_ARC
(0,12),-0.762444 # DEPENDENCYPART_ARC
(0,13),-1.65664 # DEPENDENCYPART_ARC
(0,14),-0.913594 # DEPENDENCYPART_ARC
(0,15),-0.509102 # DEPENDENCYPART_ARC
(0,18),-1.81444 # DEPENDENCYPART_ARC
(0,21),-0.805659 # DEPENDENCYPART_ARC
(0,22),-1.06407 # DEPENDENCYPART_ARC
(0,23),-0.99956 # DEPENDENCYPART_ARC
(0,24),-1.42113 # DEPENDENCYPART_ARC
(0,25),-2.26853 # DEPENDENCYPART_ARC
(1,2),-0.948919 # DEPENDENCYPART_ARC
(1,4),-2.54495 # DEPENDENCYPART_ARC
(1,6),-2.98518 # DEPENDENCYPART_ARC
(2,1),-0.583788 # DEPENDENCYPART_ARC
(2,3),-0.754377 # DEPENDENCYPART_ARC
(2,4),-0.99413 # DEPENDENCYPART_ARC
(2,6),-1.76504 # DEPENDENCYPART_ARC
(3,1),1.1727 # DEPENDENCYPART_ARC
(3,2),1.77655 # DEPENDENCYPART_ARC
(3,4),2.14472 # DEPENDENCYPART_ARC
(3,5),-0.635391 # DEPENDENCYPART_ARC
(3,6),0.502051 # DEPENDENCYPART_ARC
(3,7),-1.12251 # DEPENDENCYPART_ARC
(3,8),-1.52385 # DEPENDENCYPART_ARC
(3,9),-0.97696 # DEPENDENCYPART_ARC
(3,10),-0.971074 # DEPENDENCYPART_ARC
(3,11),-1.42616 # DEPENDENCYPART_ARC
(3,12),-1.12075 # DEPENDENCYPART_ARC
(3,15),-1.04334 # DEPENDENCYPART_ARC
(3,16),-1.87163 # DEPENDENCYPART_ARC
(3,19),-1.8781 # DEPENDENCYPART_ARC
(3,20),-1.45526 # DEPENDENCYPART_ARC
(3,21),-1.34742 # DEPENDENCYPART_ARC
(3,23),-0.358456 # DEPENDENCYPART_ARC
(4,1),-0.963565 # DEPENDENCYPART_ARC
(4,2),-0.540644 # DEPENDENCYPART_ARC
(4,5),-0.876761 # DEPENDENCYPART_ARC
(4,6),-0.85354 # DEPENDENCYPART_ARC
(5,1),0.683522 # DEPENDENCYPART_ARC
(5,2),0.276139 # DEPENDENCYPART_ARC
(5,3),0.331328 # DEPENDENCYPART_ARC
(5,4),0.0976214 # DEPENDENCYPART_ARC
(5,6),2.43874 # DEPENDENCYPART_ARC
(5,7),-0.544597 # DEPENDENCYPART_ARC
(5,8),-1.39375 # DEPENDENCYPART_ARC
(5,9),-0.833974 # DEPENDENCYPART_ARC
(5,10),-0.793454 # DEPENDENCYPART_ARC
(5,11),-1.35613 # DEPENDENCYPART_ARC
(5,12),-0.982051 # DEPENDENCYPART_ARC
(5,14),-1.00822 # DEPENDENCYPART_ARC
(5,15),-0.732292 # DEPENDENCYPART_ARC
(5,16),-1.63598 # DEPENDENCYPART_ARC
(5,17),-1.4824 # DEPENDENCYPART_ARC
(5,19),-1.78341 # DEPENDENCYPART_ARC
(5,20),-1.43892 # DEPENDENCYPART_ARC
(5,21),-1.35497 # DEPENDENCYPART_ARC
(5,23),-0.453859 # DEPENDENCYPART_ARC
(6,1),-1.10001 # DEPENDENCYPART_ARC
(6,2),-0.542074 # DEPENDENCYPART_ARC
(6,7),1.38637 # DEPENDENCYPART_ARC
(6,8),-1.47179 # DEPENDENCYPART_ARC
(6,11),-1.17167 # DEPENDENCYPART_ARC
(6,15),-0.765214 # DEPENDENCYPART_ARC
(6,23),-0.301398 # DEPENDENCYPART_ARC
(7,3),-0.956601 # DEPENDENCYPART_ARC
(7,4),-1.0952 # DEPENDENCYPART_ARC
(7,6),-0.423897 # DEPENDENCYPART_ARC
(8,5),-1.62223 # DEPENDENCYPART_ARC
(8,7),-0.472568 # DEPENDENCYPART_ARC
(8,9),-0.21195 # DEPENDENCYPART_ARC
(8,10),-0.986625 # DEPENDENCYPART_ARC
