# _root_ ( ... ) paulinok azken asaltoa bota zuela uste_zuen , baina heriotzaren aurre-salara ailegatzea besterik ez zuen egin , azken asaltoek beti heriotzaren kaudrilateroan jotzen bait dute amaierako kanpanilla .
#goldHeads=0,1,0,9,6,7,9,7,11,9,0,13,14,18,14,15,18,11,18,21,25,25,24,25,18,27,25,29,25,29,
#predictedHeads=0,1,0,7,6,7,9,7,11,9,0,13,14,18,14,15,18,11,18,21,25,25,24,25,0,25,26,29,25,29,
(0,1),0.908178 # DEPENDENCYPART_ARC
(0,3),0.403091 # DEPENDENCYPART_ARC
(0,4),-1.00816 # DEPENDENCYPART_ARC
(0,6),-0.737586 # DEPENDENCYPART_ARC
(0,7),0.00378027 # DEPENDENCYPART_ARC
(0,8),-0.679261 # DEPENDENCYPART_ARC
(0,9),0.507715 # DEPENDENCYPART_ARC
(0,10),-0.663207 # DEPENDENCYPART_ARC
(0,11),0.914915 # DEPENDENCYPART_ARC
(0,12),-0.814229 # DEPENDENCYPART_ARC
(0,13),-0.834104 # DEPENDENCYPART_ARC
(0,14),-0.981138 # DEPENDENCYPART_ARC
(0,15),-1.27347 # DEPENDENCYPART_ARC
(0,16),-1.05363 # DEPENDENCYPART_ARC
(0,17),-0.695549 # DEPENDENCYPART_ARC
(0,18),-1.1797 # DEPENDENCYPART_ARC
(0,19),-0.552194 # DEPENDENCYPART_ARC
(0,21),-1.40184 # DEPENDENCYPART_ARC
(0,22),-0.415499 # DEPENDENCYPART_ARC
(0,25),-1.01925 # DEPENDENCYPART_ARC
(0,26),-1.68007 # DEPENDENCYPART_ARC
(0,27),-0.664898 # DEPENDENCYPART_ARC
(0,29),-1.48253 # DEPENDENCYPART_ARC
(0,30),-2.5392 # DEPENDENCYPART_ARC
(1,2),-0.172507 # DEPENDENCYPART_ARC
(2,3),0.638977 # DEPENDENCYPART_ARC
(3,2),-0.399095 # DEPENDENCYPART_ARC
(3,6),-0.958426 # DEPENDENCYPART_ARC
(3,7),-0.83769 # DEPENDENCYPART_ARC
(4,3),-0.554036 # DEPENDENCYPART_ARC
(4,6),-1.80336 # DEPENDENCYPART_ARC
(6,4),-1.0896 # DEPENDENCYPART_ARC
(6,5),0.792802 # DEPENDENCYPART_ARC
(6,7),-1.18364 # DEPENDENCYPART_ARC
(6,8),-1.20723 # DEPENDENCYPART_ARC
