# _root_ Paul_L._Ravelo , doctor en ciències filosòfiques per la Universitat_de_l'_Havana , impartirà a la Casa_de_Cultura de Girona el curs ' Els_mites_de_la_globalització_neoliberal ' .
#goldHeads=11,3,1,3,4,5,3,9,7,3,0,11,14,12,14,15,18,11,20,18,20,11,
#predictedHeads=11,3,1,3,4,5,3,9,7,3,0,11,14,12,14,15,18,11,20,18,20,11,
(0,1),-6.62938 # DEPENDENCYPART_ARC
(0,11),-1.9126 # DEPENDENCYPART_ARC
(1,2),1.80068 # DEPENDENCYPART_ARC
(1,3),2.38016 # DEPENDENCYPART_ARC
(1,4),0.979439 # DEPENDENCYPART_ARC
(1,5),1.34355 # DEPENDENCYPART_ARC
(1,6),1.48919 # DEPENDENCYPART_ARC
(1,7),0.448777 # DEPENDENCYPART_ARC
(1,9),1.08175 # DEPENDENCYPART_ARC
(1,10),0.522734 # DEPENDENCYPART_ARC
(1,11),0.53805 # DEPENDENCYPART_ARC
(1,12),-1.18286 # DEPENDENCYPART_ARC
(1,14),-0.0869074 # DEPENDENCYPART_ARC
(1,18),-0.435854 # DEPENDENCYPART_ARC
(1,20),-0.118428 # DEPENDENCYPART_ARC
(1,22),0.952773 # DEPENDENCYPART_ARC
(3,2),2.68174 # DEPENDENCYPART_ARC
(3,4),2.5962 # DEPENDENCYPART_ARC
(3,5),-0.078645 # DEPENDENCYPART_ARC
(3,6),-1.57638 # DEPENDENCYPART_ARC
(3,7),1.13525 # DEPENDENCYPART_ARC
(3,9),-0.617609 # DEPENDENCYPART_ARC
(3,10),1.83229 # DEPENDENCYPART_ARC
(3,11),-0.441081 # DEPENDENCYPART_ARC
(3,12),-1.04935 # DEPENDENCYPART_ARC
(3,15),-1.32333 # DEPENDENCYPART_ARC
(3,18),-2.18877 # DEPENDENCYPART_ARC
(3,19),0.738664 # DEPENDENCYPART_ARC
(3,20),-1.34932 # DEPENDENCYPART_ARC
(3,21),0.397931 # DEPENDENCYPART_ARC
(3,22),-0.605569 # DEPENDENCYPART_ARC
(4,2),0.599096 # DEPENDENCYPART_ARC
(4,3),-0.346165 # DEPENDENCYPART_ARC
(4,5),4.72387 # DEPENDENCYPART_ARC
(4,6),0.227641 # DEPENDENCYPART_ARC
(4,7),-1.07009 # DEPENDENCYPART_ARC
(4,9),-0.523698 # DEPENDENCYPART_ARC
(4,10),-0.216731 # DEPENDENCYPART_ARC
(4,11),-2.41997 # DEPENDENCYPART_ARC
(5,2),-2.0797 # DEPENDENCYPART_ARC
(5,3),-2.28783 # DEPENDENCYPART_ARC
(5,4),-0.38434 # DEPENDENCYPART_ARC
(5,6),3.60801 # DEPENDENCYPART_ARC
(5,7),0.846666 # DEPENDENCYPART_ARC
(5,9),-0.238065 # DEPENDENCYPART_ARC
(5,10),-0.878212 # DEPENDENCYPART_ARC
(5,11),-0.947057 # DEPENDENCYPART_ARC
(5,15),-1.12044 # DEPENDENCYPART_ARC
(5,18),-2.28641 # DEPENDENCYPART_ARC
(5,19),-0.138579 # DEPENDENCYPART_ARC
(5,20),-1.17456 # DEPENDENCYPART_ARC
(5,21),-1.86508 # DEPENDENCYPART_ARC
(5,22),-2.04474 # DEPENDENCYPART_ARC
(6,2),-0.533744 # DEPENDENCYPART_ARC
(6,3),-1.41336 # DEPENDENCYPART_ARC
(6,4),0.598514 # DEPENDENCYPART_ARC
(6,7),1.12587 # DEPENDENCYPART_ARC
(6,9),-0.466539 # DEPENDENCYPART_ARC
(6,10),-0.432829 # DEPENDENCYPART_ARC
(6,11),-1.27936 # DEPENDENCYPART_ARC
(6,12),-1.72575 # DEPENDENCYPART_ARC
(6,21),-2.36408 # DEPENDENCYPART_ARC
(7,4),-0.434295 # DEPENDENCYPART_ARC
(7,6),0.0597442 # DEPENDENCYPART_ARC
(7,8),-1.40607 # DEPENDENCYPART_ARC
(7,9),3.87264 # DEPENDENCYPART_ARC
(7,10),0.0146166 # DEPENDENCYPART_ARC
(7,11),-1.38536 # DEPENDENCYPART_ARC
(7,12),-1.30054 # DEPENDENCYPART_ARC
(7,21),-2.41132 # DEPENDENCYPART_ARC
(8,7),-1.9245 # DEPENDENCYPART_ARC
(9,4),-0.686899 # DEPENDENCYPART_ARC
(9,6),-1.81628 # DEPENDENCYPART_ARC
(9,7),0.648145 # DEPENDENCYPART_ARC
(9,8),3.57622 # DEPENDENCYPART_ARC
(9,10),0.166038 # DEPENDENCYPART_ARC
(9,11),0.10183 # DEPENDENCYPART_ARC
(9,12),-1.69405 # DEPENDENCYPART_ARC
(9,15),-1.13406 # DEPENDENCYPART_ARC
(9,18),-0.957026 # DEPENDENCYPART_ARC
(9,20),-0.985329 # DEPENDENCYPART_ARC
