# _root_ " Per això és bo que tinguin totes les facilitats , com el sistema informàtic i els models que han de fer_servir en català " , ha dit .
#goldHeads=4,4,2,28,4,7,4,9,10,7,12,10,14,12,14,14,18,14,22,22,22,18,14,23,12,12,28,0,28,
#predictedHeads=4,4,2,28,4,7,4,9,10,7,12,7,14,12,14,14,18,22,22,22,22,7,22,23,4,22,28,0,4,
(0,2),-6.02738 # DEPENDENCYPART_ARC
(0,4),-2.8852 # DEPENDENCYPART_ARC
(0,7),-6.10125 # DEPENDENCYPART_ARC
(0,27),-4.66857 # DEPENDENCYPART_ARC
(0,28),-2.12805 # DEPENDENCYPART_ARC
(2,1),0.61488 # DEPENDENCYPART_ARC
(2,3),4.60956 # DEPENDENCYPART_ARC
(2,4),1.73002 # DEPENDENCYPART_ARC
(2,5),-1.24513 # DEPENDENCYPART_ARC
(2,6),-1.13612 # DEPENDENCYPART_ARC
(2,7),0.282372 # DEPENDENCYPART_ARC
(2,11),-0.0214639 # DEPENDENCYPART_ARC
(2,12),-1.19819 # DEPENDENCYPART_ARC
(2,21),-4.96971 # DEPENDENCYPART_ARC
(2,25),-0.713978 # DEPENDENCYPART_ARC
(2,26),-2.33556 # DEPENDENCYPART_ARC
(2,29),0.449154 # DEPENDENCYPART_ARC
(3,2),-1.14498 # DEPENDENCYPART_ARC
(3,4),0.0435338 # DEPENDENCYPART_ARC
(3,5),-1.03315 # DEPENDENCYPART_ARC
(3,7),-0.965603 # DEPENDENCYPART_ARC
(3,29),0.184578 # DEPENDENCYPART_ARC
(4,1),2.97968 # DEPENDENCYPART_ARC
(4,2),2.5798 # DEPENDENCYPART_ARC
(4,3),1.98146 # DEPENDENCYPART_ARC
(4,5),3.10249 # DEPENDENCYPART_ARC
(4,6),0.867823 # DEPENDENCYPART_ARC
(4,7),2.34404 # DEPENDENCYPART_ARC
(4,10),-0.423811 # DEPENDENCYPART_ARC
(4,11),0.897681 # DEPENDENCYPART_ARC
(4,12),0.173672 # DEPENDENCYPART_ARC
(4,14),-2.02269 # DEPENDENCYPART_ARC
(4,15),-0.641255 # DEPENDENCYPART_ARC
(4,16),0.469646 # DEPENDENCYPART_ARC
(4,18),-2.92374 # DEPENDENCYPART_ARC
(4,20),0.257939 # DEPENDENCYPART_ARC
(4,22),0.38296 # DEPENDENCYPART_ARC
(4,25),2.32647 # DEPENDENCYPART_ARC
(4,26),1.01779 # DEPENDENCYPART_ARC
(4,27),-1.15006 # DEPENDENCYPART_ARC
(4,28),0.292162 # DEPENDENCYPART_ARC
(4,29),5.66372 # DEPENDENCYPART_ARC
(5,1),-1.76744 # DEPENDENCYPART_ARC
(5,2),-0.451476 # DEPENDENCYPART_ARC
(5,4),-0.799959 # DEPENDENCYPART_ARC
(5,6),-0.363831 # DEPENDENCYPART_ARC
(5,7),-0.00545454 # DEPENDENCYPART_ARC
(5,10),-1.43237 # DEPENDENCYPART_ARC
(5,11),-0.882755 # DEPENDENCYPART_ARC
(5,12),-1.56373 # DEPENDENCYPART_ARC
(5,14),-1.82451 # DEPENDENCYPART_ARC
(5,15),-1.57119 # DEPENDENCYPART_ARC
(5,16),-1.49304 # DEPENDENCYPART_ARC
(5,18),-2.43435 # DEPENDENCYPART_ARC
(5,22),-1.92527 # DEPENDENCYPART_ARC
(6,7),-0.138127 # DEPENDENCYPART_ARC
(6,12),-1.24992 # DEPENDENCYPART_ARC
(7,1),0.975655 # DEPENDENCYPART_ARC
