# _root_ El Congrés s' havia plantejat de consens a l' entorn_de Preses , que ha iniciat el tercer mandat al_capdavant_de Comissions , si_bé una hora abans d' acabar -se el termini Àngel_González ha presentat la_seva candidatura .
#goldHeads=2,5,5,5,0,5,6,7,10,8,10,15,15,15,11,18,18,15,15,19,15,33,24,25,33,25,26,27,30,27,33,33,5,35,33,5,
#predictedHeads=2,5,5,5,0,5,6,5,10,8,10,15,15,15,11,18,18,15,15,19,33,33,24,25,15,25,26,33,30,33,30,33,15,35,33,15,
(0,2),-6.73386 # DEPENDENCYPART_ARC
(0,4),-4.29749 # DEPENDENCYPART_ARC
(0,5),-3.53606 # DEPENDENCYPART_ARC
(0,14),-3.20768 # DEPENDENCYPART_ARC
(0,15),-4.8844 # DEPENDENCYPART_ARC
(0,32),-3.45816 # DEPENDENCYPART_ARC
(0,33),-4.42414 # DEPENDENCYPART_ARC
(1,2),-0.855384 # DEPENDENCYPART_ARC
(2,1),2.62636 # DEPENDENCYPART_ARC
(2,4),-0.451801 # DEPENDENCYPART_ARC
(2,5),-0.282687 # DEPENDENCYPART_ARC
(2,6),-2.58608 # DEPENDENCYPART_ARC
(2,15),-2.19127 # DEPENDENCYPART_ARC
(2,36),-0.940834 # DEPENDENCYPART_ARC
(4,2),-1.3472 # DEPENDENCYPART_ARC
(4,3),1.43343 # DEPENDENCYPART_ARC
(4,5),1.00791 # DEPENDENCYPART_ARC
(4,6),-1.76782 # DEPENDENCYPART_ARC
(4,8),-0.501434 # DEPENDENCYPART_ARC
(4,10),-1.12519 # DEPENDENCYPART_ARC
(4,12),-1.00197 # DEPENDENCYPART_ARC
(4,36),2.35342 # DEPENDENCYPART_ARC
(5,1),-0.666597 # DEPENDENCYPART_ARC
(5,2),1.86329 # DEPENDENCYPART_ARC
(5,3),3.5452 # DEPENDENCYPART_ARC
(5,4),5.31607 # DEPENDENCYPART_ARC
(5,6),2.09725 # DEPENDENCYPART_ARC
(5,7),2.05282 # DEPENDENCYPART_ARC
(5,8),2.33513 # DEPENDENCYPART_ARC
(5,10),1.58245 # DEPENDENCYPART_ARC
