# _root_ No els en deixa passar ni una i , si hi ha dubtes sobre la sonoritat d' una nota , fa que la repeteixin tots .
#goldHeads=5,5,5,5,0,7,5,5,12,12,12,21,12,13,16,14,16,19,17,12,5,24,24,21,24,5,
#predictedHeads=5,5,5,5,0,7,5,7,12,12,12,5,12,13,16,14,16,19,17,12,12,24,24,21,24,5,
(0,2),-6.59596 # DEPENDENCYPART_ARC
(0,3),-6.94101 # DEPENDENCYPART_ARC
(0,4),-3.41031 # DEPENDENCYPART_ARC
(0,5),-4.542 # DEPENDENCYPART_ARC
(0,7),-7.66153 # DEPENDENCYPART_ARC
(0,12),-5.01269 # DEPENDENCYPART_ARC
(0,21),-5.2571 # DEPENDENCYPART_ARC
(2,1),0.472043 # DEPENDENCYPART_ARC
(2,4),0.892994 # DEPENDENCYPART_ARC
(2,5),1.01653 # DEPENDENCYPART_ARC
(2,9),-0.171787 # DEPENDENCYPART_ARC
(3,1),-0.101495 # DEPENDENCYPART_ARC
(3,4),-0.262708 # DEPENDENCYPART_ARC
(3,6),-0.991181 # DEPENDENCYPART_ARC
(4,1),1.14185 # DEPENDENCYPART_ARC
(4,2),-0.125928 # DEPENDENCYPART_ARC
(4,3),1.77088 # DEPENDENCYPART_ARC
(4,5),1.39077 # DEPENDENCYPART_ARC
(4,6),-0.911861 # DEPENDENCYPART_ARC
(4,7),-1.24095 # DEPENDENCYPART_ARC
(4,8),-0.283152 # DEPENDENCYPART_ARC
(4,9),-0.338005 # DEPENDENCYPART_ARC
(4,10),-0.634158 # DEPENDENCYPART_ARC
(4,11),-3.9835 # DEPENDENCYPART_ARC
(4,12),0.0167549 # DEPENDENCYPART_ARC
(4,13),-3.81201 # DEPENDENCYPART_ARC
(4,14),-1.79163 # DEPENDENCYPART_ARC
(4,20),0.378246 # DEPENDENCYPART_ARC
(4,21),-1.19888 # DEPENDENCYPART_ARC
(4,24),-1.3305 # DEPENDENCYPART_ARC
(4,25),-2.8569 # DEPENDENCYPART_ARC
(4,26),6.39059 # DEPENDENCYPART_ARC
(5,1),3.04175 # DEPENDENCYPART_ARC
(5,2),2.14774 # DEPENDENCYPART_ARC
(5,3),2.97774 # DEPENDENCYPART_ARC
(5,4),3.91091 # DEPENDENCYPART_ARC
(5,6),0.871484 # DEPENDENCYPART_ARC
(5,7),0.29285 # DEPENDENCYPART_ARC
(5,8),0.252778 # DEPENDENCYPART_ARC
(5,9),-0.268851 # DEPENDENCYPART_ARC
(5,10),-0.049964 # DEPENDENCYPART_ARC
(5,11),-1.39623 # DEPENDENCYPART_ARC
(5,12),0.191129 # DEPENDENCYPART_ARC
(5,13),-2.0915 # DEPENDENCYPART_ARC
(5,14),-0.806719 # DEPENDENCYPART_ARC
(5,20),0.0827221 # DEPENDENCYPART_ARC
(5,21),-0.553394 # DEPENDENCYPART_ARC
(5,24),-0.707296 # DEPENDENCYPART_ARC
(5,25),-2.20822 # DEPENDENCYPART_ARC
(5,26),7.59551 # DEPENDENCYPART_ARC
(6,5),-0.845067 # DEPENDENCYPART_ARC
(6,8),-0.193446 # DEPENDENCYPART_ARC
(6,9),-0.0826612 # DEPENDENCYPART_ARC
(6,10),-0.58921 # DEPENDENCYPART_ARC
(6,11),-1.29063 # DEPENDENCYPART_ARC
(7,6),1.84872 # DEPENDENCYPART_ARC
(7,8),2.06456 # DEPENDENCYPART_ARC
(7,9),1.01937 # DEPENDENCYPART_ARC
(7,13),0.0299733 # DEPENDENCYPART_ARC
(7,14),0.34727 # DEPENDENCYPART_ARC
(7,16),0.065031 # DEPENDENCYPART_ARC
(7,17),-0.122035 # DEPENDENCYPART_ARC
(8,9),0.536281 # DEPENDENCYPART_ARC
(10,8),-1.12491 # DEPENDENCYPART_ARC
(10,9),-0.134146 # DEPENDENCYPART_ARC
(10,11),-0.465701 # DEPENDENCYPART_ARC
(10,12),-0.793713 # DEPENDENCYPART_ARC
(10,13),-2.44731 # DEPENDENCYPART_ARC
(11,10),-0.227214 # DEPENDENCYPART_ARC
(11,13),-1.41302 # DEPENDENCYPART_ARC
(11,14),-2.11981 # DEPENDENCYPART_ARC
(12,4),-0.915634 # DEPENDENCYPART_ARC
(12,5),-2.15334 # DEPENDENCYPART_ARC
(12,6),-1.35437 # DEPENDENCYPART_ARC
(12,8),-0.440321 # DEPENDENCYPART_ARC
(12,9),1.95846 # DEPENDENCYPART_ARC
(12,10),3.23074 # DEPENDENCYPART_ARC
(12,11),3.13429 # DEPENDENCYPART_ARC
(12,13),3.6554 # DEPENDENCYPART_ARC
(12,14),1.45713 # DEPENDENCYPART_ARC
(12,16),0.72236 # DEPENDENCYPART_ARC
(12,17),-0.259525 # DEPENDENCYPART_ARC
(12,19),0.113057 # DEPENDENCYPART_ARC
(12,20),1.33936 # DEPENDENCYPART_ARC
(12,21),1.03478 # DEPENDENCYPART_ARC
(12,24),-0.156061 # DEPENDENCYPART_ARC
(12,26),4.54599 # DEPENDENCYPART_ARC
