# _root_ Sonaven molt bé , sens dubte , però el volum sonor no està de més en aquesta mena d' exhibicions de la música barroca .
#goldHeads=0,3,1,5,1,5,5,1,10,13,10,13,1,13,14,13,18,16,18,19,20,23,21,23,1,
#predictedHeads=0,3,1,5,1,5,5,1,10,13,10,13,1,13,14,13,18,16,18,19,20,23,21,23,1,
(0,1),-2.93518 # DEPENDENCYPART_ARC
(0,3),-7.6845 # DEPENDENCYPART_ARC
(0,13),-3.60922 # DEPENDENCYPART_ARC
(1,2),1.12319 # DEPENDENCYPART_ARC
(1,3),2.76351 # DEPENDENCYPART_ARC
(1,4),1.1104 # DEPENDENCYPART_ARC
(1,5),1.52965 # DEPENDENCYPART_ARC
(1,6),0.534028 # DEPENDENCYPART_ARC
(1,7),1.00589 # DEPENDENCYPART_ARC
(1,8),1.61481 # DEPENDENCYPART_ARC
(1,10),-0.331749 # DEPENDENCYPART_ARC
(1,11),-0.809272 # DEPENDENCYPART_ARC
(1,12),-0.775858 # DEPENDENCYPART_ARC
(1,13),0.77213 # DEPENDENCYPART_ARC
(1,15),-1.55441 # DEPENDENCYPART_ARC
(1,16),-0.305655 # DEPENDENCYPART_ARC
(1,18),-0.786455 # DEPENDENCYPART_ARC
(1,23),-1.38191 # DEPENDENCYPART_ARC
(1,24),-2.21431 # DEPENDENCYPART_ARC
(1,25),4.72569 # DEPENDENCYPART_ARC
(2,1),-0.631285 # DEPENDENCYPART_ARC
(2,3),1.06246 # DEPENDENCYPART_ARC
(2,4),-0.0469476 # DEPENDENCYPART_ARC
(2,5),-0.515649 # DEPENDENCYPART_ARC
(2,7),-1.17321 # DEPENDENCYPART_ARC
(2,8),0.0524959 # DEPENDENCYPART_ARC
(2,13),-1.18302 # DEPENDENCYPART_ARC
(3,2),3.37354 # DEPENDENCYPART_ARC
(3,4),1.54353 # DEPENDENCYPART_ARC
(3,5),-0.367984 # DEPENDENCYPART_ARC
(3,6),-1.013 # DEPENDENCYPART_ARC
(3,7),-0.747876 # DEPENDENCYPART_ARC
(3,8),-0.214519 # DEPENDENCYPART_ARC
(3,13),-1.03524 # DEPENDENCYPART_ARC
(3,15),-1.25643 # DEPENDENCYPART_ARC
(5,1),-0.0100262 # DEPENDENCYPART_ARC
(5,2),-0.0992726 # DEPENDENCYPART_ARC
(5,3),0.075549 # DEPENDENCYPART_ARC
(5,4),2.09688 # DEPENDENCYPART_ARC
(5,6),3.60078 # DEPENDENCYPART_ARC
(5,7),2.28564 # DEPENDENCYPART_ARC
(5,8),0.243641 # DEPENDENCYPART_ARC
(5,10),-2.08269 # DEPENDENCYPART_ARC
(5,12),-1.5972 # DEPENDENCYPART_ARC
(5,13),-2.35768 # DEPENDENCYPART_ARC
(5,14),-1.34896 # DEPENDENCYPART_ARC
(5,16),-0.995289 # DEPENDENCYPART_ARC
(5,25),0.852826 # DEPENDENCYPART_ARC
(6,1),-3.80017 # DEPENDENCYPART_ARC
(6,2),-0.978642 # DEPENDENCYPART_ARC
(6,3),-1.39663 # DEPENDENCYPART_ARC
(6,4),-0.632772 # DEPENDENCYPART_ARC
(6,5),0.622189 # DEPENDENCYPART_ARC
(6,7),0.49217 # DEPENDENCYPART_ARC
(6,8),0.581948 # DEPENDENCYPART_ARC
(6,10),0.602139 # DEPENDENCYPART_ARC
(6,11),1.21436 # DEPENDENCYPART_ARC
(6,13),-0.328523 # DEPENDENCYPART_ARC
(6,25),0.252668 # DEPENDENCYPART_ARC
(7,4),-0.676337 # DEPENDENCYPART_ARC
(8,7),0.309001 # DEPENDENCYPART_ARC
(9,8),-0.33571 # DEPENDENCYPART_ARC
(9,10),-0.747718 # DEPENDENCYPART_ARC
(10,1),-2.33504 # DEPENDENCYPART_ARC
(10,2),-0.654208 # DEPENDENCYPART_ARC
(10,3),-1.30308 # DEPENDENCYPART_ARC
(10,4),-0.543423 # DEPENDENCYPART_ARC
(10,5),-0.468865 # DEPENDENCYPART_ARC
(10,7),-0.252218 # DEPENDENCYPART_ARC
(10,8),0.0133776 # DEPENDENCYPART_ARC
(10,9),3.2193 # DEPENDENCYPART_ARC
(10,11),3.56041 # DEPENDENCYPART_ARC
(10,12),0.353793 # DEPENDENCYPART_ARC
(10,13),1.3842 # DEPENDENCYPART_ARC
(10,14),-0.109183 # DEPENDENCYPART_ARC
(10,15),0.249714 # DEPENDENCYPART_ARC
(10,16),-0.977746 # DEPENDENCYPART_ARC
(10,18),-0.82921 # DEPENDENCYPART_ARC
(10,19),-0.244347 # DEPENDENCYPART_ARC
(10,21),-1.27728 # DEPENDENCYPART_ARC
(10,24),-1.72892 # DEPENDENCYPART_ARC
(10,25),0.0189076 # DEPENDENCYPART_ARC
(11,3),-1.32754 # DEPENDENCYPART_ARC
(11,4),-0.931313 # DEPENDENCYPART_ARC
