# _root_ A Tampere , l' octubre_del_1999 , el Consell_Europeu va intentar precisar el contingut d' aquest nou enfocament .
#goldHeads=10,1,1,5,10,5,8,10,10,0,10,13,11,13,17,17,14,10,
#predictedHeads=10,1,1,5,10,1,8,10,10,0,10,13,11,13,17,17,14,10,
(0,1),-7.36353 # DEPENDENCYPART_ARC
(0,5),-7.62199 # DEPENDENCYPART_ARC
(0,9),-2.55226 # DEPENDENCYPART_ARC
(0,10),-2.6834 # DEPENDENCYPART_ARC
(0,11),-1.49707 # DEPENDENCYPART_ARC
(1,2),4.11404 # DEPENDENCYPART_ARC
(1,3),2.6767 # DEPENDENCYPART_ARC
(1,5),-0.808311 # DEPENDENCYPART_ARC
(1,6),1.79985 # DEPENDENCYPART_ARC
(1,8),-4.0725 # DEPENDENCYPART_ARC
(1,18),-0.878957 # DEPENDENCYPART_ARC
(2,3),0.138715 # DEPENDENCYPART_ARC
(2,5),-1.10997 # DEPENDENCYPART_ARC
(2,6),0.249578 # DEPENDENCYPART_ARC
(2,8),-0.721558 # DEPENDENCYPART_ARC
(2,9),-0.890931 # DEPENDENCYPART_ARC
(2,10),-1.18293 # DEPENDENCYPART_ARC
(2,11),-1.84117 # DEPENDENCYPART_ARC
(2,17),-1.98586 # DEPENDENCYPART_ARC
(2,18),-0.870365 # DEPENDENCYPART_ARC
(4,1),-1.47217 # DEPENDENCYPART_ARC
(4,5),0.546621 # DEPENDENCYPART_ARC
(4,7),-1.33551 # DEPENDENCYPART_ARC
(5,1),-0.576855 # DEPENDENCYPART_ARC
(5,3),1.94954 # DEPENDENCYPART_ARC
(5,4),3.31364 # DEPENDENCYPART_ARC
(5,6),1.51934 # DEPENDENCYPART_ARC
(5,9),0.333361 # DEPENDENCYPART_ARC
(5,10),-0.367404 # DEPENDENCYPART_ARC
(5,11),-0.738022 # DEPENDENCYPART_ARC
(5,13),-0.8116 # DEPENDENCYPART_ARC
(5,14),-0.868209 # DEPENDENCYPART_ARC
(5,17),-0.859661 # DEPENDENCYPART_ARC
(6,3),-0.703825 # DEPENDENCYPART_ARC
(7,8),-0.657062 # DEPENDENCYPART_ARC
(8,1),-1.55528 # DEPENDENCYPART_ARC
(8,4),-0.683045 # DEPENDENCYPART_ARC
(8,6),-0.052891 # DEPENDENCYPART_ARC
(8,7),2.81979 # DEPENDENCYPART_ARC
(8,9),-0.361724 # DEPENDENCYPART_ARC
(8,10),-0.95311 # DEPENDENCYPART_ARC
(8,11),-1.71551 # DEPENDENCYPART_ARC
(8,14),-1.58899 # DEPENDENCYPART_ARC
(8,18),-0.653477 # DEPENDENCYPART_ARC
(9,1),-1.23451 # DEPENDENCYPART_ARC
(9,3),-1.88235 # DEPENDENCYPART_ARC
(9,6),-1.1835 # DEPENDENCYPART_ARC
(9,8),-0.305211 # DEPENDENCYPART_ARC
(9,10),-0.602722 # DEPENDENCYPART_ARC
(9,11),-1.1018 # DEPENDENCYPART_ARC
(9,13),-0.981141 # DEPENDENCYPART_ARC
(9,14),-1.66453 # DEPENDENCYPART_ARC
(9,18),1.18433 # DEPENDENCYPART_ARC
(10,1),1.39831 # DEPENDENCYPART_ARC
(10,2),0.170189 # DEPENDENCYPART_ARC
(10,3),-0.215407 # DEPENDENCYPART_ARC
(10,4),-0.957375 # DEPENDENCYPART_ARC
(10,5),0.209407 # DEPENDENCYPART_ARC
(10,6),0.20594 # DEPENDENCYPART_ARC
(10,7),-0.129699 # DEPENDENCYPART_ARC
(10,8),1.95836 # DEPENDENCYPART_ARC
(10,9),4.22287 # DEPENDENCYPART_ARC
(10,11),3.52901 # DEPENDENCYPART_ARC
(10,13),1.28215 # DEPENDENCYPART_ARC
(10,14),0.726012 # DEPENDENCYPART_ARC
(10,17),-0.0724077 # DEPENDENCYPART_ARC
(10,18),3.58934 # DEPENDENCYPART_ARC
(11,1),-1.57607 # DEPENDENCYPART_ARC
(11,3),-2.94826 # DEPENDENCYPART_ARC
(11,4),-3.69729 # DEPENDENCYPART_ARC
(11,5),-1.97161 # DEPENDENCYPART_ARC
(11,6),-2.70076 # DEPENDENCYPART_ARC
(11,7),-3.20435 # DEPENDENCYPART_ARC
(11,8),0.0484008 # DEPENDENCYPART_ARC
(11,9),2.13745 # DEPENDENCYPART_ARC
(11,10),0.939298 # DEPENDENCYPART_ARC
(11,13),2.75921 # DEPENDENCYPART_ARC
(11,14),0.644196 # DEPENDENCYPART_ARC
(11,16),-1.13125 # DEPENDENCYPART_ARC
(11,17),0.550476 # DEPENDENCYPART_ARC
(11,18),3.47107 # DEPENDENCYPART_ARC
(12,13),1.64852 # DEPENDENCYPART_ARC
(12,14),-0.272357 # DEPENDENCYPART_ARC
(13,1),-2.59755 # DEPENDENCYPART_ARC
(13,3),-1.28178 # DEPENDENCYPART_ARC
(13,6),-1.35805 # DEPENDENCYPART_ARC
(13,7),-2.78122 # DEPENDENCYPART_ARC
(13,9),-2.06048 # DEPENDENCYPART_ARC
(13,10),-1.73926 # DEPENDENCYPART_ARC
(13,11),-0.529965 # DEPENDENCYPART_ARC
(13,12),2.90531 # DEPENDENCYPART_ARC
(13,14),2.46009 # DEPENDENCYPART_ARC
(13,16),0.854926 # DEPENDENCYPART_ARC
(13,17),0.659806 # DEPENDENCYPART_ARC
(13,18),0.523075 # DEPENDENCYPART_ARC
(14,1),-3.53622 # DEPENDENCYPART_ARC
(14,12),-0.980801 # DEPENDENCYPART_ARC
(14,16),1.07974 # DEPENDENCYPART_ARC
(14,17),3.09673 # DEPENDENCYPART_ARC
(14,18),-0.294046 # DEPENDENCYPART_ARC
(15,16),0.161953 # DEPENDENCYPART_ARC
(16,6),-3.17043 # DEPENDENCYPART_ARC
(16,12),-1.61779 # DEPENDENCYPART_ARC
(16,14),-0.254594 # DEPENDENCYPART_ARC
(16,15),0.442409 # DEPENDENCYPART_ARC
(16,18),-2.08368 # DEPENDENCYPART_ARC
(17,1),-2.24876 # DEPENDENCYPART_ARC
(17,3),-0.461172 # DEPENDENCYPART_ARC
(17,6),-0.48905 # DEPENDENCYPART_ARC
(17,9),-1.99723 # DEPENDENCYPART_ARC
(17,10),-2.0053 # DEPENDENCYPART_ARC
(17,12),-0.166157 # DEPENDENCYPART_ARC
(17,14),0.683395 # DEPENDENCYPART_ARC
(17,15),3.21539 # DEPENDENCYPART_ARC
(17,16),4.70446 # DEPENDENCYPART_ARC
(17,18),0.660244 # DEPENDENCYPART_ARC
