# _root_ El diari també informa que l' executiu i la top , que fa poc va despatxar el_seu festeig amb el playboy Tim_Jeffries , van passar la nit de Cap_d'_Any al Palast-Hotel de Saint_Moritz .
#goldHeads=2,4,4,0,25,7,25,7,10,7,16,16,14,16,16,10,18,16,16,21,19,21,16,25,4,27,25,27,28,25,30,31,32,4,
#predictedHeads=2,4,4,0,16,7,4,7,10,7,4,16,4,16,16,4,18,16,16,21,19,21,4,25,21,27,25,27,28,25,30,31,32,4,
(0,2),-6.99247 # DEPENDENCYPART_ARC
(0,4),-2.51973 # DEPENDENCYPART_ARC
(0,13),-5.54174 # DEPENDENCYPART_ARC
(0,16),-6.37229 # DEPENDENCYPART_ARC
(0,24),-3.85934 # DEPENDENCYPART_ARC
(0,25),-4.36428 # DEPENDENCYPART_ARC
(1,2),-0.0218569 # DEPENDENCYPART_ARC
(2,1),2.33829 # DEPENDENCYPART_ARC
(2,3),0.643888 # DEPENDENCYPART_ARC
(2,4),1.08799 # DEPENDENCYPART_ARC
(2,5),-1.18827 # DEPENDENCYPART_ARC
(2,7),-1.09578 # DEPENDENCYPART_ARC
(2,8),0.0967188 # DEPENDENCYPART_ARC
(2,10),-0.811923 # DEPENDENCYPART_ARC
(2,11),-1.40738 # DEPENDENCYPART_ARC
(2,14),-1.44987 # DEPENDENCYPART_ARC
(2,16),-3.58523 # DEPENDENCYPART_ARC
(2,18),-1.51261 # DEPENDENCYPART_ARC
(2,22),-0.954622 # DEPENDENCYPART_ARC
(2,34),-0.0559406 # DEPENDENCYPART_ARC
(3,1),-1.55365 # DEPENDENCYPART_ARC
(3,2),-0.58285 # DEPENDENCYPART_ARC
(3,4),0.0048693 # DEPENDENCYPART_ARC
(3,5),-2.00799 # DEPENDENCYPART_ARC
(3,7),-2.19912 # DEPENDENCYPART_ARC
(3,8),-1.83354 # DEPENDENCYPART_ARC
(4,1),-0.64299 # DEPENDENCYPART_ARC
(4,2),1.9952 # DEPENDENCYPART_ARC
(4,3),2.83238 # DEPENDENCYPART_ARC
(4,5),0.705092 # DEPENDENCYPART_ARC
(4,7),0.702643 # DEPENDENCYPART_ARC
(4,8),1.73453 # DEPENDENCYPART_ARC
(4,10),-1.00155 # DEPENDENCYPART_ARC
(4,11),1.5587 # DEPENDENCYPART_ARC
(4,13),2.78521 # DEPENDENCYPART_ARC
(4,14),-0.746531 # DEPENDENCYPART_ARC
(4,15),1.41218 # DEPENDENCYPART_ARC
(4,16),1.44698 # DEPENDENCYPART_ARC
(4,19),-0.549165 # DEPENDENCYPART_ARC
(4,23),0.751714 # DEPENDENCYPART_ARC
(4,24),0.374361 # DEPENDENCYPART_ARC
(4,25),-0.569159 # DEPENDENCYPART_ARC
(4,30),-1.96958 # DEPENDENCYPART_ARC
(4,34),6.73481 # DEPENDENCYPART_ARC
(5,7),-1.33821 # DEPENDENCYPART_ARC
(5,8),-0.287373 # DEPENDENCYPART_ARC
(5,11),-1.1308 # DEPENDENCYPART_ARC
(6,3),-1.60404 # DEPENDENCYPART_ARC
(6,8),-0.743524 # DEPENDENCYPART_ARC
(6,9),-1.15259 # DEPENDENCYPART_ARC
(7,1),-2.37455 # DEPENDENCYPART_ARC
(7,2),-2.06261 # DEPENDENCYPART_ARC
(7,3),0.347526 # DEPENDENCYPART_ARC
(7,4),-0.734324 # DEPENDENCYPART_ARC
(7,5),1.41232 # DEPENDENCYPART_ARC
(7,6),3.10701 # DEPENDENCYPART_ARC
(7,8),2.61345 # DEPENDENCYPART_ARC
(7,10),1.94035 # DEPENDENCYPART_ARC
(7,11),0.25943 # DEPENDENCYPART_ARC
(7,13),1.10001 # DEPENDENCYPART_ARC
(7,14),-0.69022 # DEPENDENCYPART_ARC
(7,15),-0.848512 # DEPENDENCYPART_ARC
(7,16),-0.306646 # DEPENDENCYPART_ARC
(7,18),-0.0622993 # DEPENDENCYPART_ARC
(7,19),-0.204113 # DEPENDENCYPART_ARC
(7,22),0.169441 # DEPENDENCYPART_ARC
(7,23),0.00171059 # DEPENDENCYPART_ARC
(7,27),-0.70838 # DEPENDENCYPART_ARC
(7,34),2.52467 # DEPENDENCYPART_ARC
(9,7),-1.41552 # DEPENDENCYPART_ARC
(9,8),-0.250572 # DEPENDENCYPART_ARC
(9,10),-1.19857 # DEPENDENCYPART_ARC
(10,2),-2.1562 # DEPENDENCYPART_ARC
(10,3),-0.192508 # DEPENDENCYPART_ARC
(10,4),-0.864185 # DEPENDENCYPART_ARC
(10,5),0.599005 # DEPENDENCYPART_ARC
(10,6),0.217935 # DEPENDENCYPART_ARC
(10,7),-1.01087 # DEPENDENCYPART_ARC
(10,8),0.740671 # DEPENDENCYPART_ARC
(10,9),3.79291 # DEPENDENCYPART_ARC
(10,11),0.195912 # DEPENDENCYPART_ARC
(10,13),1.60007 # DEPENDENCYPART_ARC
(10,14),-0.482925 # DEPENDENCYPART_ARC
(10,15),-0.307787 # DEPENDENCYPART_ARC
(10,16),0.169189 # DEPENDENCYPART_ARC
(10,18),-0.695682 # DEPENDENCYPART_ARC
(10,19),-0.474994 # DEPENDENCYPART_ARC
(10,22),-0.347932 # DEPENDENCYPART_ARC
(10,23),-0.130831 # DEPENDENCYPART_ARC
(10,25),-2.72187 # DEPENDENCYPART_ARC
(10,27),-1.44864 # DEPENDENCYPART_ARC
(10,34),0.62102 # DEPENDENCYPART_ARC
(11,10),-1.53885 # DEPENDENCYPART_ARC
(12,13),0.95312 # DEPENDENCYPART_ARC
(13,2),-2.11706 # DEPENDENCYPART_ARC
(13,3),-2.60376 # DEPENDENCYPART_ARC
(13,4),-3.40374 # DEPENDENCYPART_ARC
(13,5),0.259248 # DEPENDENCYPART_ARC
(13,7),-0.989401 # DEPENDENCYPART_ARC
(13,8),-2.25036 # DEPENDENCYPART_ARC
(13,10),-0.894183 # DEPENDENCYPART_ARC
(13,11),-0.0633127 # DEPENDENCYPART_ARC
(13,12),2.06817 # DEPENDENCYPART_ARC
(13,14),0.713297 # DEPENDENCYPART_ARC
(13,15),0.0177183 # DEPENDENCYPART_ARC
(13,16),-0.338629 # DEPENDENCYPART_ARC
(13,18),-0.796087 # DEPENDENCYPART_ARC
(13,19),0.315044 # DEPENDENCYPART_ARC
(13,22),-1.84518 # DEPENDENCYPART_ARC
(13,23),0.178335 # DEPENDENCYPART_ARC
(13,24),-1.88658 # DEPENDENCYPART_ARC
(13,25),-2.23865 # DEPENDENCYPART_ARC
(13,30),-1.3804 # DEPENDENCYPART_ARC
(13,34),0.533223 # DEPENDENCYPART_ARC
(14,11),-0.559946 # DEPENDENCYPART_ARC
(14,13),1.12004 # DEPENDENCYPART_ARC
(14,15),-0.344016 # DEPENDENCYPART_ARC
(14,16),-1.72794 # DEPENDENCYPART_ARC
(15,5),-0.111243 # DEPENDENCYPART_ARC
(15,7),-1.74897 # DEPENDENCYPART_ARC
(15,10),-1.78528 # DEPENDENCYPART_ARC
(15,11),-0.669954 # DEPENDENCYPART_ARC
(15,12),-0.0770079 # DEPENDENCYPART_ARC
(15,13),-0.608227 # DEPENDENCYPART_ARC
(15,14),-0.279019 # DEPENDENCYPART_ARC
(15,16),0.343318 # DEPENDENCYPART_ARC
(15,18),-0.63389 # DEPENDENCYPART_ARC
(15,19),-0.139042 # DEPENDENCYPART_ARC
(16,2),-1.08196 # DEPENDENCYPART_ARC
(16,3),-0.896389 # DEPENDENCYPART_ARC
(16,4),-1.71247 # DEPENDENCYPART_ARC
(16,5),2.52128 # DEPENDENCYPART_ARC
(16,6),-2.09402 # DEPENDENCYPART_ARC
(16,7),-0.0601905 # DEPENDENCYPART_ARC
(16,8),-0.561692 # DEPENDENCYPART_ARC
(16,9),-1.60952 # DEPENDENCYPART_ARC
(16,10),0.551319 # DEPENDENCYPART_ARC
(16,11),1.11969 # DEPENDENCYPART_ARC
(16,12),2.96814 # DEPENDENCYPART_ARC
(16,13),0.631273 # DEPENDENCYPART_ARC
(16,14),1.8357 # DEPENDENCYPART_ARC
(16,15),5.05103 # DEPENDENCYPART_ARC
(16,18),2.78395 # DEPENDENCYPART_ARC
(16,19),1.94367 # DEPENDENCYPART_ARC
(16,21),0.879082 # DEPENDENCYPART_ARC
(16,22),0.174894 # DEPENDENCYPART_ARC
(16,23),0.741898 # DEPENDENCYPART_ARC
(16,24),0.45249 # DEPENDENCYPART_ARC
(16,25),-0.37513 # DEPENDENCYPART_ARC
(16,27),-0.207101 # DEPENDENCYPART_ARC
(16,28),-1.42962 # DEPENDENCYPART_ARC
(16,30),0.00919038 # DEPENDENCYPART_ARC
(16,34),1.47308 # DEPENDENCYPART_ARC
(18,4),-2.03237 # DEPENDENCYPART_ARC
(18,13),-1.24597 # DEPENDENCYPART_ARC
(18,14),0.0601222 # DEPENDENCYPART_ARC
(18,15),-1.32294 # DEPENDENCYPART_ARC
(18,16),-0.527976 # DEPENDENCYPART_ARC
(18,17),3.17144 # DEPENDENCYPART_ARC
(18,19),1.50596 # DEPENDENCYPART_ARC
(18,21),0.398197 # DEPENDENCYPART_ARC
(18,22),0.99369 # DEPENDENCYPART_ARC
(18,23),-0.211595 # DEPENDENCYPART_ARC
(18,24),-0.866073 # DEPENDENCYPART_ARC
(18,25),-0.918207 # DEPENDENCYPART_ARC
(18,27),-1.21929 # DEPENDENCYPART_ARC
(18,28),-0.443119 # DEPENDENCYPART_ARC
(18,30),-0.901574 # DEPENDENCYPART_ARC
(18,32),-1.58852 # DEPENDENCYPART_ARC
(19,18),-0.546424 # DEPENDENCYPART_ARC
(19,20),-1.36401 # DEPENDENCYPART_ARC
(19,21),4.05734 # DEPENDENCYPART_ARC
(19,22),0.265811 # DEPENDENCYPART_ARC
(19,23),-0.186724 # DEPENDENCYPART_ARC
(19,24),-1.07997 # DEPENDENCYPART_ARC
(19,25),-1.42481 # DEPENDENCYPART_ARC
(20,18),-1.95546 # DEPENDENCYPART_ARC
(21,14),-0.833226 # DEPENDENCYPART_ARC
(21,17),0.317636 # DEPENDENCYPART_ARC
(21,19),0.715956 # DEPENDENCYPART_ARC
(21,20),3.34645 # DEPENDENCYPART_ARC
(21,22),2.87489 # DEPENDENCYPART_ARC
(21,23),0.316053 # DEPENDENCYPART_ARC
(21,24),0.212486 # DEPENDENCYPART_ARC
(21,25),-0.0377272 # DEPENDENCYPART_ARC
(21,27),-0.807416 # DEPENDENCYPART_ARC
(21,28),0.397366 # DEPENDENCYPART_ARC
(21,30),-0.578062 # DEPENDENCYPART_ARC
(21,32),-0.768286 # DEPENDENCYPART_ARC
(22,20),1.28268 # DEPENDENCYPART_ARC
(22,23),0.200041 # DEPENDENCYPART_ARC
(22,24),-0.828811 # DEPENDENCYPART_ARC
(22,25),-1.18796 # DEPENDENCYPART_ARC
(22,27),-1.53158 # DEPENDENCYPART_ARC
(24,5),1.0244 # DEPENDENCYPART_ARC
(24,10),-2.35626 # DEPENDENCYPART_ARC
(24,12),-0.79648 # DEPENDENCYPART_ARC
(24,18),-2.10342 # DEPENDENCYPART_ARC
(24,19),-2.21148 # DEPENDENCYPART_ARC
(24,21),-1.71181 # DEPENDENCYPART_ARC
(24,22),-1.67229 # DEPENDENCYPART_ARC
(24,25),0.713115 # DEPENDENCYPART_ARC
(24,27),-0.810174 # DEPENDENCYPART_ARC
(24,28),-1.33323 # DEPENDENCYPART_ARC
(24,30),-0.337872 # DEPENDENCYPART_ARC
(24,34),1.22038 # DEPENDENCYPART_ARC
(25,2),-2.03115 # DEPENDENCYPART_ARC
(25,3),-1.4323 # DEPENDENCYPART_ARC
(25,4),-2.42856 # DEPENDENCYPART_ARC
(25,5),0.828009 # DEPENDENCYPART_ARC
(25,7),-0.937265 # DEPENDENCYPART_ARC
(25,10),-0.37929 # DEPENDENCYPART_ARC
(25,11),-1.2005 # DEPENDENCYPART_ARC
(25,12),1.53397 # DEPENDENCYPART_ARC
(25,13),-0.995738 # DEPENDENCYPART_ARC
(25,14),-0.0318086 # DEPENDENCYPART_ARC
(25,15),-0.269295 # DEPENDENCYPART_ARC
(25,16),-1.23236 # DEPENDENCYPART_ARC
(25,18),0.881073 # DEPENDENCYPART_ARC
(25,19),0.430572 # DEPENDENCYPART_ARC
(25,21),1.24245 # DEPENDENCYPART_ARC
(25,22),0.290163 # DEPENDENCYPART_ARC
(25,23),0.0817478 # DEPENDENCYPART_ARC
(25,24),5.81545 # DEPENDENCYPART_ARC
(25,27),3.23628 # DEPENDENCYPART_ARC
(25,28),0.894096 # DEPENDENCYPART_ARC
(25,29),0.433683 # DEPENDENCYPART_ARC
(25,30),2.48853 # DEPENDENCYPART_ARC
(25,31),-0.152706 # DEPENDENCYPART_ARC
(25,32),0.608831 # DEPENDENCYPART_ARC
(25,33),-0.118258 # DEPENDENCYPART_ARC
(25,34),3.37624 # DEPENDENCYPART_ARC
(26,27),2.45231 # DEPENDENCYPART_ARC
(26,28),1.06158 # DEPENDENCYPART_ARC
(27,4),-2.46988 # DEPENDENCYPART_ARC
(27,24),-1.47722 # DEPENDENCYPART_ARC
(27,26),3.44441 # DEPENDENCYPART_ARC
(27,28),2.81772 # DEPENDENCYPART_ARC
(27,29),-0.175087 # DEPENDENCYPART_ARC
(27,30),0.458058 # DEPENDENCYPART_ARC
(27,31),-0.755228 # DEPENDENCYPART_ARC
(27,32),0.627134 # DEPENDENCYPART_ARC
(27,33),-0.793646 # DEPENDENCYPART_ARC
(27,34),0.0660169 # DEPENDENCYPART_ARC
(28,26),-0.51231 # DEPENDENCYPART_ARC
(28,29),3.04484 # DEPENDENCYPART_ARC
(28,30),-0.726212 # DEPENDENCYPART_ARC
(28,31),0.0701157 # DEPENDENCYPART_ARC
(28,32),-0.450095 # DEPENDENCYPART_ARC
(29,26),0.995635 # DEPENDENCYPART_ARC
(29,30),0.535349 # DEPENDENCYPART_ARC
(29,31),0.0557244 # DEPENDENCYPART_ARC
(29,32),0.926306 # DEPENDENCYPART_ARC
(30,28),-0.0858227 # DEPENDENCYPART_ARC
(30,31),3.11168 # DEPENDENCYPART_ARC
(30,32),-0.494289 # DEPENDENCYPART_ARC
(30,33),0.354344 # DEPENDENCYPART_ARC
(31,28),-1.7257 # DEPENDENCYPART_ARC
(31,32),2.60817 # DEPENDENCYPART_ARC
(31,33),0.871021 # DEPENDENCYPART_ARC
(32,33),3.40776 # DEPENDENCYPART_ARC
(33,28),-0.677664 # DEPENDENCYPART_ARC
(33,32),1.60132 # DEPENDENCYPART_ARC
