# _root_ El líder , Eli_Ishai , va assegurar que no ha mantingut cap contacte amb Barak .
#goldHeads=2,7,4,2,4,7,0,11,11,11,7,13,11,11,14,7,
#predictedHeads=2,7,4,2,4,7,0,11,11,11,7,13,11,11,14,7,
(0,2),-7.10176 # DEPENDENCYPART_ARC
(0,6),-2.29012 # DEPENDENCYPART_ARC
(0,7),-2.08871 # DEPENDENCYPART_ARC
(0,10),-3.64509 # DEPENDENCYPART_ARC
(0,11),-4.26194 # DEPENDENCYPART_ARC
(1,2),-0.8774 # DEPENDENCYPART_ARC
(2,1),1.94983 # DEPENDENCYPART_ARC
(2,3),1.66863 # DEPENDENCYPART_ARC
(2,4),2.61644 # DEPENDENCYPART_ARC
(2,5),1.34609 # DEPENDENCYPART_ARC
(2,6),0.679456 # DEPENDENCYPART_ARC
(2,7),0.791018 # DEPENDENCYPART_ARC
(2,8),-1.34495 # DEPENDENCYPART_ARC
(2,11),-2.18524 # DEPENDENCYPART_ARC
(2,13),-1.09904 # DEPENDENCYPART_ARC
(2,14),-0.389694 # DEPENDENCYPART_ARC
(2,16),1.28208 # DEPENDENCYPART_ARC
(3,2),-2.01689 # DEPENDENCYPART_ARC
(4,1),-0.389718 # DEPENDENCYPART_ARC
(4,2),-0.314502 # DEPENDENCYPART_ARC
(4,3),2.83048 # DEPENDENCYPART_ARC
(4,5),2.63072 # DEPENDENCYPART_ARC
(4,6),-0.602965 # DEPENDENCYPART_ARC
(4,7),-0.660334 # DEPENDENCYPART_ARC
(4,11),-3.96371 # DEPENDENCYPART_ARC
(4,16),-0.146143 # DEPENDENCYPART_ARC
(5,3),-0.846456 # DEPENDENCYPART_ARC
(6,2),-1.16075 # DEPENDENCYPART_ARC
(6,3),-2.12649 # DEPENDENCYPART_ARC
(6,4),-1.57013 # DEPENDENCYPART_ARC
(6,5),-1.265 # DEPENDENCYPART_ARC
(6,7),0.201577 # DEPENDENCYPART_ARC
(6,11),-2.24954 # DEPENDENCYPART_ARC
(6,14),-1.37191 # DEPENDENCYPART_ARC
(6,16),1.34314 # DEPENDENCYPART_ARC
(7,1),-1.46252 # DEPENDENCYPART_ARC
(7,2),0.937588 # DEPENDENCYPART_ARC
(7,3),-0.670495 # DEPENDENCYPART_ARC
(7,4),0.641706 # DEPENDENCYPART_ARC
(7,5),-0.121792 # DEPENDENCYPART_ARC
(7,6),5.43375 # DEPENDENCYPART_ARC
(7,8),0.738438 # DEPENDENCYPART_ARC
(7,9),-0.171625 # DEPENDENCYPART_ARC
(7,10),2.04506 # DEPENDENCYPART_ARC
(7,11),1.61703 # DEPENDENCYPART_ARC
(7,13),-1.21511 # DEPENDENCYPART_ARC
(7,14),0.899566 # DEPENDENCYPART_ARC
(7,16),4.74723 # DEPENDENCYPART_ARC
(8,14),-1.88287 # DEPENDENCYPART_ARC
(9,8),0.793249 # DEPENDENCYPART_ARC
(10,2),-3.12055 # DEPENDENCYPART_ARC
(10,6),-0.0142264 # DEPENDENCYPART_ARC
(10,7),-2.78793 # DEPENDENCYPART_ARC
(10,8),1.91179 # DEPENDENCYPART_ARC
(10,9),1.38213 # DEPENDENCYPART_ARC
(10,11),0.250048 # DEPENDENCYPART_ARC
(10,13),-0.188444 # DEPENDENCYPART_ARC
(10,14),-0.536173 # DEPENDENCYPART_ARC
(10,16),1.20339 # DEPENDENCYPART_ARC
(11,1),-2.91533 # DEPENDENCYPART_ARC
(11,2),-0.101051 # DEPENDENCYPART_ARC
(11,3),-2.16556 # DEPENDENCYPART_ARC
(11,4),-0.713986 # DEPENDENCYPART_ARC
(11,5),-1.63886 # DEPENDENCYPART_ARC
(11,6),3.13515 # DEPENDENCYPART_ARC
(11,7),-0.0223931 # DEPENDENCYPART_ARC
(11,8),4.17885 # DEPENDENCYPART_ARC
(11,9),3.67046 # DEPENDENCYPART_ARC
(11,10),5.86291 # DEPENDENCYPART_ARC
(11,13),2.997 # DEPENDENCYPART_ARC
(11,14),2.52199 # DEPENDENCYPART_ARC
(11,15),0.933857 # DEPENDENCYPART_ARC
(11,16),3.06368 # DEPENDENCYPART_ARC
(12,13),2.14742 # DEPENDENCYPART_ARC
(12,14),0.383799 # DEPENDENCYPART_ARC
(13,2),-3.08413 # DEPENDENCYPART_ARC
(13,3),-0.649976 # DEPENDENCYPART_ARC
(13,5),-0.422261 # DEPENDENCYPART_ARC
(13,7),-2.16507 # DEPENDENCYPART_ARC
(13,8),0.695563 # DEPENDENCYPART_ARC
(13,9),0.49638 # DEPENDENCYPART_ARC
(13,11),-1.15602 # DEPENDENCYPART_ARC
(13,12),3.19265 # DEPENDENCYPART_ARC
(13,14),2.40344 # DEPENDENCYPART_ARC
(13,15),0.370696 # DEPENDENCYPART_ARC
(13,16),0.597444 # DEPENDENCYPART_ARC
(14,12),-0.631212 # DEPENDENCYPART_ARC
(14,13),0.219772 # DEPENDENCYPART_ARC
(14,15),3.73475 # DEPENDENCYPART_ARC
(14,16),-0.655971 # DEPENDENCYPART_ARC
(15,13),-1.43968 # DEPENDENCYPART_ARC
(15,16),-0.584303 # DEPENDENCYPART_ARC
