# _root_ ' Si fa falta un estudi , que no vingui a_canvi_de vendre l' aigua ' perquè ' aquest estudi arribarà tard ' , ha dit Castellà .
#goldHeads=10,3,10,3,6,3,3,10,10,25,10,11,14,12,10,20,20,19,20,10,20,20,10,25,0,25,25,
#predictedHeads=3,3,6,3,6,10,10,10,10,12,20,11,14,12,20,20,20,19,20,25,20,20,20,25,0,25,25,
(0,2),-6.37051 # DEPENDENCYPART_ARC
(0,3),-4.00045 # DEPENDENCYPART_ARC
(0,4),-6.59653 # DEPENDENCYPART_ARC
(0,10),-6.40877 # DEPENDENCYPART_ARC
(0,12),-6.02839 # DEPENDENCYPART_ARC
(0,20),-4.76873 # DEPENDENCYPART_ARC
(0,24),-4.19648 # DEPENDENCYPART_ARC
(0,25),-0.896366 # DEPENDENCYPART_ARC
(2,3),1.51041 # DEPENDENCYPART_ARC
(2,4),0.257243 # DEPENDENCYPART_ARC
(2,6),-0.857635 # DEPENDENCYPART_ARC
(2,7),0.655648 # DEPENDENCYPART_ARC
(2,8),0.358119 # DEPENDENCYPART_ARC
(2,11),-0.703809 # DEPENDENCYPART_ARC
(2,16),-0.128324 # DEPENDENCYPART_ARC
(2,23),0.573505 # DEPENDENCYPART_ARC
(2,27),1.39578 # DEPENDENCYPART_ARC
(3,1),1.78079 # DEPENDENCYPART_ARC
(3,2),2.44031 # DEPENDENCYPART_ARC
(3,4),2.3711 # DEPENDENCYPART_ARC
(3,6),-0.312294 # DEPENDENCYPART_ARC
(3,7),1.0787 # DEPENDENCYPART_ARC
(3,8),-0.242129 # DEPENDENCYPART_ARC
(3,9),-1.21124 # DEPENDENCYPART_ARC
(3,10),1.17714 # DEPENDENCYPART_ARC
(3,11),0.256939 # DEPENDENCYPART_ARC
(3,12),-0.156592 # DEPENDENCYPART_ARC
(3,15),0.849951 # DEPENDENCYPART_ARC
(3,16),-1.3993 # DEPENDENCYPART_ARC
(3,20),-0.146585 # DEPENDENCYPART_ARC
(3,22),-0.146876 # DEPENDENCYPART_ARC
(3,23),1.07317 # DEPENDENCYPART_ARC
(3,25),-1.02811 # DEPENDENCYPART_ARC
(3,27),2.0178 # DEPENDENCYPART_ARC
(4,1),-0.216454 # DEPENDENCYPART_ARC
(4,2),0.330463 # DEPENDENCYPART_ARC
(4,3),1.61167 # DEPENDENCYPART_ARC
(4,5),-0.0947734 # DEPENDENCYPART_ARC
(4,6),-0.307675 # DEPENDENCYPART_ARC
(4,7),-0.0852459 # DEPENDENCYPART_ARC
(4,8),-1.53031 # DEPENDENCYPART_ARC
(4,10),-0.599628 # DEPENDENCYPART_ARC
(4,15),-0.976083 # DEPENDENCYPART_ARC
(5,6),0.209139 # DEPENDENCYPART_ARC
(6,2),0.130321 # DEPENDENCYPART_ARC
(6,3),0.995799 # DEPENDENCYPART_ARC
(6,4),-0.335142 # DEPENDENCYPART_ARC
(6,5),3.77642 # DEPENDENCYPART_ARC
(6,7),0.732603 # DEPENDENCYPART_ARC
(6,8),-1.20342 # DEPENDENCYPART_ARC
(6,10),0.173458 # DEPENDENCYPART_ARC
(6,12),-1.42012 # DEPENDENCYPART_ARC
(6,14),-2.16115 # DEPENDENCYPART_ARC
