# _root_ Volent potser calmar les ansietats dels diputats , Putin va subratllar que Moscou pretén augmentar " l' eficàcia del seu poder de dissuasió " , encara_que no incrementant " quantitativament " el nombre de caps nuclears .
#goldHeads=11,1,1,5,3,5,6,1,11,11,0,14,14,11,14,18,18,15,18,21,19,21,22,18,28,28,28,15,30,28,30,33,28,33,34,35,11,
#predictedHeads=3,3,11,5,3,5,6,7,11,11,0,14,14,11,14,18,18,15,18,21,19,21,22,14,28,28,28,15,30,28,30,33,28,33,34,35,14,
(0,1),-5.72631 # DEPENDENCYPART_ARC
(0,3),-5.27905 # DEPENDENCYPART_ARC
(0,10),-2.67282 # DEPENDENCYPART_ARC
(0,11),-3.07041 # DEPENDENCYPART_ARC
(0,14),-1.43467 # DEPENDENCYPART_ARC
(0,15),-3.64645 # DEPENDENCYPART_ARC
(0,28),-6.96099 # DEPENDENCYPART_ARC
(1,2),1.47005 # DEPENDENCYPART_ARC
(1,3),1.4792 # DEPENDENCYPART_ARC
(1,5),2.17061 # DEPENDENCYPART_ARC
(1,6),0.265652 # DEPENDENCYPART_ARC
(1,7),0.656617 # DEPENDENCYPART_ARC
(1,8),0.39841 # DEPENDENCYPART_ARC
(1,9),-0.677248 # DEPENDENCYPART_ARC
(1,10),-0.802833 # DEPENDENCYPART_ARC
(1,11),-0.779766 # DEPENDENCYPART_ARC
(1,12),-1.77305 # DEPENDENCYPART_ARC
(1,13),-2.21501 # DEPENDENCYPART_ARC
(1,14),-0.349412 # DEPENDENCYPART_ARC
(1,15),-1.03102 # DEPENDENCYPART_ARC
(1,16),0.0289515 # DEPENDENCYPART_ARC
(1,18),-0.832452 # DEPENDENCYPART_ARC
(1,24),0.288878 # DEPENDENCYPART_ARC
(1,25),-0.238251 # DEPENDENCYPART_ARC
(1,28),-0.739696 # DEPENDENCYPART_ARC
(1,29),-2.14949 # DEPENDENCYPART_ARC
(1,31),-2.12046 # DEPENDENCYPART_ARC
(1,33),-4.61829 # DEPENDENCYPART_ARC
(1,37),3.72229 # DEPENDENCYPART_ARC
(2,1),-0.581908 # DEPENDENCYPART_ARC
(2,3),-0.290335 # DEPENDENCYPART_ARC
(2,6),-1.87557 # DEPENDENCYPART_ARC
(2,8),-1.87182 # DEPENDENCYPART_ARC
(3,1),1.97157 # DEPENDENCYPART_ARC
(3,2),1.9254 # DEPENDENCYPART_ARC
(3,5),4.06743 # DEPENDENCYPART_ARC
(3,6),1.05099 # DEPENDENCYPART_ARC
(3,7),1.5835 # DEPENDENCYPART_ARC
(3,8),0.270511 # DEPENDENCYPART_ARC
(3,9),0.0447984 # DEPENDENCYPART_ARC
(3,10),-0.14814 # DEPENDENCYPART_ARC
(3,11),-0.00559566 # DEPENDENCYPART_ARC
(3,12),-1.39616 # DEPENDENCYPART_ARC
(3,13),-1.91542 # DEPENDENCYPART_ARC
(3,14),-0.0577714 # DEPENDENCYPART_ARC
(3,15),-0.268847 # DEPENDENCYPART_ARC
(3,16),-0.46573 # DEPENDENCYPART_ARC
(3,18),-1.03893 # DEPENDENCYPART_ARC
(3,24),-0.431478 # DEPENDENCYPART_ARC
(3,25),-0.613932 # DEPENDENCYPART_ARC
(3,28),-0.700521 # DEPENDENCYPART_ARC
(3,29),-2.22026 # DEPENDENCYPART_ARC
(3,33),-4.95296 # DEPENDENCYPART_ARC
(3,37),1.86578 # DEPENDENCYPART_ARC
(4,2),-1.78785 # DEPENDENCYPART_ARC
(4,5),2.04688 # DEPENDENCYPART_ARC
(4,6),0.392229 # DEPENDENCYPART_ARC
(5,1),-1.6213 # DEPENDENCYPART_ARC
(5,2),0.2797 # DEPENDENCYPART_ARC
(5,3),-0.219887 # DEPENDENCYPART_ARC
(5,4),3.60796 # DEPENDENCYPART_ARC
(5,6),3.21308 # DEPENDENCYPART_ARC
(5,7),1.29525 # DEPENDENCYPART_ARC
(5,8),0.41406 # DEPENDENCYPART_ARC
(5,9),0.802658 # DEPENDENCYPART_ARC
(5,10),-0.441521 # DEPENDENCYPART_ARC
(5,11),-0.0133859 # DEPENDENCYPART_ARC
(5,12),-1.86117 # DEPENDENCYPART_ARC
(5,13),-1.61859 # DEPENDENCYPART_ARC
(5,14),-2.91906 # DEPENDENCYPART_ARC
(5,15),-2.8111 # DEPENDENCYPART_ARC
(5,16),-0.612165 # DEPENDENCYPART_ARC
(5,18),-1.75342 # DEPENDENCYPART_ARC
(5,19),-1.90466 # DEPENDENCYPART_ARC
(5,33),-5.6225 # DEPENDENCYPART_ARC
(6,2),-1.51077 # DEPENDENCYPART_ARC
(6,4),0.114451 # DEPENDENCYPART_ARC
(6,7),4.2327 # DEPENDENCYPART_ARC
(6,8),0.031038 # DEPENDENCYPART_ARC
(6,9),-0.714484 # DEPENDENCYPART_ARC
(6,11),-1.77983 # DEPENDENCYPART_ARC
(7,4),-1.05951 # DEPENDENCYPART_ARC
(7,8),2.15791 # DEPENDENCYPART_ARC
(7,9),1.35814 # DEPENDENCYPART_ARC
(7,10),0.586638 # DEPENDENCYPART_ARC
(7,11),0.643076 # DEPENDENCYPART_ARC
(7,12),-0.738646 # DEPENDENCYPART_ARC
(7,13),-0.129772 # DEPENDENCYPART_ARC
(7,14),-2.30786 # DEPENDENCYPART_ARC
(7,15),-2.50557 # DEPENDENCYPART_ARC
(7,18),-1.71242 # DEPENDENCYPART_ARC
(9,6),-0.155913 # DEPENDENCYPART_ARC
(9,8),0.54707 # DEPENDENCYPART_ARC
(9,10),-0.733216 # DEPENDENCYPART_ARC
(10,1),-1.95724 # DEPENDENCYPART_ARC
(10,2),-2.24988 # DEPENDENCYPART_ARC
(10,3),-2.05524 # DEPENDENCYPART_ARC
(10,5),-1.39566 # DEPENDENCYPART_ARC
(10,8),-1.73025 # DEPENDENCYPART_ARC
(10,9),-0.208516 # DEPENDENCYPART_ARC
(10,13),-2.97419 # DEPENDENCYPART_ARC
(10,14),-1.28363 # DEPENDENCYPART_ARC
(10,15),-1.68177 # DEPENDENCYPART_ARC
(10,37),0.201967 # DEPENDENCYPART_ARC
(11,1),0.0743048 # DEPENDENCYPART_ARC
(11,2),0.610735 # DEPENDENCYPART_ARC
(11,3),-0.184553 # DEPENDENCYPART_ARC
(11,4),-0.321866 # DEPENDENCYPART_ARC
(11,5),2.00614 # DEPENDENCYPART_ARC
(11,6),-0.462346 # DEPENDENCYPART_ARC
(11,7),0.569787 # DEPENDENCYPART_ARC
(11,8),0.14121 # DEPENDENCYPART_ARC
(11,9),2.20886 # DEPENDENCYPART_ARC
(11,10),5.40502 # DEPENDENCYPART_ARC
(11,12),0.307209 # DEPENDENCYPART_ARC
(11,13),-0.116687 # DEPENDENCYPART_ARC
(11,14),2.61808 # DEPENDENCYPART_ARC
(11,15),1.69544 # DEPENDENCYPART_ARC
(11,16),-0.00397598 # DEPENDENCYPART_ARC
(11,18),-1.31613 # DEPENDENCYPART_ARC
(11,19),-1.21236 # DEPENDENCYPART_ARC
(11,22),-0.947584 # DEPENDENCYPART_ARC
(11,24),0.219892 # DEPENDENCYPART_ARC
(11,25),1.75614 # DEPENDENCYPART_ARC
(11,26),-1.65938 # DEPENDENCYPART_ARC
(11,28),0.412981 # DEPENDENCYPART_ARC
(11,29),-2.07812 # DEPENDENCYPART_ARC
(11,30),-2.53638 # DEPENDENCYPART_ARC
(11,31),-2.69702 # DEPENDENCYPART_ARC
(11,36),-1.73356 # DEPENDENCYPART_ARC
(11,37),4.11792 # DEPENDENCYPART_ARC
(12,13),-1.17939 # DEPENDENCYPART_ARC
(13,11),-1.01301 # DEPENDENCYPART_ARC
(13,12),1.10208 # DEPENDENCYPART_ARC
(13,14),0.00302052 # DEPENDENCYPART_ARC
(13,15),-1.48707 # DEPENDENCYPART_ARC
(13,18),-1.72993 # DEPENDENCYPART_ARC
(14,1),-1.07508 # DEPENDENCYPART_ARC
(14,2),-1.37129 # DEPENDENCYPART_ARC
(14,3),-1.59565 # DEPENDENCYPART_ARC
(14,5),-0.281585 # DEPENDENCYPART_ARC
(14,9),-0.523525 # DEPENDENCYPART_ARC
(14,10),0.736069 # DEPENDENCYPART_ARC
(14,11),-0.65328 # DEPENDENCYPART_ARC
(14,12),3.82348 # DEPENDENCYPART_ARC
(14,13),1.65079 # DEPENDENCYPART_ARC
(14,15),3.24269 # DEPENDENCYPART_ARC
(14,16),0.716262 # DEPENDENCYPART_ARC
(14,18),0.60107 # DEPENDENCYPART_ARC
(14,19),-0.753382 # DEPENDENCYPART_ARC
(14,21),-0.252646 # DEPENDENCYPART_ARC
(14,22),-0.74919 # DEPENDENCYPART_ARC
(14,24),0.944873 # DEPENDENCYPART_ARC
(14,25),1.21597 # DEPENDENCYPART_ARC
(14,26),-0.960006 # DEPENDENCYPART_ARC
(14,28),0.342968 # DEPENDENCYPART_ARC
(14,29),-1.44845 # DEPENDENCYPART_ARC
(14,30),-1.4101 # DEPENDENCYPART_ARC
(14,31),-2.29832 # DEPENDENCYPART_ARC
(14,33),-3.69422 # DEPENDENCYPART_ARC
(14,36),-1.36891 # DEPENDENCYPART_ARC
(14,37),4.50768 # DEPENDENCYPART_ARC
(15,1),-2.94688 # DEPENDENCYPART_ARC
(15,2),-2.21947 # DEPENDENCYPART_ARC
(15,3),-3.05849 # DEPENDENCYPART_ARC
(15,5),-1.32804 # DEPENDENCYPART_ARC
(15,6),-3.99321 # DEPENDENCYPART_ARC
(15,8),-3.89714 # DEPENDENCYPART_ARC
(15,9),-1.45693 # DEPENDENCYPART_ARC
(15,10),-0.321356 # DEPENDENCYPART_ARC
(15,11),-1.87877 # DEPENDENCYPART_ARC
(15,12),1.86888 # DEPENDENCYPART_ARC
(15,13),-0.211503 # DEPENDENCYPART_ARC
(15,14),1.9923 # DEPENDENCYPART_ARC
(15,16),1.03951 # DEPENDENCYPART_ARC
(15,18),1.97388 # DEPENDENCYPART_ARC
(15,19),0.417546 # DEPENDENCYPART_ARC
(15,21),0.96936 # DEPENDENCYPART_ARC
(15,22),-0.191081 # DEPENDENCYPART_ARC
(15,23),-0.366862 # DEPENDENCYPART_ARC
(15,24),0.637163 # DEPENDENCYPART_ARC
(15,25),0.0374075 # DEPENDENCYPART_ARC
(15,26),-1.3414 # DEPENDENCYPART_ARC
(15,27),-2.42044 # DEPENDENCYPART_ARC
(15,28),0.644246 # DEPENDENCYPART_ARC
(15,29),-1.63112 # DEPENDENCYPART_ARC
(15,30),-1.61777 # DEPENDENCYPART_ARC
(15,33),-2.82809 # DEPENDENCYPART_ARC
(15,36),-1.14591 # DEPENDENCYPART_ARC
(15,37),2.69359 # DEPENDENCYPART_ARC
(17,16),0.0757566 # DEPENDENCYPART_ARC
(17,18),1.13827 # DEPENDENCYPART_ARC
(17,19),-0.999311 # DEPENDENCYPART_ARC
(17,20),-0.621248 # DEPENDENCYPART_ARC
(18,1),-2.73473 # DEPENDENCYPART_ARC
(18,3),-2.42917 # DEPENDENCYPART_ARC
(18,6),-1.64711 # DEPENDENCYPART_ARC
(18,12),-0.0879292 # DEPENDENCYPART_ARC
(18,16),1.56873 # DEPENDENCYPART_ARC
(18,17),3.31736 # DEPENDENCYPART_ARC
(18,19),2.89117 # DEPENDENCYPART_ARC
(18,20),0.393985 # DEPENDENCYPART_ARC
(18,21),0.993281 # DEPENDENCYPART_ARC
(18,22),2.02459 # DEPENDENCYPART_ARC
(18,23),0.482074 # DEPENDENCYPART_ARC
(18,24),0.807623 # DEPENDENCYPART_ARC
(18,25),0.156994 # DEPENDENCYPART_ARC
(18,26),0.0237981 # DEPENDENCYPART_ARC
(18,28),-0.399046 # DEPENDENCYPART_ARC
(18,29),-1.0967 # DEPENDENCYPART_ARC
(18,30),-1.32726 # DEPENDENCYPART_ARC
(18,31),-0.830465 # DEPENDENCYPART_ARC
(18,33),-2.82586 # DEPENDENCYPART_ARC
(18,36),-2.36147 # DEPENDENCYPART_ARC
(18,37),0.567623 # DEPENDENCYPART_ARC
(19,17),-0.985205 # DEPENDENCYPART_ARC
(19,21),3.86207 # DEPENDENCYPART_ARC
(19,22),-0.223706 # DEPENDENCYPART_ARC
(19,23),0.356278 # DEPENDENCYPART_ARC
(19,24),-0.461043 # DEPENDENCYPART_ARC
(19,26),-0.707643 # DEPENDENCYPART_ARC
(19,29),-2.08413 # DEPENDENCYPART_ARC
(21,16),-0.916298 # DEPENDENCYPART_ARC
(21,17),-1.07255 # DEPENDENCYPART_ARC
(21,19),-0.695369 # DEPENDENCYPART_ARC
(21,20),2.14972 # DEPENDENCYPART_ARC
(21,22),2.54077 # DEPENDENCYPART_ARC
(21,23),0.0505076 # DEPENDENCYPART_ARC
(21,24),0.0898226 # DEPENDENCYPART_ARC
(21,25),-0.411839 # DEPENDENCYPART_ARC
(21,26),-0.706206 # DEPENDENCYPART_ARC
(21,28),-1.24527 # DEPENDENCYPART_ARC
(21,33),-2.40865 # DEPENDENCYPART_ARC
(21,36),-3.28982 # DEPENDENCYPART_ARC
(22,23),4.04426 # DEPENDENCYPART_ARC
(22,26),-0.479179 # DEPENDENCYPART_ARC
(23,17),-1.38939 # DEPENDENCYPART_ARC
(23,19),-0.496379 # DEPENDENCYPART_ARC
(23,20),0.848364 # DEPENDENCYPART_ARC
(23,22),1.34478 # DEPENDENCYPART_ARC
(23,24),-0.116582 # DEPENDENCYPART_ARC
(23,26),-0.818678 # DEPENDENCYPART_ARC
(23,28),-1.12453 # DEPENDENCYPART_ARC
(23,33),-3.51082 # DEPENDENCYPART_ARC
(23,36),-2.54831 # DEPENDENCYPART_ARC
(26,25),-0.145412 # DEPENDENCYPART_ARC
(26,28),-0.396823 # DEPENDENCYPART_ARC
(27,26),0.392972 # DEPENDENCYPART_ARC
(28,1),-2.41597 # DEPENDENCYPART_ARC
(28,2),-3.07106 # DEPENDENCYPART_ARC
(28,3),-2.91287 # DEPENDENCYPART_ARC
(28,5),-2.5343 # DEPENDENCYPART_ARC
(28,9),-2.46175 # DEPENDENCYPART_ARC
(28,10),-1.38775 # DEPENDENCYPART_ARC
(28,11),-1.93437 # DEPENDENCYPART_ARC
(28,12),1.50546 # DEPENDENCYPART_ARC
(28,13),-1.21622 # DEPENDENCYPART_ARC
(28,14),-0.34894 # DEPENDENCYPART_ARC
(28,15),-2.01061 # DEPENDENCYPART_ARC
(28,16),0.143876 # DEPENDENCYPART_ARC
(28,17),-1.26076 # DEPENDENCYPART_ARC
(28,18),-1.0856 # DEPENDENCYPART_ARC
(28,19),-3.03409 # DEPENDENCYPART_ARC
(28,21),-0.754936 # DEPENDENCYPART_ARC
(28,22),-2.11253 # DEPENDENCYPART_ARC
(28,23),-1.97091 # DEPENDENCYPART_ARC
(28,24),0.625726 # DEPENDENCYPART_ARC
(28,25),1.93652 # DEPENDENCYPART_ARC
(28,26),2.87804 # DEPENDENCYPART_ARC
(28,27),4.23987 # DEPENDENCYPART_ARC
(28,29),1.27591 # DEPENDENCYPART_ARC
(28,30),1.55067 # DEPENDENCYPART_ARC
(28,31),0.290668 # DEPENDENCYPART_ARC
(28,33),1.80866 # DEPENDENCYPART_ARC
(28,34),0.261724 # DEPENDENCYPART_ARC
(28,35),0.501656 # DEPENDENCYPART_ARC
(28,36),0.683052 # DEPENDENCYPART_ARC
(28,37),2.17916 # DEPENDENCYPART_ARC
(30,19),-1.24204 # DEPENDENCYPART_ARC
(30,22),-1.09245 # DEPENDENCYPART_ARC
(30,25),-0.88568 # DEPENDENCYPART_ARC
(30,29),2.63017 # DEPENDENCYPART_ARC
(30,31),2.4032 # DEPENDENCYPART_ARC
(30,33),-0.470748 # DEPENDENCYPART_ARC
(30,34),-0.685198 # DEPENDENCYPART_ARC
(30,37),-0.127893 # DEPENDENCYPART_ARC
(32,30),-0.913831 # DEPENDENCYPART_ARC
(32,31),0.283567 # DEPENDENCYPART_ARC
(32,34),0.498095 # DEPENDENCYPART_ARC
(33,29),0.612447 # DEPENDENCYPART_ARC
(33,30),0.156082 # DEPENDENCYPART_ARC
(33,31),1.37044 # DEPENDENCYPART_ARC
(33,32),3.20924 # DEPENDENCYPART_ARC
