# _root_ La dona va aparcar i va mirar d' agafar un taxi , moment en el qual l' acusat ' la va agafar pels cabells , va iniciar un forcejament i una persecució fins a introduir -la de_nou en el cotxe ' .
#goldHeads=2,4,4,0,4,9,9,9,4,11,9,13,9,22,16,14,18,22,22,22,22,13,22,23,22,27,22,29,27,29,32,29,27,33,34,35,35,35,40,38,22,4,
#predictedHeads=2,4,4,0,4,9,9,9,4,11,9,13,11,9,16,14,18,14,22,22,22,18,22,23,22,27,22,29,27,29,32,29,27,33,34,35,35,35,40,38,27,4,
(0,3),-2.55584 # DEPENDENCYPART_ARC
(0,4),-3.54167 # DEPENDENCYPART_ARC
(0,7),-4.38634 # DEPENDENCYPART_ARC
(0,9),-4.70871 # DEPENDENCYPART_ARC
(0,22),-3.30559 # DEPENDENCYPART_ARC
(0,27),-3.98954 # DEPENDENCYPART_ARC
(1,2),0.827994 # DEPENDENCYPART_ARC
(2,1),3.3382 # DEPENDENCYPART_ARC
(2,3),0.108547 # DEPENDENCYPART_ARC
(2,4),-0.577772 # DEPENDENCYPART_ARC
(3,2),0.187078 # DEPENDENCYPART_ARC
(3,4),0.494084 # DEPENDENCYPART_ARC
(3,5),0.575766 # DEPENDENCYPART_ARC
(3,6),-1.29446 # DEPENDENCYPART_ARC
(3,7),-1.56464 # DEPENDENCYPART_ARC
(3,8),-1.27054 # DEPENDENCYPART_ARC
(3,9),-2.20653 # DEPENDENCYPART_ARC
(3,42),1.24133 # DEPENDENCYPART_ARC
(4,1),0.16112 # DEPENDENCYPART_ARC
(4,2),2.40065 # DEPENDENCYPART_ARC
(4,3),5.1945 # DEPENDENCYPART_ARC
(4,5),3.79445 # DEPENDENCYPART_ARC
(4,6),2.53141 # DEPENDENCYPART_ARC
(4,7),2.2958 # DEPENDENCYPART_ARC
(4,8),0.633879 # DEPENDENCYPART_ARC
(4,9),1.34896 # DEPENDENCYPART_ARC
(4,11),0.0475969 # DEPENDENCYPART_ARC
(4,12),0.263324 # DEPENDENCYPART_ARC
(4,13),-0.719745 # DEPENDENCYPART_ARC
(4,14),0.759082 # DEPENDENCYPART_ARC
(4,18),-0.298872 # DEPENDENCYPART_ARC
(4,19),-0.363092 # DEPENDENCYPART_ARC
(4,21),-1.31869 # DEPENDENCYPART_ARC
(4,22),0.196537 # DEPENDENCYPART_ARC
(4,23),-0.169827 # DEPENDENCYPART_ARC
(4,25),-0.204409 # DEPENDENCYPART_ARC
(4,27),0.695184 # DEPENDENCYPART_ARC
(4,30),-0.875743 # DEPENDENCYPART_ARC
(4,33),-1.63282 # DEPENDENCYPART_ARC
(4,35),-1.12792 # DEPENDENCYPART_ARC
(4,41),-1.23593 # DEPENDENCYPART_ARC
(4,42),5.84254 # DEPENDENCYPART_ARC
(6,7),-0.59583 # DEPENDENCYPART_ARC
(6,8),-1.26688 # DEPENDENCYPART_ARC
(7,2),-0.425793 # DEPENDENCYPART_ARC
(7,3),0.76163 # DEPENDENCYPART_ARC
(7,4),-1.59586 # DEPENDENCYPART_ARC
(7,5),0.336166 # DEPENDENCYPART_ARC
(7,6),4.39804 # DEPENDENCYPART_ARC
(7,8),1.95966 # DEPENDENCYPART_ARC
(7,9),0.542965 # DEPENDENCYPART_ARC
(7,11),1.03247 # DEPENDENCYPART_ARC
(7,12),0.0221865 # DEPENDENCYPART_ARC
(7,13),-0.679824 # DEPENDENCYPART_ARC
(7,14),0.377105 # DEPENDENCYPART_ARC
(7,18),-0.0285182 # DEPENDENCYPART_ARC
(7,19),-0.412246 # DEPENDENCYPART_ARC
(7,22),-0.846589 # DEPENDENCYPART_ARC
(7,23),-0.797337 # DEPENDENCYPART_ARC
(7,25),0.812237 # DEPENDENCYPART_ARC
(7,27),-0.90067 # DEPENDENCYPART_ARC
(7,29),-1.09644 # DEPENDENCYPART_ARC
(7,30),-0.453044 # DEPENDENCYPART_ARC
(7,33),-1.55159 # DEPENDENCYPART_ARC
(7,35),-2.03604 # DEPENDENCYPART_ARC
(7,41),-0.201864 # DEPENDENCYPART_ARC
(7,42),5.7934 # DEPENDENCYPART_ARC
