# _root_ El tribunal es torna a remetre als fonaments jurídics de la sentència que , en cap cas , es refereix als empleats públics autonòmics o locals .
#goldHeads=2,6,6,6,6,0,6,7,8,8,12,10,20,15,20,17,15,15,20,12,20,21,22,22,24,24,6,
#predictedHeads=2,6,6,6,6,0,6,7,8,8,12,10,20,15,20,17,15,20,20,12,20,21,22,22,24,24,6,
(0,2),-6.45182 # DEPENDENCYPART_ARC
(0,4),-3.61127 # DEPENDENCYPART_ARC
(0,5),-7.6 # DEPENDENCYPART_ARC
(0,6),-4.74763 # DEPENDENCYPART_ARC
(0,20),-4.36896 # DEPENDENCYPART_ARC
(1,2),-0.578727 # DEPENDENCYPART_ARC
(2,1),2.83726 # DEPENDENCYPART_ARC
(2,4),0.642165 # DEPENDENCYPART_ARC
(2,5),-2.19004 # DEPENDENCYPART_ARC
(2,6),-1.05396 # DEPENDENCYPART_ARC
(2,7),-2.84621 # DEPENDENCYPART_ARC
(2,9),-2.92365 # DEPENDENCYPART_ARC
(2,10),-1.66466 # DEPENDENCYPART_ARC
(2,20),-1.92175 # DEPENDENCYPART_ARC
(2,27),0.00517015 # DEPENDENCYPART_ARC
(4,1),-1.67028 # DEPENDENCYPART_ARC
(4,2),0.702538 # DEPENDENCYPART_ARC
(4,3),2.4233 # DEPENDENCYPART_ARC
(4,5),3.75178 # DEPENDENCYPART_ARC
(4,6),0.558529 # DEPENDENCYPART_ARC
(4,7),1.03063 # DEPENDENCYPART_ARC
(4,8),-0.322611 # DEPENDENCYPART_ARC
(4,9),-1.25157 # DEPENDENCYPART_ARC
(4,10),-1.18448 # DEPENDENCYPART_ARC
(4,12),0.30506 # DEPENDENCYPART_ARC
(4,14),-0.558659 # DEPENDENCYPART_ARC
(4,15),-0.400036 # DEPENDENCYPART_ARC
(4,17),-0.666058 # DEPENDENCYPART_ARC
(4,18),-0.491697 # DEPENDENCYPART_ARC
(4,20),0.74558 # DEPENDENCYPART_ARC
(4,21),-1.60888 # DEPENDENCYPART_ARC
(4,27),3.40212 # DEPENDENCYPART_ARC
(5,4),-0.176056 # DEPENDENCYPART_ARC
(5,6),1.72006 # DEPENDENCYPART_ARC
(5,7),-0.0890768 # DEPENDENCYPART_ARC
(5,8),1.08301 # DEPENDENCYPART_ARC
(5,9),-2.00992 # DEPENDENCYPART_ARC
(5,10),-2.26152 # DEPENDENCYPART_ARC
(5,14),-0.662995 # DEPENDENCYPART_ARC
(5,18),-1.90438 # DEPENDENCYPART_ARC
(6,1),-0.639282 # DEPENDENCYPART_ARC
(6,2),1.06439 # DEPENDENCYPART_ARC
(6,3),2.58324 # DEPENDENCYPART_ARC
(6,4),3.2351 # DEPENDENCYPART_ARC
(6,5),4.215 # DEPENDENCYPART_ARC
(6,7),3.99548 # DEPENDENCYPART_ARC
(6,8),3.0318 # DEPENDENCYPART_ARC
(6,9),0.718469 # DEPENDENCYPART_ARC
(6,10),0.424219 # DEPENDENCYPART_ARC
(6,12),1.61741 # DEPENDENCYPART_ARC
(6,14),-0.187035 # DEPENDENCYPART_ARC
(6,15),0.662019 # DEPENDENCYPART_ARC
(6,17),0.844375 # DEPENDENCYPART_ARC
(6,18),-0.213348 # DEPENDENCYPART_ARC
(6,20),0.86533 # DEPENDENCYPART_ARC
(6,21),-0.343371 # DEPENDENCYPART_ARC
(6,24),-1.75248 # DEPENDENCYPART_ARC
(6,25),-1.33579 # DEPENDENCYPART_ARC
(6,26),-1.52552 # DEPENDENCYPART_ARC
(6,27),4.46152 # DEPENDENCYPART_ARC
(7,5),-1.15972 # DEPENDENCYPART_ARC
(7,6),-0.855331 # DEPENDENCYPART_ARC
(7,8),5.69164 # DEPENDENCYPART_ARC
(7,9),0.215878 # DEPENDENCYPART_ARC
(7,10),-0.48674 # DEPENDENCYPART_ARC
(7,12),-0.746373 # DEPENDENCYPART_ARC
(7,14),0.480083 # DEPENDENCYPART_ARC
(7,15),-0.333444 # DEPENDENCYPART_ARC
(8,6),-2.16218 # DEPENDENCYPART_ARC
(8,7),-0.412201 # DEPENDENCYPART_ARC
(8,9),3.7858 # DEPENDENCYPART_ARC
(8,10),2.04028 # DEPENDENCYPART_ARC
(8,12),-0.0340127 # DEPENDENCYPART_ARC
(8,14),-0.148375 # DEPENDENCYPART_ARC
(8,15),-0.416523 # DEPENDENCYPART_ARC
(8,17),-0.164694 # DEPENDENCYPART_ARC
(8,18),-0.292761 # DEPENDENCYPART_ARC
(8,20),1.43509 # DEPENDENCYPART_ARC
(8,23),0.2367 # DEPENDENCYPART_ARC
(8,24),-0.257443 # DEPENDENCYPART_ARC
(8,26),-0.890144 # DEPENDENCYPART_ARC
(8,27),0.771855 # DEPENDENCYPART_ARC
(9,5),-0.42382 # DEPENDENCYPART_ARC
(9,10),0.61836 # DEPENDENCYPART_ARC
(9,12),-0.667102 # DEPENDENCYPART_ARC
(9,14),-0.261405 # DEPENDENCYPART_ARC
(9,15),-1.38468 # DEPENDENCYPART_ARC
(9,18),-0.395548 # DEPENDENCYPART_ARC
(9,20),-0.836932 # DEPENDENCYPART_ARC
(9,21),-2.94945 # DEPENDENCYPART_ARC
(9,24),-1.74114 # DEPENDENCYPART_ARC
(9,25),-0.137181 # DEPENDENCYPART_ARC
(10,9),-0.275428 # DEPENDENCYPART_ARC
(10,12),4.28135 # DEPENDENCYPART_ARC
(10,14),0.384244 # DEPENDENCYPART_ARC
(10,15),-0.895484 # DEPENDENCYPART_ARC
(10,18),-0.621521 # DEPENDENCYPART_ARC
(10,20),0.221839 # DEPENDENCYPART_ARC
(12,2),-2.73288 # DEPENDENCYPART_ARC
(12,9),-1.50144 # DEPENDENCYPART_ARC
(12,10),0.351148 # DEPENDENCYPART_ARC
(12,11),3.98247 # DEPENDENCYPART_ARC
(12,13),-0.962389 # DEPENDENCYPART_ARC
(12,14),-0.133057 # DEPENDENCYPART_ARC
(12,15),0.0423076 # DEPENDENCYPART_ARC
(12,16),-0.928262 # DEPENDENCYPART_ARC
(12,17),0.201682 # DEPENDENCYPART_ARC
(12,18),-0.0621446 # DEPENDENCYPART_ARC
(12,20),3.02337 # DEPENDENCYPART_ARC
(12,21),-1.67162 # DEPENDENCYPART_ARC
(12,23),-3.48615 # DEPENDENCYPART_ARC
(12,24),-3.86347 # DEPENDENCYPART_ARC
(12,25),-0.649863 # DEPENDENCYPART_ARC
(12,26),-2.78606 # DEPENDENCYPART_ARC
(12,27),1.48877 # DEPENDENCYPART_ARC
(13,15),-0.468726 # DEPENDENCYPART_ARC
(15,4),-1.42771 # DEPENDENCYPART_ARC
(15,6),-1.66984 # DEPENDENCYPART_ARC
(15,13),-0.554447 # DEPENDENCYPART_ARC
(15,14),2.77096 # DEPENDENCYPART_ARC
(15,16),0.178653 # DEPENDENCYPART_ARC
(15,17),4.32234 # DEPENDENCYPART_ARC
(15,18),2.35873 # DEPENDENCYPART_ARC
(15,20),0.100431 # DEPENDENCYPART_ARC
(15,21),-1.12262 # DEPENDENCYPART_ARC
(15,25),0.0294399 # DEPENDENCYPART_ARC
(15,26),-1.75548 # DEPENDENCYPART_ARC
(15,27),1.05839 # DEPENDENCYPART_ARC
(16,21),-2.47536 # DEPENDENCYPART_ARC
(17,6),-1.92989 # DEPENDENCYPART_ARC
(17,10),-0.331185 # DEPENDENCYPART_ARC
(17,11),-0.662239 # DEPENDENCYPART_ARC
(17,16),3.62602 # DEPENDENCYPART_ARC
(17,18),-0.473444 # DEPENDENCYPART_ARC
(17,20),1.50405 # DEPENDENCYPART_ARC
(17,21),-1.46712 # DEPENDENCYPART_ARC
(17,23),-1.60198 # DEPENDENCYPART_ARC
(17,24),-2.08413 # DEPENDENCYPART_ARC
(17,26),-2.57309 # DEPENDENCYPART_ARC
(20,2),0.145294 # DEPENDENCYPART_ARC
(20,4),-0.300176 # DEPENDENCYPART_ARC
(20,5),0.57376 # DEPENDENCYPART_ARC
(20,6),-0.492819 # DEPENDENCYPART_ARC
(20,7),0.569584 # DEPENDENCYPART_ARC
(20,9),-0.634878 # DEPENDENCYPART_ARC
(20,10),-1.0905 # DEPENDENCYPART_ARC
(20,12),0.973822 # DEPENDENCYPART_ARC
(20,13),2.19361 # DEPENDENCYPART_ARC
(20,14),1.71359 # DEPENDENCYPART_ARC
(20,15),2.26495 # DEPENDENCYPART_ARC
(20,17),1.50179 # DEPENDENCYPART_ARC
(20,18),2.74318 # DEPENDENCYPART_ARC
(20,19),3.97679 # DEPENDENCYPART_ARC
(20,21),4.13973 # DEPENDENCYPART_ARC
(20,22),2.29259 # DEPENDENCYPART_ARC
(20,23),0.252273 # DEPENDENCYPART_ARC
(20,24),-0.337525 # DEPENDENCYPART_ARC
(20,25),-0.0523174 # DEPENDENCYPART_ARC
(20,26),-0.0586936 # DEPENDENCYPART_ARC
(20,27),3.52624 # DEPENDENCYPART_ARC
(21,6),-3.18679 # DEPENDENCYPART_ARC
(21,22),5.33884 # DEPENDENCYPART_ARC
(21,23),-0.252671 # DEPENDENCYPART_ARC
(21,24),-1.0731 # DEPENDENCYPART_ARC
(21,25),-0.0800847 # DEPENDENCYPART_ARC
(21,26),-0.736892 # DEPENDENCYPART_ARC
(22,21),-0.374322 # DEPENDENCYPART_ARC
(22,23),4.68688 # DEPENDENCYPART_ARC
(22,24),2.97248 # DEPENDENCYPART_ARC
(22,25),1.01061 # DEPENDENCYPART_ARC
(22,26),1.54302 # DEPENDENCYPART_ARC
(22,27),0.892493 # DEPENDENCYPART_ARC
(23,24),0.886254 # DEPENDENCYPART_ARC
(23,25),0.830694 # DEPENDENCYPART_ARC
(23,26),1.46536 # DEPENDENCYPART_ARC
(24,15),-0.60953 # DEPENDENCYPART_ARC
(24,23),0.261897 # DEPENDENCYPART_ARC
(24,25),3.20492 # DEPENDENCYPART_ARC
(24,26),3.47003 # DEPENDENCYPART_ARC
(24,27),0.818759 # DEPENDENCYPART_ARC
(26,23),0.108421 # DEPENDENCYPART_ARC
(26,24),0.84275 # DEPENDENCYPART_ARC
(26,25),1.03943 # DEPENDENCYPART_ARC
(26,27),-1.3351 # DEPENDENCYPART_ARC
