# _root_ Més de 200 grups de cristians de base promouen la celebració d' un sínode alternatiu , l' Assemblea_del_Poble_de_Déu , que se celebrarà del 4 al 7_d'_octubre a la Universitat_Protestant_de_Teologia_de_Roma .
#goldHeads=2,4,2,9,4,5,4,7,0,11,9,11,14,12,14,18,18,14,18,22,22,11,24,22,24,24,22,29,27,9,
#predictedHeads=2,4,2,9,4,5,6,7,0,11,9,11,14,12,14,18,18,14,22,22,22,18,24,22,24,25,22,29,27,9,
(0,1),-6.91376 # DEPENDENCYPART_ARC
(0,2),-6.59059 # DEPENDENCYPART_ARC
(0,3),-6.95171 # DEPENDENCYPART_ARC
(0,4),-6.63663 # DEPENDENCYPART_ARC
(0,9),-2.0583 # DEPENDENCYPART_ARC
(0,22),-1.40841 # DEPENDENCYPART_ARC
(1,2),1.15111 # DEPENDENCYPART_ARC
(1,3),0.991814 # DEPENDENCYPART_ARC
(1,4),-0.523926 # DEPENDENCYPART_ARC
(1,5),-1.04459 # DEPENDENCYPART_ARC
(1,7),-1.19536 # DEPENDENCYPART_ARC
(1,9),-0.813473 # DEPENDENCYPART_ARC
(1,16),0.500129 # DEPENDENCYPART_ARC
(1,19),-0.164219 # DEPENDENCYPART_ARC
(2,1),1.93764 # DEPENDENCYPART_ARC
(2,3),3.23995 # DEPENDENCYPART_ARC
(2,4),1.9248 # DEPENDENCYPART_ARC
(2,5),0.157946 # DEPENDENCYPART_ARC
(2,6),0.0177854 # DEPENDENCYPART_ARC
(2,7),-0.0970789 # DEPENDENCYPART_ARC
(2,16),-1.23412 # DEPENDENCYPART_ARC
(2,19),-1.30731 # DEPENDENCYPART_ARC
(3,1),1.13953 # DEPENDENCYPART_ARC
(3,2),1.32895 # DEPENDENCYPART_ARC
(3,4),-0.0194002 # DEPENDENCYPART_ARC
(3,5),-0.484269 # DEPENDENCYPART_ARC
(3,7),-0.872904 # DEPENDENCYPART_ARC
(3,9),-1.37995 # DEPENDENCYPART_ARC
(3,18),-2.62595 # DEPENDENCYPART_ARC
(4,1),0.604238 # DEPENDENCYPART_ARC
(4,2),2.41363 # DEPENDENCYPART_ARC
(4,3),2.419 # DEPENDENCYPART_ARC
(4,5),3.66397 # DEPENDENCYPART_ARC
(4,6),1.66573 # DEPENDENCYPART_ARC
(4,7),2.51432 # DEPENDENCYPART_ARC
(4,8),0.199612 # DEPENDENCYPART_ARC
(4,9),1.85391 # DEPENDENCYPART_ARC
(4,11),-0.676583 # DEPENDENCYPART_ARC
(4,12),-0.200436 # DEPENDENCYPART_ARC
(4,15),-1.54588 # DEPENDENCYPART_ARC
(4,16),-0.0840478 # DEPENDENCYPART_ARC
(4,18),-1.35639 # DEPENDENCYPART_ARC
(4,19),-0.346849 # DEPENDENCYPART_ARC
(4,22),0.697646 # DEPENDENCYPART_ARC
(4,30),-0.130562 # DEPENDENCYPART_ARC
(5,1),-0.608408 # DEPENDENCYPART_ARC
(5,3),-0.600648 # DEPENDENCYPART_ARC
(5,6),4.02286 # DEPENDENCYPART_ARC
(5,7),0.574348 # DEPENDENCYPART_ARC
(5,8),1.33155 # DEPENDENCYPART_ARC
(5,9),-0.815686 # DEPENDENCYPART_ARC
(6,1),-0.757733 # DEPENDENCYPART_ARC
(6,2),0.154319 # DEPENDENCYPART_ARC
(6,3),-0.106461 # DEPENDENCYPART_ARC
(6,4),-0.237359 # DEPENDENCYPART_ARC
(6,5),1.36581 # DEPENDENCYPART_ARC
(6,7),3.0768 # DEPENDENCYPART_ARC
(6,8),0.27254 # DEPENDENCYPART_ARC
(6,9),1.69702 # DEPENDENCYPART_ARC
(6,11),-1.10729 # DEPENDENCYPART_ARC
(6,12),-0.102027 # DEPENDENCYPART_ARC
(6,15),-1.48478 # DEPENDENCYPART_ARC
(6,18),-1.37459 # DEPENDENCYPART_ARC
(6,22),0.358242 # DEPENDENCYPART_ARC
(6,30),-0.275901 # DEPENDENCYPART_ARC
(7,5),0.0589478 # DEPENDENCYPART_ARC
(7,8),4.26675 # DEPENDENCYPART_ARC
(7,9),-0.186246 # DEPENDENCYPART_ARC
(8,2),-0.603144 # DEPENDENCYPART_ARC
(8,3),-0.559445 # DEPENDENCYPART_ARC
(8,5),-0.240158 # DEPENDENCYPART_ARC
(8,7),1.58674 # DEPENDENCYPART_ARC
(8,9),-0.0719034 # DEPENDENCYPART_ARC
(8,12),-1.02132 # DEPENDENCYPART_ARC
(8,18),-2.42332 # DEPENDENCYPART_ARC
(8,22),-0.890865 # DEPENDENCYPART_ARC
(9,1),-0.293104 # DEPENDENCYPART_ARC
(9,2),-1.32911 # DEPENDENCYPART_ARC
(9,3),-0.505189 # DEPENDENCYPART_ARC
(9,4),1.3748 # DEPENDENCYPART_ARC
(9,5),-0.683356 # DEPENDENCYPART_ARC
(9,6),1.33924 # DEPENDENCYPART_ARC
(9,7),0.201751 # DEPENDENCYPART_ARC
(9,8),0.907271 # DEPENDENCYPART_ARC
(9,11),2.98268 # DEPENDENCYPART_ARC
(9,12),0.844882 # DEPENDENCYPART_ARC
(9,14),0.680878 # DEPENDENCYPART_ARC
(9,15),-0.907695 # DEPENDENCYPART_ARC
(9,16),0.177354 # DEPENDENCYPART_ARC
(9,18),-0.100809 # DEPENDENCYPART_ARC
(9,19),-0.176204 # DEPENDENCYPART_ARC
(9,22),0.088921 # DEPENDENCYPART_ARC
(9,24),-0.83314 # DEPENDENCYPART_ARC
(9,25),-0.668696 # DEPENDENCYPART_ARC
(9,26),-0.80767 # DEPENDENCYPART_ARC
(9,27),-0.341626 # DEPENDENCYPART_ARC
(9,29),-0.94087 # DEPENDENCYPART_ARC
(9,30),4.86771 # DEPENDENCYPART_ARC
(10,7),-2.01964 # DEPENDENCYPART_ARC
(10,11),2.17563 # DEPENDENCYPART_ARC
(10,12),-0.25903 # DEPENDENCYPART_ARC
(10,13),-1.15517 # DEPENDENCYPART_ARC
(11,1),-1.43012 # DEPENDENCYPART_ARC
(11,2),-1.14219 # DEPENDENCYPART_ARC
(11,4),-1.57708 # DEPENDENCYPART_ARC
(11,5),-1.33068 # DEPENDENCYPART_ARC
(11,7),-0.868522 # DEPENDENCYPART_ARC
(11,9),-0.242473 # DEPENDENCYPART_ARC
(11,10),3.83414 # DEPENDENCYPART_ARC
(11,12),2.42402 # DEPENDENCYPART_ARC
(11,13),-1.22444 # DEPENDENCYPART_ARC
(11,14),0.755753 # DEPENDENCYPART_ARC
(11,15),-0.157007 # DEPENDENCYPART_ARC
(11,16),0.508416 # DEPENDENCYPART_ARC
(11,18),0.408671 # DEPENDENCYPART_ARC
(11,19),-0.155263 # DEPENDENCYPART_ARC
(11,22),2.50137 # DEPENDENCYPART_ARC
(11,23),-2.03044 # DEPENDENCYPART_ARC
(11,24),-1.52363 # DEPENDENCYPART_ARC
(11,26),-1.40472 # DEPENDENCYPART_ARC
(11,27),-0.236562 # DEPENDENCYPART_ARC
(11,30),0.92505 # DEPENDENCYPART_ARC
(12,10),-0.486719 # DEPENDENCYPART_ARC
(12,14),4.00945 # DEPENDENCYPART_ARC
(12,15),-0.435393 # DEPENDENCYPART_ARC
(12,16),0.0416017 # DEPENDENCYPART_ARC
(12,18),-0.93001 # DEPENDENCYPART_ARC
(12,19),-1.19125 # DEPENDENCYPART_ARC
(12,22),-1.83069 # DEPENDENCYPART_ARC
(13,12),1.07147 # DEPENDENCYPART_ARC
(14,1),-2.32399 # DEPENDENCYPART_ARC
(14,2),-1.52161 # DEPENDENCYPART_ARC
(14,4),-3.00713 # DEPENDENCYPART_ARC
(14,10),0.319896 # DEPENDENCYPART_ARC
(14,12),1.10063 # DEPENDENCYPART_ARC
(14,13),3.50507 # DEPENDENCYPART_ARC
(14,15),3.35492 # DEPENDENCYPART_ARC
(14,16),0.540592 # DEPENDENCYPART_ARC
(14,18),0.730364 # DEPENDENCYPART_ARC
(14,19),-0.22286 # DEPENDENCYPART_ARC
(14,22),2.23705 # DEPENDENCYPART_ARC
(14,23),-1.74153 # DEPENDENCYPART_ARC
(14,24),-1.30026 # DEPENDENCYPART_ARC
(14,26),-1.40304 # DEPENDENCYPART_ARC
(14,27),-1.00695 # DEPENDENCYPART_ARC
(14,30),0.775037 # DEPENDENCYPART_ARC
(15,5),-1.52539 # DEPENDENCYPART_ARC
(15,13),-0.426386 # DEPENDENCYPART_ARC
(15,16),-0.290787 # DEPENDENCYPART_ARC
(15,18),-0.529123 # DEPENDENCYPART_ARC
(15,19),-0.998603 # DEPENDENCYPART_ARC
(15,22),-0.262223 # DEPENDENCYPART_ARC
(15,24),-1.47819 # DEPENDENCYPART_ARC
(15,27),-2.54032 # DEPENDENCYPART_ARC
(16,15),-0.327486 # DEPENDENCYPART_ARC
(18,4),-2.32704 # DEPENDENCYPART_ARC
(18,12),-0.111616 # DEPENDENCYPART_ARC
(18,15),-1.31022 # DEPENDENCYPART_ARC
(18,16),1.15852 # DEPENDENCYPART_ARC
(18,17),3.20738 # DEPENDENCYPART_ARC
(18,19),0.185059 # DEPENDENCYPART_ARC
(18,22),2.754 # DEPENDENCYPART_ARC
(18,23),-1.1839 # DEPENDENCYPART_ARC
(18,24),-0.529435 # DEPENDENCYPART_ARC
(18,25),-1.47591 # DEPENDENCYPART_ARC
(18,26),-0.68002 # DEPENDENCYPART_ARC
(18,27),-0.341462 # DEPENDENCYPART_ARC
(18,30),1.80475 # DEPENDENCYPART_ARC
(20,23),-2.14348 # DEPENDENCYPART_ARC
(20,25),-2.66436 # DEPENDENCYPART_ARC
(22,1),-2.42351 # DEPENDENCYPART_ARC
(22,2),-5.28581 # DEPENDENCYPART_ARC
(22,4),-0.905001 # DEPENDENCYPART_ARC
(22,6),-1.47327 # DEPENDENCYPART_ARC
(22,9),-0.442963 # DEPENDENCYPART_ARC
(22,11),-0.10739 # DEPENDENCYPART_ARC
(22,12),-2.17814 # DEPENDENCYPART_ARC
(22,14),0.0231893 # DEPENDENCYPART_ARC
(22,15),-1.76099 # DEPENDENCYPART_ARC
(22,16),-0.105085 # DEPENDENCYPART_ARC
(22,17),-1.84983 # DEPENDENCYPART_ARC
(22,18),-0.216028 # DEPENDENCYPART_ARC
(22,19),2.11798 # DEPENDENCYPART_ARC
(22,20),3.37989 # DEPENDENCYPART_ARC
(22,21),4.21572 # DEPENDENCYPART_ARC
(22,23),1.33722 # DEPENDENCYPART_ARC
(22,24),1.69515 # DEPENDENCYPART_ARC
(22,25),1.37109 # DEPENDENCYPART_ARC
(22,26),0.866592 # DEPENDENCYPART_ARC
(22,27),1.76838 # DEPENDENCYPART_ARC
(22,29),1.16766 # DEPENDENCYPART_ARC
(22,30),2.73655 # DEPENDENCYPART_ARC
(23,24),2.42102 # DEPENDENCYPART_ARC
(23,25),-0.0216468 # DEPENDENCYPART_ARC
(23,26),-0.106242 # DEPENDENCYPART_ARC
(23,27),-1.56675 # DEPENDENCYPART_ARC
(23,29),-0.866347 # DEPENDENCYPART_ARC
(24,23),3.11644 # DEPENDENCYPART_ARC
(24,25),3.08707 # DEPENDENCYPART_ARC
(24,26),1.45191 # DEPENDENCYPART_ARC
(24,27),0.501901 # DEPENDENCYPART_ARC
(24,30),0.60132 # DEPENDENCYPART_ARC
(25,23),-0.131037 # DEPENDENCYPART_ARC
(25,24),-0.229279 # DEPENDENCYPART_ARC
(25,26),1.67609 # DEPENDENCYPART_ARC
(25,27),-0.302115 # DEPENDENCYPART_ARC
(25,29),-0.296877 # DEPENDENCYPART_ARC
(26,23),-0.0749498 # DEPENDENCYPART_ARC
(26,25),0.300512 # DEPENDENCYPART_ARC
(26,27),0.658706 # DEPENDENCYPART_ARC
(26,30),0.0167552 # DEPENDENCYPART_ARC
(27,23),-0.242373 # DEPENDENCYPART_ARC
(27,24),-1.47278 # DEPENDENCYPART_ARC
(27,25),0.302379 # DEPENDENCYPART_ARC
(27,26),-0.319335 # DEPENDENCYPART_ARC
(27,28),-1.36973 # DEPENDENCYPART_ARC
(27,29),3.63565 # DEPENDENCYPART_ARC
(27,30),-0.370331 # DEPENDENCYPART_ARC
(28,25),-0.507119 # DEPENDENCYPART_ARC
(29,23),-1.24775 # DEPENDENCYPART_ARC
(29,25),-0.830155 # DEPENDENCYPART_ARC
(29,28),3.32502 # DEPENDENCYPART_ARC
