# _root_ Mentre viu a sota de les branques o de les pedres dels jardins públics , com passa al Palau_de_Pedralbes de Barcelona , no hi ha tantes queixes : " Els problemes comencen a aparèixer quan s' acosten a les cases " .
#goldHeads=2,25,2,3,4,7,5,5,5,11,9,5,12,13,17,17,2,17,18,19,20,2,25,25,0,27,25,34,34,31,34,34,34,25,37,37,34,37,40,38,34,25,
#predictedHeads=2,34,2,3,4,7,5,5,5,11,9,11,12,13,17,17,2,17,18,19,20,17,25,25,17,27,25,34,34,31,34,34,34,0,37,37,34,37,40,38,37,34,
(0,1),-6.12468 # DEPENDENCYPART_ARC
(0,2),-5.29862 # DEPENDENCYPART_ARC
(0,17),-7.55297 # DEPENDENCYPART_ARC
(0,25),-7.1699 # DEPENDENCYPART_ARC
(0,32),-5.97828 # DEPENDENCYPART_ARC
(0,34),-6.72667 # DEPENDENCYPART_ARC
(0,37),-7.71823 # DEPENDENCYPART_ARC
(1,2),0.794501 # DEPENDENCYPART_ARC
(1,3),-0.626174 # DEPENDENCYPART_ARC
(1,5),-1.60413 # DEPENDENCYPART_ARC
(1,9),-1.89784 # DEPENDENCYPART_ARC
(2,1),4.22771 # DEPENDENCYPART_ARC
(2,3),3.68112 # DEPENDENCYPART_ARC
(2,4),1.25075 # DEPENDENCYPART_ARC
(2,5),0.241383 # DEPENDENCYPART_ARC
(2,7),1.75834 # DEPENDENCYPART_ARC
(2,8),0.749187 # DEPENDENCYPART_ARC
(2,9),-0.59612 # DEPENDENCYPART_ARC
(2,11),0.742574 # DEPENDENCYPART_ARC
(2,12),-1.17364 # DEPENDENCYPART_ARC
(2,13),-0.303265 # DEPENDENCYPART_ARC
(2,14),-0.388105 # DEPENDENCYPART_ARC
(2,15),1.2124 # DEPENDENCYPART_ARC
(2,16),0.490563 # DEPENDENCYPART_ARC
(2,17),1.69233 # DEPENDENCYPART_ARC
(2,18),-1.08552 # DEPENDENCYPART_ARC
(2,22),-0.0289565 # DEPENDENCYPART_ARC
(2,25),0.136621 # DEPENDENCYPART_ARC
(2,29),-0.900379 # DEPENDENCYPART_ARC
(2,32),-0.74076 # DEPENDENCYPART_ARC
(2,33),-3.73927 # DEPENDENCYPART_ARC
(2,34),-1.81373 # DEPENDENCYPART_ARC
(2,37),-1.40932 # DEPENDENCYPART_ARC
(2,41),-1.98272 # DEPENDENCYPART_ARC
(2,42),2.7345 # DEPENDENCYPART_ARC
(3,1),-0.538635 # DEPENDENCYPART_ARC
(3,2),0.399514 # DEPENDENCYPART_ARC
(3,4),2.77031 # DEPENDENCYPART_ARC
(3,5),1.03861 # DEPENDENCYPART_ARC
(3,7),3.33729 # DEPENDENCYPART_ARC
(3,8),1.58198 # DEPENDENCYPART_ARC
(3,9),0.659857 # DEPENDENCYPART_ARC
(3,12),0.659447 # DEPENDENCYPART_ARC
(3,15),-0.0308821 # DEPENDENCYPART_ARC
(3,16),-0.611302 # DEPENDENCYPART_ARC
(3,18),-0.794803 # DEPENDENCYPART_ARC
(3,22),-1.47249 # DEPENDENCYPART_ARC
(3,33),-1.35769 # DEPENDENCYPART_ARC
(3,38),-1.84618 # DEPENDENCYPART_ARC
(4,3),0.550376 # DEPENDENCYPART_ARC
(4,5),2.33889 # DEPENDENCYPART_ARC
(4,7),-0.406093 # DEPENDENCYPART_ARC
(4,8),0.604454 # DEPENDENCYPART_ARC
(4,9),0.704564 # DEPENDENCYPART_ARC
(4,12),-0.00927665 # DEPENDENCYPART_ARC
(4,15),-0.061264 # DEPENDENCYPART_ARC
(4,17),-1.03296 # DEPENDENCYPART_ARC
(5,1),-0.265259 # DEPENDENCYPART_ARC
(5,2),0.178092 # DEPENDENCYPART_ARC
(5,3),-0.0632732 # DEPENDENCYPART_ARC
(5,4),0.71731 # DEPENDENCYPART_ARC
(5,6),-0.210561 # DEPENDENCYPART_ARC
(5,7),4.16288 # DEPENDENCYPART_ARC
(5,8),1.89112 # DEPENDENCYPART_ARC
(5,9),2.2217 # DEPENDENCYPART_ARC
(5,12),0.205708 # DEPENDENCYPART_ARC
(5,15),0.278674 # DEPENDENCYPART_ARC
(5,16),-1.05778 # DEPENDENCYPART_ARC
(5,18),-3.12386 # DEPENDENCYPART_ARC
(5,20),-1.1771 # DEPENDENCYPART_ARC
(6,3),-0.943054 # DEPENDENCYPART_ARC
(6,4),0.564748 # DEPENDENCYPART_ARC
