# _root_ A_través_d' aquest programa , que pretén promoure els intercanvis i la cooperació entre França i l' estat espanyol , les dues cambres de comerç volen fomentar l' intercanvi entre empreses catalanes i franceses .
#goldHeads=26,3,1,6,6,3,6,9,7,9,12,9,9,13,14,17,14,17,6,22,20,26,22,23,26,0,28,26,28,29,30,31,31,26,
#predictedHeads=6,3,1,1,6,0,6,9,7,9,12,9,9,13,14,17,14,17,9,22,20,25,22,23,7,25,28,26,28,29,30,31,31,6,
(0,1),-7.7271 # DEPENDENCYPART_ARC
(0,6),-2.90668 # DEPENDENCYPART_ARC
(0,7),-4.47037 # DEPENDENCYPART_ARC
(0,25),-3.81962 # DEPENDENCYPART_ARC
(0,26),-5.30136 # DEPENDENCYPART_ARC
(1,3),4.16361 # DEPENDENCYPART_ARC
(1,4),2.87845 # DEPENDENCYPART_ARC
(1,6),0.190041 # DEPENDENCYPART_ARC
(1,7),-0.644896 # DEPENDENCYPART_ARC
(1,9),-2.87024 # DEPENDENCYPART_ARC
(1,10),0.276715 # DEPENDENCYPART_ARC
(1,15),0.024639 # DEPENDENCYPART_ARC
(1,19),-0.156192 # DEPENDENCYPART_ARC
(3,1),0.667567 # DEPENDENCYPART_ARC
(3,2),3.54963 # DEPENDENCYPART_ARC
(3,4),-0.540677 # DEPENDENCYPART_ARC
(3,6),1.67174 # DEPENDENCYPART_ARC
(3,7),0.646283 # DEPENDENCYPART_ARC
(3,9),-0.522314 # DEPENDENCYPART_ARC
(3,10),0.641089 # DEPENDENCYPART_ARC
(3,12),-0.985988 # DEPENDENCYPART_ARC
(3,13),-0.135864 # DEPENDENCYPART_ARC
(3,15),-0.12396 # DEPENDENCYPART_ARC
(3,22),-1.27164 # DEPENDENCYPART_ARC
(5,6),0.0886213 # DEPENDENCYPART_ARC
(5,9),-1.97881 # DEPENDENCYPART_ARC
(5,12),-2.85785 # DEPENDENCYPART_ARC
(6,1),1.16531 # DEPENDENCYPART_ARC
(6,3),-0.091629 # DEPENDENCYPART_ARC
(6,4),1.21489 # DEPENDENCYPART_ARC
(6,5),3.30772 # DEPENDENCYPART_ARC
(6,7),3.73476 # DEPENDENCYPART_ARC
(6,9),1.13218 # DEPENDENCYPART_ARC
(6,10),0.904444 # DEPENDENCYPART_ARC
(6,12),-0.104815 # DEPENDENCYPART_ARC
(6,13),0.194624 # DEPENDENCYPART_ARC
(6,15),0.59036 # DEPENDENCYPART_ARC
(6,17),-1.55792 # DEPENDENCYPART_ARC
(6,19),0.636506 # DEPENDENCYPART_ARC
(6,25),0.024303 # DEPENDENCYPART_ARC
