# _root_ ' El moviment denuncia l' especulació , els desallotjaments , les polítiques de criminalització i la violència policial exercida contra el moviment okupa .
#goldHeads=4,3,4,0,6,4,6,9,6,6,12,6,12,13,6,17,6,17,17,19,22,20,22,4,
#predictedHeads=4,3,4,0,6,4,6,9,6,6,12,9,12,13,6,17,6,17,17,19,22,20,22,4,
(0,3),-6.34948 # DEPENDENCYPART_ARC
(0,4),-2.09736 # DEPENDENCYPART_ARC
(2,3),-0.290219 # DEPENDENCYPART_ARC
(2,5),-2.12625 # DEPENDENCYPART_ARC
(3,1),0.929858 # DEPENDENCYPART_ARC
(3,2),3.36622 # DEPENDENCYPART_ARC
(3,4),0.438324 # DEPENDENCYPART_ARC
(3,6),-0.816838 # DEPENDENCYPART_ARC
(3,7),-1.21119 # DEPENDENCYPART_ARC
(3,9),-1.19697 # DEPENDENCYPART_ARC
(3,10),-1.27797 # DEPENDENCYPART_ARC
(3,12),-1.62289 # DEPENDENCYPART_ARC
(3,13),-1.24768 # DEPENDENCYPART_ARC
(3,15),-0.00093781 # DEPENDENCYPART_ARC
(3,17),-1.55912 # DEPENDENCYPART_ARC
(3,23),-1.0928 # DEPENDENCYPART_ARC
(4,1),3.25116 # DEPENDENCYPART_ARC
(4,2),-0.201166 # DEPENDENCYPART_ARC
(4,3),2.53136 # DEPENDENCYPART_ARC
(4,6),2.44727 # DEPENDENCYPART_ARC
(4,7),0.160638 # DEPENDENCYPART_ARC
(4,9),0.252961 # DEPENDENCYPART_ARC
(4,10),-0.324715 # DEPENDENCYPART_ARC
(4,12),-0.698724 # DEPENDENCYPART_ARC
(4,13),-1.26025 # DEPENDENCYPART_ARC
(4,14),-1.55478 # DEPENDENCYPART_ARC
(4,15),0.131318 # DEPENDENCYPART_ARC
(4,17),-1.62449 # DEPENDENCYPART_ARC
(4,18),-0.657923 # DEPENDENCYPART_ARC
(4,19),-0.356891 # DEPENDENCYPART_ARC
(4,20),-1.03396 # DEPENDENCYPART_ARC
(4,22),-2.23044 # DEPENDENCYPART_ARC
(4,23),-2.63254 # DEPENDENCYPART_ARC
(4,24),5.84451 # DEPENDENCYPART_ARC
