# _root_ I si a això hi sumem l' esgotament a què està arribant CiU , al costat dels conflictes interns que viu la formació , jo crec que de tot això n' ha de treure un benefici electoral ERC .
#goldHeads=26,6,6,3,6,26,8,6,12,9,12,8,12,15,6,15,16,17,18,21,18,23,21,6,26,0,34,34,30,28,34,34,34,26,36,34,36,34,26,
#predictedHeads=6,6,6,3,6,26,8,6,12,9,12,8,12,15,12,15,16,17,18,21,16,23,21,34,26,0,34,34,30,28,34,34,34,26,36,34,36,36,26,
(0,2),-4.28228 # DEPENDENCYPART_ARC
(0,3),-4.8241 # DEPENDENCYPART_ARC
(0,4),-5.03836 # DEPENDENCYPART_ARC
(0,5),-4.8499 # DEPENDENCYPART_ARC
(0,6),-4.1574 # DEPENDENCYPART_ARC
(0,11),-3.74507 # DEPENDENCYPART_ARC
(0,12),-5.56576 # DEPENDENCYPART_ARC
(0,21),-3.54637 # DEPENDENCYPART_ARC
(0,26),-3.05582 # DEPENDENCYPART_ARC
(0,32),-4.98556 # DEPENDENCYPART_ARC
(2,1),-1.23226 # DEPENDENCYPART_ARC
(2,3),-1.17244 # DEPENDENCYPART_ARC
(2,4),-1.67181 # DEPENDENCYPART_ARC
(2,6),-2.10416 # DEPENDENCYPART_ARC
(3,1),-1.69191 # DEPENDENCYPART_ARC
(3,2),-0.824504 # DEPENDENCYPART_ARC
(3,4),2.34329 # DEPENDENCYPART_ARC
(3,5),0.222192 # DEPENDENCYPART_ARC
(3,6),-0.879288 # DEPENDENCYPART_ARC
(3,8),-2.17034 # DEPENDENCYPART_ARC
(3,12),-2.38416 # DEPENDENCYPART_ARC
(4,3),-0.79365 # DEPENDENCYPART_ARC
(4,6),-0.947685 # DEPENDENCYPART_ARC
(4,8),-1.71526 # DEPENDENCYPART_ARC
(4,9),-1.17634 # DEPENDENCYPART_ARC
(4,39),-1.25071 # DEPENDENCYPART_ARC
(5,2),-2.39053 # DEPENDENCYPART_ARC
(5,8),-2.48001 # DEPENDENCYPART_ARC
(5,12),-2.1808 # DEPENDENCYPART_ARC
(6,1),-0.629095 # DEPENDENCYPART_ARC
(6,2),0.832252 # DEPENDENCYPART_ARC
(6,3),1.1418 # DEPENDENCYPART_ARC
(6,4),0.00710309 # DEPENDENCYPART_ARC
(6,5),1.55329 # DEPENDENCYPART_ARC
(6,8),0.48365 # DEPENDENCYPART_ARC
(6,9),0.118971 # DEPENDENCYPART_ARC
(6,11),-0.526399 # DEPENDENCYPART_ARC
(6,12),-0.9216 # DEPENDENCYPART_ARC
(6,13),-1.35322 # DEPENDENCYPART_ARC
(6,14),-1.33828 # DEPENDENCYPART_ARC
(6,15),-1.69043 # DEPENDENCYPART_ARC
(6,16),-2.39876 # DEPENDENCYPART_ARC
(6,17),-1.92476 # DEPENDENCYPART_ARC
(6,18),-1.98454 # DEPENDENCYPART_ARC
(6,19),-1.89983 # DEPENDENCYPART_ARC
(6,21),-1.36915 # DEPENDENCYPART_ARC
(6,23),-2.09371 # DEPENDENCYPART_ARC
(6,24),-1.41075 # DEPENDENCYPART_ARC
(6,26),-1.15559 # DEPENDENCYPART_ARC
(6,30),-2.45654 # DEPENDENCYPART_ARC
(6,32),-2.2939 # DEPENDENCYPART_ARC
(6,34),-2.73477 # DEPENDENCYPART_ARC
(6,36),-2.95873 # DEPENDENCYPART_ARC
(6,38),-2.56572 # DEPENDENCYPART_ARC
(6,39),-1.48906 # DEPENDENCYPART_ARC
(7,9),-1.4672 # DEPENDENCYPART_ARC
(8,1),-2.28807 # DEPENDENCYPART_ARC
(8,2),-2.19878 # DEPENDENCYPART_ARC
(8,3),-1.10624 # DEPENDENCYPART_ARC
(8,5),-0.819712 # DEPENDENCYPART_ARC
(8,6),-2.70477 # DEPENDENCYPART_ARC
(8,7),1.53269 # DEPENDENCYPART_ARC
(8,9),0.105802 # DEPENDENCYPART_ARC
(8,11),-0.403779 # DEPENDENCYPART_ARC
(8,12),-1.3027 # DEPENDENCYPART_ARC
(8,13),-1.55161 # DEPENDENCYPART_ARC
(8,15),-1.56105 # DEPENDENCYPART_ARC
(8,17),-1.4094 # DEPENDENCYPART_ARC
(8,19),-2.32664 # DEPENDENCYPART_ARC
(8,21),-1.29499 # DEPENDENCYPART_ARC
(8,26),-1.40871 # DEPENDENCYPART_ARC
(8,39),-2.39105 # DEPENDENCYPART_ARC
(9,7),-2.53311 # DEPENDENCYPART_ARC
(9,8),-1.70015 # DEPENDENCYPART_ARC
(9,10),3.04781 # DEPENDENCYPART_ARC
(9,11),-0.668718 # DEPENDENCYPART_ARC
(9,12),-1.27971 # DEPENDENCYPART_ARC
(9,13),-2.30206 # DEPENDENCYPART_ARC
(9,15),-1.63474 # DEPENDENCYPART_ARC
(10,9),-0.688734 # DEPENDENCYPART_ARC
(10,11),-0.930004 # DEPENDENCYPART_ARC
(10,12),-1.80331 # DEPENDENCYPART_ARC
(10,15),-2.48997 # DEPENDENCYPART_ARC
(11,1),-3.05454 # DEPENDENCYPART_ARC
(11,2),-2.16766 # DEPENDENCYPART_ARC
(11,3),-1.6499 # DEPENDENCYPART_ARC
(11,4),-3.69725 # DEPENDENCYPART_ARC
(11,5),-3.30201 # DEPENDENCYPART_ARC
(11,6),-2.62227 # DEPENDENCYPART_ARC
(11,8),-2.10115 # DEPENDENCYPART_ARC
(11,9),-1.42092 # DEPENDENCYPART_ARC
(11,10),-0.0778645 # DEPENDENCYPART_ARC
(11,12),0.937411 # DEPENDENCYPART_ARC
(11,13),-0.145205 # DEPENDENCYPART_ARC
(11,14),-1.21632 # DEPENDENCYPART_ARC
(11,15),-1.1835 # DEPENDENCYPART_ARC
(11,16),-2.03842 # DEPENDENCYPART_ARC
(11,17),-1.77787 # DEPENDENCYPART_ARC
(11,21),-1.39322 # DEPENDENCYPART_ARC
(11,23),-2.30103 # DEPENDENCYPART_ARC
(11,24),-1.42718 # DEPENDENCYPART_ARC
(11,30),-2.4551 # DEPENDENCYPART_ARC
(11,39),-1.50657 # DEPENDENCYPART_ARC
(12,1),-1.14733 # DEPENDENCYPART_ARC
(12,2),-0.491739 # DEPENDENCYPART_ARC
(12,3),-0.0694383 # DEPENDENCYPART_ARC
(12,4),-2.81875 # DEPENDENCYPART_ARC
(12,5),-2.52685 # DEPENDENCYPART_ARC
(12,6),0.4094 # DEPENDENCYPART_ARC
(12,7),-1.7229 # DEPENDENCYPART_ARC
(12,8),-0.802532 # DEPENDENCYPART_ARC
(12,9),0.240219 # DEPENDENCYPART_ARC
(12,10),0.405893 # DEPENDENCYPART_ARC
(12,11),3.28132 # DEPENDENCYPART_ARC
(12,13),1.56171 # DEPENDENCYPART_ARC
(12,14),-0.806096 # DEPENDENCYPART_ARC
(12,15),-0.257099 # DEPENDENCYPART_ARC
(12,16),-1.02762 # DEPENDENCYPART_ARC
(12,17),-0.835409 # DEPENDENCYPART_ARC
(12,18),-1.4832 # DEPENDENCYPART_ARC
(12,19),-1.8763 # DEPENDENCYPART_ARC
(12,21),-1.54545 # DEPENDENCYPART_ARC
(12,23),-1.89334 # DEPENDENCYPART_ARC
(12,24),-1.17179 # DEPENDENCYPART_ARC
(12,26),-1.5751 # DEPENDENCYPART_ARC
(12,30),-2.02977 # DEPENDENCYPART_ARC
(12,39),-0.117816 # DEPENDENCYPART_ARC
(13,11),-2.02793 # DEPENDENCYPART_ARC
(13,14),-0.84437 # DEPENDENCYPART_ARC
(13,15),-1.62741 # DEPENDENCYPART_ARC
(13,16),-1.22846 # DEPENDENCYPART_ARC
(13,17),-1.71196 # DEPENDENCYPART_ARC
(13,18),-1.7013 # DEPENDENCYPART_ARC
(13,19),-1.57298 # DEPENDENCYPART_ARC
(13,21),-1.55681 # DEPENDENCYPART_ARC
(13,23),-2.45049 # DEPENDENCYPART_ARC
(13,26),-1.69492 # DEPENDENCYPART_ARC
(15,14),0.0778042 # DEPENDENCYPART_ARC
(15,16),1.84091 # DEPENDENCYPART_ARC
(15,17),-1.04955 # DEPENDENCYPART_ARC
(15,18),-0.965943 # DEPENDENCYPART_ARC
(15,24),-0.967019 # DEPENDENCYPART_ARC
(15,27),-2.03619 # DEPENDENCYPART_ARC
(16,14),-1.58474 # DEPENDENCYPART_ARC
(16,17),0.637521 # DEPENDENCYPART_ARC
(16,18),-0.649635 # DEPENDENCYPART_ARC
(16,19),-1.2171 # DEPENDENCYPART_ARC
(16,21),-0.66416 # DEPENDENCYPART_ARC
(16,23),-1.80876 # DEPENDENCYPART_ARC
(16,26),-0.894888 # DEPENDENCYPART_ARC
(16,32),-0.810262 # DEPENDENCYPART_ARC
(16,34),-0.946222 # DEPENDENCYPART_ARC
(17,18),2.79624 # DEPENDENCYPART_ARC
(17,19),-0.953496 # DEPENDENCYPART_ARC
(17,27),-1.57864 # DEPENDENCYPART_ARC
(17,28),-1.72393 # DEPENDENCYPART_ARC
(17,33),-2.59927 # DEPENDENCYPART_ARC
(18,19),1.64199 # DEPENDENCYPART_ARC
(18,21),-0.866606 # DEPENDENCYPART_ARC
(18,23),-1.55283 # DEPENDENCYPART_ARC
(18,25),-2.0934 # DEPENDENCYPART_ARC
(18,26),-1.33214 # DEPENDENCYPART_ARC
(18,30),-3.0368 # DEPENDENCYPART_ARC
(18,32),-1.18945 # DEPENDENCYPART_ARC
(18,34),-1.09926 # DEPENDENCYPART_ARC
(18,38),-2.75822 # DEPENDENCYPART_ARC
(19,21),-1.66913 # DEPENDENCYPART_ARC
(19,23),-2.17119 # DEPENDENCYPART_ARC
(19,25),-2.39238 # DEPENDENCYPART_ARC
(20,27),-1.87536 # DEPENDENCYPART_ARC
(21,1),-2.39393 # DEPENDENCYPART_ARC
(21,2),-2.36607 # DEPENDENCYPART_ARC
(21,3),-1.50542 # DEPENDENCYPART_ARC
(21,6),-2.88045 # DEPENDENCYPART_ARC
(21,8),-2.16942 # DEPENDENCYPART_ARC
(21,9),-1.89172 # DEPENDENCYPART_ARC
(21,10),-3.57651 # DEPENDENCYPART_ARC
(21,11),-2.38718 # DEPENDENCYPART_ARC
(21,13),-2.27862 # DEPENDENCYPART_ARC
(21,14),-1.15409 # DEPENDENCYPART_ARC
(21,15),-1.00542 # DEPENDENCYPART_ARC
(21,16),-1.9058 # DEPENDENCYPART_ARC
(21,17),-1.77746 # DEPENDENCYPART_ARC
(21,18),-1.7912 # DEPENDENCYPART_ARC
(21,19),-1.50268 # DEPENDENCYPART_ARC
(21,20),2.68469 # DEPENDENCYPART_ARC
(21,23),0.832352 # DEPENDENCYPART_ARC
(21,24),-0.524878 # DEPENDENCYPART_ARC
(21,25),-2.13219 # DEPENDENCYPART_ARC
(21,26),-0.249551 # DEPENDENCYPART_ARC
(21,27),-1.76914 # DEPENDENCYPART_ARC
(21,30),-2.17947 # DEPENDENCYPART_ARC
(21,32),-1.29742 # DEPENDENCYPART_ARC
(21,33),-1.93316 # DEPENDENCYPART_ARC
(21,34),-1.84577 # DEPENDENCYPART_ARC
(21,36),-2.13267 # DEPENDENCYPART_ARC
(21,38),-2.11325 # DEPENDENCYPART_ARC
(21,39),-1.07715 # DEPENDENCYPART_ARC
(23,1),-2.26834 # DEPENDENCYPART_ARC
(23,17),-1.71243 # DEPENDENCYPART_ARC
(23,20),-1.32999 # DEPENDENCYPART_ARC
(23,22),1.99031 # DEPENDENCYPART_ARC
(23,24),-0.799731 # DEPENDENCYPART_ARC
(23,25),-1.50966 # DEPENDENCYPART_ARC
(23,26),-0.129643 # DEPENDENCYPART_ARC
(23,27),-2.20785 # DEPENDENCYPART_ARC
(23,28),-2.03752 # DEPENDENCYPART_ARC
(23,29),-2.84716 # DEPENDENCYPART_ARC
