# _root_ En_funció_d' aquesta Diagnosi s' elaborarà el Pla_d'_Acció_Local_per_a_la_Sostenibilitat , configurat per un conjunt d' accions a emprendre , consensuades amb la ciutadania i els agents socials i econòmics locals .
#goldHeads=5,3,1,5,0,7,5,9,7,9,12,10,12,13,18,15,18,14,18,21,19,21,24,21,24,25,25,24,5,
#predictedHeads=5,3,1,5,0,7,5,9,7,9,12,10,12,13,9,15,18,16,18,21,19,21,24,21,24,25,25,25,5,
(0,1),-4.52557 # DEPENDENCYPART_ARC
(0,5),-2.54128 # DEPENDENCYPART_ARC
(0,16),-4.64646 # DEPENDENCYPART_ARC
(1,3),1.47841 # DEPENDENCYPART_ARC
(1,5),-1.90966 # DEPENDENCYPART_ARC
(1,7),-1.9542 # DEPENDENCYPART_ARC
(1,8),-0.359472 # DEPENDENCYPART_ARC
(1,9),-2.2648 # DEPENDENCYPART_ARC
(1,10),-2.10544 # DEPENDENCYPART_ARC
(1,17),-1.08035 # DEPENDENCYPART_ARC
(1,29),-2.21328 # DEPENDENCYPART_ARC
(3,1),-1.27833 # DEPENDENCYPART_ARC
(3,2),0.277762 # DEPENDENCYPART_ARC
(3,5),-1.24917 # DEPENDENCYPART_ARC
(3,9),-2.37619 # DEPENDENCYPART_ARC
(3,16),-2.39003 # DEPENDENCYPART_ARC
(5,1),0.015502 # DEPENDENCYPART_ARC
(5,2),-2.13667 # DEPENDENCYPART_ARC
(5,3),-0.432118 # DEPENDENCYPART_ARC
(5,4),2.24722 # DEPENDENCYPART_ARC
(5,7),0.746966 # DEPENDENCYPART_ARC
(5,8),-0.652298 # DEPENDENCYPART_ARC
(5,9),-0.63633 # DEPENDENCYPART_ARC
(5,10),-0.329726 # DEPENDENCYPART_ARC
(5,12),-0.950654 # DEPENDENCYPART_ARC
(5,13),-1.02814 # DEPENDENCYPART_ARC
(5,14),-1.42915 # DEPENDENCYPART_ARC
(5,15),-0.548133 # DEPENDENCYPART_ARC
(5,16),-1.30875 # DEPENDENCYPART_ARC
(5,17),-1.39427 # DEPENDENCYPART_ARC
(5,18),-2.31661 # DEPENDENCYPART_ARC
(5,19),-1.38231 # DEPENDENCYPART_ARC
(5,21),-2.05272 # DEPENDENCYPART_ARC
(5,22),-1.20514 # DEPENDENCYPART_ARC
(5,24),-2.2742 # DEPENDENCYPART_ARC
(5,26),-1.61537 # DEPENDENCYPART_ARC
(5,27),-3.43223 # DEPENDENCYPART_ARC
(5,28),-3.26276 # DEPENDENCYPART_ARC
(5,29),-0.596895 # DEPENDENCYPART_ARC
(7,1),-1.22994 # DEPENDENCYPART_ARC
