# _root_ Mentrestant , a l' interior del que ha de ser el pou d' extracció més modern amb què compta Iberpotash , tot està a punt per a rebre la maquinària de tecnologia alemanya .
#goldHeads=23,3,23,5,3,5,10,10,10,6,12,10,12,13,16,12,19,17,12,19,3,23,0,23,24,23,26,27,30,28,30,31,32,23,
#predictedHeads=23,1,23,5,3,5,10,10,10,6,12,10,12,13,16,12,19,17,0,19,23,23,0,23,24,23,26,27,30,28,30,31,32,23,
(0,1),-3.91559 # DEPENDENCYPART_ARC
(0,3),-4.75494 # DEPENDENCYPART_ARC
(0,5),-5.20248 # DEPENDENCYPART_ARC
(0,6),-5.73166 # DEPENDENCYPART_ARC
(0,8),-2.68747 # DEPENDENCYPART_ARC
(0,9),-5.38114 # DEPENDENCYPART_ARC
(0,10),-4.50075 # DEPENDENCYPART_ARC
(0,12),-5.51932 # DEPENDENCYPART_ARC
(0,19),-2.01785 # DEPENDENCYPART_ARC
(0,23),-2.86014 # DEPENDENCYPART_ARC
(0,28),-4.14488 # DEPENDENCYPART_ARC
(1,2),0.939848 # DEPENDENCYPART_ARC
(1,3),-1.46987 # DEPENDENCYPART_ARC
(1,5),-1.95659 # DEPENDENCYPART_ARC
(1,6),-1.65258 # DEPENDENCYPART_ARC
(1,21),-1.88039 # DEPENDENCYPART_ARC
(3,1),-1.70101 # DEPENDENCYPART_ARC
(3,2),-0.529444 # DEPENDENCYPART_ARC
(3,4),-0.906534 # DEPENDENCYPART_ARC
(3,5),1.596 # DEPENDENCYPART_ARC
(3,6),-1.64595 # DEPENDENCYPART_ARC
(3,8),-2.05133 # DEPENDENCYPART_ARC
(3,10),-1.35075 # DEPENDENCYPART_ARC
(3,21),-1.05506 # DEPENDENCYPART_ARC
(3,27),-1.55397 # DEPENDENCYPART_ARC
(3,34),-2.50235 # DEPENDENCYPART_ARC
(4,1),-1.80782 # DEPENDENCYPART_ARC
(4,3),-1.03198 # DEPENDENCYPART_ARC
(4,5),-0.540942 # DEPENDENCYPART_ARC
(4,6),-1.15304 # DEPENDENCYPART_ARC
(5,1),-1.70981 # DEPENDENCYPART_ARC
(5,2),-1.60395 # DEPENDENCYPART_ARC
(5,3),-0.717137 # DEPENDENCYPART_ARC
(5,4),1.07612 # DEPENDENCYPART_ARC
(5,6),0.399667 # DEPENDENCYPART_ARC
(5,8),-0.425692 # DEPENDENCYPART_ARC
(5,9),-1.2883 # DEPENDENCYPART_ARC
(5,10),-1.19236 # DEPENDENCYPART_ARC
(5,12),-1.41164 # DEPENDENCYPART_ARC
(5,13),-1.33818 # DEPENDENCYPART_ARC
(5,16),-1.38601 # DEPENDENCYPART_ARC
(5,19),-1.05923 # DEPENDENCYPART_ARC
(5,22),-2.3493 # DEPENDENCYPART_ARC
(5,34),-2.45107 # DEPENDENCYPART_ARC
(6,2),-2.0655 # DEPENDENCYPART_ARC
(6,4),-1.99783 # DEPENDENCYPART_ARC
(6,7),0.855849 # DEPENDENCYPART_ARC
(6,8),-0.0375388 # DEPENDENCYPART_ARC
(6,9),-1.2917 # DEPENDENCYPART_ARC
(6,10),-0.227495 # DEPENDENCYPART_ARC
(6,12),-1.96118 # DEPENDENCYPART_ARC
(6,16),-2.4769 # DEPENDENCYPART_ARC
(6,34),-2.23856 # DEPENDENCYPART_ARC
(7,6),-1.97956 # DEPENDENCYPART_ARC
(8,1),-3.53235 # DEPENDENCYPART_ARC
(8,2),-2.65894 # DEPENDENCYPART_ARC
(8,3),-2.44395 # DEPENDENCYPART_ARC
(8,5),-3.13057 # DEPENDENCYPART_ARC
(8,6),-3.06721 # DEPENDENCYPART_ARC
(8,7),-0.148652 # DEPENDENCYPART_ARC
(8,9),-0.705423 # DEPENDENCYPART_ARC
(8,10),-1.57795 # DEPENDENCYPART_ARC
(8,12),-1.89264 # DEPENDENCYPART_ARC
(8,34),-2.40705 # DEPENDENCYPART_ARC
(9,7),-3.40319 # DEPENDENCYPART_ARC
(9,10),1.06324 # DEPENDENCYPART_ARC
(9,12),-1.61776 # DEPENDENCYPART_ARC
(9,13),-1.7281 # DEPENDENCYPART_ARC
(10,1),-1.23976 # DEPENDENCYPART_ARC
(10,2),-0.705754 # DEPENDENCYPART_ARC
(10,3),-0.224057 # DEPENDENCYPART_ARC
(10,4),-2.45582 # DEPENDENCYPART_ARC
(10,5),-0.87997 # DEPENDENCYPART_ARC
(10,6),-1.24201 # DEPENDENCYPART_ARC
(10,7),0.875882 # DEPENDENCYPART_ARC
(10,8),2.48823 # DEPENDENCYPART_ARC
(10,9),1.12731 # DEPENDENCYPART_ARC
(10,12),0.741337 # DEPENDENCYPART_ARC
(10,13),-0.177254 # DEPENDENCYPART_ARC
(10,14),-0.894398 # DEPENDENCYPART_ARC
(10,15),-1.4195 # DEPENDENCYPART_ARC
(10,16),-1.58909 # DEPENDENCYPART_ARC
(10,17),-0.686203 # DEPENDENCYPART_ARC
(10,18),-1.80152 # DEPENDENCYPART_ARC
(10,19),-1.27463 # DEPENDENCYPART_ARC
(10,20),-1.98119 # DEPENDENCYPART_ARC
(10,21),-1.02215 # DEPENDENCYPART_ARC
(10,22),-2.11633 # DEPENDENCYPART_ARC
(10,23),-1.9769 # DEPENDENCYPART_ARC
(10,24),-1.73259 # DEPENDENCYPART_ARC
(10,26),-1.01941 # DEPENDENCYPART_ARC
(10,27),-2.158 # DEPENDENCYPART_ARC
(10,28),-1.97483 # DEPENDENCYPART_ARC
(10,30),-2.34874 # DEPENDENCYPART_ARC
(10,34),-1.3014 # DEPENDENCYPART_ARC
(11,9),-1.83798 # DEPENDENCYPART_ARC
(11,13),-1.19818 # DEPENDENCYPART_ARC
(12,1),-2.16057 # DEPENDENCYPART_ARC
(12,3),-1.51166 # DEPENDENCYPART_ARC
(12,8),-2.51972 # DEPENDENCYPART_ARC
(12,9),-1.21568 # DEPENDENCYPART_ARC
(12,10),-1.30906 # DEPENDENCYPART_ARC
(12,11),1.29823 # DEPENDENCYPART_ARC
(12,13),1.11174 # DEPENDENCYPART_ARC
(12,14),-0.563879 # DEPENDENCYPART_ARC
(12,15),-0.83885 # DEPENDENCYPART_ARC
(12,16),-0.114893 # DEPENDENCYPART_ARC
(12,17),-0.740448 # DEPENDENCYPART_ARC
(12,19),-0.393224 # DEPENDENCYPART_ARC
(12,20),-1.70987 # DEPENDENCYPART_ARC
(12,22),-1.84982 # DEPENDENCYPART_ARC
(12,23),-1.20706 # DEPENDENCYPART_ARC
(12,26),-1.19182 # DEPENDENCYPART_ARC
(12,28),-1.48758 # DEPENDENCYPART_ARC
(12,33),-2.45542 # DEPENDENCYPART_ARC
(12,34),-2.07692 # DEPENDENCYPART_ARC
(13,11),-2.05007 # DEPENDENCYPART_ARC
(13,14),2.31479 # DEPENDENCYPART_ARC
(13,15),-1.21958 # DEPENDENCYPART_ARC
(13,16),-2.03279 # DEPENDENCYPART_ARC
(14,11),-2.45361 # DEPENDENCYPART_ARC
(14,13),-0.594942 # DEPENDENCYPART_ARC
(14,15),-0.404056 # DEPENDENCYPART_ARC
(14,16),-0.768792 # DEPENDENCYPART_ARC
(14,17),-0.312178 # DEPENDENCYPART_ARC
(14,19),-0.419271 # DEPENDENCYPART_ARC
(14,20),-1.68686 # DEPENDENCYPART_ARC
(14,22),-2.66886 # DEPENDENCYPART_ARC
(14,23),-1.08269 # DEPENDENCYPART_ARC
(14,33),-1.15349 # DEPENDENCYPART_ARC
(15,13),-1.87844 # DEPENDENCYPART_ARC
(15,14),-0.912301 # DEPENDENCYPART_ARC
(15,17),-1.87728 # DEPENDENCYPART_ARC
(15,19),-2.00295 # DEPENDENCYPART_ARC
(16,6),-1.88102 # DEPENDENCYPART_ARC
(16,9),-1.23214 # DEPENDENCYPART_ARC
(16,12),-2.0861 # DEPENDENCYPART_ARC
(16,13),-0.728115 # DEPENDENCYPART_ARC
(16,14),-1.31385 # DEPENDENCYPART_ARC
(16,15),1.53058 # DEPENDENCYPART_ARC
(16,17),-0.152325 # DEPENDENCYPART_ARC
(16,19),-1.4345 # DEPENDENCYPART_ARC
(16,20),-1.81045 # DEPENDENCYPART_ARC
(16,21),-1.44398 # DEPENDENCYPART_ARC
(16,23),-2.00058 # DEPENDENCYPART_ARC
(16,24),-2.46845 # DEPENDENCYPART_ARC
(16,26),-2.66613 # DEPENDENCYPART_ARC
(17,15),-1.54127 # DEPENDENCYPART_ARC
(17,16),-1.35477 # DEPENDENCYPART_ARC
(17,18),2.69617 # DEPENDENCYPART_ARC
(17,19),-1.0384 # DEPENDENCYPART_ARC
(17,20),-1.71102 # DEPENDENCYPART_ARC
(17,21),-1.37595 # DEPENDENCYPART_ARC
(17,23),-3.00504 # DEPENDENCYPART_ARC
(17,24),-1.81991 # DEPENDENCYPART_ARC
(17,27),-1.52551 # DEPENDENCYPART_ARC
(18,17),-1.15819 # DEPENDENCYPART_ARC
(18,19),-0.764871 # DEPENDENCYPART_ARC
(19,1),-1.84158 # DEPENDENCYPART_ARC
(19,2),-1.53721 # DEPENDENCYPART_ARC
(19,3),-1.15925 # DEPENDENCYPART_ARC
(19,5),-2.32166 # DEPENDENCYPART_ARC
(19,6),-2.29335 # DEPENDENCYPART_ARC
(19,7),-2.36197 # DEPENDENCYPART_ARC
(19,8),-2.16471 # DEPENDENCYPART_ARC
(19,9),-2.0933 # DEPENDENCYPART_ARC
(19,10),-1.33715 # DEPENDENCYPART_ARC
(19,11),-3.45216 # DEPENDENCYPART_ARC
(19,12),-1.64479 # DEPENDENCYPART_ARC
(19,13),-1.55295 # DEPENDENCYPART_ARC
(19,14),-1.6094 # DEPENDENCYPART_ARC
(19,15),-1.21076 # DEPENDENCYPART_ARC
(19,16),-1.87254 # DEPENDENCYPART_ARC
(19,17),-0.241845 # DEPENDENCYPART_ARC
(19,18),1.34437 # DEPENDENCYPART_ARC
(19,20),1.7778 # DEPENDENCYPART_ARC
(19,21),-0.427396 # DEPENDENCYPART_ARC
(19,22),-1.49105 # DEPENDENCYPART_ARC
(19,23),-0.215703 # DEPENDENCYPART_ARC
(19,24),-0.891791 # DEPENDENCYPART_ARC
(19,26),-1.08204 # DEPENDENCYPART_ARC
(19,27),-1.77248 # DEPENDENCYPART_ARC
(19,28),-1.55096 # DEPENDENCYPART_ARC
(19,30),-1.949 # DEPENDENCYPART_ARC
(19,33),-2.16081 # DEPENDENCYPART_ARC
(19,34),-0.850113 # DEPENDENCYPART_ARC
(20,18),-1.54216 # DEPENDENCYPART_ARC
(20,21),-0.574343 # DEPENDENCYPART_ARC
(20,22),-1.09779 # DEPENDENCYPART_ARC
(20,23),-1.03934 # DEPENDENCYPART_ARC
(20,24),-2.09374 # DEPENDENCYPART_ARC
(20,26),-2.03029 # DEPENDENCYPART_ARC
(20,28),-1.73138 # DEPENDENCYPART_ARC
(20,30),-2.08401 # DEPENDENCYPART_ARC
(20,33),-2.13988 # DEPENDENCYPART_ARC
(22,17),-2.23322 # DEPENDENCYPART_ARC
(22,20),-1.87633 # DEPENDENCYPART_ARC
(22,21),-0.861427 # DEPENDENCYPART_ARC
(22,23),-0.60294 # DEPENDENCYPART_ARC
(22,24),-0.989306 # DEPENDENCYPART_ARC
(22,26),-1.21936 # DEPENDENCYPART_ARC
(22,27),-1.41026 # DEPENDENCYPART_ARC
(22,30),-2.45856 # DEPENDENCYPART_ARC
(22,31),-1.62041 # DEPENDENCYPART_ARC
(23,1),-2.24947 # DEPENDENCYPART_ARC
(23,2),-1.79719 # DEPENDENCYPART_ARC
(23,3),-1.07876 # DEPENDENCYPART_ARC
(23,5),-2.38964 # DEPENDENCYPART_ARC
(23,7),-3.39234 # DEPENDENCYPART_ARC
(23,8),-3.06303 # DEPENDENCYPART_ARC
(23,9),-2.60816 # DEPENDENCYPART_ARC
(23,10),-1.95943 # DEPENDENCYPART_ARC
(23,12),-1.58665 # DEPENDENCYPART_ARC
(23,13),-2.06922 # DEPENDENCYPART_ARC
(23,14),-1.86888 # DEPENDENCYPART_ARC
(23,15),-2.17893 # DEPENDENCYPART_ARC
(23,16),-2.35191 # DEPENDENCYPART_ARC
(23,17),-1.12934 # DEPENDENCYPART_ARC
(23,18),-1.74755 # DEPENDENCYPART_ARC
(23,19),-1.32048 # DEPENDENCYPART_ARC
(23,20),-1.48711 # DEPENDENCYPART_ARC
(23,21),0.320846 # DEPENDENCYPART_ARC
(23,22),1.78539 # DEPENDENCYPART_ARC
(23,24),1.46229 # DEPENDENCYPART_ARC
(23,25),0.0792815 # DEPENDENCYPART_ARC
(23,26),0.221349 # DEPENDENCYPART_ARC
(23,27),-0.79278 # DEPENDENCYPART_ARC
(23,28),-1.10119 # DEPENDENCYPART_ARC
(23,30),-1.36417 # DEPENDENCYPART_ARC
(23,31),-1.43228 # DEPENDENCYPART_ARC
(23,32),-2.071 # DEPENDENCYPART_ARC
(23,33),-2.00693 # DEPENDENCYPART_ARC
(23,34),-0.836756 # DEPENDENCYPART_ARC
(24,25),2.01553 # DEPENDENCYPART_ARC
(24,26),-1.4125 # DEPENDENCYPART_ARC
(24,27),-0.860055 # DEPENDENCYPART_ARC
(24,28),-1.12346 # DEPENDENCYPART_ARC
(25,24),-0.735706 # DEPENDENCYPART_ARC
(25,26),0.0462695 # DEPENDENCYPART_ARC
(25,27),-1.10085 # DEPENDENCYPART_ARC
(25,28),-0.91929 # DEPENDENCYPART_ARC
(25,30),-1.54234 # DEPENDENCYPART_ARC
(25,31),-1.32333 # DEPENDENCYPART_ARC
(25,33),-2.12829 # DEPENDENCYPART_ARC
(26,24),-1.3935 # DEPENDENCYPART_ARC
(26,27),1.70647 # DEPENDENCYPART_ARC
(26,28),0.930381 # DEPENDENCYPART_ARC
(26,30),-1.29967 # DEPENDENCYPART_ARC
(26,31),-1.88565 # DEPENDENCYPART_ARC
(27,28),2.22685 # DEPENDENCYPART_ARC
(27,30),-1.03407 # DEPENDENCYPART_ARC
(27,31),-1.98639 # DEPENDENCYPART_ARC
(28,1),-2.70973 # DEPENDENCYPART_ARC
(28,2),-2.97533 # DEPENDENCYPART_ARC
(28,3),-2.16427 # DEPENDENCYPART_ARC
(28,5),-3.08958 # DEPENDENCYPART_ARC
(28,7),-4.05376 # DEPENDENCYPART_ARC
(28,8),-2.10016 # DEPENDENCYPART_ARC
(28,10),-1.41709 # DEPENDENCYPART_ARC
(28,12),-2.30325 # DEPENDENCYPART_ARC
(28,16),-2.67034 # DEPENDENCYPART_ARC
(28,17),-2.18175 # DEPENDENCYPART_ARC
(28,18),-3.16647 # DEPENDENCYPART_ARC
(28,20),-2.28238 # DEPENDENCYPART_ARC
(28,21),-1.49433 # DEPENDENCYPART_ARC
(28,22),-1.84299 # DEPENDENCYPART_ARC
(28,23),0.116375 # DEPENDENCYPART_ARC
(28,24),-0.540545 # DEPENDENCYPART_ARC
(28,25),-1.20701 # DEPENDENCYPART_ARC
(28,26),-0.96724 # DEPENDENCYPART_ARC
(28,27),-0.0128776 # DEPENDENCYPART_ARC
(28,30),1.19071 # DEPENDENCYPART_ARC
(28,31),-0.00249287 # DEPENDENCYPART_ARC
(28,32),-0.380363 # DEPENDENCYPART_ARC
(28,33),-1.09867 # DEPENDENCYPART_ARC
(28,34),-0.815804 # DEPENDENCYPART_ARC
(29,30),-0.312058 # DEPENDENCYPART_ARC
(29,31),-0.76427 # DEPENDENCYPART_ARC
(30,29),1.58123 # DEPENDENCYPART_ARC
(30,31),1.22124 # DEPENDENCYPART_ARC
(30,32),-0.277514 # DEPENDENCYPART_ARC
(30,33),0.364693 # DEPENDENCYPART_ARC
(30,34),-0.935954 # DEPENDENCYPART_ARC
(31,29),-1.70266 # DEPENDENCYPART_ARC
(31,32),2.63726 # DEPENDENCYPART_ARC
(31,33),-0.585226 # DEPENDENCYPART_ARC
(32,29),-1.30115 # DEPENDENCYPART_ARC
(32,33),1.2764 # DEPENDENCYPART_ARC
(33,29),-2.46244 # DEPENDENCYPART_ARC
(33,31),-1.60501 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.00275551 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0398029 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0359318 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.392259 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0182948 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.392739 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0397753 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.384057 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.395927 # DEPENDENCYPART_SIBL
(0,1),(0,28),-0.379684 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0318523 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0830805 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.422652 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.129508 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.423748 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0288942 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.420747 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.43226 # DEPENDENCYPART_SIBL
(0,3),(0,28),-0.412174 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0456473 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.419972 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0258335 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.416703 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.194625 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.420898 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.429469 # DEPENDENCYPART_SIBL
(0,5),(0,28),-0.416312 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.430729 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.135645 # DEPENDENCYPART_SIBL
