# _root_ Hi poden optar tots els músics , en solitari o en formació , que no disposin d' obra editada comercialment .
#goldHeads=3,3,0,5,6,3,8,6,8,8,8,11,8,16,16,6,16,17,18,19,3,
#predictedHeads=3,3,0,5,6,3,8,3,8,8,8,11,16,16,16,6,16,17,18,19,3,
(0,1),-3.77261 # DEPENDENCYPART_ARC
(0,2),-2.05161 # DEPENDENCYPART_ARC
(0,3),-3.52703 # DEPENDENCYPART_ARC
(0,16),-4.55255 # DEPENDENCYPART_ARC
(1,2),-1.13545 # DEPENDENCYPART_ARC
(1,3),-1.74813 # DEPENDENCYPART_ARC
(1,6),-2.07909 # DEPENDENCYPART_ARC
(1,7),-1.6712 # DEPENDENCYPART_ARC
(1,9),-2.59927 # DEPENDENCYPART_ARC
(2,1),-0.162049 # DEPENDENCYPART_ARC
(2,3),0.637197 # DEPENDENCYPART_ARC
(2,6),-1.02285 # DEPENDENCYPART_ARC
(2,7),-1.78037 # DEPENDENCYPART_ARC
(2,8),-1.57915 # DEPENDENCYPART_ARC
(2,9),-3.39902 # DEPENDENCYPART_ARC
(2,10),-2.03116 # DEPENDENCYPART_ARC
(2,11),-2.61035 # DEPENDENCYPART_ARC
(2,13),-1.821 # DEPENDENCYPART_ARC
(2,15),-3.30706 # DEPENDENCYPART_ARC
(2,16),-1.55265 # DEPENDENCYPART_ARC
(2,19),-3.65554 # DEPENDENCYPART_ARC
(2,20),-3.20536 # DEPENDENCYPART_ARC
(2,21),-2.42597 # DEPENDENCYPART_ARC
(3,1),1.00647 # DEPENDENCYPART_ARC
(3,2),2.69177 # DEPENDENCYPART_ARC
(3,6),0.56898 # DEPENDENCYPART_ARC
(3,7),-0.815469 # DEPENDENCYPART_ARC
(3,8),0.0718167 # DEPENDENCYPART_ARC
(3,9),-1.38709 # DEPENDENCYPART_ARC
(3,10),-1.08498 # DEPENDENCYPART_ARC
(3,11),-1.44525 # DEPENDENCYPART_ARC
(3,12),-1.32049 # DEPENDENCYPART_ARC
(3,13),-0.779219 # DEPENDENCYPART_ARC
(3,15),-2.19244 # DEPENDENCYPART_ARC
(3,16),-0.585044 # DEPENDENCYPART_ARC
(3,19),-1.97453 # DEPENDENCYPART_ARC
(3,20),-2.16204 # DEPENDENCYPART_ARC
(3,21),-0.178292 # DEPENDENCYPART_ARC
(4,6),-1.2016 # DEPENDENCYPART_ARC
(4,8),-1.38544 # DEPENDENCYPART_ARC
(5,4),1.73011 # DEPENDENCYPART_ARC
(5,6),-1.44206 # DEPENDENCYPART_ARC
(6,1),-2.01464 # DEPENDENCYPART_ARC
(6,2),-1.82991 # DEPENDENCYPART_ARC
(6,3),-2.17412 # DEPENDENCYPART_ARC
(6,4),0.453939 # DEPENDENCYPART_ARC
(6,5),1.59147 # DEPENDENCYPART_ARC
(6,7),-0.809033 # DEPENDENCYPART_ARC
(6,8),-0.919994 # DEPENDENCYPART_ARC
