# _root_ V Brémách budou přestupovat na vlak do Ostende , kde se nalodí na parník Bretaň , který je po osmi dnech vyloží v sídle OSN .
#goldHeads=4,1,4,0,4,5,6,7,12,12,12,8,12,13,14,22,22,22,22,21,19,14,22,23,24,0,
#predictedHeads=4,1,4,0,4,5,4,7,12,12,12,4,12,13,14,22,22,22,22,21,19,15,22,23,24,0,
(0,1),-0.964965 # DEPENDENCYPART_ARC
(0,3),0.285502 # DEPENDENCYPART_ARC
(0,4),-0.567321 # DEPENDENCYPART_ARC
(0,7),-1.66156 # DEPENDENCYPART_ARC
(0,9),-0.460705 # DEPENDENCYPART_ARC
(0,12),-0.897488 # DEPENDENCYPART_ARC
(0,16),-0.767536 # DEPENDENCYPART_ARC
(0,22),-1.53355 # DEPENDENCYPART_ARC
(0,26),4.50987 # DEPENDENCYPART_ARC
(1,2),5.07009 # DEPENDENCYPART_ARC
(1,3),-1.34701 # DEPENDENCYPART_ARC
(1,6),-4.07788 # DEPENDENCYPART_ARC
(2,1),-0.461913 # DEPENDENCYPART_ARC
(2,3),-1.75936 # DEPENDENCYPART_ARC
(2,4),-2.43829 # DEPENDENCYPART_ARC
(2,7),-2.0208 # DEPENDENCYPART_ARC
(3,1),1.09792 # DEPENDENCYPART_ARC
(3,2),-2.44998 # DEPENDENCYPART_ARC
(3,4),1.11005 # DEPENDENCYPART_ARC
(3,5),-0.0238391 # DEPENDENCYPART_ARC
(3,6),-1.17341 # DEPENDENCYPART_ARC
(3,7),-0.470948 # DEPENDENCYPART_ARC
(3,8),-3.22787 # DEPENDENCYPART_ARC
(3,9),-0.702808 # DEPENDENCYPART_ARC
(3,10),-1.15033 # DEPENDENCYPART_ARC
(3,12),-3.63725 # DEPENDENCYPART_ARC
(3,13),-1.71899 # DEPENDENCYPART_ARC
(3,15),-3.86764 # DEPENDENCYPART_ARC
(4,1),1.78115 # DEPENDENCYPART_ARC
(4,2),0.467278 # DEPENDENCYPART_ARC
(4,3),4.55999 # DEPENDENCYPART_ARC
(4,5),2.66269 # DEPENDENCYPART_ARC
(4,6),1.72911 # DEPENDENCYPART_ARC
(4,7),1.66727 # DEPENDENCYPART_ARC
(4,8),-1.25081 # DEPENDENCYPART_ARC
(4,9),0.145698 # DEPENDENCYPART_ARC
