# _root_ Ať už podnět ke změnám přišel zvenčí nebo ne , určitě vzbuzuje naději , že povede ke zchlazení výbušné atmosféry v zemi .
#goldHeads=8,1,6,3,4,1,6,10,8,0,12,10,12,15,13,15,16,17,20,18,20,21,0,
#predictedHeads=6,3,6,3,4,10,8,6,8,12,12,0,12,15,13,15,16,17,20,18,20,21,0,
(0,1),0.267713 # DEPENDENCYPART_ARC
(0,2),-0.0231241 # DEPENDENCYPART_ARC
(0,3),0.148758 # DEPENDENCYPART_ARC
(0,4),0.0640578 # DEPENDENCYPART_ARC
(0,6),0.559517 # DEPENDENCYPART_ARC
(0,7),-1.13145 # DEPENDENCYPART_ARC
(0,8),-0.490762 # DEPENDENCYPART_ARC
(0,9),-0.708017 # DEPENDENCYPART_ARC
(0,10),-0.148753 # DEPENDENCYPART_ARC
(0,11),-1.39064 # DEPENDENCYPART_ARC
(0,12),0.218573 # DEPENDENCYPART_ARC
(0,13),-1.59917 # DEPENDENCYPART_ARC
(0,14),-0.747831 # DEPENDENCYPART_ARC
(0,15),-2.54359 # DEPENDENCYPART_ARC
(0,16),-1.03341 # DEPENDENCYPART_ARC
(0,23),4.15818 # DEPENDENCYPART_ARC
(1,2),0.506851 # DEPENDENCYPART_ARC
(1,3),-0.211903 # DEPENDENCYPART_ARC
(1,8),-0.198465 # DEPENDENCYPART_ARC
(1,10),-0.0832865 # DEPENDENCYPART_ARC
(2,1),0.114402 # DEPENDENCYPART_ARC
(2,3),-0.210903 # DEPENDENCYPART_ARC
(2,4),-1.06173 # DEPENDENCYPART_ARC
(3,1),0.398089 # DEPENDENCYPART_ARC
(3,2),1.12025 # DEPENDENCYPART_ARC
(3,4),2.45746 # DEPENDENCYPART_ARC
(3,5),-0.524079 # DEPENDENCYPART_ARC
(3,6),0.0588597 # DEPENDENCYPART_ARC
(3,7),-0.236225 # DEPENDENCYPART_ARC
(3,8),-0.500494 # DEPENDENCYPART_ARC
(3,9),-0.31821 # DEPENDENCYPART_ARC
(3,12),-2.43901 # DEPENDENCYPART_ARC
(3,15),-2.70069 # DEPENDENCYPART_ARC
(4,3),-0.56413 # DEPENDENCYPART_ARC
(4,5),5.73391 # DEPENDENCYPART_ARC
(4,7),-0.782209 # DEPENDENCYPART_ARC
(4,8),-1.04733 # DEPENDENCYPART_ARC
(5,1),-0.491318 # DEPENDENCYPART_ARC
(5,2),0.0414173 # DEPENDENCYPART_ARC
(5,3),-3.37198 # DEPENDENCYPART_ARC
(5,4),0.501894 # DEPENDENCYPART_ARC
(5,6),-0.72948 # DEPENDENCYPART_ARC
(5,7),-0.573497 # DEPENDENCYPART_ARC
(6,1),0.525076 # DEPENDENCYPART_ARC
(6,2),0.740856 # DEPENDENCYPART_ARC
(6,3),2.78863 # DEPENDENCYPART_ARC
(6,4),1.04559 # DEPENDENCYPART_ARC
(6,5),0.620652 # DEPENDENCYPART_ARC
(6,7),1.76371 # DEPENDENCYPART_ARC
(6,8),1.1033 # DEPENDENCYPART_ARC
(6,9),0.263924 # DEPENDENCYPART_ARC
(6,10),0.478947 # DEPENDENCYPART_ARC
(6,11),0.470877 # DEPENDENCYPART_ARC
(6,12),-1.38666 # DEPENDENCYPART_ARC
(6,13),0.667727 # DEPENDENCYPART_ARC
(6,14),0.486236 # DEPENDENCYPART_ARC
(6,15),-0.110272 # DEPENDENCYPART_ARC
(6,16),-3.11711 # DEPENDENCYPART_ARC
(6,20),-4.24755 # DEPENDENCYPART_ARC
(6,21),-1.37046 # DEPENDENCYPART_ARC
(7,1),-1.2063 # DEPENDENCYPART_ARC
(7,2),-1.10074 # DEPENDENCYPART_ARC
(7,4),-1.36936 # DEPENDENCYPART_ARC
(7,6),-1.15157 # DEPENDENCYPART_ARC
(7,8),-0.551376 # DEPENDENCYPART_ARC
(7,9),-1.40177 # DEPENDENCYPART_ARC
(7,13),-2.21111 # DEPENDENCYPART_ARC
(8,1),-0.240907 # DEPENDENCYPART_ARC
(8,2),-0.0120461 # DEPENDENCYPART_ARC
(8,3),0.292109 # DEPENDENCYPART_ARC
(8,4),0.258841 # DEPENDENCYPART_ARC
(8,5),0.796056 # DEPENDENCYPART_ARC
(8,6),1.28048 # DEPENDENCYPART_ARC
(8,7),1.83211 # DEPENDENCYPART_ARC
(8,9),1.14193 # DEPENDENCYPART_ARC
(8,10),0.114208 # DEPENDENCYPART_ARC
(8,11),0.619594 # DEPENDENCYPART_ARC
(8,12),0.198785 # DEPENDENCYPART_ARC
(8,13),0.529103 # DEPENDENCYPART_ARC
(8,14),-0.982373 # DEPENDENCYPART_ARC
(8,15),-0.904129 # DEPENDENCYPART_ARC
(8,16),-1.77503 # DEPENDENCYPART_ARC
(8,17),-0.294773 # DEPENDENCYPART_ARC
(8,18),-1.85981 # DEPENDENCYPART_ARC
(8,19),-1.3542 # DEPENDENCYPART_ARC
(8,20),-1.74827 # DEPENDENCYPART_ARC
(8,21),-1.44866 # DEPENDENCYPART_ARC
(9,3),-2.24642 # DEPENDENCYPART_ARC
(9,7),-1.20731 # DEPENDENCYPART_ARC
(9,8),-0.774503 # DEPENDENCYPART_ARC
(9,10),0.425361 # DEPENDENCYPART_ARC
(9,11),-0.771123 # DEPENDENCYPART_ARC
(9,12),-0.744754 # DEPENDENCYPART_ARC
(9,14),-1.20974 # DEPENDENCYPART_ARC
(9,16),-1.87222 # DEPENDENCYPART_ARC
(10,1),0.0811754 # DEPENDENCYPART_ARC
(10,2),0.0834687 # DEPENDENCYPART_ARC
(10,3),-0.184111 # DEPENDENCYPART_ARC
(10,4),0.0526654 # DEPENDENCYPART_ARC
(10,5),0.20289 # DEPENDENCYPART_ARC
(10,6),1.0668 # DEPENDENCYPART_ARC
(10,7),0.618393 # DEPENDENCYPART_ARC
(10,8),0.388908 # DEPENDENCYPART_ARC
(10,9),0.961888 # DEPENDENCYPART_ARC
(10,11),0.255519 # DEPENDENCYPART_ARC
(10,12),0.849708 # DEPENDENCYPART_ARC
(10,13),-0.27726 # DEPENDENCYPART_ARC
(10,14),0.00930446 # DEPENDENCYPART_ARC
(10,15),-0.106145 # DEPENDENCYPART_ARC
(10,16),-0.953577 # DEPENDENCYPART_ARC
(10,19),-0.773492 # DEPENDENCYPART_ARC
(10,21),-1.72935 # DEPENDENCYPART_ARC
(11,2),-0.391837 # DEPENDENCYPART_ARC
(11,4),-0.470362 # DEPENDENCYPART_ARC
(11,6),-1.40605 # DEPENDENCYPART_ARC
(11,7),0.0775264 # DEPENDENCYPART_ARC
(11,8),-0.154975 # DEPENDENCYPART_ARC
(11,9),0.53484 # DEPENDENCYPART_ARC
(11,10),0.236998 # DEPENDENCYPART_ARC
(11,12),-0.185364 # DEPENDENCYPART_ARC
(11,13),-1.18422 # DEPENDENCYPART_ARC
(11,14),-0.439137 # DEPENDENCYPART_ARC
(11,15),-1.16356 # DEPENDENCYPART_ARC
(11,16),-1.89705 # DEPENDENCYPART_ARC
(12,1),-0.351017 # DEPENDENCYPART_ARC
(12,2),-0.457688 # DEPENDENCYPART_ARC
(12,3),1.38268 # DEPENDENCYPART_ARC
(12,4),-0.75701 # DEPENDENCYPART_ARC
(12,5),-0.0832971 # DEPENDENCYPART_ARC
(12,6),-0.134061 # DEPENDENCYPART_ARC
(12,7),0.543216 # DEPENDENCYPART_ARC
(12,8),0.579169 # DEPENDENCYPART_ARC
(12,9),0.526129 # DEPENDENCYPART_ARC
(12,10),1.63514 # DEPENDENCYPART_ARC
(12,11),3.04756 # DEPENDENCYPART_ARC
(12,13),3.25047 # DEPENDENCYPART_ARC
(12,14),0.429734 # DEPENDENCYPART_ARC
(12,15),0.740963 # DEPENDENCYPART_ARC
(12,16),-2.39595 # DEPENDENCYPART_ARC
(12,17),-0.993238 # DEPENDENCYPART_ARC
(12,18),-3.22369 # DEPENDENCYPART_ARC
(12,19),-5.83413 # DEPENDENCYPART_ARC
(12,20),-4.31963 # DEPENDENCYPART_ARC
(12,21),-1.10089 # DEPENDENCYPART_ARC
(13,9),-0.153677 # DEPENDENCYPART_ARC
(13,11),-0.795342 # DEPENDENCYPART_ARC
(13,14),-0.261117 # DEPENDENCYPART_ARC
(13,15),1.9254 # DEPENDENCYPART_ARC
(13,16),-1.22913 # DEPENDENCYPART_ARC
(13,17),-1.04435 # DEPENDENCYPART_ARC
(13,18),-2.27089 # DEPENDENCYPART_ARC
(13,19),-1.90264 # DEPENDENCYPART_ARC
(14,6),-0.207204 # DEPENDENCYPART_ARC
(14,9),-0.682035 # DEPENDENCYPART_ARC
(14,10),-0.171904 # DEPENDENCYPART_ARC
(14,11),-0.49503 # DEPENDENCYPART_ARC
(14,12),-0.381561 # DEPENDENCYPART_ARC
(14,13),-0.1926 # DEPENDENCYPART_ARC
(14,15),0.402821 # DEPENDENCYPART_ARC
(14,16),-0.229141 # DEPENDENCYPART_ARC
(14,17),-1.06462 # DEPENDENCYPART_ARC
(15,6),-1.29965 # DEPENDENCYPART_ARC
(15,10),-0.364331 # DEPENDENCYPART_ARC
(15,11),-0.423078 # DEPENDENCYPART_ARC
(15,12),-0.432933 # DEPENDENCYPART_ARC
(15,13),-0.909591 # DEPENDENCYPART_ARC
(15,14),2.49823 # DEPENDENCYPART_ARC
(15,16),2.35288 # DEPENDENCYPART_ARC
(15,17),-0.897722 # DEPENDENCYPART_ARC
(15,18),-2.13289 # DEPENDENCYPART_ARC
(15,19),-1.21142 # DEPENDENCYPART_ARC
(15,20),-2.71312 # DEPENDENCYPART_ARC
(15,21),-2.0033 # DEPENDENCYPART_ARC
(15,23),-0.350037 # DEPENDENCYPART_ARC
(16,1),-2.0027 # DEPENDENCYPART_ARC
(16,10),-1.22943 # DEPENDENCYPART_ARC
(16,11),-0.166118 # DEPENDENCYPART_ARC
(16,12),-2.27598 # DEPENDENCYPART_ARC
(16,13),-0.98554 # DEPENDENCYPART_ARC
(16,14),-0.0917099 # DEPENDENCYPART_ARC
(16,15),-0.340994 # DEPENDENCYPART_ARC
(16,17),2.15729 # DEPENDENCYPART_ARC
(16,18),0.84199 # DEPENDENCYPART_ARC
(16,19),-2.22389 # DEPENDENCYPART_ARC
(16,20),-0.406996 # DEPENDENCYPART_ARC
(16,21),0.987699 # DEPENDENCYPART_ARC
(16,22),-1.64839 # DEPENDENCYPART_ARC
(16,23),-0.786831 # DEPENDENCYPART_ARC
(17,18),3.88723 # DEPENDENCYPART_ARC
(17,19),-1.16325 # DEPENDENCYPART_ARC
(17,20),-1.68978 # DEPENDENCYPART_ARC
(17,22),-1.33399 # DEPENDENCYPART_ARC
(18,17),0.69889 # DEPENDENCYPART_ARC
(18,19),0.0979509 # DEPENDENCYPART_ARC
(18,20),3.04852 # DEPENDENCYPART_ARC
(18,21),0.942456 # DEPENDENCYPART_ARC
(18,22),-0.920129 # DEPENDENCYPART_ARC
(18,23),-1.58668 # DEPENDENCYPART_ARC
(19,17),-0.0560918 # DEPENDENCYPART_ARC
(19,18),-0.195082 # DEPENDENCYPART_ARC
(19,20),0.702986 # DEPENDENCYPART_ARC
(19,21),0.0233462 # DEPENDENCYPART_ARC
(19,22),-2.50172 # DEPENDENCYPART_ARC
(20,17),-0.327444 # DEPENDENCYPART_ARC
(20,18),-1.61407 # DEPENDENCYPART_ARC
(20,19),4.88599 # DEPENDENCYPART_ARC
(20,21),1.57285 # DEPENDENCYPART_ARC
(20,22),-1.03859 # DEPENDENCYPART_ARC
(20,23),-0.276887 # DEPENDENCYPART_ARC
(21,18),-1.46609 # DEPENDENCYPART_ARC
(21,20),-2.36435 # DEPENDENCYPART_ARC
(21,22),4.00922 # DEPENDENCYPART_ARC
(21,23),-0.334589 # DEPENDENCYPART_ARC
(22,17),-0.609365 # DEPENDENCYPART_ARC
(22,18),-1.51917 # DEPENDENCYPART_ARC
(22,19),-0.448479 # DEPENDENCYPART_ARC
(22,20),-1.72863 # DEPENDENCYPART_ARC
(22,21),0.400476 # DEPENDENCYPART_ARC
(22,23),0.143144 # DEPENDENCYPART_ARC
