# _root_ Na posezení a debatu s Leonhardem býval čas večer , když se vrátil z mnichovského rozhlasu , děti se odebraly k spánku a v domě byl klid .
#goldHeads=8,3,1,3,3,5,0,7,7,11,7,13,23,13,16,14,23,20,20,23,20,21,11,26,24,23,26,0,
#predictedHeads=7,3,1,3,4,5,0,7,7,11,7,13,11,13,16,14,11,20,20,23,23,21,13,23,24,23,26,0,
(0,1),-0.902132 # DEPENDENCYPART_ARC
(0,2),-1.18718 # DEPENDENCYPART_ARC
(0,3),-1.23314 # DEPENDENCYPART_ARC
(0,5),-1.00066 # DEPENDENCYPART_ARC
(0,7),0.145508 # DEPENDENCYPART_ARC
(0,9),-1.7819 # DEPENDENCYPART_ARC
(0,10),-0.935498 # DEPENDENCYPART_ARC
(0,11),-1.72879 # DEPENDENCYPART_ARC
(0,13),-1.38253 # DEPENDENCYPART_ARC
(0,17),-1.79578 # DEPENDENCYPART_ARC
(0,20),-1.44242 # DEPENDENCYPART_ARC
(0,23),-2.16313 # DEPENDENCYPART_ARC
(0,26),-1.97705 # DEPENDENCYPART_ARC
(0,28),4.53312 # DEPENDENCYPART_ARC
(1,2),3.50383 # DEPENDENCYPART_ARC
(1,3),1.74277 # DEPENDENCYPART_ARC
(1,4),-0.0162514 # DEPENDENCYPART_ARC
(1,6),-2.16894 # DEPENDENCYPART_ARC
(2,1),-1.02514 # DEPENDENCYPART_ARC
(2,4),-1.15048 # DEPENDENCYPART_ARC
(2,5),-0.372799 # DEPENDENCYPART_ARC
(3,1),0.0688037 # DEPENDENCYPART_ARC
(3,2),5.08561 # DEPENDENCYPART_ARC
(3,4),3.27179 # DEPENDENCYPART_ARC
(3,5),1.02965 # DEPENDENCYPART_ARC
(3,6),0.942342 # DEPENDENCYPART_ARC
(3,7),0.561046 # DEPENDENCYPART_ARC
(3,8),-0.577589 # DEPENDENCYPART_ARC
(3,9),-0.342365 # DEPENDENCYPART_ARC
(3,10),-0.18167 # DEPENDENCYPART_ARC
(3,11),0.272732 # DEPENDENCYPART_ARC
(3,13),-0.817321 # DEPENDENCYPART_ARC
(3,17),0.0742194 # DEPENDENCYPART_ARC
(3,20),-1.89887 # DEPENDENCYPART_ARC
(4,2),-2.51163 # DEPENDENCYPART_ARC
(4,3),-0.775512 # DEPENDENCYPART_ARC
(4,5),1.98033 # DEPENDENCYPART_ARC
(4,6),-1.92342 # DEPENDENCYPART_ARC
(4,7),-1.09319 # DEPENDENCYPART_ARC
(5,2),-0.521822 # DEPENDENCYPART_ARC
(5,3),-0.967654 # DEPENDENCYPART_ARC
(5,4),-1.29075 # DEPENDENCYPART_ARC
(5,6),5.20079 # DEPENDENCYPART_ARC
(5,8),-2.58221 # DEPENDENCYPART_ARC
(6,1),-2.02387 # DEPENDENCYPART_ARC
(6,2),-3.7945 # DEPENDENCYPART_ARC
(6,4),-3.75091 # DEPENDENCYPART_ARC
(6,5),-0.621485 # DEPENDENCYPART_ARC
(6,7),-1.18298 # DEPENDENCYPART_ARC
(6,8),-2.57289 # DEPENDENCYPART_ARC
(7,1),1.58988 # DEPENDENCYPART_ARC
(7,2),-0.105162 # DEPENDENCYPART_ARC
