# _root_ Poslanec FS Aleš Mucha ( LSU ) nevidí důvod , proč by stahoval svůj návrh kandidatury Jiřího Kotase na funkci prezidenta ČSFR , přestože se v minulých dnech LSU od kandidatury J . Kotase distancovala .
#goldHeads=4,1,4,8,4,4,4,0,8,13,13,13,9,15,13,15,18,16,16,19,20,21,24,8,35,35,28,26,35,35,30,34,32,31,24,0,
#predictedHeads=4,1,4,5,8,4,5,0,8,13,13,13,9,15,13,15,18,16,15,19,20,21,24,13,35,35,28,26,28,35,30,34,32,31,24,0,
(0,1),-0.331502 # DEPENDENCYPART_ARC
(0,2),-0.337099 # DEPENDENCYPART_ARC
(0,3),-0.333567 # DEPENDENCYPART_ARC
(0,4),-0.0408765 # DEPENDENCYPART_ARC
(0,5),-0.611599 # DEPENDENCYPART_ARC
(0,6),-1.40354 # DEPENDENCYPART_ARC
(0,7),-0.0901874 # DEPENDENCYPART_ARC
(0,8),1.76372 # DEPENDENCYPART_ARC
(0,9),-2.73222 # DEPENDENCYPART_ARC
(0,10),-0.655753 # DEPENDENCYPART_ARC
(0,11),-0.705467 # DEPENDENCYPART_ARC
(0,13),-0.547972 # DEPENDENCYPART_ARC
(0,23),-1.84671 # DEPENDENCYPART_ARC
(0,33),0.784282 # DEPENDENCYPART_ARC
(0,35),-1.76625 # DEPENDENCYPART_ARC
(0,36),3.64376 # DEPENDENCYPART_ARC
(1,2),2.55607 # DEPENDENCYPART_ARC
(1,3),-0.261088 # DEPENDENCYPART_ARC
(1,4),-1.55376 # DEPENDENCYPART_ARC
(1,5),-0.243701 # DEPENDENCYPART_ARC
(1,6),-0.691307 # DEPENDENCYPART_ARC
(1,7),-0.229966 # DEPENDENCYPART_ARC
(1,8),-2.1176 # DEPENDENCYPART_ARC
(1,11),-0.942804 # DEPENDENCYPART_ARC
(2,1),-1.79494 # DEPENDENCYPART_ARC
(2,3),0.439789 # DEPENDENCYPART_ARC
(2,4),-1.18508 # DEPENDENCYPART_ARC
(2,5),0.118204 # DEPENDENCYPART_ARC
(2,6),-1.17391 # DEPENDENCYPART_ARC
(2,7),-0.220868 # DEPENDENCYPART_ARC
(3,1),2.19177 # DEPENDENCYPART_ARC
(3,2),-2.6748 # DEPENDENCYPART_ARC
(3,4),0.657389 # DEPENDENCYPART_ARC
(3,5),0.0992558 # DEPENDENCYPART_ARC
(3,6),-0.600832 # DEPENDENCYPART_ARC
(3,7),0.00195655 # DEPENDENCYPART_ARC
(3,8),-2.41065 # DEPENDENCYPART_ARC
(3,10),-0.624545 # DEPENDENCYPART_ARC
(4,1),3.79855 # DEPENDENCYPART_ARC
(4,2),-0.51313 # DEPENDENCYPART_ARC
(4,3),6.26728 # DEPENDENCYPART_ARC
(4,5),1.28573 # DEPENDENCYPART_ARC
(4,6),2.06047 # DEPENDENCYPART_ARC
(4,7),0.738955 # DEPENDENCYPART_ARC
(4,8),-1.10232 # DEPENDENCYPART_ARC
(4,9),-5.36104 # DEPENDENCYPART_ARC
(4,10),-0.461567 # DEPENDENCYPART_ARC
(4,11),-0.659169 # DEPENDENCYPART_ARC
(4,13),-1.76515 # DEPENDENCYPART_ARC
(5,1),0.126006 # DEPENDENCYPART_ARC
(5,2),0.942942 # DEPENDENCYPART_ARC
(5,3),0.580952 # DEPENDENCYPART_ARC
(5,4),1.35717 # DEPENDENCYPART_ARC
(5,6),1.31349 # DEPENDENCYPART_ARC
(5,7),1.32429 # DEPENDENCYPART_ARC
(5,8),-0.294159 # DEPENDENCYPART_ARC
(5,9),-0.624586 # DEPENDENCYPART_ARC
(5,10),-0.318272 # DEPENDENCYPART_ARC
(5,11),-1.20672 # DEPENDENCYPART_ARC
(5,13),-1.10106 # DEPENDENCYPART_ARC
(6,1),-2.62271 # DEPENDENCYPART_ARC
(6,2),-2.66646 # DEPENDENCYPART_ARC
(6,3),-0.676454 # DEPENDENCYPART_ARC
