# _root_ Program třítýdenní přehlídky , jejíž hlavní část začne v úterý vypuštěním balónu České spořitelny , je zaměřen především na hudbu a výtvarné umění .
#goldHeads=16,3,1,8,7,7,8,3,8,9,8,11,14,12,8,0,16,21,17,21,19,23,21,0,
#predictedHeads=16,3,1,8,7,7,8,3,8,9,8,11,14,12,8,0,16,21,17,19,19,23,21,0,
(0,1),-0.87482 # DEPENDENCYPART_ARC
(0,2),-1.49907 # DEPENDENCYPART_ARC
(0,3),-1.67208 # DEPENDENCYPART_ARC
(0,4),-0.442578 # DEPENDENCYPART_ARC
(0,8),-0.332052 # DEPENDENCYPART_ARC
(0,15),-1.24869 # DEPENDENCYPART_ARC
(0,16),0.0786633 # DEPENDENCYPART_ARC
(0,17),-1.90843 # DEPENDENCYPART_ARC
(0,21),-1.75702 # DEPENDENCYPART_ARC
(0,24),3.43484 # DEPENDENCYPART_ARC
(1,2),-0.313131 # DEPENDENCYPART_ARC
(1,3),3.10212 # DEPENDENCYPART_ARC
(1,4),0.0242075 # DEPENDENCYPART_ARC
(1,6),-1.08597 # DEPENDENCYPART_ARC
(1,7),0.942172 # DEPENDENCYPART_ARC
(1,8),0.0115921 # DEPENDENCYPART_ARC
(1,9),-0.66903 # DEPENDENCYPART_ARC
(1,21),-0.649874 # DEPENDENCYPART_ARC
(2,1),-1.67876 # DEPENDENCYPART_ARC
(2,3),0.669906 # DEPENDENCYPART_ARC
(2,7),-2.00252 # DEPENDENCYPART_ARC
(3,1),-2.28558 # DEPENDENCYPART_ARC
(3,2),5.34133 # DEPENDENCYPART_ARC
(3,4),-0.149744 # DEPENDENCYPART_ARC
(3,6),-0.639523 # DEPENDENCYPART_ARC
(3,7),-0.35274 # DEPENDENCYPART_ARC
(3,8),1.09018 # DEPENDENCYPART_ARC
(3,13),0.376023 # DEPENDENCYPART_ARC
(3,17),-1.22146 # DEPENDENCYPART_ARC
(4,1),-0.191613 # DEPENDENCYPART_ARC
(4,2),-0.795417 # DEPENDENCYPART_ARC
(4,3),-0.540836 # DEPENDENCYPART_ARC
(4,6),-0.477059 # DEPENDENCYPART_ARC
(4,7),-0.416642 # DEPENDENCYPART_ARC
(4,8),0.214639 # DEPENDENCYPART_ARC
(4,15),-0.54972 # DEPENDENCYPART_ARC
(4,16),-1.03504 # DEPENDENCYPART_ARC
(4,17),-1.37665 # DEPENDENCYPART_ARC
(4,18),-2.15808 # DEPENDENCYPART_ARC
(6,4),-0.92939 # DEPENDENCYPART_ARC
(6,8),-2.76173 # DEPENDENCYPART_ARC
(7,1),-0.774498 # DEPENDENCYPART_ARC
(7,2),1.45996 # DEPENDENCYPART_ARC
(7,3),-2.73298 # DEPENDENCYPART_ARC
(7,4),0.153663 # DEPENDENCYPART_ARC
(7,5),4.27094 # DEPENDENCYPART_ARC
(7,6),5.58352 # DEPENDENCYPART_ARC
(7,8),-1.23014 # DEPENDENCYPART_ARC
(8,1),2.40862 # DEPENDENCYPART_ARC
(8,2),-4.23349 # DEPENDENCYPART_ARC
(8,3),-2.33577 # DEPENDENCYPART_ARC
(8,4),1.78134 # DEPENDENCYPART_ARC
(8,6),0.319708 # DEPENDENCYPART_ARC
(8,7),2.87407 # DEPENDENCYPART_ARC
(8,9),2.7566 # DEPENDENCYPART_ARC
(8,10),1.42328 # DEPENDENCYPART_ARC
(8,11),2.70728 # DEPENDENCYPART_ARC
(8,12),0.92513 # DEPENDENCYPART_ARC
(8,13),-2.59924 # DEPENDENCYPART_ARC
(8,14),-0.437118 # DEPENDENCYPART_ARC
(8,15),1.00424 # DEPENDENCYPART_ARC
(8,16),-1.80028 # DEPENDENCYPART_ARC
(8,17),0.104661 # DEPENDENCYPART_ARC
(8,18),-1.54714 # DEPENDENCYPART_ARC
(8,19),-0.156383 # DEPENDENCYPART_ARC
(8,20),-1.4977 # DEPENDENCYPART_ARC
(8,21),-1.01769 # DEPENDENCYPART_ARC
(8,22),-4.64877 # DEPENDENCYPART_ARC
(8,23),-0.930169 # DEPENDENCYPART_ARC
(9,10),3.63158 # DEPENDENCYPART_ARC
(9,11),-1.04018 # DEPENDENCYPART_ARC
(9,12),-4.4269 # DEPENDENCYPART_ARC
(9,15),-0.341719 # DEPENDENCYPART_ARC
(10,5),-0.982837 # DEPENDENCYPART_ARC
(10,6),-4.11691 # DEPENDENCYPART_ARC
(10,9),1.16704 # DEPENDENCYPART_ARC
(10,11),1.3971 # DEPENDENCYPART_ARC
(10,12),1.61795 # DEPENDENCYPART_ARC
(10,13),-2.24133 # DEPENDENCYPART_ARC
(10,14),-0.144833 # DEPENDENCYPART_ARC
(10,16),-2.63497 # DEPENDENCYPART_ARC
(10,21),-1.19828 # DEPENDENCYPART_ARC
(11,5),-0.197105 # DEPENDENCYPART_ARC
(11,9),0.348298 # DEPENDENCYPART_ARC
(11,10),0.0673124 # DEPENDENCYPART_ARC
(11,12),3.66665 # DEPENDENCYPART_ARC
(11,13),-0.451395 # DEPENDENCYPART_ARC
(11,14),1.29054 # DEPENDENCYPART_ARC
(11,15),-0.128798 # DEPENDENCYPART_ARC
(11,16),-1.45665 # DEPENDENCYPART_ARC
(11,17),-1.32435 # DEPENDENCYPART_ARC
(11,21),-0.103086 # DEPENDENCYPART_ARC
(11,22),-2.23301 # DEPENDENCYPART_ARC
(12,5),-1.296 # DEPENDENCYPART_ARC
(12,7),-4.19167 # DEPENDENCYPART_ARC
(12,9),0.24533 # DEPENDENCYPART_ARC
(12,10),-1.29887 # DEPENDENCYPART_ARC
(12,11),-2.04559 # DEPENDENCYPART_ARC
(12,13),0.75817 # DEPENDENCYPART_ARC
(12,14),3.22522 # DEPENDENCYPART_ARC
(12,15),-0.173221 # DEPENDENCYPART_ARC
(12,16),-1.32445 # DEPENDENCYPART_ARC
(12,17),-0.559595 # DEPENDENCYPART_ARC
(12,18),-0.478277 # DEPENDENCYPART_ARC
(12,19),-1.30149 # DEPENDENCYPART_ARC
(12,20),-5.21597 # DEPENDENCYPART_ARC
(12,21),0.0472785 # DEPENDENCYPART_ARC
(12,22),-4.30038 # DEPENDENCYPART_ARC
(12,23),-4.49221 # DEPENDENCYPART_ARC
(13,9),-0.750278 # DEPENDENCYPART_ARC
(13,10),-1.80667 # DEPENDENCYPART_ARC
(13,11),-0.567546 # DEPENDENCYPART_ARC
(13,12),-0.423327 # DEPENDENCYPART_ARC
(13,14),0.34913 # DEPENDENCYPART_ARC
(13,19),-1.91953 # DEPENDENCYPART_ARC
(13,23),-4.57754 # DEPENDENCYPART_ARC
(14,10),-3.03502 # DEPENDENCYPART_ARC
(14,11),-3.51377 # DEPENDENCYPART_ARC
(14,12),-0.601601 # DEPENDENCYPART_ARC
(14,13),5.13187 # DEPENDENCYPART_ARC
(14,16),-1.77873 # DEPENDENCYPART_ARC
(14,17),-0.771947 # DEPENDENCYPART_ARC
(15,1),-1.32217 # DEPENDENCYPART_ARC
(15,3),-1.1074 # DEPENDENCYPART_ARC
(15,4),-0.485126 # DEPENDENCYPART_ARC
(15,7),-0.390078 # DEPENDENCYPART_ARC
(15,8),-0.0278871 # DEPENDENCYPART_ARC
(15,9),-0.38895 # DEPENDENCYPART_ARC
(15,10),0.673501 # DEPENDENCYPART_ARC
(15,11),0.253103 # DEPENDENCYPART_ARC
(15,12),0.102175 # DEPENDENCYPART_ARC
(15,13),-0.371658 # DEPENDENCYPART_ARC
(15,14),-0.323376 # DEPENDENCYPART_ARC
(15,16),-0.147653 # DEPENDENCYPART_ARC
(15,17),-0.470856 # DEPENDENCYPART_ARC
(15,18),-0.838628 # DEPENDENCYPART_ARC
(15,19),-1.37526 # DEPENDENCYPART_ARC
(15,20),-1.93252 # DEPENDENCYPART_ARC
(15,21),-0.639688 # DEPENDENCYPART_ARC
(16,1),1.54058 # DEPENDENCYPART_ARC
(16,3),-2.91763 # DEPENDENCYPART_ARC
(16,4),-0.128548 # DEPENDENCYPART_ARC
(16,7),0.847104 # DEPENDENCYPART_ARC
(16,8),-1.25816 # DEPENDENCYPART_ARC
(16,9),-1.27023 # DEPENDENCYPART_ARC
(16,10),-0.113556 # DEPENDENCYPART_ARC
