# _root_ Pravděpodobnost , že pracovník úřadu bude kontrolovat právě " svého " taxikáře , je však malá .
#goldHeads=14,3,1,7,4,7,3,12,10,12,10,7,3,15,0,14,0,
#predictedHeads=14,3,1,7,4,7,3,7,10,12,12,7,15,15,0,14,0,
(0,1),0.17284 # DEPENDENCYPART_ARC
(0,2),-0.186723 # DEPENDENCYPART_ARC
(0,3),-0.443929 # DEPENDENCYPART_ARC
(0,4),-1.10496 # DEPENDENCYPART_ARC
(0,6),0.248236 # DEPENDENCYPART_ARC
(0,7),-0.21431 # DEPENDENCYPART_ARC
(0,10),-1.7651 # DEPENDENCYPART_ARC
(0,12),-2.85689 # DEPENDENCYPART_ARC
(0,13),-0.918843 # DEPENDENCYPART_ARC
(0,14),-0.136644 # DEPENDENCYPART_ARC
(0,15),0.456287 # DEPENDENCYPART_ARC
(0,17),3.72815 # DEPENDENCYPART_ARC
(1,2),-0.0407833 # DEPENDENCYPART_ARC
(1,3),1.25374 # DEPENDENCYPART_ARC
(1,4),0.146652 # DEPENDENCYPART_ARC
(1,5),1.57088 # DEPENDENCYPART_ARC
(2,1),-0.257927 # DEPENDENCYPART_ARC
(3,1),-0.479636 # DEPENDENCYPART_ARC
(3,2),2.42065 # DEPENDENCYPART_ARC
(3,4),-0.537693 # DEPENDENCYPART_ARC
(3,5),-0.976762 # DEPENDENCYPART_ARC
(3,6),1.89019 # DEPENDENCYPART_ARC
(3,7),1.47374 # DEPENDENCYPART_ARC
(3,8),-0.989963 # DEPENDENCYPART_ARC
(3,9),-0.943513 # DEPENDENCYPART_ARC
(3,13),0.154596 # DEPENDENCYPART_ARC
(3,14),-0.199201 # DEPENDENCYPART_ARC
(3,15),0.569308 # DEPENDENCYPART_ARC
(4,2),-1.1623 # DEPENDENCYPART_ARC
(4,3),-1.79954 # DEPENDENCYPART_ARC
(4,5),4.39394 # DEPENDENCYPART_ARC
(4,6),-1.52673 # DEPENDENCYPART_ARC
(4,8),-0.590435 # DEPENDENCYPART_ARC
(4,11),-0.536085 # DEPENDENCYPART_ARC
(4,16),-4.08255 # DEPENDENCYPART_ARC
(5,1),-4.7528 # DEPENDENCYPART_ARC
(5,3),-0.653062 # DEPENDENCYPART_ARC
(5,4),0.875696 # DEPENDENCYPART_ARC
(5,6),-1.19362 # DEPENDENCYPART_ARC
(6,1),-1.64635 # DEPENDENCYPART_ARC
(6,2),-0.373578 # DEPENDENCYPART_ARC
(6,3),-0.698093 # DEPENDENCYPART_ARC
(6,4),0.362125 # DEPENDENCYPART_ARC
(6,5),-1.43687 # DEPENDENCYPART_ARC
(6,7),1.51009 # DEPENDENCYPART_ARC
(6,8),-0.124404 # DEPENDENCYPART_ARC
(6,9),-0.311274 # DEPENDENCYPART_ARC
(6,10),-0.901109 # DEPENDENCYPART_ARC
(6,11),-0.365229 # DEPENDENCYPART_ARC
(6,12),-1.8049 # DEPENDENCYPART_ARC
(6,13),0.15572 # DEPENDENCYPART_ARC
(6,14),-2.29123 # DEPENDENCYPART_ARC
