# _root_ Dochovala se v podobě překrásného iluminovaného rukopisu , v němž jsou nejen popsány , ale i vyobrazeny scény ze středověkého městského dění .
#goldHeads=0,1,1,3,7,7,4,11,11,9,7,13,15,15,11,17,15,11,18,22,22,19,0,
#predictedHeads=0,1,1,3,7,7,4,11,13,9,13,13,15,15,1,17,15,17,18,22,22,19,0,
(0,1),-0.071616 # DEPENDENCYPART_ARC
(0,3),-1.81813 # DEPENDENCYPART_ARC
(0,4),-2.72632 # DEPENDENCYPART_ARC
(0,5),-2.71462 # DEPENDENCYPART_ARC
(0,7),-3.12596 # DEPENDENCYPART_ARC
(0,8),-1.03561 # DEPENDENCYPART_ARC
(0,11),-1.57574 # DEPENDENCYPART_ARC
(0,13),-1.55444 # DEPENDENCYPART_ARC
(0,14),-1.49513 # DEPENDENCYPART_ARC
(0,15),-1.18959 # DEPENDENCYPART_ARC
(0,17),-2.86471 # DEPENDENCYPART_ARC
(0,23),4.22832 # DEPENDENCYPART_ARC
(1,2),3.5088 # DEPENDENCYPART_ARC
(1,3),1.96104 # DEPENDENCYPART_ARC
(1,4),0.117344 # DEPENDENCYPART_ARC
(1,5),-1.95056 # DEPENDENCYPART_ARC
(1,6),-2.83563 # DEPENDENCYPART_ARC
(1,7),-0.23183 # DEPENDENCYPART_ARC
(1,8),-0.108113 # DEPENDENCYPART_ARC
(1,9),-0.251228 # DEPENDENCYPART_ARC
(1,11),-1.73108 # DEPENDENCYPART_ARC
(1,13),-0.693635 # DEPENDENCYPART_ARC
(1,14),-0.563928 # DEPENDENCYPART_ARC
(1,15),0.1962 # DEPENDENCYPART_ARC
(1,16),-1.24347 # DEPENDENCYPART_ARC
(1,18),-2.20478 # DEPENDENCYPART_ARC
(1,19),-1.82821 # DEPENDENCYPART_ARC
(1,22),-4.00559 # DEPENDENCYPART_ARC
(3,4),2.96641 # DEPENDENCYPART_ARC
(3,5),-2.1248 # DEPENDENCYPART_ARC
(3,7),-2.70713 # DEPENDENCYPART_ARC
(4,1),-3.69097 # DEPENDENCYPART_ARC
(4,2),-2.19089 # DEPENDENCYPART_ARC
(4,3),2.227 # DEPENDENCYPART_ARC
