# _root_ zeptali jsme se JÁNA LANGOŠE , bývalého ministra vnitra ČSFR : Jaký je váš názor na policejní zákrok , k němuž došlo minulou středu na fotbalovém stadiónu Slovanu v Bratislavě ?
#goldHeads=0,1,1,5,6,1,8,6,8,8,13,13,1,15,13,15,18,16,22,22,20,18,24,22,22,27,25,27,27,29,0,
#predictedHeads=0,1,1,5,6,1,8,6,8,8,13,13,6,15,13,15,18,16,22,22,20,18,24,22,24,27,25,27,28,29,0,
(0,1),-0.436299 # DEPENDENCYPART_ARC
(0,2),-0.936421 # DEPENDENCYPART_ARC
(0,6),-0.881245 # DEPENDENCYPART_ARC
(0,11),-0.632629 # DEPENDENCYPART_ARC
(0,12),-2.94405 # DEPENDENCYPART_ARC
(0,13),-1.66303 # DEPENDENCYPART_ARC
(0,19),-1.79334 # DEPENDENCYPART_ARC
(0,31),2.52464 # DEPENDENCYPART_ARC
(1,2),4.43289 # DEPENDENCYPART_ARC
(1,3),3.16977 # DEPENDENCYPART_ARC
(1,4),-0.642638 # DEPENDENCYPART_ARC
(1,5),-0.577028 # DEPENDENCYPART_ARC
(1,6),0.816447 # DEPENDENCYPART_ARC
(1,7),-2.65473 # DEPENDENCYPART_ARC
(1,8),-0.902428 # DEPENDENCYPART_ARC
(1,9),-1.044 # DEPENDENCYPART_ARC
(1,10),-2.14686 # DEPENDENCYPART_ARC
(1,11),-0.706572 # DEPENDENCYPART_ARC
(1,15),-0.216878 # DEPENDENCYPART_ARC
(1,16),-0.266023 # DEPENDENCYPART_ARC
(1,18),-0.0833684 # DEPENDENCYPART_ARC
(1,19),0.190059 # DEPENDENCYPART_ARC
(1,20),-1.65818 # DEPENDENCYPART_ARC
(1,24),-1.66239 # DEPENDENCYPART_ARC
(1,25),-1.22039 # DEPENDENCYPART_ARC
(1,29),-2.2372 # DEPENDENCYPART_ARC
(1,31),-0.368637 # DEPENDENCYPART_ARC
(2,1),-1.38104 # DEPENDENCYPART_ARC
(2,3),-0.0027225 # DEPENDENCYPART_ARC
(2,4),-1.79551 # DEPENDENCYPART_ARC
(2,5),-2.66457 # DEPENDENCYPART_ARC
(2,6),-0.428179 # DEPENDENCYPART_ARC
(2,7),-5.19152 # DEPENDENCYPART_ARC
(2,8),-3.16224 # DEPENDENCYPART_ARC
(2,10),-4.59144 # DEPENDENCYPART_ARC
(4,1),-4.71458 # DEPENDENCYPART_ARC
(4,2),-2.87559 # DEPENDENCYPART_ARC
(4,3),-1.98151 # DEPENDENCYPART_ARC
(4,5),0.109752 # DEPENDENCYPART_ARC
(4,6),-0.560935 # DEPENDENCYPART_ARC
(4,7),-0.586469 # DEPENDENCYPART_ARC
(4,8),-1.11251 # DEPENDENCYPART_ARC
(4,9),-0.592373 # DEPENDENCYPART_ARC
(4,10),-0.799521 # DEPENDENCYPART_ARC
(4,13),-1.28643 # DEPENDENCYPART_ARC
(4,16),-2.29215 # DEPENDENCYPART_ARC
(4,22),-1.47672 # DEPENDENCYPART_ARC
(5,1),-4.4285 # DEPENDENCYPART_ARC
(5,2),-2.3784 # DEPENDENCYPART_ARC
(5,3),-2.15919 # DEPENDENCYPART_ARC
