# _root_ " Chtěl jsem víc , ale v posledních třech závodech ME se mi motor Porsche rozsypával , " říká Bartoš .
#goldHeads=6,6,2,2,6,19,16,10,10,7,10,16,16,16,14,6,6,6,0,19,0,
#predictedHeads=2,19,2,2,6,19,16,10,10,7,10,16,16,16,14,6,2,2,0,19,0,
(0,1),-0.984251 # DEPENDENCYPART_ARC
(0,2),0.0409139 # DEPENDENCYPART_ARC
(0,3),-0.469923 # DEPENDENCYPART_ARC
(0,4),-1.50966 # DEPENDENCYPART_ARC
(0,5),-0.788973 # DEPENDENCYPART_ARC
(0,6),0.573198 # DEPENDENCYPART_ARC
(0,13),-2.26493 # DEPENDENCYPART_ARC
(0,16),-2.26926 # DEPENDENCYPART_ARC
(0,17),-0.597719 # DEPENDENCYPART_ARC
(0,19),0.894057 # DEPENDENCYPART_ARC
(0,21),2.83987 # DEPENDENCYPART_ARC
(1,2),-3.13614 # DEPENDENCYPART_ARC
(1,3),-3.73205 # DEPENDENCYPART_ARC
(2,1),1.77777 # DEPENDENCYPART_ARC
(2,3),4.28628 # DEPENDENCYPART_ARC
(2,4),1.91515 # DEPENDENCYPART_ARC
(2,5),1.0403 # DEPENDENCYPART_ARC
(2,6),0.943168 # DEPENDENCYPART_ARC
(2,7),0.718525 # DEPENDENCYPART_ARC
(2,8),-4.77796 # DEPENDENCYPART_ARC
(2,9),-2.10884 # DEPENDENCYPART_ARC
(2,10),-1.30655 # DEPENDENCYPART_ARC
(2,11),-1.19308 # DEPENDENCYPART_ARC
(2,14),0.186753 # DEPENDENCYPART_ARC
(2,15),-2.12713 # DEPENDENCYPART_ARC
(2,16),-1.80651 # DEPENDENCYPART_ARC
(2,17),1.54504 # DEPENDENCYPART_ARC
(2,18),1.47521 # DEPENDENCYPART_ARC
(2,19),-2.06674 # DEPENDENCYPART_ARC
(2,20),-2.10712 # DEPENDENCYPART_ARC
(2,21),0.248078 # DEPENDENCYPART_ARC
(3,1),0.330784 # DEPENDENCYPART_ARC
(3,2),-0.386395 # DEPENDENCYPART_ARC
(3,4),1.4624 # DEPENDENCYPART_ARC
(3,5),-0.0925382 # DEPENDENCYPART_ARC
(3,6),-0.131578 # DEPENDENCYPART_ARC
(3,7),-1.37183 # DEPENDENCYPART_ARC
(3,8),-5.45972 # DEPENDENCYPART_ARC
(3,9),-3.944 # DEPENDENCYPART_ARC
(3,10),-3.11618 # DEPENDENCYPART_ARC
(3,11),-2.48983 # DEPENDENCYPART_ARC
(3,14),-1.73573 # DEPENDENCYPART_ARC
(3,15),-4.03708 # DEPENDENCYPART_ARC
(3,16),-3.20361 # DEPENDENCYPART_ARC
(3,17),-0.0530457 # DEPENDENCYPART_ARC
(3,18),0.236044 # DEPENDENCYPART_ARC
(4,1),-0.364923 # DEPENDENCYPART_ARC
(4,2),-1.1845 # DEPENDENCYPART_ARC
(4,3),-0.825586 # DEPENDENCYPART_ARC
(4,5),0.603665 # DEPENDENCYPART_ARC
(4,6),0.970243 # DEPENDENCYPART_ARC
(4,7),-1.29791 # DEPENDENCYPART_ARC
(5,1),-0.292139 # DEPENDENCYPART_ARC
(5,2),-0.470781 # DEPENDENCYPART_ARC
(5,3),-0.892528 # DEPENDENCYPART_ARC
(5,4),-0.512098 # DEPENDENCYPART_ARC
(5,7),-0.742595 # DEPENDENCYPART_ARC
(5,8),-0.755541 # DEPENDENCYPART_ARC
(5,9),-0.995172 # DEPENDENCYPART_ARC
(5,16),-0.809669 # DEPENDENCYPART_ARC
(5,17),-0.795167 # DEPENDENCYPART_ARC
(5,18),-0.305046 # DEPENDENCYPART_ARC
(6,1),1.17535 # DEPENDENCYPART_ARC
(6,2),1.36832 # DEPENDENCYPART_ARC
(6,3),1.05648 # DEPENDENCYPART_ARC
(6,4),0.821251 # DEPENDENCYPART_ARC
(6,5),2.45987 # DEPENDENCYPART_ARC
(6,7),0.975852 # DEPENDENCYPART_ARC
(6,8),0.63832 # DEPENDENCYPART_ARC
(6,9),0.241399 # DEPENDENCYPART_ARC
(6,10),0.346434 # DEPENDENCYPART_ARC
(6,11),-0.0847954 # DEPENDENCYPART_ARC
(6,16),2.20197 # DEPENDENCYPART_ARC
(6,17),0.0733603 # DEPENDENCYPART_ARC
(6,18),1.32158 # DEPENDENCYPART_ARC
(6,19),0.78505 # DEPENDENCYPART_ARC
(6,20),-2.1838 # DEPENDENCYPART_ARC
(6,21),-1.09816 # DEPENDENCYPART_ARC
(7,5),0.0803959 # DEPENDENCYPART_ARC
(7,8),0.599806 # DEPENDENCYPART_ARC
(7,9),0.39211 # DEPENDENCYPART_ARC
(7,10),2.56842 # DEPENDENCYPART_ARC
(7,11),1.51755 # DEPENDENCYPART_ARC
(8,4),-0.558035 # DEPENDENCYPART_ARC
(8,6),-0.365882 # DEPENDENCYPART_ARC
(8,7),-0.861461 # DEPENDENCYPART_ARC
(8,10),0.475592 # DEPENDENCYPART_ARC
(9,7),-0.703438 # DEPENDENCYPART_ARC
(9,8),1.04785 # DEPENDENCYPART_ARC
(9,10),2.39972 # DEPENDENCYPART_ARC
(9,11),0.0649093 # DEPENDENCYPART_ARC
(10,1),-1.10362 # DEPENDENCYPART_ARC
(10,4),0.0114315 # DEPENDENCYPART_ARC
(10,5),0.433213 # DEPENDENCYPART_ARC
(10,6),0.12594 # DEPENDENCYPART_ARC
(10,7),0.315157 # DEPENDENCYPART_ARC
(10,8),2.5132 # DEPENDENCYPART_ARC
(10,9),3.13654 # DEPENDENCYPART_ARC
(10,11),2.87244 # DEPENDENCYPART_ARC
(10,14),-2.29878 # DEPENDENCYPART_ARC
(10,15),-0.022628 # DEPENDENCYPART_ARC
(10,16),-0.618002 # DEPENDENCYPART_ARC
(10,19),-2.46428 # DEPENDENCYPART_ARC
(11,4),-1.72833 # DEPENDENCYPART_ARC
(11,6),-0.875644 # DEPENDENCYPART_ARC
(11,8),-1.80751 # DEPENDENCYPART_ARC
(11,9),-0.234268 # DEPENDENCYPART_ARC
(11,10),-1.90912 # DEPENDENCYPART_ARC
(11,12),0.202093 # DEPENDENCYPART_ARC
(11,14),-0.682404 # DEPENDENCYPART_ARC
(11,15),-0.338125 # DEPENDENCYPART_ARC
(11,16),-2.31474 # DEPENDENCYPART_ARC
(11,17),-0.657513 # DEPENDENCYPART_ARC
(11,18),-0.637491 # DEPENDENCYPART_ARC
(11,19),-3.89403 # DEPENDENCYPART_ARC
(11,20),-5.07666 # DEPENDENCYPART_ARC
(13,14),-1.68475 # DEPENDENCYPART_ARC
(13,15),-2.25805 # DEPENDENCYPART_ARC
(13,20),-3.50378 # DEPENDENCYPART_ARC
(14,12),-1.31684 # DEPENDENCYPART_ARC
(14,13),-0.671559 # DEPENDENCYPART_ARC
(14,15),3.19774 # DEPENDENCYPART_ARC
(14,17),-0.945463 # DEPENDENCYPART_ARC
(14,18),-0.776378 # DEPENDENCYPART_ARC
(14,19),-2.54215 # DEPENDENCYPART_ARC
(14,20),-3.18657 # DEPENDENCYPART_ARC
(15,10),-2.31556 # DEPENDENCYPART_ARC
(15,11),0.606483 # DEPENDENCYPART_ARC
(15,12),-2.76213 # DEPENDENCYPART_ARC
(15,13),-1.18261 # DEPENDENCYPART_ARC
(15,14),2.5719 # DEPENDENCYPART_ARC
(15,19),-5.17706 # DEPENDENCYPART_ARC
(15,20),-4.53031 # DEPENDENCYPART_ARC
(16,1),0.45852 # DEPENDENCYPART_ARC
(16,2),-1.15675 # DEPENDENCYPART_ARC
(16,3),0.93948 # DEPENDENCYPART_ARC
(16,4),0.071633 # DEPENDENCYPART_ARC
(16,5),0.733844 # DEPENDENCYPART_ARC
(16,6),-0.202991 # DEPENDENCYPART_ARC
(16,7),1.96439 # DEPENDENCYPART_ARC
(16,8),-4.34939 # DEPENDENCYPART_ARC
(16,9),-1.82915 # DEPENDENCYPART_ARC
(16,10),-0.456011 # DEPENDENCYPART_ARC
(16,11),0.412081 # DEPENDENCYPART_ARC
(16,12),3.4342 # DEPENDENCYPART_ARC
(16,13),2.12951 # DEPENDENCYPART_ARC
(16,14),3.46752 # DEPENDENCYPART_ARC
(16,15),1.5791 # DEPENDENCYPART_ARC
(16,17),0.864586 # DEPENDENCYPART_ARC
(16,18),0.602784 # DEPENDENCYPART_ARC
