# _root_ 2 . etapu ( 201 km , cíl v Galway ) vyhrál Vanderaerden za 5 : 18 : 37 , 2 .
#goldHeads=3,1,12,7,7,5,3,7,8,9,7,0,12,12,18,18,18,14,18,21,19,0,
#predictedHeads=3,1,7,3,3,5,0,7,8,9,7,0,12,12,16,14,16,14,18,16,20,0,
(0,1),0.532845 # DEPENDENCYPART_ARC
(0,2),0.531329 # DEPENDENCYPART_ARC
(0,3),-0.242057 # DEPENDENCYPART_ARC
(0,4),0.336029 # DEPENDENCYPART_ARC
(0,5),-0.154893 # DEPENDENCYPART_ARC
(0,6),0.163339 # DEPENDENCYPART_ARC
(0,7),0.367151 # DEPENDENCYPART_ARC
(0,8),-0.721921 # DEPENDENCYPART_ARC
(0,9),-0.276362 # DEPENDENCYPART_ARC
(0,11),-1.51962 # DEPENDENCYPART_ARC
(0,12),0.977077 # DEPENDENCYPART_ARC
(0,14),-0.460978 # DEPENDENCYPART_ARC
(0,15),-1.04622 # DEPENDENCYPART_ARC
(0,16),-1.39479 # DEPENDENCYPART_ARC
(0,17),-1.37882 # DEPENDENCYPART_ARC
(0,18),-1.87915 # DEPENDENCYPART_ARC
(0,19),-0.482842 # DEPENDENCYPART_ARC
(0,20),-0.238772 # DEPENDENCYPART_ARC
(0,21),-0.568389 # DEPENDENCYPART_ARC
(0,22),2.53907 # DEPENDENCYPART_ARC
(1,2),2.50467 # DEPENDENCYPART_ARC
(1,3),-1.04252 # DEPENDENCYPART_ARC
(1,4),-0.973215 # DEPENDENCYPART_ARC
(1,5),-0.937796 # DEPENDENCYPART_ARC
(2,1),-1.27197 # DEPENDENCYPART_ARC
(3,1),1.41125 # DEPENDENCYPART_ARC
(3,2),0.71857 # DEPENDENCYPART_ARC
(3,4),1.10604 # DEPENDENCYPART_ARC
(3,5),0.741923 # DEPENDENCYPART_ARC
(3,6),0.75501 # DEPENDENCYPART_ARC
(3,7),0.0577283 # DEPENDENCYPART_ARC
(3,8),-1.02031 # DEPENDENCYPART_ARC
(3,9),0.477916 # DEPENDENCYPART_ARC
(3,11),0.703332 # DEPENDENCYPART_ARC
(3,12),-0.117436 # DEPENDENCYPART_ARC
(4,1),0.419883 # DEPENDENCYPART_ARC
(4,2),-0.390695 # DEPENDENCYPART_ARC
(4,3),1.21726 # DEPENDENCYPART_ARC
(4,5),-0.131628 # DEPENDENCYPART_ARC
(4,6),0.584917 # DEPENDENCYPART_ARC
(4,7),-0.289861 # DEPENDENCYPART_ARC
(4,8),-0.19611 # DEPENDENCYPART_ARC
(4,11),0.828602 # DEPENDENCYPART_ARC
(4,12),-1.0644 # DEPENDENCYPART_ARC
(5,2),-1.25924 # DEPENDENCYPART_ARC
(5,3),0.147551 # DEPENDENCYPART_ARC
(5,4),0.503387 # DEPENDENCYPART_ARC
(5,6),2.5629 # DEPENDENCYPART_ARC
(5,7),-0.452934 # DEPENDENCYPART_ARC
(5,8),0.0252622 # DEPENDENCYPART_ARC
(5,10),-0.610229 # DEPENDENCYPART_ARC
(6,1),-2.06087 # DEPENDENCYPART_ARC
(6,3),-4.183 # DEPENDENCYPART_ARC
(6,4),-0.674732 # DEPENDENCYPART_ARC
(6,5),-0.0996751 # DEPENDENCYPART_ARC
(6,7),-0.241246 # DEPENDENCYPART_ARC
(6,8),-0.417781 # DEPENDENCYPART_ARC
(6,9),-0.926181 # DEPENDENCYPART_ARC
(6,11),-0.443622 # DEPENDENCYPART_ARC
(6,12),-3.00864 # DEPENDENCYPART_ARC
(7,1),-0.799961 # DEPENDENCYPART_ARC
(7,2),-0.0933297 # DEPENDENCYPART_ARC
(7,3),1.76498 # DEPENDENCYPART_ARC
(7,4),1.08986 # DEPENDENCYPART_ARC
(7,5),0.0338275 # DEPENDENCYPART_ARC
(7,6),1.77337 # DEPENDENCYPART_ARC
(7,8),1.36854 # DEPENDENCYPART_ARC
(7,9),0.47463 # DEPENDENCYPART_ARC
(7,10),0.380556 # DEPENDENCYPART_ARC
(7,11),1.73953 # DEPENDENCYPART_ARC
(7,12),0.268236 # DEPENDENCYPART_ARC
(7,13),-1.3753 # DEPENDENCYPART_ARC
(7,14),-0.440743 # DEPENDENCYPART_ARC
(7,15),-0.622736 # DEPENDENCYPART_ARC
(7,16),-0.44397 # DEPENDENCYPART_ARC
(7,17),-0.788244 # DEPENDENCYPART_ARC
(7,20),-0.123169 # DEPENDENCYPART_ARC
(8,3),-4.89782 # DEPENDENCYPART_ARC
(8,5),-1.11543 # DEPENDENCYPART_ARC
(8,6),-0.281578 # DEPENDENCYPART_ARC
(8,7),-0.116041 # DEPENDENCYPART_ARC
(8,9),1.75389 # DEPENDENCYPART_ARC
(8,10),1.12574 # DEPENDENCYPART_ARC
(8,11),0.703678 # DEPENDENCYPART_ARC
(8,12),-0.450864 # DEPENDENCYPART_ARC
(8,13),-1.81217 # DEPENDENCYPART_ARC
(8,14),-0.0324851 # DEPENDENCYPART_ARC
(8,15),-0.862469 # DEPENDENCYPART_ARC
(8,19),-1.35699 # DEPENDENCYPART_ARC
(8,21),-0.986024 # DEPENDENCYPART_ARC
(9,7),-0.87559 # DEPENDENCYPART_ARC
(9,10),3.04479 # DEPENDENCYPART_ARC
(9,11),0.366896 # DEPENDENCYPART_ARC
(9,13),-3.36385 # DEPENDENCYPART_ARC
(10,9),-0.956518 # DEPENDENCYPART_ARC
(10,11),-0.859125 # DEPENDENCYPART_ARC
(10,12),-3.08495 # DEPENDENCYPART_ARC
(11,10),-1.33555 # DEPENDENCYPART_ARC
(12,1),-1.14307 # DEPENDENCYPART_ARC
(12,2),-0.441586 # DEPENDENCYPART_ARC
(12,3),-0.940788 # DEPENDENCYPART_ARC
(12,4),-0.335707 # DEPENDENCYPART_ARC
(12,5),-1.23413 # DEPENDENCYPART_ARC
(12,6),-0.84745 # DEPENDENCYPART_ARC
(12,7),-0.157077 # DEPENDENCYPART_ARC
(12,8),0.97133 # DEPENDENCYPART_ARC
(12,9),0.287112 # DEPENDENCYPART_ARC
(12,10),-1.62784 # DEPENDENCYPART_ARC
(12,11),-0.733025 # DEPENDENCYPART_ARC
(12,13),4.19597 # DEPENDENCYPART_ARC
(12,14),2.082 # DEPENDENCYPART_ARC
(12,15),0.0865314 # DEPENDENCYPART_ARC
(12,16),0.916318 # DEPENDENCYPART_ARC
(12,17),0.100961 # DEPENDENCYPART_ARC
(12,18),0.853109 # DEPENDENCYPART_ARC
(12,19),-0.561679 # DEPENDENCYPART_ARC
(12,20),0.538494 # DEPENDENCYPART_ARC
(12,21),-0.988645 # DEPENDENCYPART_ARC
(12,22),-0.236988 # DEPENDENCYPART_ARC
(13,10),0.357455 # DEPENDENCYPART_ARC
(13,14),-0.259406 # DEPENDENCYPART_ARC
(13,15),0.427773 # DEPENDENCYPART_ARC
(13,16),0.660888 # DEPENDENCYPART_ARC
(13,17),0.340907 # DEPENDENCYPART_ARC
(13,18),0.279006 # DEPENDENCYPART_ARC
(13,19),-0.398008 # DEPENDENCYPART_ARC
(13,20),-0.101657 # DEPENDENCYPART_ARC
(13,21),-0.0304397 # DEPENDENCYPART_ARC
(14,13),-2.3885 # DEPENDENCYPART_ARC
(14,15),1.87438 # DEPENDENCYPART_ARC
(14,16),1.12335 # DEPENDENCYPART_ARC
(14,17),1.54392 # DEPENDENCYPART_ARC
(14,18),0.925869 # DEPENDENCYPART_ARC
(14,20),0.470415 # DEPENDENCYPART_ARC
(14,22),-0.412738 # DEPENDENCYPART_ARC
(15,13),-0.929299 # DEPENDENCYPART_ARC
(15,14),-0.432756 # DEPENDENCYPART_ARC
(15,16),0.736402 # DEPENDENCYPART_ARC
(15,17),0.346427 # DEPENDENCYPART_ARC
(15,18),-0.542318 # DEPENDENCYPART_ARC
(15,19),-0.924089 # DEPENDENCYPART_ARC
(15,22),-1.91019 # DEPENDENCYPART_ARC
(16,1),-4.77987 # DEPENDENCYPART_ARC
(16,2),-1.2816 # DEPENDENCYPART_ARC
(16,3),-0.716528 # DEPENDENCYPART_ARC
(16,4),-0.0343284 # DEPENDENCYPART_ARC
(16,5),-2.08024 # DEPENDENCYPART_ARC
(16,6),0.0869919 # DEPENDENCYPART_ARC
(16,7),-1.7035 # DEPENDENCYPART_ARC
(16,8),0.107313 # DEPENDENCYPART_ARC
(16,9),-0.256853 # DEPENDENCYPART_ARC
(16,10),0.557026 # DEPENDENCYPART_ARC
(16,11),-1.11201 # DEPENDENCYPART_ARC
(16,12),-0.160151 # DEPENDENCYPART_ARC
(16,13),0.719291 # DEPENDENCYPART_ARC
(16,14),0.391949 # DEPENDENCYPART_ARC
(16,15),3.29523 # DEPENDENCYPART_ARC
(16,17),2.31329 # DEPENDENCYPART_ARC
(16,18),0.552088 # DEPENDENCYPART_ARC
(16,19),0.364395 # DEPENDENCYPART_ARC
(16,20),0.59378 # DEPENDENCYPART_ARC
(16,21),0.856554 # DEPENDENCYPART_ARC
(16,22),-0.649433 # DEPENDENCYPART_ARC
(17,13),-1.16983 # DEPENDENCYPART_ARC
(17,14),-1.05656 # DEPENDENCYPART_ARC
(17,15),0.805929 # DEPENDENCYPART_ARC
(17,16),0.142055 # DEPENDENCYPART_ARC
(17,18),0.201731 # DEPENDENCYPART_ARC
(17,19),-0.0583465 # DEPENDENCYPART_ARC
(17,20),-0.58497 # DEPENDENCYPART_ARC
(17,21),-1.58132 # DEPENDENCYPART_ARC
(17,22),-1.71354 # DEPENDENCYPART_ARC
(18,1),-6.00718 # DEPENDENCYPART_ARC
(18,2),-1.77423 # DEPENDENCYPART_ARC
(18,4),-0.580283 # DEPENDENCYPART_ARC
(18,6),-0.572186 # DEPENDENCYPART_ARC
(18,8),-0.388445 # DEPENDENCYPART_ARC
(18,9),-0.741619 # DEPENDENCYPART_ARC
(18,10),0.050857 # DEPENDENCYPART_ARC
(18,12),-0.568512 # DEPENDENCYPART_ARC
(18,13),-0.00335275 # DEPENDENCYPART_ARC
(18,14),0.327393 # DEPENDENCYPART_ARC
(18,15),1.23486 # DEPENDENCYPART_ARC
(18,16),0.526432 # DEPENDENCYPART_ARC
(18,17),2.30056 # DEPENDENCYPART_ARC
(18,19),1.87547 # DEPENDENCYPART_ARC
(18,20),0.38838 # DEPENDENCYPART_ARC
(18,21),0.795877 # DEPENDENCYPART_ARC
(18,22),-0.689698 # DEPENDENCYPART_ARC
(19,16),-0.660708 # DEPENDENCYPART_ARC
(19,17),-0.2589 # DEPENDENCYPART_ARC
(19,18),0.293937 # DEPENDENCYPART_ARC
(19,20),0.0812625 # DEPENDENCYPART_ARC
(19,21),-0.0896752 # DEPENDENCYPART_ARC
(19,22),-0.592396 # DEPENDENCYPART_ARC
(20,1),-0.884031 # DEPENDENCYPART_ARC
(20,2),-1.23996 # DEPENDENCYPART_ARC
(20,3),-0.522114 # DEPENDENCYPART_ARC
(20,4),-0.220735 # DEPENDENCYPART_ARC
(20,5),-0.135367 # DEPENDENCYPART_ARC
(20,6),-0.247976 # DEPENDENCYPART_ARC
(20,7),-0.543978 # DEPENDENCYPART_ARC
(20,8),-0.602351 # DEPENDENCYPART_ARC
(20,9),-0.881255 # DEPENDENCYPART_ARC
