# _root_ Jedná se o projekty snižující zamoření ovzduší , zlepšující kvalitu vod , hospodaření s odpady .
#goldHeads=0,1,1,3,8,5,6,4,8,12,10,9,12,13,14,0,
#predictedHeads=0,1,1,3,4,5,6,9,4,9,10,9,9,13,14,0,
(0,1),0.23129 # DEPENDENCYPART_ARC
(0,3),-1.15058 # DEPENDENCYPART_ARC
(0,4),-1.93613 # DEPENDENCYPART_ARC
(0,8),-1.07904 # DEPENDENCYPART_ARC
(0,12),-1.44148 # DEPENDENCYPART_ARC
(0,16),1.4893 # DEPENDENCYPART_ARC
(1,2),1.81841 # DEPENDENCYPART_ARC
(1,3),1.00006 # DEPENDENCYPART_ARC
(1,4),-0.145892 # DEPENDENCYPART_ARC
(1,5),-2.26971 # DEPENDENCYPART_ARC
(1,6),0.199265 # DEPENDENCYPART_ARC
(1,7),-1.59135 # DEPENDENCYPART_ARC
(1,8),-0.667508 # DEPENDENCYPART_ARC
(1,10),-0.799967 # DEPENDENCYPART_ARC
(1,11),-2.56247 # DEPENDENCYPART_ARC
(1,12),-0.923315 # DEPENDENCYPART_ARC
(1,13),-1.42106 # DEPENDENCYPART_ARC
(1,14),-0.770106 # DEPENDENCYPART_ARC
(1,15),-2.12923 # DEPENDENCYPART_ARC
(1,16),-1.46087 # DEPENDENCYPART_ARC
(3,4),1.80506 # DEPENDENCYPART_ARC
(3,5),-1.79853 # DEPENDENCYPART_ARC
(3,6),-0.45845 # DEPENDENCYPART_ARC
(3,8),-0.970815 # DEPENDENCYPART_ARC
(3,12),-1.10611 # DEPENDENCYPART_ARC
(4,1),-2.39793 # DEPENDENCYPART_ARC
(4,2),-3.6482 # DEPENDENCYPART_ARC
(4,3),-0.663229 # DEPENDENCYPART_ARC
(4,5),1.0193 # DEPENDENCYPART_ARC
(4,6),-0.996495 # DEPENDENCYPART_ARC
(4,7),-0.372607 # DEPENDENCYPART_ARC
(4,8),-1.12975 # DEPENDENCYPART_ARC
(4,9),-0.364442 # DEPENDENCYPART_ARC
(4,10),-2.3704 # DEPENDENCYPART_ARC
(4,11),-1.26721 # DEPENDENCYPART_ARC
(4,12),-1.23994 # DEPENDENCYPART_ARC
(4,13),-3.51157 # DEPENDENCYPART_ARC
(4,14),-0.45292 # DEPENDENCYPART_ARC
(4,15),-4.16127 # DEPENDENCYPART_ARC
(5,3),-0.273957 # DEPENDENCYPART_ARC
(5,4),-0.21096 # DEPENDENCYPART_ARC
(5,6),1.50537 # DEPENDENCYPART_ARC
(5,7),-0.360519 # DEPENDENCYPART_ARC
(5,8),-0.817619 # DEPENDENCYPART_ARC
(5,10),-0.41366 # DEPENDENCYPART_ARC
(5,16),-1.82019 # DEPENDENCYPART_ARC
(6,1),-2.36378 # DEPENDENCYPART_ARC
(6,2),-3.73232 # DEPENDENCYPART_ARC
(6,3),-1.25074 # DEPENDENCYPART_ARC
(6,4),-2.87599 # DEPENDENCYPART_ARC
(6,5),-1.24157 # DEPENDENCYPART_ARC
(6,7),1.92081 # DEPENDENCYPART_ARC
(6,8),-1.0653 # DEPENDENCYPART_ARC
(6,9),-1.53617 # DEPENDENCYPART_ARC
(6,10),-2.28211 # DEPENDENCYPART_ARC
(6,11),-0.492949 # DEPENDENCYPART_ARC
(6,13),-3.20211 # DEPENDENCYPART_ARC
