# _root_ Podstatné je , že tyto peníze nejdou z podstaty , ale z lepších než očekávaných výsledků hospodaření .
#goldHeads=2,0,4,2,6,7,4,11,8,11,7,11,16,13,14,12,16,0,
#predictedHeads=2,0,4,2,6,7,4,11,8,11,7,11,14,16,14,12,16,0,
(0,1),-0.759475 # DEPENDENCYPART_ARC
(0,2),-0.0787201 # DEPENDENCYPART_ARC
(0,3),-0.473409 # DEPENDENCYPART_ARC
(0,4),-1.28178 # DEPENDENCYPART_ARC
(0,5),-2.33212 # DEPENDENCYPART_ARC
(0,7),-0.585031 # DEPENDENCYPART_ARC
(0,10),-0.957975 # DEPENDENCYPART_ARC
(0,11),0.0668642 # DEPENDENCYPART_ARC
(0,18),2.06417 # DEPENDENCYPART_ARC
(1,2),-2.19286 # DEPENDENCYPART_ARC
(1,3),-1.67755 # DEPENDENCYPART_ARC
(1,4),-1.37382 # DEPENDENCYPART_ARC
(1,5),-2.60586 # DEPENDENCYPART_ARC
(1,6),-3.4087 # DEPENDENCYPART_ARC
(2,1),0.843209 # DEPENDENCYPART_ARC
(2,3),-0.487837 # DEPENDENCYPART_ARC
(2,4),0.180042 # DEPENDENCYPART_ARC
(2,5),-2.5978 # DEPENDENCYPART_ARC
(2,6),-1.82481 # DEPENDENCYPART_ARC
(2,7),-2.22081 # DEPENDENCYPART_ARC
(2,8),-2.01224 # DEPENDENCYPART_ARC
(2,10),-1.29838 # DEPENDENCYPART_ARC
(2,11),-1.31586 # DEPENDENCYPART_ARC
(2,13),-4.45397 # DEPENDENCYPART_ARC
(2,17),-4.78811 # DEPENDENCYPART_ARC
(3,1),-1.67472 # DEPENDENCYPART_ARC
(3,2),-1.05452 # DEPENDENCYPART_ARC
(3,4),-0.754316 # DEPENDENCYPART_ARC
(3,5),-1.99584 # DEPENDENCYPART_ARC
(3,6),-2.54328 # DEPENDENCYPART_ARC
(3,7),-1.64229 # DEPENDENCYPART_ARC
(4,1),-2.21938 # DEPENDENCYPART_ARC
(4,2),-1.42793 # DEPENDENCYPART_ARC
(4,3),1.60001 # DEPENDENCYPART_ARC
(4,5),-0.9777 # DEPENDENCYPART_ARC
(4,6),-1.84629 # DEPENDENCYPART_ARC
(4,7),1.20941 # DEPENDENCYPART_ARC
(4,8),-1.95286 # DEPENDENCYPART_ARC
(4,10),-0.360583 # DEPENDENCYPART_ARC
(4,11),-0.676869 # DEPENDENCYPART_ARC
(4,12),-2.25128 # DEPENDENCYPART_ARC
(4,14),-1.22543 # DEPENDENCYPART_ARC
(5,1),-3.07651 # DEPENDENCYPART_ARC
(5,2),-2.47128 # DEPENDENCYPART_ARC
(5,3),-1.72715 # DEPENDENCYPART_ARC
(5,4),-0.402075 # DEPENDENCYPART_ARC
(5,6),-1.59727 # DEPENDENCYPART_ARC
(5,7),-2.08601 # DEPENDENCYPART_ARC
(5,8),-0.582407 # DEPENDENCYPART_ARC
(5,9),-1.98621 # DEPENDENCYPART_ARC
(5,11),-1.07543 # DEPENDENCYPART_ARC
(5,12),-0.967277 # DEPENDENCYPART_ARC
(6,1),-2.63556 # DEPENDENCYPART_ARC
(6,2),-2.44819 # DEPENDENCYPART_ARC
(6,3),-1.22038 # DEPENDENCYPART_ARC
(6,4),-0.589147 # DEPENDENCYPART_ARC
(6,5),3.15038 # DEPENDENCYPART_ARC
(6,7),-2.53229 # DEPENDENCYPART_ARC
(6,8),-1.51085 # DEPENDENCYPART_ARC
(6,9),-1.92063 # DEPENDENCYPART_ARC
(6,11),-1.78586 # DEPENDENCYPART_ARC
(6,12),-1.9986 # DEPENDENCYPART_ARC
(7,1),-1.90548 # DEPENDENCYPART_ARC
(7,2),-1.84055 # DEPENDENCYPART_ARC
(7,3),-0.600917 # DEPENDENCYPART_ARC
(7,4),-1.06837 # DEPENDENCYPART_ARC
(7,5),0.406148 # DEPENDENCYPART_ARC
(7,6),1.99035 # DEPENDENCYPART_ARC
(7,8),1.33388 # DEPENDENCYPART_ARC
(7,9),-1.01475 # DEPENDENCYPART_ARC
(7,10),-0.29892 # DEPENDENCYPART_ARC
(7,11),-0.0158763 # DEPENDENCYPART_ARC
(7,12),-0.606738 # DEPENDENCYPART_ARC
(7,13),-2.68929 # DEPENDENCYPART_ARC
(7,14),-0.973579 # DEPENDENCYPART_ARC
(7,16),-2.38204 # DEPENDENCYPART_ARC
(7,17),-2.64436 # DEPENDENCYPART_ARC
(7,18),-1.11406 # DEPENDENCYPART_ARC
(8,3),-1.17226 # DEPENDENCYPART_ARC
(8,6),-3.01184 # DEPENDENCYPART_ARC
(8,9),1.98441 # DEPENDENCYPART_ARC
(8,10),-0.848041 # DEPENDENCYPART_ARC
(8,11),-1.24467 # DEPENDENCYPART_ARC
(8,13),-2.01597 # DEPENDENCYPART_ARC
(8,14),-1.51779 # DEPENDENCYPART_ARC
(8,16),-1.7444 # DEPENDENCYPART_ARC
(9,4),-1.88463 # DEPENDENCYPART_ARC
(9,5),-3.48628 # DEPENDENCYPART_ARC
(9,6),-5.05284 # DEPENDENCYPART_ARC
(9,7),-1.58359 # DEPENDENCYPART_ARC
(9,8),-0.779101 # DEPENDENCYPART_ARC
(9,10),-1.25417 # DEPENDENCYPART_ARC
(9,11),-1.27155 # DEPENDENCYPART_ARC
(9,12),-1.9441 # DEPENDENCYPART_ARC
(9,13),-3.21522 # DEPENDENCYPART_ARC
(9,14),-1.72753 # DEPENDENCYPART_ARC
(9,16),-1.36323 # DEPENDENCYPART_ARC
(9,17),-1.24711 # DEPENDENCYPART_ARC
(10,1),-2.88846 # DEPENDENCYPART_ARC
(10,2),-1.77978 # DEPENDENCYPART_ARC
(10,3),-1.15316 # DEPENDENCYPART_ARC
(10,4),-0.96999 # DEPENDENCYPART_ARC
(10,5),-2.02242 # DEPENDENCYPART_ARC
(10,6),-1.80492 # DEPENDENCYPART_ARC
(10,7),-0.988313 # DEPENDENCYPART_ARC
