# _root_ Jde zhruba o polovinu Afriky , velkou část Asie , Jižní a Střední Ameriku a Irsko .
#goldHeads=0,4,1,15,4,15,8,15,8,15,12,14,12,15,3,15,0,
#predictedHeads=0,1,1,3,4,15,8,15,8,15,12,14,12,15,3,15,0,
(0,1),0.290882 # DEPENDENCYPART_ARC
(0,2),-1.41229 # DEPENDENCYPART_ARC
(0,3),-1.04332 # DEPENDENCYPART_ARC
(0,4),-1.70231 # DEPENDENCYPART_ARC
(0,5),-1.56857 # DEPENDENCYPART_ARC
(0,6),-0.860757 # DEPENDENCYPART_ARC
(0,10),-1.14994 # DEPENDENCYPART_ARC
(0,12),-0.824994 # DEPENDENCYPART_ARC
(0,15),-1.02189 # DEPENDENCYPART_ARC
(0,17),1.68633 # DEPENDENCYPART_ARC
(1,2),0.457352 # DEPENDENCYPART_ARC
(1,3),1.1041 # DEPENDENCYPART_ARC
(1,4),-0.233766 # DEPENDENCYPART_ARC
(1,5),-1.8519 # DEPENDENCYPART_ARC
(1,6),-0.628048 # DEPENDENCYPART_ARC
(1,7),-3.05393 # DEPENDENCYPART_ARC
(1,8),-0.943138 # DEPENDENCYPART_ARC
(1,9),-3.09139 # DEPENDENCYPART_ARC
(1,10),-0.835585 # DEPENDENCYPART_ARC
(1,11),-3.14619 # DEPENDENCYPART_ARC
(1,12),-0.909769 # DEPENDENCYPART_ARC
(1,14),-2.44504 # DEPENDENCYPART_ARC
(1,15),-0.862977 # DEPENDENCYPART_ARC
(1,16),-2.94676 # DEPENDENCYPART_ARC
(1,17),-1.33852 # DEPENDENCYPART_ARC
(2,1),-1.03547 # DEPENDENCYPART_ARC
(2,3),-1.29598 # DEPENDENCYPART_ARC
(2,4),-2.13701 # DEPENDENCYPART_ARC
(3,2),-0.799283 # DEPENDENCYPART_ARC
(3,4),2.24372 # DEPENDENCYPART_ARC
(3,5),-2.83141 # DEPENDENCYPART_ARC
(3,6),-0.728612 # DEPENDENCYPART_ARC
(3,8),-1.48495 # DEPENDENCYPART_ARC
(3,10),-1.10984 # DEPENDENCYPART_ARC
(3,12),-0.771103 # DEPENDENCYPART_ARC
(3,15),-0.466708 # DEPENDENCYPART_ARC
(4,1),-1.99016 # DEPENDENCYPART_ARC
(4,2),-0.349872 # DEPENDENCYPART_ARC
(4,3),-0.781193 # DEPENDENCYPART_ARC
(4,5),2.4332 # DEPENDENCYPART_ARC
(4,6),-1.15727 # DEPENDENCYPART_ARC
(4,7),-0.434689 # DEPENDENCYPART_ARC
(4,8),-2.57519 # DEPENDENCYPART_ARC
(4,9),0.287441 # DEPENDENCYPART_ARC
(4,10),-1.12727 # DEPENDENCYPART_ARC
(4,11),-0.929056 # DEPENDENCYPART_ARC
(4,12),-0.921055 # DEPENDENCYPART_ARC
(4,14),-2.59128 # DEPENDENCYPART_ARC
(4,15),-0.676439 # DEPENDENCYPART_ARC
(4,16),-3.03034 # DEPENDENCYPART_ARC
(5,1),-1.74102 # DEPENDENCYPART_ARC
(5,2),-0.725535 # DEPENDENCYPART_ARC
(5,3),-1.89371 # DEPENDENCYPART_ARC
(5,4),-1.87063 # DEPENDENCYPART_ARC
(5,6),-1.69276 # DEPENDENCYPART_ARC
(5,7),-2.89279 # DEPENDENCYPART_ARC
(5,8),-4.88473 # DEPENDENCYPART_ARC
(5,9),-1.55525 # DEPENDENCYPART_ARC
(5,11),-3.62592 # DEPENDENCYPART_ARC
(5,12),-1.6754 # DEPENDENCYPART_ARC
(5,15),-1.90742 # DEPENDENCYPART_ARC
(6,1),-0.818696 # DEPENDENCYPART_ARC
(6,2),-0.839382 # DEPENDENCYPART_ARC
(6,3),-0.756837 # DEPENDENCYPART_ARC
(6,4),-0.943975 # DEPENDENCYPART_ARC
(6,5),-0.170177 # DEPENDENCYPART_ARC
(6,7),-1.30113 # DEPENDENCYPART_ARC
(6,8),-0.753651 # DEPENDENCYPART_ARC
(6,9),-1.00164 # DEPENDENCYPART_ARC
(6,10),-0.571232 # DEPENDENCYPART_ARC
(6,11),-2.3518 # DEPENDENCYPART_ARC
(6,14),-2.09357 # DEPENDENCYPART_ARC
