# _root_ Přesný počet osob zadržených při raziích , které policisté provádějí denně od 25 . srpna , nebyl sdělen .
#goldHeads=2,18,2,3,4,5,10,10,10,6,10,10,15,13,12,10,18,0,0,
#predictedHeads=2,18,2,3,4,5,10,10,10,6,10,10,15,13,12,10,18,0,0,
(0,1),-1.00765 # DEPENDENCYPART_ARC
(0,2),-0.867028 # DEPENDENCYPART_ARC
(0,3),-1.81374 # DEPENDENCYPART_ARC
(0,4),-2.30328 # DEPENDENCYPART_ARC
(0,5),-1.09978 # DEPENDENCYPART_ARC
(0,6),-2.11889 # DEPENDENCYPART_ARC
(0,7),-0.954335 # DEPENDENCYPART_ARC
(0,10),-0.0420778 # DEPENDENCYPART_ARC
(0,14),-0.290167 # DEPENDENCYPART_ARC
(0,15),-2.31423 # DEPENDENCYPART_ARC
(0,16),-1.36134 # DEPENDENCYPART_ARC
(0,17),-0.114534 # DEPENDENCYPART_ARC
(0,18),-1.45029 # DEPENDENCYPART_ARC
(0,19),1.89833 # DEPENDENCYPART_ARC
(1,3),-1.67247 # DEPENDENCYPART_ARC
(2,1),2.3113 # DEPENDENCYPART_ARC
(2,3),1.46685 # DEPENDENCYPART_ARC
(2,4),-2.32304 # DEPENDENCYPART_ARC
(2,5),-0.594399 # DEPENDENCYPART_ARC
(2,6),-2.19365 # DEPENDENCYPART_ARC
(2,7),-1.12459 # DEPENDENCYPART_ARC
(2,9),-2.48031 # DEPENDENCYPART_ARC
(2,10),-2.17272 # DEPENDENCYPART_ARC
(2,17),-2.71532 # DEPENDENCYPART_ARC
(2,18),-2.3379 # DEPENDENCYPART_ARC
(3,1),-3.43224 # DEPENDENCYPART_ARC
(3,2),-2.68128 # DEPENDENCYPART_ARC
(3,4),0.888986 # DEPENDENCYPART_ARC
(3,5),-0.490379 # DEPENDENCYPART_ARC
(3,6),-2.17704 # DEPENDENCYPART_ARC
(3,9),-2.73478 # DEPENDENCYPART_ARC
(3,10),-1.24875 # DEPENDENCYPART_ARC
(3,18),-2.43228 # DEPENDENCYPART_ARC
(4,1),-3.78467 # DEPENDENCYPART_ARC
(4,2),-1.96678 # DEPENDENCYPART_ARC
(4,3),-1.40466 # DEPENDENCYPART_ARC
(4,5),1.06132 # DEPENDENCYPART_ARC
(4,6),-1.64465 # DEPENDENCYPART_ARC
(4,7),-0.867655 # DEPENDENCYPART_ARC
(4,9),-3.03579 # DEPENDENCYPART_ARC
(4,11),-0.859925 # DEPENDENCYPART_ARC
(4,12),-0.997202 # DEPENDENCYPART_ARC
(4,16),-1.01846 # DEPENDENCYPART_ARC
(5,4),-2.3355 # DEPENDENCYPART_ARC
(5,6),2.79063 # DEPENDENCYPART_ARC
(5,7),-0.933827 # DEPENDENCYPART_ARC
(5,9),-3.35893 # DEPENDENCYPART_ARC
(6,1),-4.16021 # DEPENDENCYPART_ARC
(6,2),-2.37428 # DEPENDENCYPART_ARC
(6,3),-2.22208 # DEPENDENCYPART_ARC
(6,4),-0.469276 # DEPENDENCYPART_ARC
(6,5),-1.28011 # DEPENDENCYPART_ARC
(6,7),-1.14619 # DEPENDENCYPART_ARC
(6,8),-2.01806 # DEPENDENCYPART_ARC
(6,9),-2.85436 # DEPENDENCYPART_ARC
(6,10),-0.975501 # DEPENDENCYPART_ARC
(6,11),-1.92917 # DEPENDENCYPART_ARC
(6,12),-2.18291 # DEPENDENCYPART_ARC
(6,13),-2.06138 # DEPENDENCYPART_ARC
(6,14),-1.59263 # DEPENDENCYPART_ARC
(6,15),-1.87443 # DEPENDENCYPART_ARC
(6,16),-1.54267 # DEPENDENCYPART_ARC
(6,17),-2.76644 # DEPENDENCYPART_ARC
(6,18),-2.43783 # DEPENDENCYPART_ARC
(7,2),-2.11438 # DEPENDENCYPART_ARC
(7,3),-2.05562 # DEPENDENCYPART_ARC
(7,4),-2.10501 # DEPENDENCYPART_ARC
(7,5),-1.70101 # DEPENDENCYPART_ARC
(7,6),-1.71008 # DEPENDENCYPART_ARC
(7,9),-1.6288 # DEPENDENCYPART_ARC
(7,10),-1.34153 # DEPENDENCYPART_ARC
(7,11),-1.5321 # DEPENDENCYPART_ARC
(7,13),-2.12211 # DEPENDENCYPART_ARC
(7,16),-0.983563 # DEPENDENCYPART_ARC
(7,18),-3.23228 # DEPENDENCYPART_ARC
(8,9),-1.77289 # DEPENDENCYPART_ARC
(9,4),-4.22034 # DEPENDENCYPART_ARC
(9,6),-5.84858 # DEPENDENCYPART_ARC
(9,8),-0.907911 # DEPENDENCYPART_ARC
(9,10),-1.51272 # DEPENDENCYPART_ARC
(9,12),-1.52094 # DEPENDENCYPART_ARC
(9,13),-1.47613 # DEPENDENCYPART_ARC
(10,1),-2.91849 # DEPENDENCYPART_ARC
(10,2),-1.05583 # DEPENDENCYPART_ARC
(10,3),-2.25638 # DEPENDENCYPART_ARC
(10,4),-3.89261 # DEPENDENCYPART_ARC
(10,5),-0.410109 # DEPENDENCYPART_ARC
(10,6),-1.60864 # DEPENDENCYPART_ARC
(10,7),0.590261 # DEPENDENCYPART_ARC
(10,8),0.831276 # DEPENDENCYPART_ARC
(10,9),1.21269 # DEPENDENCYPART_ARC
(10,11),0.660059 # DEPENDENCYPART_ARC
(10,12),1.16981 # DEPENDENCYPART_ARC
(10,13),-0.50665 # DEPENDENCYPART_ARC
(10,14),-0.486222 # DEPENDENCYPART_ARC
(10,15),-1.49109 # DEPENDENCYPART_ARC
(10,16),-0.0996297 # DEPENDENCYPART_ARC
(10,17),-2.79804 # DEPENDENCYPART_ARC
(10,18),-0.718987 # DEPENDENCYPART_ARC
(10,19),-1.13097 # DEPENDENCYPART_ARC
(11,8),-2.35379 # DEPENDENCYPART_ARC
(11,10),-1.73155 # DEPENDENCYPART_ARC
(11,12),-0.633526 # DEPENDENCYPART_ARC
(11,14),-0.945553 # DEPENDENCYPART_ARC
(11,15),-1.57854 # DEPENDENCYPART_ARC
(11,19),-1.76599 # DEPENDENCYPART_ARC
(12,7),-0.905684 # DEPENDENCYPART_ARC
(12,11),-0.964991 # DEPENDENCYPART_ARC
(12,13),0.64885 # DEPENDENCYPART_ARC
(12,14),-0.389254 # DEPENDENCYPART_ARC
(12,15),0.742918 # DEPENDENCYPART_ARC
(12,16),-0.761611 # DEPENDENCYPART_ARC
(12,17),-1.92811 # DEPENDENCYPART_ARC
(12,19),-1.54653 # DEPENDENCYPART_ARC
(13,8),-1.22383 # DEPENDENCYPART_ARC
(13,11),-0.563494 # DEPENDENCYPART_ARC
(13,12),-1.17468 # DEPENDENCYPART_ARC
(13,14),1.46698 # DEPENDENCYPART_ARC
(13,15),-1.11553 # DEPENDENCYPART_ARC
(13,16),-1.51903 # DEPENDENCYPART_ARC
(13,17),-1.62854 # DEPENDENCYPART_ARC
(13,19),-1.73049 # DEPENDENCYPART_ARC
(14,8),-2.25603 # DEPENDENCYPART_ARC
(14,13),-1.32108 # DEPENDENCYPART_ARC
(14,15),-1.357 # DEPENDENCYPART_ARC
(14,17),-1.85143 # DEPENDENCYPART_ARC
(14,18),-1.9181 # DEPENDENCYPART_ARC
(15,2),-3.86119 # DEPENDENCYPART_ARC
(15,8),-3.78859 # DEPENDENCYPART_ARC
(15,11),-0.750041 # DEPENDENCYPART_ARC
(15,12),-1.20966 # DEPENDENCYPART_ARC
(15,13),0.0271484 # DEPENDENCYPART_ARC
(15,14),-0.19844 # DEPENDENCYPART_ARC
(15,16),-0.929614 # DEPENDENCYPART_ARC
(15,17),-2.05945 # DEPENDENCYPART_ARC
(15,18),-1.53345 # DEPENDENCYPART_ARC
(15,19),-1.94551 # DEPENDENCYPART_ARC
(16,2),-2.21386 # DEPENDENCYPART_ARC
(16,3),-2.36716 # DEPENDENCYPART_ARC
(16,4),-2.6096 # DEPENDENCYPART_ARC
(16,5),-1.00915 # DEPENDENCYPART_ARC
(16,7),-1.07436 # DEPENDENCYPART_ARC
(16,8),-1.63639 # DEPENDENCYPART_ARC
(16,10),-0.494871 # DEPENDENCYPART_ARC
(16,11),-1.19748 # DEPENDENCYPART_ARC
(16,12),-1.09275 # DEPENDENCYPART_ARC
(16,13),-1.51007 # DEPENDENCYPART_ARC
(16,14),-0.96411 # DEPENDENCYPART_ARC
(16,15),-1.1052 # DEPENDENCYPART_ARC
(16,17),-0.881748 # DEPENDENCYPART_ARC
(16,18),-1.51638 # DEPENDENCYPART_ARC
(16,19),-0.907308 # DEPENDENCYPART_ARC
(17,2),-1.90439 # DEPENDENCYPART_ARC
(17,3),-4.68488 # DEPENDENCYPART_ARC
(17,4),-5.31409 # DEPENDENCYPART_ARC
(17,5),-1.5557 # DEPENDENCYPART_ARC
(17,6),-4.13216 # DEPENDENCYPART_ARC
(17,7),-1.19407 # DEPENDENCYPART_ARC
(17,8),-2.71174 # DEPENDENCYPART_ARC
(17,9),-2.24857 # DEPENDENCYPART_ARC
(17,10),-2.65198 # DEPENDENCYPART_ARC
(17,11),-1.45518 # DEPENDENCYPART_ARC
(17,12),-0.82378 # DEPENDENCYPART_ARC
(17,13),-1.54541 # DEPENDENCYPART_ARC
(17,14),-0.694013 # DEPENDENCYPART_ARC
(17,15),-2.41016 # DEPENDENCYPART_ARC
(17,16),-0.813871 # DEPENDENCYPART_ARC
(17,18),1.69673 # DEPENDENCYPART_ARC
(17,19),-1.50683 # DEPENDENCYPART_ARC
(18,2),-0.884641 # DEPENDENCYPART_ARC
(18,3),-3.72242 # DEPENDENCYPART_ARC
(18,5),-0.974621 # DEPENDENCYPART_ARC
(18,6),-3.65561 # DEPENDENCYPART_ARC
(18,7),-1.2712 # DEPENDENCYPART_ARC
(18,8),-1.89992 # DEPENDENCYPART_ARC
(18,9),-1.03457 # DEPENDENCYPART_ARC
(18,10),-1.21748 # DEPENDENCYPART_ARC
(18,11),-0.482824 # DEPENDENCYPART_ARC
(18,12),-0.0880006 # DEPENDENCYPART_ARC
(18,13),-0.865462 # DEPENDENCYPART_ARC
(18,14),-0.620678 # DEPENDENCYPART_ARC
(18,15),-1.33803 # DEPENDENCYPART_ARC
(18,16),-0.92121 # DEPENDENCYPART_ARC
(18,17),2.89114 # DEPENDENCYPART_ARC
(18,19),-0.741133 # DEPENDENCYPART_ARC
(0,1),(0,2),0.05588 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.0736138 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.105345 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.124849 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.074285 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0776571 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.360733 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.302867 # DEPENDENCYPART_SIBL
(0,1),(0,15),0.0733087 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.0776571 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.363419 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.360614 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.302867 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.0447341 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.157869 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.229201 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.0404176 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0035079 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.180164 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.400329 # DEPENDENCYPART_SIBL
(0,2),(0,15),0.0516288 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.0035079 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.1864 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.182465 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.400329 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.155193 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.226199 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.0334702 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0272611 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.178553 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.423177 # DEPENDENCYPART_SIBL
(0,3),(0,15),0.0446813 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.0272611 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.18479 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.180855 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.423177 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.124849 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.074285 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0776571 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.36066 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.302867 # DEPENDENCYPART_SIBL
