# _root_ Nakonec zůstala 1 pracovnice , která pracuje více jak 8.5 hodiny denně , ale je také lépe placena .
#goldHeads=2,0,4,2,14,14,14,7,8,9,10,11,14,4,18,18,18,14,0,
#predictedHeads=2,14,4,2,7,7,4,7,10,7,10,7,14,0,14,15,18,15,0,
(0,1),-0.708115 # DEPENDENCYPART_ARC
(0,2),-0.436682 # DEPENDENCYPART_ARC
(0,3),-0.825967 # DEPENDENCYPART_ARC
(0,4),-0.947936 # DEPENDENCYPART_ARC
(0,5),-0.656724 # DEPENDENCYPART_ARC
(0,7),-0.628894 # DEPENDENCYPART_ARC
(0,13),-1.14012 # DEPENDENCYPART_ARC
(0,14),0.849237 # DEPENDENCYPART_ARC
(0,15),-1.84548 # DEPENDENCYPART_ARC
(0,18),-2.79159 # DEPENDENCYPART_ARC
(0,19),2.18379 # DEPENDENCYPART_ARC
(1,3),-1.87543 # DEPENDENCYPART_ARC
(2,1),1.35268 # DEPENDENCYPART_ARC
(2,3),0.628009 # DEPENDENCYPART_ARC
(2,4),1.31501 # DEPENDENCYPART_ARC
(2,5),-0.0981244 # DEPENDENCYPART_ARC
(2,7),-1.09481 # DEPENDENCYPART_ARC
(2,8),-1.22611 # DEPENDENCYPART_ARC
(2,9),-1.17365 # DEPENDENCYPART_ARC
(2,10),-1.11739 # DEPENDENCYPART_ARC
(2,11),-2.50646 # DEPENDENCYPART_ARC
(2,12),-1.07567 # DEPENDENCYPART_ARC
(2,13),-1.06596 # DEPENDENCYPART_ARC
(2,14),-0.690856 # DEPENDENCYPART_ARC
(2,16),-2.27491 # DEPENDENCYPART_ARC
(2,17),-2.08 # DEPENDENCYPART_ARC
(3,1),-0.855335 # DEPENDENCYPART_ARC
(3,4),0.649671 # DEPENDENCYPART_ARC
(3,5),-1.26149 # DEPENDENCYPART_ARC
(3,7),-1.56962 # DEPENDENCYPART_ARC
(4,1),-0.71849 # DEPENDENCYPART_ARC
(4,2),-2.91381 # DEPENDENCYPART_ARC
(4,3),0.186751 # DEPENDENCYPART_ARC
(4,5),-0.971038 # DEPENDENCYPART_ARC
(4,6),-0.556839 # DEPENDENCYPART_ARC
(4,7),-0.705155 # DEPENDENCYPART_ARC
(4,8),-1.8214 # DEPENDENCYPART_ARC
(4,9),-1.49101 # DEPENDENCYPART_ARC
(4,10),-2.04255 # DEPENDENCYPART_ARC
(4,11),-1.74546 # DEPENDENCYPART_ARC
(4,12),-1.8312 # DEPENDENCYPART_ARC
(4,13),-1.26303 # DEPENDENCYPART_ARC
(4,14),-1.36591 # DEPENDENCYPART_ARC
(4,15),-2.70153 # DEPENDENCYPART_ARC
(4,18),-2.89322 # DEPENDENCYPART_ARC
(5,1),-1.73919 # DEPENDENCYPART_ARC
(5,2),-0.903707 # DEPENDENCYPART_ARC
(5,3),-1.85637 # DEPENDENCYPART_ARC
(5,4),-1.68887 # DEPENDENCYPART_ARC
(5,7),-1.26923 # DEPENDENCYPART_ARC
(5,8),-1.52656 # DEPENDENCYPART_ARC
(5,13),-1.13006 # DEPENDENCYPART_ARC
(5,18),-3.88523 # DEPENDENCYPART_ARC
(6,5),-1.13485 # DEPENDENCYPART_ARC
(6,7),-1.36713 # DEPENDENCYPART_ARC
(7,1),-0.846928 # DEPENDENCYPART_ARC
(7,2),-2.55406 # DEPENDENCYPART_ARC
(7,3),-1.30533 # DEPENDENCYPART_ARC
(7,4),-0.929957 # DEPENDENCYPART_ARC
(7,5),0.42284 # DEPENDENCYPART_ARC
(7,6),1.39813 # DEPENDENCYPART_ARC
(7,8),0.952996 # DEPENDENCYPART_ARC
(7,9),0.236405 # DEPENDENCYPART_ARC
(7,10),-0.0382355 # DEPENDENCYPART_ARC
(7,11),-1.01502 # DEPENDENCYPART_ARC
(7,12),0.235329 # DEPENDENCYPART_ARC
(7,13),-0.575364 # DEPENDENCYPART_ARC
(7,14),-0.109829 # DEPENDENCYPART_ARC
(7,15),-1.93046 # DEPENDENCYPART_ARC
(7,16),-1.49434 # DEPENDENCYPART_ARC
(7,17),-1.14803 # DEPENDENCYPART_ARC
(7,18),-0.187989 # DEPENDENCYPART_ARC
(8,2),-3.2048 # DEPENDENCYPART_ARC
(8,4),-2.06721 # DEPENDENCYPART_ARC
(8,6),-1.01841 # DEPENDENCYPART_ARC
(8,9),-0.533001 # DEPENDENCYPART_ARC
(8,11),-0.855232 # DEPENDENCYPART_ARC
(8,12),-1.70475 # DEPENDENCYPART_ARC
(8,14),-0.527376 # DEPENDENCYPART_ARC
(8,15),-2.81256 # DEPENDENCYPART_ARC
(8,16),-1.6794 # DEPENDENCYPART_ARC
(9,1),-2.20174 # DEPENDENCYPART_ARC
(9,2),-1.9211 # DEPENDENCYPART_ARC
(9,3),-1.86546 # DEPENDENCYPART_ARC
(9,6),-1.81213 # DEPENDENCYPART_ARC
(9,8),-0.480552 # DEPENDENCYPART_ARC
(9,10),-1.26573 # DEPENDENCYPART_ARC
(9,11),-1.7982 # DEPENDENCYPART_ARC
(10,6),-1.31554 # DEPENDENCYPART_ARC
(10,7),-1.54589 # DEPENDENCYPART_ARC
(10,8),-0.87718 # DEPENDENCYPART_ARC
(10,9),0.163582 # DEPENDENCYPART_ARC
(10,11),0.874304 # DEPENDENCYPART_ARC
(10,12),-0.624653 # DEPENDENCYPART_ARC
(10,14),-1.10324 # DEPENDENCYPART_ARC
(10,15),-1.60855 # DEPENDENCYPART_ARC
(11,6),-1.17028 # DEPENDENCYPART_ARC
(11,8),-1.36536 # DEPENDENCYPART_ARC
(11,9),-0.631536 # DEPENDENCYPART_ARC
(11,10),-0.297046 # DEPENDENCYPART_ARC
(11,12),-0.216044 # DEPENDENCYPART_ARC
(11,13),-1.02598 # DEPENDENCYPART_ARC
(11,14),-0.695902 # DEPENDENCYPART_ARC
(11,15),-1.42261 # DEPENDENCYPART_ARC
(11,16),-1.23342 # DEPENDENCYPART_ARC
(11,17),-1.6263 # DEPENDENCYPART_ARC
(11,18),-2.01462 # DEPENDENCYPART_ARC
(12,4),-2.16102 # DEPENDENCYPART_ARC
(12,5),-1.07771 # DEPENDENCYPART_ARC
(12,6),-2.05841 # DEPENDENCYPART_ARC
(12,9),-0.328876 # DEPENDENCYPART_ARC
(12,10),-0.803814 # DEPENDENCYPART_ARC
(12,11),-1.1707 # DEPENDENCYPART_ARC
(12,13),-0.647636 # DEPENDENCYPART_ARC
(12,14),-1.35986 # DEPENDENCYPART_ARC
(12,15),-2.35874 # DEPENDENCYPART_ARC
(12,16),-2.1371 # DEPENDENCYPART_ARC
(13,2),-1.44931 # DEPENDENCYPART_ARC
(13,3),-2.18081 # DEPENDENCYPART_ARC
(13,7),-1.13414 # DEPENDENCYPART_ARC
(13,10),-1.61259 # DEPENDENCYPART_ARC
(13,12),-1.08571 # DEPENDENCYPART_ARC
(13,15),-1.10893 # DEPENDENCYPART_ARC
(13,16),-1.26338 # DEPENDENCYPART_ARC
(13,17),-1.35676 # DEPENDENCYPART_ARC
(13,18),-1.86678 # DEPENDENCYPART_ARC
(14,1),-1.03108 # DEPENDENCYPART_ARC
(14,2),0.253439 # DEPENDENCYPART_ARC
(14,3),-2.09339 # DEPENDENCYPART_ARC
(14,4),-1.61997 # DEPENDENCYPART_ARC
(14,5),-0.140969 # DEPENDENCYPART_ARC
(14,6),-0.301039 # DEPENDENCYPART_ARC
(14,7),0.422145 # DEPENDENCYPART_ARC
(14,8),-0.908887 # DEPENDENCYPART_ARC
(14,9),-1.03091 # DEPENDENCYPART_ARC
(14,10),-1.20846 # DEPENDENCYPART_ARC
(14,11),-0.751507 # DEPENDENCYPART_ARC
(14,12),-0.690154 # DEPENDENCYPART_ARC
(14,13),1.61719 # DEPENDENCYPART_ARC
(14,15),1.28802 # DEPENDENCYPART_ARC
(14,16),-1.49964 # DEPENDENCYPART_ARC
(14,17),-1.33488 # DEPENDENCYPART_ARC
(14,18),-0.580749 # DEPENDENCYPART_ARC
(14,19),-0.516701 # DEPENDENCYPART_ARC
(15,1),-1.26786 # DEPENDENCYPART_ARC
(15,2),-3.17913 # DEPENDENCYPART_ARC
(15,3),-1.56725 # DEPENDENCYPART_ARC
(15,4),-1.09472 # DEPENDENCYPART_ARC
(15,5),-1.05822 # DEPENDENCYPART_ARC
(15,6),-0.809391 # DEPENDENCYPART_ARC
(15,8),-1.40095 # DEPENDENCYPART_ARC
(15,9),-1.51162 # DEPENDENCYPART_ARC
(15,10),-1.28932 # DEPENDENCYPART_ARC
(15,11),-2.21089 # DEPENDENCYPART_ARC
(15,12),-1.0589 # DEPENDENCYPART_ARC
(15,13),-0.516636 # DEPENDENCYPART_ARC
(15,14),-0.252044 # DEPENDENCYPART_ARC
(15,16),0.736701 # DEPENDENCYPART_ARC
(15,17),0.360603 # DEPENDENCYPART_ARC
(15,18),1.58714 # DEPENDENCYPART_ARC
(15,19),-0.767753 # DEPENDENCYPART_ARC
(16,17),-1.01532 # DEPENDENCYPART_ARC
(16,18),-1.54741 # DEPENDENCYPART_ARC
(17,16),0.433926 # DEPENDENCYPART_ARC
(18,1),-0.972271 # DEPENDENCYPART_ARC
(18,2),0.313368 # DEPENDENCYPART_ARC
(18,4),-1.29733 # DEPENDENCYPART_ARC
(18,5),-1.50962 # DEPENDENCYPART_ARC
(18,6),-0.328625 # DEPENDENCYPART_ARC
(18,7),-0.210923 # DEPENDENCYPART_ARC
(18,8),-1.0693 # DEPENDENCYPART_ARC
(18,9),-1.10152 # DEPENDENCYPART_ARC
(18,10),-0.914151 # DEPENDENCYPART_ARC
(18,11),-1.7112 # DEPENDENCYPART_ARC
(18,12),-0.686064 # DEPENDENCYPART_ARC
(18,13),-0.973499 # DEPENDENCYPART_ARC
(18,14),-0.153726 # DEPENDENCYPART_ARC
(18,15),1.65844 # DEPENDENCYPART_ARC
(18,16),0.631044 # DEPENDENCYPART_ARC
(18,17),1.68712 # DEPENDENCYPART_ARC
(18,19),-0.758826 # DEPENDENCYPART_ARC
(19,18),-2.66336 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.286977 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.105518 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.349939 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.163316 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.311624 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.163316 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0243375 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.361553 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.286891 # DEPENDENCYPART_SIBL
