# _root_ Havlova tvrdá a otevřená slova o Mnichově , okupaci , odsunu Němců a zločinech komunismu jsou jednoznačná .
#goldHeads=5,3,5,3,16,5,13,13,13,13,13,11,6,13,14,0,16,0,
#predictedHeads=5,3,5,3,16,5,13,13,13,13,13,11,6,13,14,0,16,0,
(0,2),-1.61016 # DEPENDENCYPART_ARC
(0,3),-1.22928 # DEPENDENCYPART_ARC
(0,5),-1.37351 # DEPENDENCYPART_ARC
(0,6),-0.993302 # DEPENDENCYPART_ARC
(0,8),-1.1356 # DEPENDENCYPART_ARC
(0,10),-1.24511 # DEPENDENCYPART_ARC
(0,11),-2.16938 # DEPENDENCYPART_ARC
(0,12),-2.51797 # DEPENDENCYPART_ARC
(0,13),-1.48683 # DEPENDENCYPART_ARC
(0,14),-2.71011 # DEPENDENCYPART_ARC
(0,16),-0.083033 # DEPENDENCYPART_ARC
(0,18),1.52253 # DEPENDENCYPART_ARC
(2,1),-1.70125 # DEPENDENCYPART_ARC
(3,1),-0.782368 # DEPENDENCYPART_ARC
(3,2),1.44633 # DEPENDENCYPART_ARC
(3,4),2.99558 # DEPENDENCYPART_ARC
(3,5),-0.497134 # DEPENDENCYPART_ARC
(3,6),-0.70865 # DEPENDENCYPART_ARC
(3,7),-1.53172 # DEPENDENCYPART_ARC
(3,8),-0.86199 # DEPENDENCYPART_ARC
(3,10),-1.04135 # DEPENDENCYPART_ARC
(3,11),-3.05156 # DEPENDENCYPART_ARC
(3,16),-1.71478 # DEPENDENCYPART_ARC
(3,17),-2.6639 # DEPENDENCYPART_ARC
(4,2),-3.00204 # DEPENDENCYPART_ARC
(4,5),-2.52967 # DEPENDENCYPART_ARC
(4,6),-1.11559 # DEPENDENCYPART_ARC
(5,1),0.449389 # DEPENDENCYPART_ARC
(5,2),-0.503795 # DEPENDENCYPART_ARC
(5,3),0.385881 # DEPENDENCYPART_ARC
(5,4),2.04827 # DEPENDENCYPART_ARC
(5,6),1.1156 # DEPENDENCYPART_ARC
