# _root_ srovnání s citovaností našeho dobrého pracoviště , jako je Ústav Heyrovského , by nedopadlo nijak špatně ) .
#goldHeads=14,1,2,6,6,9,9,9,3,9,10,9,14,0,16,14,14,0,
#predictedHeads=14,1,2,6,6,3,8,6,8,9,10,8,14,0,16,14,12,0,
(0,1),-0.644375 # DEPENDENCYPART_ARC
(0,2),-0.896586 # DEPENDENCYPART_ARC
(0,3),-1.69417 # DEPENDENCYPART_ARC
(0,6),-2.13825 # DEPENDENCYPART_ARC
(0,7),-1.07298 # DEPENDENCYPART_ARC
(0,8),-0.476856 # DEPENDENCYPART_ARC
(0,9),-0.708177 # DEPENDENCYPART_ARC
(0,11),-2.53971 # DEPENDENCYPART_ARC
(0,12),-1.52512 # DEPENDENCYPART_ARC
(0,14),-0.598081 # DEPENDENCYPART_ARC
(0,15),-1.9923 # DEPENDENCYPART_ARC
(0,16),-1.96308 # DEPENDENCYPART_ARC
(0,17),-2.20161 # DEPENDENCYPART_ARC
(0,18),1.9031 # DEPENDENCYPART_ARC
(1,2),1.00013 # DEPENDENCYPART_ARC
(1,3),-1.2785 # DEPENDENCYPART_ARC
(1,5),-1.36194 # DEPENDENCYPART_ARC
(1,6),-1.16096 # DEPENDENCYPART_ARC
(1,7),-0.979263 # DEPENDENCYPART_ARC
(1,9),-2.10789 # DEPENDENCYPART_ARC
(2,1),-1.64646 # DEPENDENCYPART_ARC
(2,3),2.35784 # DEPENDENCYPART_ARC
(2,5),-3.34332 # DEPENDENCYPART_ARC
(2,6),-2.93862 # DEPENDENCYPART_ARC
(2,7),-1.35889 # DEPENDENCYPART_ARC
(3,1),-3.18534 # DEPENDENCYPART_ARC
(3,2),-0.378641 # DEPENDENCYPART_ARC
(3,4),-1.40014 # DEPENDENCYPART_ARC
(3,5),-1.39576 # DEPENDENCYPART_ARC
(3,6),0.108374 # DEPENDENCYPART_ARC
(3,7),-0.950627 # DEPENDENCYPART_ARC
(3,8),-1.07353 # DEPENDENCYPART_ARC
(3,9),-1.94395 # DEPENDENCYPART_ARC
(3,10),-2.11594 # DEPENDENCYPART_ARC
(3,11),-1.36483 # DEPENDENCYPART_ARC
(3,12),-0.936049 # DEPENDENCYPART_ARC
(5,1),-3.6307 # DEPENDENCYPART_ARC
(5,2),-1.09312 # DEPENDENCYPART_ARC
(5,4),-2.39461 # DEPENDENCYPART_ARC
(5,8),-1.08957 # DEPENDENCYPART_ARC
(6,1),-3.70689 # DEPENDENCYPART_ARC
(6,2),-1.13383 # DEPENDENCYPART_ARC
(6,3),-4.28463 # DEPENDENCYPART_ARC
(6,4),1.73154 # DEPENDENCYPART_ARC
(6,5),2.39342 # DEPENDENCYPART_ARC
(6,7),-1.33392 # DEPENDENCYPART_ARC
(6,8),-1.34172 # DEPENDENCYPART_ARC
(6,9),-2.07956 # DEPENDENCYPART_ARC
(6,10),-2.43789 # DEPENDENCYPART_ARC
(6,11),-2.03899 # DEPENDENCYPART_ARC
(6,14),-3.59361 # DEPENDENCYPART_ARC
(7,1),-1.49224 # DEPENDENCYPART_ARC
(7,2),-1.18785 # DEPENDENCYPART_ARC
(7,3),-1.38641 # DEPENDENCYPART_ARC
(7,4),-1.24001 # DEPENDENCYPART_ARC
(7,5),-1.33266 # DEPENDENCYPART_ARC
(7,6),-1.15807 # DEPENDENCYPART_ARC
(7,8),-0.910307 # DEPENDENCYPART_ARC
(7,9),-1.29963 # DEPENDENCYPART_ARC
(7,10),-2.152 # DEPENDENCYPART_ARC
(7,11),-1.96082 # DEPENDENCYPART_ARC
(7,12),-0.82571 # DEPENDENCYPART_ARC
(7,14),-2.67432 # DEPENDENCYPART_ARC
(7,15),-1.89269 # DEPENDENCYPART_ARC
(7,16),-1.74797 # DEPENDENCYPART_ARC
(7,17),-0.740489 # DEPENDENCYPART_ARC
(8,3),-2.76752 # DEPENDENCYPART_ARC
(8,5),-2.77007 # DEPENDENCYPART_ARC
(8,6),-2.68444 # DEPENDENCYPART_ARC
(8,7),0.0822061 # DEPENDENCYPART_ARC
(8,9),0.806456 # DEPENDENCYPART_ARC
(8,10),-1.36478 # DEPENDENCYPART_ARC
(8,11),-1.90539 # DEPENDENCYPART_ARC
(8,12),-0.0798061 # DEPENDENCYPART_ARC
(8,14),-2.1082 # DEPENDENCYPART_ARC
(8,15),-2.16887 # DEPENDENCYPART_ARC
(8,16),-1.84899 # DEPENDENCYPART_ARC
(8,17),-1.05785 # DEPENDENCYPART_ARC
(8,18),-1.67965 # DEPENDENCYPART_ARC
(9,1),0.237586 # DEPENDENCYPART_ARC
(9,2),-1.94464 # DEPENDENCYPART_ARC
(9,3),-0.272017 # DEPENDENCYPART_ARC
(9,5),-3.06756 # DEPENDENCYPART_ARC
(9,6),-2.45159 # DEPENDENCYPART_ARC
(9,7),-0.208364 # DEPENDENCYPART_ARC
(9,8),-0.10816 # DEPENDENCYPART_ARC
(9,10),1.70214 # DEPENDENCYPART_ARC
(9,11),-1.22251 # DEPENDENCYPART_ARC
(9,12),-0.136796 # DEPENDENCYPART_ARC
(9,14),-2.6629 # DEPENDENCYPART_ARC
(9,15),-1.76241 # DEPENDENCYPART_ARC
(9,16),-1.25832 # DEPENDENCYPART_ARC
(9,17),-0.797706 # DEPENDENCYPART_ARC
(9,18),-1.1746 # DEPENDENCYPART_ARC
(10,4),-2.6692 # DEPENDENCYPART_ARC
(10,8),-0.6254 # DEPENDENCYPART_ARC
(10,11),1.41391 # DEPENDENCYPART_ARC
(10,12),-1.20735 # DEPENDENCYPART_ARC
(10,13),-0.957443 # DEPENDENCYPART_ARC
(10,14),-2.56868 # DEPENDENCYPART_ARC
(10,15),-1.25698 # DEPENDENCYPART_ARC
(10,16),-1.3182 # DEPENDENCYPART_ARC
(10,17),-1.48569 # DEPENDENCYPART_ARC
(11,2),-1.61201 # DEPENDENCYPART_ARC
(11,4),-1.61836 # DEPENDENCYPART_ARC
(11,8),-0.582583 # DEPENDENCYPART_ARC
(11,9),-1.70813 # DEPENDENCYPART_ARC
(11,10),-1.63613 # DEPENDENCYPART_ARC
(11,12),-1.36265 # DEPENDENCYPART_ARC
(11,13),-1.27018 # DEPENDENCYPART_ARC
(11,14),-2.55103 # DEPENDENCYPART_ARC
(11,15),-1.75556 # DEPENDENCYPART_ARC
(11,16),-2.31468 # DEPENDENCYPART_ARC
(11,17),-1.80241 # DEPENDENCYPART_ARC
(12,1),-2.11631 # DEPENDENCYPART_ARC
(12,2),-1.92337 # DEPENDENCYPART_ARC
(12,3),-1.91632 # DEPENDENCYPART_ARC
(12,6),-2.03345 # DEPENDENCYPART_ARC
(12,7),-1.10102 # DEPENDENCYPART_ARC
(12,9),-0.532602 # DEPENDENCYPART_ARC
(12,10),-1.30313 # DEPENDENCYPART_ARC
(12,11),-1.43826 # DEPENDENCYPART_ARC
(12,14),-1.33056 # DEPENDENCYPART_ARC
(12,15),-1.24747 # DEPENDENCYPART_ARC
(12,16),-1.1781 # DEPENDENCYPART_ARC
(12,17),-0.0472599 # DEPENDENCYPART_ARC
(12,18),-0.960914 # DEPENDENCYPART_ARC
(14,1),-0.330563 # DEPENDENCYPART_ARC
(14,2),-2.81291 # DEPENDENCYPART_ARC
(14,3),-1.68724 # DEPENDENCYPART_ARC
(14,6),-3.12817 # DEPENDENCYPART_ARC
(14,7),-2.24533 # DEPENDENCYPART_ARC
(14,8),-0.963188 # DEPENDENCYPART_ARC
(14,9),-1.75555 # DEPENDENCYPART_ARC
(14,10),-0.913206 # DEPENDENCYPART_ARC
