# _root_ Záplava objevů v infračerveném světle je prostě neuvěřitelná : poznali jsme , jak velká složka hmoty ve vesmíru je chladná , vlastně přímo mrazivá .
#goldHeads=6,1,2,5,3,9,6,6,0,9,10,21,14,15,19,15,16,17,21,19,10,21,24,21,0,
#predictedHeads=6,1,2,5,3,9,8,6,0,9,10,21,14,15,19,15,15,17,21,19,9,24,24,21,0,
(0,1),-0.579048 # DEPENDENCYPART_ARC
(0,2),-1.53157 # DEPENDENCYPART_ARC
(0,3),-0.66017 # DEPENDENCYPART_ARC
(0,6),0.220245 # DEPENDENCYPART_ARC
(0,9),-0.221217 # DEPENDENCYPART_ARC
(0,10),0.241779 # DEPENDENCYPART_ARC
(0,11),-1.33933 # DEPENDENCYPART_ARC
(0,12),-0.943391 # DEPENDENCYPART_ARC
(0,19),-0.783161 # DEPENDENCYPART_ARC
(0,21),-1.4896 # DEPENDENCYPART_ARC
(0,25),1.74303 # DEPENDENCYPART_ARC
(1,2),1.55628 # DEPENDENCYPART_ARC
(1,3),0.0392181 # DEPENDENCYPART_ARC
(1,4),-1.96522 # DEPENDENCYPART_ARC
(1,5),-1.50265 # DEPENDENCYPART_ARC
(1,6),-1.67941 # DEPENDENCYPART_ARC
(1,8),-1.68771 # DEPENDENCYPART_ARC
(2,1),-2.23893 # DEPENDENCYPART_ARC
(2,3),0.36298 # DEPENDENCYPART_ARC
(2,4),-3.00266 # DEPENDENCYPART_ARC
(2,5),-1.84266 # DEPENDENCYPART_ARC
(2,6),-1.917 # DEPENDENCYPART_ARC
(2,8),-5.21401 # DEPENDENCYPART_ARC
(2,9),-1.35566 # DEPENDENCYPART_ARC
(3,2),-3.15631 # DEPENDENCYPART_ARC
(3,4),-0.173098 # DEPENDENCYPART_ARC
(3,5),2.43338 # DEPENDENCYPART_ARC
(5,1),-2.75749 # DEPENDENCYPART_ARC
(5,2),-3.52501 # DEPENDENCYPART_ARC
(5,4),2.18287 # DEPENDENCYPART_ARC
(5,6),-1.91341 # DEPENDENCYPART_ARC
(5,8),-3.37109 # DEPENDENCYPART_ARC
(6,1),0.702129 # DEPENDENCYPART_ARC
(6,2),-2.23943 # DEPENDENCYPART_ARC
(6,3),-0.606474 # DEPENDENCYPART_ARC
(6,4),-1.94024 # DEPENDENCYPART_ARC
(6,5),-0.3534 # DEPENDENCYPART_ARC
(6,7),0.757691 # DEPENDENCYPART_ARC
(6,8),1.76263 # DEPENDENCYPART_ARC
(6,9),0.0818339 # DEPENDENCYPART_ARC
(6,10),-1.55312 # DEPENDENCYPART_ARC
(6,11),-0.967255 # DEPENDENCYPART_ARC
(6,12),-0.847948 # DEPENDENCYPART_ARC
(6,13),-2.04196 # DEPENDENCYPART_ARC
(6,14),-1.91425 # DEPENDENCYPART_ARC
(6,15),-1.72399 # DEPENDENCYPART_ARC
(6,16),-3.24128 # DEPENDENCYPART_ARC
(6,17),-1.7775 # DEPENDENCYPART_ARC
(6,20),-1.80179 # DEPENDENCYPART_ARC
(6,21),-1.30749 # DEPENDENCYPART_ARC
(6,22),-2.54433 # DEPENDENCYPART_ARC
(6,23),-2.85447 # DEPENDENCYPART_ARC
(6,24),-1.91648 # DEPENDENCYPART_ARC
(7,8),-2.8077 # DEPENDENCYPART_ARC
(7,9),-1.2386 # DEPENDENCYPART_ARC
(7,10),-2.58894 # DEPENDENCYPART_ARC
(7,11),-2.6841 # DEPENDENCYPART_ARC
(8,1),-2.13122 # DEPENDENCYPART_ARC
(8,2),-3.38937 # DEPENDENCYPART_ARC
(8,3),-1.03263 # DEPENDENCYPART_ARC
(8,4),-3.77663 # DEPENDENCYPART_ARC
(8,5),-2.86911 # DEPENDENCYPART_ARC
(8,7),1.09939 # DEPENDENCYPART_ARC
(8,9),-0.643261 # DEPENDENCYPART_ARC
(8,10),-2.57785 # DEPENDENCYPART_ARC
(8,11),-3.5704 # DEPENDENCYPART_ARC
(9,1),-1.18623 # DEPENDENCYPART_ARC
(9,2),-1.40365 # DEPENDENCYPART_ARC
(9,3),-1.01216 # DEPENDENCYPART_ARC
(9,4),-1.60795 # DEPENDENCYPART_ARC
(9,5),-1.04435 # DEPENDENCYPART_ARC
(9,6),-0.16292 # DEPENDENCYPART_ARC
(9,7),-0.486072 # DEPENDENCYPART_ARC
(9,8),-0.871749 # DEPENDENCYPART_ARC
(9,10),-0.306494 # DEPENDENCYPART_ARC
(9,11),-0.994901 # DEPENDENCYPART_ARC
(9,12),-0.740485 # DEPENDENCYPART_ARC
(9,14),-1.41492 # DEPENDENCYPART_ARC
(9,19),-1.78559 # DEPENDENCYPART_ARC
(9,21),-1.00003 # DEPENDENCYPART_ARC
(10,1),-1.1781 # DEPENDENCYPART_ARC
(10,2),-2.80022 # DEPENDENCYPART_ARC
(10,3),-1.55698 # DEPENDENCYPART_ARC
(10,5),-2.58622 # DEPENDENCYPART_ARC
(10,6),-1.3487 # DEPENDENCYPART_ARC
(10,7),-0.863235 # DEPENDENCYPART_ARC
(10,8),-1.85561 # DEPENDENCYPART_ARC
(10,9),-0.460634 # DEPENDENCYPART_ARC
(10,11),2.54023 # DEPENDENCYPART_ARC
(10,12),-0.465231 # DEPENDENCYPART_ARC
(10,13),-0.866546 # DEPENDENCYPART_ARC
(10,14),-2.16443 # DEPENDENCYPART_ARC
(10,15),-0.859423 # DEPENDENCYPART_ARC
(10,16),-2.1438 # DEPENDENCYPART_ARC
(10,17),-0.883047 # DEPENDENCYPART_ARC
(10,18),-2.35034 # DEPENDENCYPART_ARC
(10,19),-1.43237 # DEPENDENCYPART_ARC
(10,20),-2.78336 # DEPENDENCYPART_ARC
(10,21),-1.12936 # DEPENDENCYPART_ARC
(10,22),-1.69437 # DEPENDENCYPART_ARC
(10,23),-2.13428 # DEPENDENCYPART_ARC
(10,24),-3.16645 # DEPENDENCYPART_ARC
(11,1),-2.53029 # DEPENDENCYPART_ARC
(11,2),-3.25214 # DEPENDENCYPART_ARC
(11,3),-2.44497 # DEPENDENCYPART_ARC
(11,5),-3.27378 # DEPENDENCYPART_ARC
(11,6),-3.37659 # DEPENDENCYPART_ARC
(11,7),-1.65318 # DEPENDENCYPART_ARC
(11,8),-2.88763 # DEPENDENCYPART_ARC
(11,9),-1.48252 # DEPENDENCYPART_ARC
(11,10),-1.89416 # DEPENDENCYPART_ARC
(11,12),-1.22106 # DEPENDENCYPART_ARC
(11,13),-1.95614 # DEPENDENCYPART_ARC
(11,14),-3.09879 # DEPENDENCYPART_ARC
(11,15),-2.27269 # DEPENDENCYPART_ARC
(11,16),-3.52454 # DEPENDENCYPART_ARC
(11,17),-2.55253 # DEPENDENCYPART_ARC
(11,19),-3.33165 # DEPENDENCYPART_ARC
(11,24),-4.0932 # DEPENDENCYPART_ARC
(12,1),-1.99762 # DEPENDENCYPART_ARC
(12,3),-1.12217 # DEPENDENCYPART_ARC
(12,6),-1.3276 # DEPENDENCYPART_ARC
(12,7),-1.20359 # DEPENDENCYPART_ARC
(12,8),-1.9112 # DEPENDENCYPART_ARC
(12,9),-0.420598 # DEPENDENCYPART_ARC
(12,10),-1.05877 # DEPENDENCYPART_ARC
(12,11),-0.877761 # DEPENDENCYPART_ARC
(12,13),-1.27333 # DEPENDENCYPART_ARC
(12,14),-1.59335 # DEPENDENCYPART_ARC
(12,15),-1.99119 # DEPENDENCYPART_ARC
(12,19),-2.12898 # DEPENDENCYPART_ARC
(12,21),-1.22838 # DEPENDENCYPART_ARC
(12,22),-2.53048 # DEPENDENCYPART_ARC
(12,23),-2.23788 # DEPENDENCYPART_ARC
(13,7),-1.72712 # DEPENDENCYPART_ARC
(13,10),-1.30843 # DEPENDENCYPART_ARC
(13,11),-1.33518 # DEPENDENCYPART_ARC
(13,12),-0.750885 # DEPENDENCYPART_ARC
(13,14),-1.18759 # DEPENDENCYPART_ARC
(13,15),-1.61504 # DEPENDENCYPART_ARC
(13,16),-2.08992 # DEPENDENCYPART_ARC
(13,19),-1.39956 # DEPENDENCYPART_ARC
(14,7),-1.28227 # DEPENDENCYPART_ARC
(14,12),-0.914918 # DEPENDENCYPART_ARC
(14,13),0.0172863 # DEPENDENCYPART_ARC
(14,15),-1.3381 # DEPENDENCYPART_ARC
(14,16),-1.71298 # DEPENDENCYPART_ARC
(14,17),-0.849462 # DEPENDENCYPART_ARC
(15,4),-4.17096 # DEPENDENCYPART_ARC
(15,7),-2.0066 # DEPENDENCYPART_ARC
(15,12),-0.874446 # DEPENDENCYPART_ARC
(15,13),-0.673618 # DEPENDENCYPART_ARC
(15,14),1.87007 # DEPENDENCYPART_ARC
(15,16),1.76073 # DEPENDENCYPART_ARC
(15,17),0.0410238 # DEPENDENCYPART_ARC
(15,18),-1.84011 # DEPENDENCYPART_ARC
(15,19),-1.51955 # DEPENDENCYPART_ARC
(15,20),-1.33275 # DEPENDENCYPART_ARC
(15,22),-1.29031 # DEPENDENCYPART_ARC
(15,23),-1.38896 # DEPENDENCYPART_ARC
(15,24),-1.86352 # DEPENDENCYPART_ARC
(16,14),-1.22573 # DEPENDENCYPART_ARC
(16,15),-1.55538 # DEPENDENCYPART_ARC
(16,17),0.445954 # DEPENDENCYPART_ARC
(16,18),-1.67485 # DEPENDENCYPART_ARC
(16,19),-1.43174 # DEPENDENCYPART_ARC
(16,20),-2.088 # DEPENDENCYPART_ARC
(16,22),-1.32633 # DEPENDENCYPART_ARC
(16,23),-1.51733 # DEPENDENCYPART_ARC
(16,24),-2.69359 # DEPENDENCYPART_ARC
(17,16),-2.85242 # DEPENDENCYPART_ARC
(17,18),2.99777 # DEPENDENCYPART_ARC
(17,20),-3.15019 # DEPENDENCYPART_ARC
(18,15),-2.2036 # DEPENDENCYPART_ARC
(18,16),-2.29204 # DEPENDENCYPART_ARC
(18,19),-1.65766 # DEPENDENCYPART_ARC
(18,20),-2.93875 # DEPENDENCYPART_ARC
(18,24),-3.89065 # DEPENDENCYPART_ARC
(19,1),-0.0327696 # DEPENDENCYPART_ARC
(19,2),-3.16097 # DEPENDENCYPART_ARC
(19,3),-1.96999 # DEPENDENCYPART_ARC
(19,5),-1.90403 # DEPENDENCYPART_ARC
(19,6),-2.79051 # DEPENDENCYPART_ARC
(19,7),-2.18486 # DEPENDENCYPART_ARC
(19,8),-1.59338 # DEPENDENCYPART_ARC
(19,9),-1.2722 # DEPENDENCYPART_ARC
(19,10),-2.06871 # DEPENDENCYPART_ARC
(19,11),-1.21266 # DEPENDENCYPART_ARC
(19,12),-0.663768 # DEPENDENCYPART_ARC
(19,13),-1.13403 # DEPENDENCYPART_ARC
(19,14),-1.55055 # DEPENDENCYPART_ARC
(19,15),0.159565 # DEPENDENCYPART_ARC
