# _root_ Místo toho jsou jen profesionálně velmi slušně odvedeným , poutavým , leč značně konfekčním řemeslem .
#goldHeads=3,1,0,8,8,7,8,12,12,12,12,15,14,12,3,0,
#predictedHeads=3,1,0,5,3,7,8,9,15,9,12,3,14,15,3,0,
(0,1),-1.0258 # DEPENDENCYPART_ARC
(0,2),-2.43017 # DEPENDENCYPART_ARC
(0,3),-0.406433 # DEPENDENCYPART_ARC
(0,4),-1.27056 # DEPENDENCYPART_ARC
(0,5),-1.5062 # DEPENDENCYPART_ARC
(0,6),-1.54637 # DEPENDENCYPART_ARC
(0,7),-1.67397 # DEPENDENCYPART_ARC
(0,8),-1.90112 # DEPENDENCYPART_ARC
(0,9),-1.5741 # DEPENDENCYPART_ARC
(0,10),-1.99154 # DEPENDENCYPART_ARC
(0,11),-1.66752 # DEPENDENCYPART_ARC
(0,12),-0.776927 # DEPENDENCYPART_ARC
(0,13),-1.92888 # DEPENDENCYPART_ARC
(0,14),-2.06302 # DEPENDENCYPART_ARC
(0,16),1.95843 # DEPENDENCYPART_ARC
(1,2),1.89968 # DEPENDENCYPART_ARC
(1,5),-1.96361 # DEPENDENCYPART_ARC
(1,6),-1.66631 # DEPENDENCYPART_ARC
(1,15),-1.28804 # DEPENDENCYPART_ARC
(2,3),-0.477491 # DEPENDENCYPART_ARC
(2,4),-1.45892 # DEPENDENCYPART_ARC
(2,12),-1.41082 # DEPENDENCYPART_ARC
(3,1),1.34443 # DEPENDENCYPART_ARC
(3,2),-2.28666 # DEPENDENCYPART_ARC
(3,4),-0.47167 # DEPENDENCYPART_ARC
(3,5),-0.0513175 # DEPENDENCYPART_ARC
(3,6),-0.524541 # DEPENDENCYPART_ARC
(3,7),-0.59866 # DEPENDENCYPART_ARC
(3,8),-1.71511 # DEPENDENCYPART_ARC
(3,9),-0.815779 # DEPENDENCYPART_ARC
(3,10),-2.94666 # DEPENDENCYPART_ARC
(3,11),-0.992739 # DEPENDENCYPART_ARC
(3,12),-0.654645 # DEPENDENCYPART_ARC
(3,13),-2.12162 # DEPENDENCYPART_ARC
(3,14),-4.09202 # DEPENDENCYPART_ARC
(3,15),-2.11847 # DEPENDENCYPART_ARC
(3,16),-0.773157 # DEPENDENCYPART_ARC
(4,1),-1.42315 # DEPENDENCYPART_ARC
(4,2),-1.52946 # DEPENDENCYPART_ARC
(4,3),-0.856166 # DEPENDENCYPART_ARC
(4,5),-1.31047 # DEPENDENCYPART_ARC
(4,7),-1.97497 # DEPENDENCYPART_ARC
(4,9),-1.24681 # DEPENDENCYPART_ARC
(4,11),-1.28625 # DEPENDENCYPART_ARC
(5,1),-1.28671 # DEPENDENCYPART_ARC
(5,2),-0.948763 # DEPENDENCYPART_ARC
(5,3),-1.67812 # DEPENDENCYPART_ARC
