# _root_ Se Zlínem jsem loni uhrál v Ostravě bezbrankovou remízu , proto si myslím , že ani s Brnem nejsem bez šancí .
#goldHeads=5,1,5,5,11,5,6,9,5,11,0,13,11,15,13,18,19,17,15,19,20,0,
#predictedHeads=5,1,5,5,11,5,6,9,5,11,0,13,11,15,13,18,19,17,15,19,20,0,
(0,1),-1.01984 # DEPENDENCYPART_ARC
(0,3),0.0181411 # DEPENDENCYPART_ARC
(0,4),-1.31839 # DEPENDENCYPART_ARC
(0,5),-0.817174 # DEPENDENCYPART_ARC
(0,10),-0.877802 # DEPENDENCYPART_ARC
(0,11),-0.375727 # DEPENDENCYPART_ARC
(0,13),-1.36174 # DEPENDENCYPART_ARC
(0,14),-1.10256 # DEPENDENCYPART_ARC
(0,19),-1.24696 # DEPENDENCYPART_ARC
(0,22),2.26664 # DEPENDENCYPART_ARC
(1,2),2.88904 # DEPENDENCYPART_ARC
(2,3),-1.11119 # DEPENDENCYPART_ARC
(2,4),-1.37593 # DEPENDENCYPART_ARC
(2,5),-2.70969 # DEPENDENCYPART_ARC
(2,8),-3.93657 # DEPENDENCYPART_ARC
(3,1),-0.445916 # DEPENDENCYPART_ARC
(3,2),-1.64596 # DEPENDENCYPART_ARC
(3,4),-0.0258186 # DEPENDENCYPART_ARC
(3,5),-1.58366 # DEPENDENCYPART_ARC
(3,6),-1.43376 # DEPENDENCYPART_ARC
(3,7),-2.98727 # DEPENDENCYPART_ARC
(3,8),-3.23601 # DEPENDENCYPART_ARC
(3,9),-1.37924 # DEPENDENCYPART_ARC
(3,10),-1.22041 # DEPENDENCYPART_ARC
(3,11),-1.51125 # DEPENDENCYPART_ARC
(3,13),-3.44053 # DEPENDENCYPART_ARC
(3,14),-1.64113 # DEPENDENCYPART_ARC
(3,15),-2.67207 # DEPENDENCYPART_ARC
(4,1),-1.54216 # DEPENDENCYPART_ARC
(4,3),-1.30673 # DEPENDENCYPART_ARC
(5,1),0.436976 # DEPENDENCYPART_ARC
(5,2),-0.311839 # DEPENDENCYPART_ARC
(5,3),1.76851 # DEPENDENCYPART_ARC
(5,4),1.30839 # DEPENDENCYPART_ARC
(5,6),1.42742 # DEPENDENCYPART_ARC
(5,7),-1.43352 # DEPENDENCYPART_ARC
(5,8),-1.82598 # DEPENDENCYPART_ARC
(5,9),0.560432 # DEPENDENCYPART_ARC
(5,10),-0.629186 # DEPENDENCYPART_ARC
(5,11),-0.4092 # DEPENDENCYPART_ARC
(5,13),-0.221313 # DEPENDENCYPART_ARC
(5,14),-0.96247 # DEPENDENCYPART_ARC
(5,15),-1.1717 # DEPENDENCYPART_ARC
(5,16),-1.46365 # DEPENDENCYPART_ARC
(5,17),-1.83661 # DEPENDENCYPART_ARC
(5,19),-2.35085 # DEPENDENCYPART_ARC
(5,20),-1.4279 # DEPENDENCYPART_ARC
(6,7),2.64726 # DEPENDENCYPART_ARC
(6,8),-2.48473 # DEPENDENCYPART_ARC
(6,9),-2.79707 # DEPENDENCYPART_ARC
(7,1),-1.07689 # DEPENDENCYPART_ARC
(7,4),-1.05867 # DEPENDENCYPART_ARC
(7,6),-0.479243 # DEPENDENCYPART_ARC
(7,8),-1.61811 # DEPENDENCYPART_ARC
(7,9),-3.08985 # DEPENDENCYPART_ARC
(7,10),-1.41665 # DEPENDENCYPART_ARC
(7,11),-1.28787 # DEPENDENCYPART_ARC
(7,13),-2.0151 # DEPENDENCYPART_ARC
(7,15),-1.59998 # DEPENDENCYPART_ARC
(7,17),-2.54148 # DEPENDENCYPART_ARC
(8,1),-1.08383 # DEPENDENCYPART_ARC
(8,4),-1.22913 # DEPENDENCYPART_ARC
(8,6),-0.699199 # DEPENDENCYPART_ARC
(8,7),-1.51991 # DEPENDENCYPART_ARC
(8,9),-1.16625 # DEPENDENCYPART_ARC
(8,11),-0.904133 # DEPENDENCYPART_ARC
(8,15),-1.27211 # DEPENDENCYPART_ARC
(9,4),-0.926971 # DEPENDENCYPART_ARC
(9,6),-0.929901 # DEPENDENCYPART_ARC
(9,7),-2.37136 # DEPENDENCYPART_ARC
(9,8),2.7435 # DEPENDENCYPART_ARC
(9,10),-1.11731 # DEPENDENCYPART_ARC
(9,11),-1.17959 # DEPENDENCYPART_ARC
(9,13),-0.758242 # DEPENDENCYPART_ARC
(9,15),-1.46855 # DEPENDENCYPART_ARC
(9,19),-2.2732 # DEPENDENCYPART_ARC
(10,3),-1.42071 # DEPENDENCYPART_ARC
(10,5),-1.25781 # DEPENDENCYPART_ARC
(10,6),-1.17137 # DEPENDENCYPART_ARC
(10,7),-1.44516 # DEPENDENCYPART_ARC
(10,8),-1.74816 # DEPENDENCYPART_ARC
(10,9),-1.51682 # DEPENDENCYPART_ARC
(10,11),-0.589959 # DEPENDENCYPART_ARC
(10,13),-1.05316 # DEPENDENCYPART_ARC
(10,14),-0.724038 # DEPENDENCYPART_ARC
(10,15),-1.35146 # DEPENDENCYPART_ARC
(10,16),-1.05313 # DEPENDENCYPART_ARC
(10,19),-2.39127 # DEPENDENCYPART_ARC
(10,20),-1.83731 # DEPENDENCYPART_ARC
(11,1),-1.96589 # DEPENDENCYPART_ARC
(11,2),-1.60147 # DEPENDENCYPART_ARC
(11,3),-0.430982 # DEPENDENCYPART_ARC
(11,4),-1.07832 # DEPENDENCYPART_ARC
(11,5),-0.157857 # DEPENDENCYPART_ARC
(11,6),-1.16852 # DEPENDENCYPART_ARC
(11,7),-1.31248 # DEPENDENCYPART_ARC
(11,8),-1.67627 # DEPENDENCYPART_ARC
(11,9),-1.12634 # DEPENDENCYPART_ARC
(11,10),1.13868 # DEPENDENCYPART_ARC
(11,12),-1.3534 # DEPENDENCYPART_ARC
(11,13),0.762159 # DEPENDENCYPART_ARC
(11,14),-0.337455 # DEPENDENCYPART_ARC
(11,15),-1.74794 # DEPENDENCYPART_ARC
(11,16),-1.70706 # DEPENDENCYPART_ARC
(11,17),-2.0429 # DEPENDENCYPART_ARC
(11,19),-1.24923 # DEPENDENCYPART_ARC
(11,20),-2.54103 # DEPENDENCYPART_ARC
(11,22),-1.16371 # DEPENDENCYPART_ARC
(13,1),-1.26347 # DEPENDENCYPART_ARC
(13,2),-2.27335 # DEPENDENCYPART_ARC
(13,3),-2.41058 # DEPENDENCYPART_ARC
(13,4),-1.26404 # DEPENDENCYPART_ARC
(13,5),-2.50595 # DEPENDENCYPART_ARC
(13,6),-1.0449 # DEPENDENCYPART_ARC
(13,7),-2.74002 # DEPENDENCYPART_ARC
(13,8),-2.94095 # DEPENDENCYPART_ARC
(13,9),-1.64215 # DEPENDENCYPART_ARC
(13,10),-0.528804 # DEPENDENCYPART_ARC
(13,11),-0.759846 # DEPENDENCYPART_ARC
(13,12),1.63634 # DEPENDENCYPART_ARC
(13,14),-0.106446 # DEPENDENCYPART_ARC
(13,15),0.693571 # DEPENDENCYPART_ARC
(13,16),-0.670469 # DEPENDENCYPART_ARC
(13,17),-1.7618 # DEPENDENCYPART_ARC
(13,19),-2.44886 # DEPENDENCYPART_ARC
(13,20),-1.78876 # DEPENDENCYPART_ARC
(14,3),-1.76594 # DEPENDENCYPART_ARC
(14,5),-1.52166 # DEPENDENCYPART_ARC
(14,7),-1.68832 # DEPENDENCYPART_ARC
(14,10),-0.570507 # DEPENDENCYPART_ARC
(14,12),-1.23149 # DEPENDENCYPART_ARC
(14,16),-1.55355 # DEPENDENCYPART_ARC
(14,17),-1.62954 # DEPENDENCYPART_ARC
(14,19),-1.89729 # DEPENDENCYPART_ARC
(14,20),-2.00592 # DEPENDENCYPART_ARC
(15,3),-2.58383 # DEPENDENCYPART_ARC
(15,5),-2.29597 # DEPENDENCYPART_ARC
(15,9),-2.44131 # DEPENDENCYPART_ARC
(15,10),-0.631275 # DEPENDENCYPART_ARC
(15,11),-0.389358 # DEPENDENCYPART_ARC
(15,13),-1.61884 # DEPENDENCYPART_ARC
(15,14),2.2267 # DEPENDENCYPART_ARC
(15,16),-0.105183 # DEPENDENCYPART_ARC
(15,17),-0.600732 # DEPENDENCYPART_ARC
(15,19),0.872834 # DEPENDENCYPART_ARC
(15,20),-1.69824 # DEPENDENCYPART_ARC
(15,22),-1.01963 # DEPENDENCYPART_ARC
(16,1),-2.39238 # DEPENDENCYPART_ARC
(16,5),-2.72044 # DEPENDENCYPART_ARC
(16,6),-1.79 # DEPENDENCYPART_ARC
(16,10),-2.11184 # DEPENDENCYPART_ARC
(16,12),-2.64912 # DEPENDENCYPART_ARC
(16,13),-2.07276 # DEPENDENCYPART_ARC
(16,14),-0.739806 # DEPENDENCYPART_ARC
(16,15),-0.373568 # DEPENDENCYPART_ARC
(16,17),-0.849097 # DEPENDENCYPART_ARC
(16,18),-1.9029 # DEPENDENCYPART_ARC
(16,19),-0.380232 # DEPENDENCYPART_ARC
(16,20),-2.15094 # DEPENDENCYPART_ARC
(16,21),-3.03037 # DEPENDENCYPART_ARC
(16,22),-1.47161 # DEPENDENCYPART_ARC
