# _root_ Obecně ve světě platí , že takovéto osoby požívají zvláštní důstojnosti a nedotknutelnosti , uvedl Dobal .
#goldHeads=4,4,2,15,6,4,8,9,6,12,12,9,12,4,0,15,0,
#predictedHeads=4,4,2,0,6,4,8,9,6,11,12,9,12,6,0,15,0,
(0,1),-0.592565 # DEPENDENCYPART_ARC
(0,2),-0.920473 # DEPENDENCYPART_ARC
(0,3),-1.74818 # DEPENDENCYPART_ARC
(0,4),-0.163817 # DEPENDENCYPART_ARC
(0,5),-0.739361 # DEPENDENCYPART_ARC
(0,6),-1.20568 # DEPENDENCYPART_ARC
(0,9),-0.268323 # DEPENDENCYPART_ARC
(0,12),-0.96337 # DEPENDENCYPART_ARC
(0,14),-1.44766 # DEPENDENCYPART_ARC
(0,15),2.07011 # DEPENDENCYPART_ARC
(0,17),2.10342 # DEPENDENCYPART_ARC
(1,2),-0.747627 # DEPENDENCYPART_ARC
(1,3),-1.8277 # DEPENDENCYPART_ARC
(1,4),-1.89667 # DEPENDENCYPART_ARC
(1,5),-1.12483 # DEPENDENCYPART_ARC
(1,6),-1.5378 # DEPENDENCYPART_ARC
(2,1),-1.41334 # DEPENDENCYPART_ARC
(2,3),2.76944 # DEPENDENCYPART_ARC
(2,5),-1.33486 # DEPENDENCYPART_ARC
(3,1),-0.832061 # DEPENDENCYPART_ARC
(3,2),-0.46247 # DEPENDENCYPART_ARC
(3,4),-1.76644 # DEPENDENCYPART_ARC
(3,6),-1.16648 # DEPENDENCYPART_ARC
(3,8),-2.48151 # DEPENDENCYPART_ARC
(4,1),0.452166 # DEPENDENCYPART_ARC
(4,2),0.535423 # DEPENDENCYPART_ARC
(4,3),-0.137469 # DEPENDENCYPART_ARC
(4,5),-0.312537 # DEPENDENCYPART_ARC
(4,6),0.00565264 # DEPENDENCYPART_ARC
(4,7),-2.64577 # DEPENDENCYPART_ARC
(4,8),-2.09463 # DEPENDENCYPART_ARC
(4,9),-2.03135 # DEPENDENCYPART_ARC
(4,10),-4.88359 # DEPENDENCYPART_ARC
(4,11),-4.03797 # DEPENDENCYPART_ARC
(4,12),-1.2371 # DEPENDENCYPART_ARC
(4,14),-0.907557 # DEPENDENCYPART_ARC
(5,1),-1.24792 # DEPENDENCYPART_ARC
(5,2),-0.929546 # DEPENDENCYPART_ARC
(5,4),-1.04796 # DEPENDENCYPART_ARC
(5,7),-2.06804 # DEPENDENCYPART_ARC
(5,9),-1.64317 # DEPENDENCYPART_ARC
(6,2),-1.86289 # DEPENDENCYPART_ARC
(6,3),-1.55787 # DEPENDENCYPART_ARC
(6,4),-1.17738 # DEPENDENCYPART_ARC
(6,5),1.6971 # DEPENDENCYPART_ARC
(6,7),-0.991634 # DEPENDENCYPART_ARC
(6,8),-1.8572 # DEPENDENCYPART_ARC
(6,9),1.3177 # DEPENDENCYPART_ARC
(6,10),-2.10785 # DEPENDENCYPART_ARC
(6,11),-2.74107 # DEPENDENCYPART_ARC
(6,12),-0.389293 # DEPENDENCYPART_ARC
(6,14),0.00156381 # DEPENDENCYPART_ARC
(6,15),-0.55692 # DEPENDENCYPART_ARC
(7,1),-1.98501 # DEPENDENCYPART_ARC
(7,4),-2.41717 # DEPENDENCYPART_ARC
(7,6),-0.373488 # DEPENDENCYPART_ARC
(7,8),-1.88982 # DEPENDENCYPART_ARC
(7,9),-1.87351 # DEPENDENCYPART_ARC
(7,10),-1.72642 # DEPENDENCYPART_ARC
(7,11),-2.35263 # DEPENDENCYPART_ARC
(7,12),-1.13131 # DEPENDENCYPART_ARC
(7,14),-1.05027 # DEPENDENCYPART_ARC
(7,15),-2.7532 # DEPENDENCYPART_ARC
