# _root_ Situace na jazzové scéně , byť se v létě konal první ročník nového Agharta Jazz Festivalu , je téměř horší než za socialismu .
#goldHeads=18,1,4,2,6,18,10,10,8,6,12,10,16,16,16,12,6,0,20,18,20,21,22,0,
#predictedHeads=18,1,4,2,6,18,10,10,8,6,12,10,15,15,12,15,6,0,20,18,20,21,22,0,
(0,1),-0.444642 # DEPENDENCYPART_ARC
(0,2),-0.87639 # DEPENDENCYPART_ARC
(0,4),-1.39316 # DEPENDENCYPART_ARC
(0,5),-0.862692 # DEPENDENCYPART_ARC
(0,6),-0.597272 # DEPENDENCYPART_ARC
(0,10),-0.223715 # DEPENDENCYPART_ARC
(0,11),-1.92086 # DEPENDENCYPART_ARC
(0,17),-1.42537 # DEPENDENCYPART_ARC
(0,18),0.383045 # DEPENDENCYPART_ARC
(0,24),2.02549 # DEPENDENCYPART_ARC
(1,2),1.05453 # DEPENDENCYPART_ARC
(1,3),-0.802097 # DEPENDENCYPART_ARC
(1,4),-2.00761 # DEPENDENCYPART_ARC
(1,5),-0.943257 # DEPENDENCYPART_ARC
(1,6),-1.09489 # DEPENDENCYPART_ARC
(1,10),-2.06617 # DEPENDENCYPART_ARC
(2,1),-2.70186 # DEPENDENCYPART_ARC
(2,3),-0.535319 # DEPENDENCYPART_ARC
(2,4),2.02676 # DEPENDENCYPART_ARC
(2,5),-1.34052 # DEPENDENCYPART_ARC
(2,6),-1.68697 # DEPENDENCYPART_ARC
(3,5),-1.20105 # DEPENDENCYPART_ARC
(3,6),-0.901988 # DEPENDENCYPART_ARC
(4,1),-1.58061 # DEPENDENCYPART_ARC
(4,2),-0.965644 # DEPENDENCYPART_ARC
(4,3),2.09421 # DEPENDENCYPART_ARC
(4,5),-1.18163 # DEPENDENCYPART_ARC
(4,6),-1.16524 # DEPENDENCYPART_ARC
(4,10),-1.61829 # DEPENDENCYPART_ARC
(5,1),-1.65946 # DEPENDENCYPART_ARC
(5,2),-1.25469 # DEPENDENCYPART_ARC
(5,3),-1.61131 # DEPENDENCYPART_ARC
(5,4),-1.46875 # DEPENDENCYPART_ARC
(5,6),-0.841868 # DEPENDENCYPART_ARC
(5,8),-1.31764 # DEPENDENCYPART_ARC
(5,10),-1.49719 # DEPENDENCYPART_ARC
(5,11),-1.81142 # DEPENDENCYPART_ARC
(5,18),-3.017 # DEPENDENCYPART_ARC
(6,1),-1.99492 # DEPENDENCYPART_ARC
(6,2),-2.10383 # DEPENDENCYPART_ARC
(6,3),-2.42253 # DEPENDENCYPART_ARC
(6,4),-1.90747 # DEPENDENCYPART_ARC
(6,5),0.364009 # DEPENDENCYPART_ARC
(6,8),-1.18932 # DEPENDENCYPART_ARC
(6,9),-2.05164 # DEPENDENCYPART_ARC
(6,10),0.769382 # DEPENDENCYPART_ARC
(6,12),-2.37971 # DEPENDENCYPART_ARC
(6,17),0.426093 # DEPENDENCYPART_ARC
(6,18),-0.633324 # DEPENDENCYPART_ARC
(8,5),-0.640415 # DEPENDENCYPART_ARC
(8,9),2.83593 # DEPENDENCYPART_ARC
(8,11),-3.03051 # DEPENDENCYPART_ARC
(8,12),-4.08797 # DEPENDENCYPART_ARC
(8,13),-3.54242 # DEPENDENCYPART_ARC
(9,6),-1.10957 # DEPENDENCYPART_ARC
(9,7),-2.72261 # DEPENDENCYPART_ARC
(9,8),-0.486079 # DEPENDENCYPART_ARC
(9,11),-1.66506 # DEPENDENCYPART_ARC
(9,12),-2.28852 # DEPENDENCYPART_ARC
(9,13),-2.05274 # DEPENDENCYPART_ARC
(9,15),-2.01314 # DEPENDENCYPART_ARC
(9,20),-3.93598 # DEPENDENCYPART_ARC
(10,1),0.0837127 # DEPENDENCYPART_ARC
(10,2),-0.999441 # DEPENDENCYPART_ARC
(10,4),-2.35879 # DEPENDENCYPART_ARC
(10,5),-0.448151 # DEPENDENCYPART_ARC
(10,6),-0.54474 # DEPENDENCYPART_ARC
(10,7),1.70861 # DEPENDENCYPART_ARC
(10,8),1.26484 # DEPENDENCYPART_ARC
